"Date Printed: Wednesday, January 25, 2023 12:12:07 PM"
Title: HIV diagnoses | 2019 | Ages 13 years and older | All races/ethnicities | Both sexes | All transmission categories | US Map-State Level

Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
NA - Not Applicable.



Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","Missouri","29","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","487","9.4","5,156,303"
"HIV diagnoses","Montana","30","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","25","2.8","905,520"
"HIV diagnoses","Nebraska","31","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","81","5.1","1,588,602"
"HIV diagnoses","Nevada","32","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","518","20.0","2,590,525"
"HIV diagnoses","New Hampshire","33","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","31","2.6","1,184,113"
"HIV diagnoses","New Jersey","34","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,083","14.4","7,511,106"
"HIV diagnoses","New Mexico","35","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","174","9.9","1,761,350"
"HIV diagnoses","New York","36","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2,336","14.1","16,557,527"
"HIV diagnoses","North Carolina","37","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","1,365","15.4","8,861,496"
"HIV diagnoses","North Dakota","38","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","40","6.4","628,810"
"HIV diagnoses","Ohio","39","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","965","9.8","9,858,082"
"HIV diagnoses","Oklahoma","40","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","336","10.3","3,272,310"
"HIV diagnoses","Oregon","41","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","199","5.5","3,597,502"
"HIV diagnoses","Pennsylvania","42","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","993","9.1","10,926,551"
"HIV diagnoses","Rhode Island","44","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","71","7.8","914,729"
"HIV diagnoses","South Carolina","45","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","722","16.6","4,360,421"
"HIV diagnoses","South Dakota","46","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","33","4.5","727,796"
"HIV diagnoses","Tennessee","47","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","773","13.4","5,748,728"
"HIV diagnoses","Texas","48","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","4,342","18.3","23,663,168"
"HIV diagnoses","Utah","49","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","135","5.3","2,536,760"
"HIV diagnoses","Vermont","50","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11","2.0","544,186"
"HIV diagnoses","Virginia","51","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","833","11.5","7,215,840"
"HIV diagnoses","Washington","53","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","480","7.5","6,407,007"
"HIV diagnoses","West Virginia","54","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","148","9.6","1,539,410"
"HIV diagnoses","Wisconsin","55","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","212","4.3","4,926,880"
"HIV diagnoses","Wyoming","56","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13","2.7","484,289"
"HIV diagnoses","American Samoa","60","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","36,667"
"HIV diagnoses","Guam","66","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11","8.6","127,737"
"HIV diagnoses","N. Mariana Islands","69","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","2","4.9","40,868"
"HIV diagnoses","Puerto Rico","72","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","391","13.9","2,811,456"
"HIV diagnoses","U.S. Virgin Islands","78","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","9.1","87,918"
