"Year","Intent","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","Non-Hispanic","Wisconsin","--","5,444,388","--","--","--"
"2022","Unintentional","Non-Hispanic","Wyoming","--","518,573","--","--","--"
"2022","Unintentional","Hispanic","Alabama","--","250,253","--","--","--"
"2022","Unintentional","Hispanic","Alaska","0**","56,495","0.00**","0.00**","--"
"2022","Unintentional","Hispanic","Arizona","--","2,388,520","--","--","--"
"2022","Unintentional","Hispanic","California","--","15,732,180","--","--","--"
"2022","Unintentional","Hispanic","Colorado","--","1,314,965","--","--","--"
"2022","Unintentional","Hispanic","Connecticut","--","658,979","--","--","--"
"2022","Unintentional","Hispanic","Florida","--","6,025,030","--","--","--"
"2022","Unintentional","Hispanic","Illinois","--","2,303,725","--","--","--"
"2022","Unintentional","Hispanic","Indiana","--","541,749","--","--","--"
"2022","Unintentional","Hispanic","Nevada","--","961,354","--","--","--"
"2022","Unintentional","Hispanic","New Mexico","--","1,059,865","--","--","--"
"2022","Unintentional","Hispanic","Ohio","--","524,999","--","--","--"
"2022","Unintentional","Hispanic","Pennsylvania","--","1,116,130","--","--","--"
"2022","Unintentional","Hispanic","Texas","18**","12,068,549","0.15**","0.14**","594"
"2022","Unintentional","Hispanic","Utah","--","512,087","--","--","--"
"2022","Unintentional","Hispanic","Vermont","0**","14,857","0.00**","0.00**","--"
"2022","Unintentional","Hispanic","Virginia","--","911,003","--","--","--"
"2022","Unintentional","Hispanic","Washington","--","1,093,313","--","--","--"
"2022","Unintentional","Hispanic","West Virginia","0**","36,790","0.00**","0.00**","--"
"2022","Unintentional","Hispanic","Wisconsin","0**","448,151","0.00**","0.00**","--"
"2022","Unintentional","Hispanic","Wyoming","0**","62,808","0.00**","0.00**","--"
"2022","Homicide","Non-Hispanic","Alabama","608","4,824,043","12.60","13.56","19,807"
"2022","Homicide","Non-Hispanic","Alaska","39","677,088","5.76","5.76","1,283"
"2022","Homicide","Non-Hispanic","Arizona","256","4,970,677","5.15","5.71","7,227"
"2022","Homicide","Non-Hispanic","Arkansas","278","2,785,101","9.98","10.54","8,576"
"2022","Homicide","Non-Hispanic","California","839","23,297,162","3.60","3.78","24,195"
"2022","Homicide","Non-Hispanic","Colorado","178","4,524,961","3.93","4.01","5,399"
"2022","Homicide","Non-Hispanic","Connecticut","71","2,967,226","2.39","2.67","2,301"
"2022","Homicide","Non-Hispanic","Delaware","43","913,097","4.71","5.46","1,453"
"2022","Homicide","Non-Hispanic","District of Columbia","141","592,892","23.78","22.46","4,612"
"2022","Homicide","Non-Hispanic","Florida","930","16,219,793","5.73","6.70","29,277"
"2022","Homicide","Non-Hispanic","Georgia","980","9,772,328","10.03","10.31","32,014"
"2022","Homicide","Non-Hispanic","Hawaii","14**","1,280,093","1.09**","1.23**","452"
"2022","Homicide","Non-Hispanic","Idaho","29","1,677,113","1.73","1.87","785"
"2022","Homicide","Non-Hispanic","Illinois","925","10,278,307","9.00","9.89","31,543"
"2022","Homicide","Non-Hispanic","Indiana","433","6,291,288","6.88","7.24","13,963"
"2022","Homicide","Non-Hispanic","Iowa","57","2,978,712","1.91","2.04","1,808"
"2022","Homicide","Non-Hispanic","Kansas","102","2,554,115","3.99","4.27","2,998"
"2022","Homicide","Non-Hispanic","Kentucky","278","4,317,323","6.44","7.04","8,581"
"2022","Homicide","Non-Hispanic","Louisiana","715","4,324,004","16.54","17.63","24,198"
"2022","Homicide","Non-Hispanic","Maine","18**","1,356,354","1.33**","1.52**","549"
"2022","Homicide","Non-Hispanic","Maryland","515","5,457,844","9.44","10.28","17,288"
"2022","Homicide","Non-Hispanic","Massachusetts","78","6,068,348","1.29","1.34","2,629"
"2022","Homicide","Non-Hispanic","Michigan","598","9,460,599","6.32","6.89","18,893"
"2022","Homicide","Non-Hispanic","Minnesota","133","5,375,770","2.47","2.67","4,363"
"2022","Homicide","Non-Hispanic","Mississippi","500","2,835,178","17.64","18.81","16,105"
"2022","Homicide","Non-Hispanic","Missouri","607","5,879,472","10.32","11.08","19,431"
"2022","Homicide","Non-Hispanic","Montana","38","1,072,148","3.54","3.85","1,037"
"2022","Homicide","Non-Hispanic","Nebraska","43","1,725,406","2.49","2.55","1,315"
"2022","Homicide","Non-Hispanic","Nevada","125","2,216,418","5.64","6.06","3,571"
"2022","Homicide","Non-Hispanic","New Hampshire","18**","1,331,039","1.35**","1.38**","468"
"2022","Homicide","Non-Hispanic","New Jersey","194","7,233,228","2.68","2.99","6,343"
"2022","Homicide","Non-Hispanic","New Mexico","83","1,053,479","7.88","9.11","2,268"
"2022","Homicide","Non-Hispanic","New York","412","15,810,075","2.61","2.83","13,104"
"2022","Homicide","Non-Hispanic","North Carolina","710","9,576,964","7.41","7.82","22,895"
"2022","Homicide","Non-Hispanic","North Dakota","14**","743,186","1.88**","1.84**","377"
"2022","Homicide","Non-Hispanic","Ohio","705","11,231,059","6.28","6.85","23,418"
"2022","Homicide","Non-Hispanic","Oklahoma","217","3,533,107","6.14","6.65","6,318"
"2022","Homicide","Non-Hispanic","Oregon","128","3,630,603","3.53","3.69","3,479"
"2022","Homicide","Non-Hispanic","Pennsylvania","722","11,855,878","6.09","6.73","23,621"
"2022","Homicide","Non-Hispanic","Rhode Island","--","901,754","--","--","--"
"2022","Homicide","Non-Hispanic","South Carolina","475","4,934,475","9.63","10.35","15,666"
"2022","Homicide","Non-Hispanic","South Dakota","27","865,316","3.12","3.41","936"
"2022","Homicide","Non-Hispanic","Tennessee","582","6,601,829","8.82","9.41","18,932"
"2022","Homicide","Non-Hispanic","Texas","1,117","17,961,023","6.22","6.41","34,841"
"2022","Homicide","Non-Hispanic","Utah","35","2,868,713","1.22","1.24","1,058"
"2022","Homicide","Non-Hispanic","Vermont","12**","632,207","1.90**","2.25**","341"
"2022","Homicide","Non-Hispanic","Virginia","523","7,772,616","6.73","7.12","17,135"
"2022","Homicide","Non-Hispanic","Washington","228","6,692,473","3.41","3.42","5,981"
"2022","Homicide","Non-Hispanic","West Virginia","80","1,738,366","4.60","5.11","2,085"
"2022","Homicide","Non-Hispanic","Wisconsin","253","5,444,388","4.65","5.14","8,000"
"2022","Homicide","Non-Hispanic","Wyoming","11**","518,573","2.12**","2.29**","324"
"2022","Homicide","Hispanic","Alabama","16**","250,253","6.39**","6.70**","504"
"2022","Homicide","Hispanic","Alaska","--","56,495","--","--","--"
"2022","Homicide","Hispanic","Arizona","228","2,388,520","9.55","8.99","7,724"
"2022","Homicide","Hispanic","Arkansas","12**","260,536","4.61**","4.16**","432"
"2022","Homicide","Hispanic","California","836","15,732,180","5.31","5.02","27,818"
"2022","Homicide","Hispanic","Colorado","125","1,314,965","9.51","8.64","4,525"
"2022","Homicide","Hispanic","Connecticut","43","658,979","6.53","5.88","1,587"
"2022","Homicide","Hispanic","Delaware","--","105,299","--","--","--"
"2022","Homicide","Hispanic","District of Columbia","0**","78,911","0.00**","0.00**","--"
"2022","Homicide","Hispanic","Florida","240","6,025,030","3.98","3.97","7,904"
"2022","Homicide","Hispanic","Georgia","53","1,140,548","4.65","4.21","1,971"
"2022","Homicide","Hispanic","Hawaii","--","160,103","--","--","--"
"2022","Homicide","Hispanic","Idaho","--","261,920","--","--","--"
"2022","Homicide","Hispanic","Illinois","163","2,303,725","7.08","6.55","5,688"
"2022","Homicide","Hispanic","Indiana","35","541,749","6.46","5.84","1,290"
"2022","Homicide","Hispanic","Iowa","--","221,805","--","--","--"
"2022","Homicide","Hispanic","Kansas","23","383,035","6.01","5.97","768"
"2022","Homicide","Hispanic","Kentucky","--","194,987","--","--","--"
"2022","Homicide","Hispanic","Louisiana","25","266,237","9.39","9.58","827"
"2022","Homicide","Hispanic","Maine","--","28,986","--","--","--"
"2022","Homicide","Hispanic","Maryland","24","706,816","3.40","3.34","781"
"2022","Homicide","Hispanic","Massachusetts","28","913,626","3.07","2.87","905"
"2022","Homicide","Hispanic","Michigan","41","573,514","7.15","6.66","1,516"
"2022","Homicide","Hispanic","Minnesota","--","341,414","--","--","--"
"2022","Homicide","Hispanic","Mississippi","11**","104,879","10.49**","11.02**","318"
"2022","Homicide","Hispanic","Missouri","21","298,485","7.04","7.25","672"
"2022","Homicide","Hispanic","Montana","--","50,719","--","--","--"
"2022","Homicide","Hispanic","Nebraska","--","242,517","--","--","--"
"2022","Homicide","Hispanic","Nevada","55","961,354","5.72","5.34","1,857"
"2022","Homicide","Hispanic","New Hampshire","0**","64,192","0.00**","0.00**","--"
"2022","Homicide","Hispanic","New Jersey","41","2,028,471","2.02","1.96","1,396"
"2022","Homicide","Hispanic","New Mexico","133","1,059,865","12.55","12.93","4,252"
"2022","Homicide","Hispanic","New York","114","3,867,076","2.95","2.94","3,720"
"2022","Homicide","Hispanic","North Carolina","71","1,122,009","6.33","5.75","2,658"
"2022","Homicide","Hispanic","North Dakota","--","36,075","--","--","--"
"2022","Homicide","Hispanic","Ohio","33","524,999","6.29","5.94","1,143"
"2022","Homicide","Hispanic","Oklahoma","23","486,693","4.73","4.13","909"
"2022","Homicide","Hispanic","Oregon","27","609,534","4.43","4.30","799"
"2022","Homicide","Hispanic","Pennsylvania","111","1,116,130","9.95","9.03","4,010"
"2022","Homicide","Hispanic","Rhode Island","--","191,980","--","--","--"
"2022","Homicide","Hispanic","South Carolina","19**","348,159","5.46**","5.02**","685"
"2022","Homicide","Hispanic","South Dakota","0**","44,508","0.00**","0.00**","--"
"2022","Homicide","Hispanic","Tennessee","27","449,510","6.01","5.44","1,041"
"2022","Homicide","Hispanic","Texas","708","12,068,549","5.87","5.52","24,909"
"2022","Homicide","Hispanic","Utah","13**","512,087","2.54**","2.28**","475"
"2022","Homicide","Hispanic","Vermont","--","14,857","--","--","--"
"2022","Homicide","Hispanic","Virginia","32","911,003","3.51","3.18","1,167"
"2022","Homicide","Hispanic","Washington","83","1,093,313","7.59","6.99","2,877"
"2022","Homicide","Hispanic","West Virginia","--","36,790","--","--","--"
"2022","Homicide","Hispanic","Wisconsin","24","448,151","5.36","5.09","823"
"2022","Homicide","Hispanic","Wyoming","--","62,808","--","--","--"
"2022","Homicide","Unknown","Arizona","--","--","--","--","--"
"2022","Homicide","Unknown","California","--","--","--","--","--"
"2022","Homicide","Unknown","Colorado","--","--","--","--","--"
"2022","Homicide","Unknown","Hawaii","--","--","--","--","--"
"2022","Homicide","Unknown","Illinois","--","--","--","--","--"
"2022","Homicide","Unknown","Kansas","--","--","--","--","--"
"2022","Homicide","Unknown","Michigan","--","--","--","--","--"
"2022","Homicide","Unknown","Minnesota","--","--","--","--","--"
"2022","Homicide","Unknown","Missouri","--","--","--","--","--"
"2022","Homicide","Unknown","New Mexico","--","--","--","--","--"
"2022","Homicide","Unknown","New York","--","--","--","--","--"
"2022","Homicide","Unknown","North Dakota","--","--","--","--","--"
"2022","Homicide","Unknown","Pennsylvania","--","--","--","--","--"
"2022","Homicide","Unknown","Texas","--","--","--","--","--"
"2022","Homicide","Unknown","Virginia","--","--","--","--","--"
"2022","Homicide","Unknown","Washington","--","--","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Alabama","--","4,824,043","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Alaska","--","677,088","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Arizona","22","4,970,677","0.44","0.46","522"
"2022","Legal Intervention","Non-Hispanic","Arkansas","--","2,785,101","--","--","--"
"2022","Legal Intervention","Non-Hispanic","California","41","23,297,162","0.18","0.18","1,065"
"2022","Legal Intervention","Non-Hispanic","Colorado","18**","4,524,961","0.40**","0.38**","510"
"2022","Legal Intervention","Non-Hispanic","Connecticut","--","2,967,226","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Delaware","--","913,097","--","--","--"
"2022","Legal Intervention","Non-Hispanic","District of Columbia","--","592,892","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Florida","19**","16,219,793","0.12**","0.13**","439"
"2022","Legal Intervention","Non-Hispanic","Georgia","22","9,772,328","0.23","0.22","666"
"2022","Legal Intervention","Non-Hispanic","Idaho","--","1,677,113","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Illinois","13**","10,278,307","0.13**","0.14**","288"
"2022","Legal Intervention","Non-Hispanic","Indiana","13**","6,291,288","0.21**","0.25**","372"
"2022","Legal Intervention","Non-Hispanic","Iowa","--","2,978,712","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Kansas","--","2,554,115","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Kentucky","13**","4,317,323","0.30**","0.33**","299"
"2022","Legal Intervention","Non-Hispanic","Louisiana","--","4,324,004","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Maine","--","1,356,354","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Maryland","--","5,457,844","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Massachusetts","--","6,068,348","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Michigan","--","9,460,599","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Minnesota","--","5,375,770","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Mississippi","--","2,835,178","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Missouri","14**","5,879,472","0.24**","0.26**","375"
"2022","Legal Intervention","Non-Hispanic","Montana","--","1,072,148","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Nebraska","--","1,725,406","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Nevada","--","2,216,418","--","--","--"
"2022","Legal Intervention","Non-Hispanic","New Hampshire","--","1,331,039","--","--","--"
"2022","Legal Intervention","Non-Hispanic","New Jersey","--","7,233,228","--","--","--"
"2022","Legal Intervention","Non-Hispanic","New Mexico","10**","1,053,479","0.95**","0.97**","183"
"2022","Legal Intervention","Non-Hispanic","New York","--","15,810,075","--","--","--"
"2022","Legal Intervention","Non-Hispanic","North Carolina","25","9,576,964","0.26","0.27","698"
"2022","Legal Intervention","Non-Hispanic","North Dakota","--","743,186","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Ohio","24","11,231,059","0.21","0.24","573"
"2022","Legal Intervention","Non-Hispanic","Oregon","21","3,630,603","0.58","0.62","549"
"2022","Legal Intervention","Non-Hispanic","Pennsylvania","16**","11,855,878","0.14**","0.15**","455"
"2022","Legal Intervention","Non-Hispanic","South Carolina","11**","4,934,475","0.22**","0.21**","206"
"2022","Legal Intervention","Non-Hispanic","South Dakota","--","865,316","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Tennessee","--","6,601,829","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Texas","46","17,961,023","0.26","0.26","1,163"
"2022","Legal Intervention","Non-Hispanic","Utah","--","2,868,713","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Vermont","--","632,207","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Virginia","--","7,772,616","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Washington","19**","6,692,473","0.28**","0.29**","537"
"2022","Legal Intervention","Non-Hispanic","West Virginia","--","1,738,366","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Wisconsin","--","5,444,388","--","--","--"
"2022","Legal Intervention","Non-Hispanic","Wyoming","--","518,573","--","--","--"
"2022","Legal Intervention","Hispanic","Alabama","--","250,253","--","--","--"
"2022","Legal Intervention","Hispanic","Alaska","0**","56,495","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","Arizona","11**","2,388,520","0.46**","0.41**","394"
"2022","Legal Intervention","Hispanic","California","44","15,732,180","0.28","0.26","1,361"
"2022","Legal Intervention","Hispanic","Colorado","--","1,314,965","--","--","--"
"2022","Legal Intervention","Hispanic","Connecticut","0**","658,979","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","Delaware","0**","105,299","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","District of Columbia","0**","78,911","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","Florida","11**","6,025,030","0.18**","0.18**","307"
"2022","Legal Intervention","Hispanic","Georgia","--","1,140,548","--","--","--"
"2022","Legal Intervention","Hispanic","Hawaii","--","160,103","--","--","--"
"2022","Legal Intervention","Hispanic","Idaho","--","261,920","--","--","--"
"2022","Legal Intervention","Hispanic","Illinois","--","2,303,725","--","--","--"
"2022","Legal Intervention","Hispanic","Indiana","--","541,749","--","--","--"
"2022","Legal Intervention","Hispanic","Massachusetts","--","913,626","--","--","--"
"2022","Legal Intervention","Hispanic","Michigan","--","573,514","--","--","--"
"2022","Legal Intervention","Hispanic","Missouri","--","298,485","--","--","--"
"2022","Legal Intervention","Hispanic","Montana","--","50,719","--","--","--"
"2022","Legal Intervention","Hispanic","Nevada","--","961,354","--","--","--"
"2022","Legal Intervention","Hispanic","New Hampshire","0**","64,192","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","New Mexico","19**","1,059,865","1.79**","1.87**","552"
"2022","Legal Intervention","Hispanic","New York","--","3,867,076","--","--","--"
"2022","Legal Intervention","Hispanic","North Carolina","--","1,122,009","--","--","--"
"2022","Legal Intervention","Hispanic","North Dakota","--","36,075","--","--","--"
"2022","Legal Intervention","Hispanic","South Carolina","--","348,159","--","--","--"
"2022","Legal Intervention","Hispanic","South Dakota","0**","44,508","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","Texas","28","12,068,549","0.23","0.23","836"
"2022","Legal Intervention","Hispanic","Utah","--","512,087","--","--","--"
"2022","Legal Intervention","Hispanic","Vermont","0**","14,857","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","Virginia","0**","911,003","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","Washington","--","1,093,313","--","--","--"
"2022","Legal Intervention","Hispanic","West Virginia","0**","36,790","0.00**","0.00**","--"
"2022","Legal Intervention","Hispanic","Wyoming","--","62,808","--","--","--"
"2022","Legal Intervention","Unknown","Arizona","--","--","--","--","--"
"2022","Suicide","Non-Hispanic","Alabama","611","4,824,043","12.67","11.94","10,572"
"2022","Suicide","Non-Hispanic","Alaska","110","677,088","16.25","16.16","2,636"
"2022","Suicide","Non-Hispanic","Arizona","821","4,970,677","16.52","14.18","12,113"
"2022","Suicide","Non-Hispanic","Arkansas","333","2,785,101","11.96","11.49","6,142"
"2022","Suicide","Non-Hispanic","California","1,397","23,297,162","6.00","4.98","18,318"
"2022","Suicide","Non-Hispanic","Colorado","574","4,524,961","12.69","11.48","10,444"
"2022","Suicide","Non-Hispanic","Connecticut","124","2,967,226","4.18","3.82","1,871"
"2022","Suicide","Non-Hispanic","Delaware","72","913,097","7.89","6.78","1,027"
"2022","Suicide","Non-Hispanic","District of Columbia","11**","592,892","1.86**","1.77**","219"
"2022","Suicide","Non-Hispanic","Florida","1,764","16,219,793","10.88","9.24","24,397"
"2022","Suicide","Non-Hispanic","Georgia","1,009","9,772,328","10.33","9.81","19,822"
"2022","Suicide","Non-Hispanic","Hawaii","39","1,280,093","3.05","2.81","601"
"2022","Suicide","Non-Hispanic","Idaho","272","1,677,113","16.22","15.26","4,993"
"2022","Suicide","Non-Hispanic","Illinois","623","10,278,307","6.06","5.49","10,500"
"2022","Suicide","Non-Hispanic","Indiana","673","6,291,288","10.70","9.85","11,556"
"2022","Suicide","Non-Hispanic","Iowa","277","2,978,712","9.30","8.68","4,713"
"2022","Suicide","Non-Hispanic","Kansas","323","2,554,115","12.65","12.19","6,640"
"2022","Suicide","Non-Hispanic","Kentucky","521","4,317,323","12.07","11.61","9,878"
"2022","Suicide","Non-Hispanic","Louisiana","478","4,324,004","11.06","10.52","9,033"
"2022","Suicide","Non-Hispanic","Maine","151","1,356,354","11.13","9.56","2,121"
"2022","Suicide","Non-Hispanic","Maryland","258","5,457,844","4.73","4.22","4,292"
"2022","Suicide","Non-Hispanic","Massachusetts","132","6,068,348","2.18","1.96","2,444"
"2022","Suicide","Non-Hispanic","Michigan","807","9,460,599","8.53","7.95","13,863"
"2022","Suicide","Non-Hispanic","Minnesota","389","5,375,770","7.24","6.80","6,900"
"2022","Suicide","Non-Hispanic","Mississippi","296","2,835,178","10.44","10.03","5,321"
"2022","Suicide","Non-Hispanic","Missouri","787","5,879,472","13.39","12.59","13,860"
"2022","Suicide","Non-Hispanic","Montana","215","1,072,148","20.05","19.16","4,066"
"2022","Suicide","Non-Hispanic","Nebraska","177","1,725,406","10.26","9.86","3,527"
"2022","Suicide","Non-Hispanic","Nevada","367","2,216,418","16.56","14.78","5,902"
"2022","Suicide","Non-Hispanic","New Hampshire","129","1,331,039","9.69","8.50","2,113"
"2022","Suicide","Non-Hispanic","New Jersey","210","7,233,228","2.90","2.50","2,947"
"2022","Suicide","Non-Hispanic","New Mexico","197","1,053,479","18.70","16.06","2,881"
"2022","Suicide","Non-Hispanic","New York","458","15,810,075","2.90","2.58","7,140"
"2022","Suicide","Non-Hispanic","North Carolina","954","9,576,964","9.96","9.02","16,499"
"2022","Suicide","Non-Hispanic","North Dakota","104","743,186","13.99","14.22","2,187"
"2022","Suicide","Non-Hispanic","Ohio","1,026","11,231,059","9.14","8.59","19,061"
"2022","Suicide","Non-Hispanic","Oklahoma","516","3,533,107","14.61","13.75","9,256"
"2022","Suicide","Non-Hispanic","Oregon","455","3,630,603","12.53","10.96","7,094"
"2022","Suicide","Non-Hispanic","Pennsylvania","1,030","11,855,878","8.69","7.73","16,339"
"2022","Suicide","Non-Hispanic","Rhode Island","22","901,754","2.44","1.99","283"
"2022","Suicide","Non-Hispanic","South Carolina","554","4,934,475","11.23","10.33","9,211"
"2022","Suicide","Non-Hispanic","South Dakota","96","865,316","11.09","10.83","2,182"
"2022","Suicide","Non-Hispanic","Tennessee","809","6,601,829","12.25","11.04","13,533"
"2022","Suicide","Non-Hispanic","Texas","2,149","17,961,023","11.97","11.20","40,050"
"2022","Suicide","Non-Hispanic","Utah","353","2,868,713","12.31","12.61","7,087"
"2022","Suicide","Non-Hispanic","Vermont","68","632,207","10.76","9.29","976"
"2022","Suicide","Non-Hispanic","Virginia","697","7,772,616","8.97","8.22","12,967"
"2022","Suicide","Non-Hispanic","Washington","628","6,692,473","9.38","8.21","9,665"
"2022","Suicide","Non-Hispanic","West Virginia","220","1,738,366","12.66","10.88","3,185"
"2022","Suicide","Non-Hispanic","Wisconsin","516","5,444,388","9.48","8.82","9,510"
"2022","Suicide","Non-Hispanic","Wyoming","100","518,573","19.28","17.62","1,973"
"2022","Suicide","Hispanic","Alabama","--","250,253","--","--","--"
"2022","Suicide","Hispanic","Alaska","--","56,495","--","--","--"
"2022","Suicide","Hispanic","Arizona","157","2,388,520","6.57","7.00","4,142"
"2022","Suicide","Hispanic","Arkansas","--","260,536","--","--","--"
"2022","Suicide","Hispanic","California","289","15,732,180","1.84","1.86","7,485"
"2022","Suicide","Hispanic","Colorado","113","1,314,965","8.59","8.04","3,549"
"2022","Suicide","Hispanic","Connecticut","--","658,979","--","--","--"
"2022","Suicide","Hispanic","Delaware","--","105,299","--","--","--"
"2022","Suicide","Hispanic","District of Columbia","--","78,911","--","--","--"
"2022","Suicide","Hispanic","Florida","224","6,025,030","3.72","3.55","4,791"
"2022","Suicide","Hispanic","Georgia","41","1,140,548","3.60","3.60","1,258"
"2022","Suicide","Hispanic","Hawaii","--","160,103","--","--","--"
"2022","Suicide","Hispanic","Idaho","12**","261,920","4.58**","4.46**","359"
"2022","Suicide","Hispanic","Illinois","50","2,303,725","2.17","2.17","1,397"
"2022","Suicide","Hispanic","Indiana","19**","541,749","3.51**","3.70**","613"
"2022","Suicide","Hispanic","Iowa","11**","221,805","4.96**","5.11**","373"
"2022","Suicide","Hispanic","Kansas","23","383,035","6.01","5.94","732"
"2022","Suicide","Hispanic","Kentucky","--","194,987","--","--","--"
"2022","Suicide","Hispanic","Louisiana","10**","266,237","3.76**","4.26**","235"
"2022","Suicide","Hispanic","Maine","--","28,986","--","--","--"
"2022","Suicide","Hispanic","Maryland","11**","706,816","1.56**","1.47**","442"
