"Year","State","Race","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Arizona","White","Non-Hispanic","80","931,178","8.59","9.44","3,546"
"2021","Arizona","White","Hispanic","110","916,771","12.00","11.95","4,963"
"2021","Arizona","White","Unknown","--","--","--","--","--"
"2021","Arizona","Black","Non-Hispanic","40","125,151","31.96","30.68","1,798"
"2021","Arizona","Black","Hispanic","--","29,191","--","--","--"
"2021","Arizona","American Indian / Alaska Native","Non-Hispanic","16**","109,315","14.64**","29.46**","688"
"2021","Arizona","American Indian / Alaska Native","Hispanic","--","56,210","--","--","--"
"2021","Arizona","Asian","Non-Hispanic","--","77,600","--","--","--"
"2021","Arizona","Asian","Hispanic","--","9,877","--","--","--"
"2021","Arizona","HI Native / Pacific Islander","Non-Hispanic","--","4,522","--","--","--"
"2021","Arizona","HI Native / Pacific Islander","Hispanic","0**","3,186","0.00**","0.00**","--"
"2021","Arizona","More than One Race","Non-Hispanic","16**","94,672","16.90**","15.96**","732"
"2021","Arizona","More than One Race","Hispanic","--","40,219","--","--","--"
"2021","Arkansas","White","Non-Hispanic","66","641,417","10.29","11.28","2,960"
"2021","Arkansas","White","Hispanic","--","110,343","--","--","--"
"2021","Arkansas","White","Unknown","--","--","--","--","--"
"2021","Arkansas","Black","Non-Hispanic","90","182,007","49.45","50.87","4,101"
"2021","Arkansas","Black","Hispanic","--","4,908","--","--","--"
"2021","Arkansas","American Indian / Alaska Native","Non-Hispanic","--","7,720","--","--","--"
"2021","Arkansas","American Indian / Alaska Native","Hispanic","0**","4,458","0.00**","0.00**","--"
"2021","Arkansas","Asian","Non-Hispanic","--","18,518","--","--","--"
"2021","Arkansas","Asian","Hispanic","0**","1,217","0.00**","0.00**","--"
"2021","Arkansas","HI Native / Pacific Islander","Non-Hispanic","0**","5,879","0.00**","0.00**","--"
"2021","Arkansas","HI Native / Pacific Islander","Hispanic","0**","661","0.00**","0.00**","--"
"2021","Arkansas","More than One Race","Non-Hispanic","--","37,894","--","--","--"
"2021","Arkansas","More than One Race","Hispanic","0**","4,617","0.00**","0.00**","--"
"2021","California","White","Non-Hispanic","111","3,257,196","3.41","3.75","4,863"
"2021","California","White","Hispanic","403","5,790,667","6.96","8.70","17,935"
"2021","California","Black","Non-Hispanic","217","667,391","32.52","34.95","9,597"
"2021","California","Black","Hispanic","--","161,753","--","--","--"
"2021","California","Black","Unknown","--","--","--","--","--"
"2021","California","American Indian / Alaska Native","Non-Hispanic","--","48,636","--","--","--"
"2021","California","American Indian / Alaska Native","Hispanic","--","206,848","--","--","--"
"2021","California","Asian","Non-Hispanic","31","1,633,914","1.90","1.91","1,395"
"2021","California","Asian","Hispanic","--","117,280","--","--","--"
"2021","California","HI Native / Pacific Islander","Non-Hispanic","--","46,271","--","--","--"
"2021","California","HI Native / Pacific Islander","Hispanic","--","25,594","--","--","--"
"2021","California","More than One Race","Non-Hispanic","28","634,019","4.42","6.17","1,307"
"2021","California","More than One Race","Hispanic","17**","275,587","6.17**","10.74**","749"
"2021","Colorado","White","Non-Hispanic","92","1,040,863","8.84","8.77","4,087"
"2021","Colorado","White","Hispanic","80","490,738","16.30","16.88","3,631"
"2021","Colorado","Black","Non-Hispanic","26","81,683","31.83","35.82","1,191"
"2021","Colorado","Black","Hispanic","--","17,808","--","--","--"
"2021","Colorado","American Indian / Alaska Native","Non-Hispanic","--","11,718","--","--","--"
"2021","Colorado","American Indian / Alaska Native","Hispanic","--","28,674","--","--","--"
"2021","Colorado","Asian","Non-Hispanic","--","61,145","--","--","--"
"2021","Colorado","Asian","Hispanic","--","5,548","--","--","--"
"2021","Colorado","HI Native / Pacific Islander","Non-Hispanic","0**","3,466","0.00**","0.00**","--"
"2021","Colorado","HI Native / Pacific Islander","Hispanic","0**","1,751","0.00**","0.00**","--"
"2021","Colorado","More than One Race","Non-Hispanic","12**","82,009","14.63**","26.89**","542"
"2021","Colorado","More than One Race","Hispanic","--","28,538","--","--","--"
"2021","Connecticut","White","Non-Hispanic","15**","604,881","2.48**","2.72**","639"
"2021","Connecticut","White","Hispanic","--","212,531","--","--","--"
"2021","Connecticut","Black","Non-Hispanic","37","130,523","28.35","28.45","1,642"
"2021","Connecticut","Black","Hispanic","--","36,150","--","--","--"
"2021","Connecticut","American Indian / Alaska Native","Non-Hispanic","0**","2,917","0.00**","0.00**","--"
"2021","Connecticut","American Indian / Alaska Native","Hispanic","0**","7,471","0.00**","0.00**","--"
"2021","Connecticut","Asian","Non-Hispanic","--","59,408","--","--","--"
"2021","Connecticut","Asian","Hispanic","0**","2,292","0.00**","0.00**","--"
"2021","Connecticut","HI Native / Pacific Islander","Non-Hispanic","0**","460","0.00**","0.00**","--"
"2021","Connecticut","HI Native / Pacific Islander","Hispanic","0**","1,046","0.00**","0.00**","--"
"2021","Connecticut","More than One Race","Non-Hispanic","0**","41,572","0.00**","0.00**","--"
"2021","Connecticut","More than One Race","Hispanic","0**","15,417","0.00**","0.00**","--"
"2021","Delaware","White","Non-Hispanic","--","146,164","--","--","--"
"2021","Delaware","White","Hispanic","--","36,688","--","--","--"
"2021","Delaware","Black","Non-Hispanic","36","78,974","45.59","45.69","1,631"
"2021","Delaware","Black","Hispanic","--","6,718","--","--","--"
"2021","Delaware","American Indian / Alaska Native","Non-Hispanic","0**","729","0.00**","0.00**","--"
"2021","Delaware","American Indian / Alaska Native","Hispanic","0**","1,929","0.00**","0.00**","--"
"2021","Delaware","Asian","Non-Hispanic","0**","12,674","0.00**","0.00**","--"
"2021","Delaware","Asian","Hispanic","0**","454","0.00**","0.00**","--"
"2021","Delaware","HI Native / Pacific Islander","Non-Hispanic","0**","118","0.00**","0.00**","--"
"2021","Delaware","HI Native / Pacific Islander","Hispanic","0**","442","0.00**","0.00**","--"
"2021","Delaware","More than One Race","Non-Hispanic","--","16,031","--","--","--"
"2021","Delaware","More than One Race","Hispanic","0**","2,661","0.00**","0.00**","--"
"2021","District of Columbia","White","Non-Hispanic","0**","62,412","0.00**","0.00**","--"
"2021","District of Columbia","White","Hispanic","--","20,708","--","--","--"
"2021","District of Columbia","Black","Non-Hispanic","51","95,749","53.26","71.52","2,257"
"2021","District of Columbia","Black","Hispanic","--","4,985","--","--","--"
"2021","District of Columbia","American Indian / Alaska Native","Non-Hispanic","0**","326","0.00**","0.00**","--"
"2021","District of Columbia","American Indian / Alaska Native","Hispanic","0**","1,167","0.00**","0.00**","--"
"2021","District of Columbia","Asian","Non-Hispanic","0**","7,496","0.00**","0.00**","--"
"2021","District of Columbia","Asian","Hispanic","0**","577","0.00**","0.00**","--"
"2021","District of Columbia","HI Native / Pacific Islander","Non-Hispanic","0**","106","0.00**","0.00**","--"
"2021","District of Columbia","HI Native / Pacific Islander","Hispanic","0**","407","0.00**","0.00**","--"
"2021","District of Columbia","More than One Race","Non-Hispanic","0**","7,874","0.00**","0.00**","--"
"2021","District of Columbia","More than One Race","Hispanic","0**","1,954","0.00**","0.00**","--"
"2021","Florida","White","Non-Hispanic","173","2,646,747","6.54","7.48","7,764"
"2021","Florida","White","Hispanic","101","1,720,995","5.87","6.57","4,473"
"2021","Florida","Black","Non-Hispanic","330","1,237,637","26.66","31.96","14,762"
"2021","Florida","Black","Hispanic","--","138,136","--","--","--"
"2021","Florida","American Indian / Alaska Native","Non-Hispanic","--","13,744","--","--","--"
"2021","Florida","American Indian / Alaska Native","Hispanic","--","24,498","--","--","--"
"2021","Florida","Asian","Non-Hispanic","--","178,927","--","--","--"
"2021","Florida","Asian","Hispanic","--","12,892","--","--","--"
"2021","Florida","HI Native / Pacific Islander","Non-Hispanic","--","4,353","--","--","--"
"2021","Florida","HI Native / Pacific Islander","Hispanic","0**","4,951","0.00**","0.00**","--"
"2021","Florida","More than One Race","Non-Hispanic","12**","224,773","5.34**","9.06**","561"
"2021","Florida","More than One Race","Hispanic","--","65,042","--","--","--"
"2021","Georgia","White","Non-Hispanic","140","1,604,086","8.73","9.53","6,357"
"2021","Georgia","White","Hispanic","38","426,242","8.92","9.75","1,697"
"2021","Georgia","Black","Non-Hispanic","392","1,257,622","31.17","32.79","17,707"
"2021","Georgia","Black","Hispanic","--","54,653","--","--","--"
"2021","Georgia","American Indian / Alaska Native","Non-Hispanic","0**","7,124","0.00**","0.00**","--"
"2021","Georgia","American Indian / Alaska Native","Hispanic","0**","16,804","0.00**","0.00**","--"
"2021","Georgia","Asian","Non-Hispanic","--","156,930","--","--","--"
"2021","Georgia","Asian","Hispanic","--","6,226","--","--","--"
"2021","Georgia","HI Native / Pacific Islander","Non-Hispanic","0**","3,267","0.00**","0.00**","--"
"2021","Georgia","HI Native / Pacific Islander","Hispanic","0**","3,851","0.00**","0.00**","--"
"2021","Georgia","More than One Race","Non-Hispanic","--","134,857","--","--","--"
"2021","Georgia","More than One Race","Hispanic","0**","21,932","0.00**","0.00**","--"
"2021","Hawaii","White","Non-Hispanic","--","70,128","--","--","--"
"2021","Hawaii","White","Hispanic","--","20,787","--","--","--"
"2021","Hawaii","Black","Non-Hispanic","0**","9,533","0.00**","0.00**","--"
"2021","Hawaii","Black","Hispanic","0**","1,546","0.00**","0.00**","--"
"2021","Hawaii","American Indian / Alaska Native","Non-Hispanic","0**","885","0.00**","0.00**","--"
"2021","Hawaii","American Indian / Alaska Native","Hispanic","0**","848","0.00**","0.00**","--"
"2021","Hawaii","Asian","Non-Hispanic","--","100,354","--","--","--"
"2021","Hawaii","Asian","Hispanic","0**","8,091","0.00**","0.00**","--"
"2021","Hawaii","HI Native / Pacific Islander","Non-Hispanic","--","48,977","--","--","--"
"2021","Hawaii","HI Native / Pacific Islander","Hispanic","0**","6,789","0.00**","0.00**","--"
"2021","Hawaii","More than One Race","Non-Hispanic","--","130,174","--","--","--"
"2021","Hawaii","More than One Race","Hispanic","--","42,667","--","--","--"
"2021","Idaho","White","Non-Hispanic","40","496,699","8.05","10.78","1,812"
"2021","Idaho","White","Hispanic","--","107,871","--","--","--"
"2021","Idaho","Black","Non-Hispanic","--","6,371","--","--","--"
"2021","Idaho","Black","Hispanic","0**","1,723","0.00**","0.00**","--"
"2021","Idaho","American Indian / Alaska Native","Non-Hispanic","0**","6,719","0.00**","0.00**","--"
"2021","Idaho","American Indian / Alaska Native","Hispanic","--","7,125","--","--","--"
"2021","Idaho","Asian","Non-Hispanic","--","9,027","--","--","--"
"2021","Idaho","Asian","Hispanic","--","1,199","--","--","--"
"2021","Idaho","HI Native / Pacific Islander","Non-Hispanic","0**","1,363","0.00**","0.00**","--"
"2021","Idaho","HI Native / Pacific Islander","Hispanic","0**","425","0.00**","0.00**","--"
"2021","Idaho","More than One Race","Non-Hispanic","0**","23,045","0.00**","0.00**","--"
"2021","Idaho","More than One Race","Hispanic","--","5,797","--","--","--"
"2021","Illinois","White","Non-Hispanic","81","2,096,739","3.86","4.01","3,714"
"2021","Illinois","White","Hispanic","90","898,130","10.02","11.77","4,017"
"2021","Illinois","Black","Non-Hispanic","427","631,058","67.66","75.55","19,183"
"2021","Illinois","Black","Hispanic","--","38,262","--","--","--"
"2021","Illinois","American Indian / Alaska Native","Non-Hispanic","0**","5,920","0.00**","0.00**","--"
"2021","Illinois","American Indian / Alaska Native","Hispanic","0**","23,890","0.00**","0.00**","--"
"2021","Illinois","Asian","Non-Hispanic","--","232,862","--","--","--"
"2021","Illinois","Asian","Hispanic","--","8,931","--","--","--"
"2021","Illinois","HI Native / Pacific Islander","Non-Hispanic","0**","1,258","0.00**","0.00**","--"
"2021","Illinois","HI Native / Pacific Islander","Hispanic","0**","1,866","0.00**","0.00**","--"
"2021","Illinois","More than One Race","Non-Hispanic","--","138,956","--","--","--"
"2021","Illinois","More than One Race","Hispanic","--","30,194","--","--","--"
"2021","Indiana","White","Non-Hispanic","155","1,636,176","9.47","10.30","6,947"
"2021","Indiana","White","Hispanic","25","224,311","11.15","11.50","1,148"
"2021","Indiana","Black","Non-Hispanic","150","263,579","56.91","61.91","6,741"
"2021","Indiana","Black","Hispanic","--","16,005","--","--","--"
"2021","Indiana","American Indian / Alaska Native","Non-Hispanic","0**","4,246","0.00**","0.00**","--"
"2021","Indiana","American Indian / Alaska Native","Hispanic","0**","6,867","0.00**","0.00**","--"
"2021","Indiana","Asian","Non-Hispanic","--","73,663","--","--","--"
"2021","Indiana","Asian","Hispanic","0**","2,209","0.00**","0.00**","--"
"2021","Indiana","HI Native / Pacific Islander","Non-Hispanic","0**","1,099","0.00**","0.00**","--"
"2021","Indiana","HI Native / Pacific Islander","Hispanic","0**","1,062","0.00**","0.00**","--"
"2021","Indiana","More than One Race","Non-Hispanic","--","93,589","--","--","--"
"2021","Indiana","More than One Race","Hispanic","0**","11,461","0.00**","0.00**","--"
"2021","Iowa","White","Non-Hispanic","47","836,761","5.62","4.90","2,155"
"2021","Iowa","White","Hispanic","--","96,780","--","--","--"
"2021","Iowa","Black","Non-Hispanic","16**","60,623","26.39**","23.44**","750"
"2021","Iowa","Black","Hispanic","0**","3,971","0.00**","0.00**","--"
"2021","Iowa","American Indian / Alaska Native","Non-Hispanic","0**","3,797","0.00**","0.00**","--"
"2021","Iowa","American Indian / Alaska Native","Hispanic","0**","5,037","0.00**","0.00**","--"
"2021","Iowa","Asian","Non-Hispanic","--","35,140","--","--","--"
"2021","Iowa","Asian","Hispanic","--","1,168","--","--","--"
"2021","Iowa","HI Native / Pacific Islander","Non-Hispanic","0**","2,605","0.00**","0.00**","--"
"2021","Iowa","HI Native / Pacific Islander","Hispanic","0**","410","0.00**","0.00**","--"
"2021","Iowa","More than One Race","Non-Hispanic","--","41,186","--","--","--"
"2021","Iowa","More than One Race","Hispanic","0**","5,144","0.00**","0.00**","--"
"2021","Kansas","White","Non-Hispanic","67","684,608","9.79","10.33","3,062"
"2021","Kansas","White","Hispanic","31","164,852","18.81","23.19","1,401"
"2021","Kansas","White","Unknown","--","--","--","--","--"
"2021","Kansas","Black","Non-Hispanic","29","65,417","44.33","54.74","1,321"
"2021","Kansas","Black","Hispanic","0**","7,477","0.00**","0.00**","--"
"2021","Kansas","Black","Unknown","--","--","--","--","--"
"2021","Kansas","American Indian / Alaska Native","Non-Hispanic","--","8,057","--","--","--"
"2021","Kansas","American Indian / Alaska Native","Hispanic","0**","6,806","0.00**","0.00**","--"
"2021","Kansas","Asian","Non-Hispanic","--","33,000","--","--","--"
"2021","Kansas","Asian","Hispanic","0**","1,611","0.00**","0.00**","--"
"2021","Kansas","HI Native / Pacific Islander","Non-Hispanic","0**","1,353","0.00**","0.00**","--"
"2021","Kansas","HI Native / Pacific Islander","Hispanic","0**","472","0.00**","0.00**","--"
"2021","Kansas","More than One Race","Non-Hispanic","--","52,276","--","--","--"
"2021","Kansas","More than One Race","Hispanic","--","9,334","--","--","--"
"2021","Kentucky","White","Non-Hispanic","112","1,157,465","9.68","10.25","5,010"
"2021","Kentucky","White","Hispanic","12**","79,109","15.17**","19.24**","549"
"2021","Kentucky","Black","Non-Hispanic","103","144,762","71.15","75.24","4,655"
"2021","Kentucky","Black","Hispanic","--","6,561","--","--","--"
"2021","Kentucky","American Indian / Alaska Native","Non-Hispanic","0**","2,204","0.00**","0.00**","--"
"2021","Kentucky","American Indian / Alaska Native","Hispanic","0**","2,524","0.00**","0.00**","--"
"2021","Kentucky","Asian","Non-Hispanic","--","27,713","--","--","--"
"2021","Kentucky","Asian","Hispanic","0**","1,233","0.00**","0.00**","--"
"2021","Kentucky","HI Native / Pacific Islander","Non-Hispanic","0**","1,507","0.00**","0.00**","--"
"2021","Kentucky","HI Native / Pacific Islander","Hispanic","0**","764","0.00**","0.00**","--"
"2021","Kentucky","More than One Race","Non-Hispanic","--","60,152","--","--","--"
"2021","Kentucky","More than One Race","Hispanic","0**","4,724","0.00**","0.00**","--"
"2021","Louisiana","White","Non-Hispanic","76","787,663","9.65","12.02","3,451"
"2021","Louisiana","White","Hispanic","--","86,161","--","--","--"
"2021","Louisiana","Black","Non-Hispanic","351","569,809","61.60","75.90","15,992"
"2021","Louisiana","Black","Hispanic","--","14,315","--","--","--"
"2021","Louisiana","American Indian / Alaska Native","Non-Hispanic","0**","9,882","0.00**","0.00**","--"
"2021","Louisiana","American Indian / Alaska Native","Hispanic","0**","3,828","0.00**","0.00**","--"
"2021","Louisiana","Asian","Non-Hispanic","--","27,682","--","--","--"
"2021","Louisiana","Asian","Hispanic","0**","1,863","0.00**","0.00**","--"
"2021","Louisiana","HI Native / Pacific Islander","Non-Hispanic","0**","605","0.00**","0.00**","--"
"2021","Louisiana","HI Native / Pacific Islander","Hispanic","0**","554","0.00**","0.00**","--"
"2021","Louisiana","More than One Race","Non-Hispanic","--","45,988","--","--","--"
"2021","Louisiana","More than One Race","Hispanic","0**","6,195","0.00**","0.00**","--"
"2021","Maine","White","Non-Hispanic","19**","328,282","5.79**","6.55**","878"
"2021","Maine","White","Hispanic","0**","9,737","0.00**","0.00**","--"
"2021","Maine","Black","Non-Hispanic","0**","11,329","0.00**","0.00**","--"
"2021","Maine","Black","Hispanic","0**","588","0.00**","0.00**","--"
"2021","Maine","American Indian / Alaska Native","Non-Hispanic","0**","2,842","0.00**","0.00**","--"
"2021","Maine","American Indian / Alaska Native","Hispanic","0**","423","0.00**","0.00**","--"
"2021","Maine","Asian","Non-Hispanic","0**","6,180","0.00**","0.00**","--"
"2021","Maine","Asian","Hispanic","0**","141","0.00**","0.00**","--"
"2021","Maine","HI Native / Pacific Islander","Non-Hispanic","0**","174","0.00**","0.00**","--"
"2021","Maine","HI Native / Pacific Islander","Hispanic","0**","49","0.00**","0.00**","--"
"2021","Maine","More than One Race","Non-Hispanic","0**","13,439","0.00**","0.00**","--"
"2021","Maine","More than One Race","Hispanic","0**","1,062","0.00**","0.00**","--"
"2021","Maryland","White","Non-Hispanic","32","818,867","3.91","4.20","1,426"
"2021","Maryland","White","Hispanic","19**","234,848","8.09**","11.25**","856"
"2021","Maryland","Black","Non-Hispanic","185","608,847","30.39","35.62","8,149"
"2021","Maryland","Black","Hispanic","--","37,315","--","--","--"
"2021","Maryland","American Indian / Alaska Native","Non-Hispanic","0**","4,139","0.00**","0.00**","--"
"2021","Maryland","American Indian / Alaska Native","Hispanic","0**","12,289","0.00**","0.00**","--"
"2021","Maryland","Asian","Non-Hispanic","--","125,989","--","--","--"
"2021","Maryland","Asian","Hispanic","0**","5,151","0.00**","0.00**","--"
"2021","Maryland","HI Native / Pacific Islander","Non-Hispanic","0**","858","0.00**","0.00**","--"
"2021","Maryland","HI Native / Pacific Islander","Hispanic","0**","2,503","0.00**","0.00**","--"
"2021","Maryland","More than One Race","Non-Hispanic","--","98,819","--","--","--"
"2021","Maryland","More than One Race","Hispanic","0**","16,899","0.00**","0.00**","--"
"2021","Massachusetts","White","Non-Hispanic","14**","1,306,785","1.07**","0.75**","624"
"2021","Massachusetts","White","Hispanic","12**","288,303","4.16**","6.69**","524"
"2021","Massachusetts","Black","Non-Hispanic","19**","185,488","10.24**","10.99**","832"
"2021","Massachusetts","Black","Hispanic","--","61,250","--","--","--"
"2021","Massachusetts","American Indian / Alaska Native","Non-Hispanic","0**","3,938","0.00**","0.00**","--"
"2021","Massachusetts","American Indian / Alaska Native","Hispanic","0**","9,843","0.00**","0.00**","--"
"2021","Massachusetts","Asian","Non-Hispanic","0**","171,662","0.00**","0.00**","--"
"2021","Massachusetts","Asian","Hispanic","0**","4,154","0.00**","0.00**","--"
"2021","Massachusetts","HI Native / Pacific Islander","Non-Hispanic","0**","1,075","0.00**","0.00**","--"
"2021","Massachusetts","HI Native / Pacific Islander","Hispanic","0**","1,921","0.00**","0.00**","--"
"2021","Massachusetts","More than One Race","Non-Hispanic","0**","81,928","0.00**","0.00**","--"
"2021","Massachusetts","More than One Race","Hispanic","0**","26,287","0.00**","0.00**","--"
"2021","Michigan","White","Non-Hispanic","117","2,145,799","5.45","5.71","5,319"
"2021","Michigan","White","Hispanic","18**","221,710","8.12**","10.05**","796"
"2021","Michigan","Black","Non-Hispanic","209","504,327","41.44","46.92","9,231"
"2021","Michigan","Black","Hispanic","--","19,975","--","--","--"
"2021","Michigan","American Indian / Alaska Native","Non-Hispanic","--","18,761","--","--","--"
"2021","Michigan","American Indian / Alaska Native","Hispanic","0**","8,458","0.00**","0.00**","--"
"2021","Michigan","Asian","Non-Hispanic","--","119,783","--","--","--"
"2021","Michigan","Asian","Hispanic","0**","2,311","0.00**","0.00**","--"
"2021","Michigan","HI Native / Pacific Islander","Non-Hispanic","0**","996","0.00**","0.00**","--"
"2021","Michigan","HI Native / Pacific Islander","Hispanic","0**","827","0.00**","0.00**","--"
"2021","Michigan","More than One Race","Non-Hispanic","--","149,917","--","--","--"
"2021","Michigan","More than One Race","Hispanic","0**","18,995","0.00**","0.00**","--"
"2021","Minnesota","White","Non-Hispanic","45","1,287,154","3.50","5.04","1,983"
"2021","Minnesota","White","Hispanic","--","135,127","--","--","--"
"2021","Minnesota","White","Unknown","--","--","--","--","--"
"2021","Minnesota","Black","Non-Hispanic","47","188,693","24.91","30.18","2,113"
"2021","Minnesota","Black","Hispanic","0**","7,566","0.00**","0.00**","--"
"2021","Minnesota","American Indian / Alaska Native","Non-Hispanic","--","25,947","--","--","--"
"2021","Minnesota","American Indian / Alaska Native","Hispanic","--","11,590","--","--","--"
"2021","Minnesota","Asian","Non-Hispanic","--","121,212","--","--","--"
"2021","Minnesota","Asian","Hispanic","--","2,431","--","--","--"
"2021","Minnesota","HI Native / Pacific Islander","Non-Hispanic","0**","1,456","0.00**","0.00**","--"
"2021","Minnesota","HI Native / Pacific Islander","Hispanic","0**","842","0.00**","0.00**","--"
"2021","Minnesota","More than One Race","Non-Hispanic","12**","92,199","13.02**","13.41**","543"
"2021","Minnesota","More than One Race","Hispanic","0**","11,394","0.00**","0.00**","--"
"2021","Mississippi","White","Non-Hispanic","58","497,834","11.65","14.15","2,663"
"2021","Mississippi","White","Hispanic","--","37,513","--","--","--"
"2021","Mississippi","Black","Non-Hispanic","223","418,674","53.26","54.74","10,109"
"2021","Mississippi","Black","Hispanic","0**","6,241","0.00**","0.00**","--"
"2021","Mississippi","American Indian / Alaska Native","Non-Hispanic","0**","5,738","0.00**","0.00**","--"
"2021","Mississippi","American Indian / Alaska Native","Hispanic","0**","2,077","0.00**","0.00**","--"
"2021","Mississippi","Asian","Non-Hispanic","0**","11,046","0.00**","0.00**","--"
"2021","Mississippi","Asian","Hispanic","0**","549","0.00**","0.00**","--"
"2021","Mississippi","HI Native / Pacific Islander","Non-Hispanic","0**","377","0.00**","0.00**","--"
"2021","Mississippi","HI Native / Pacific Islander","Hispanic","0**","311","0.00**","0.00**","--"
"2021","Mississippi","More than One Race","Non-Hispanic","--","24,431","--","--","--"
"2021","Mississippi","More than One Race","Hispanic","0**","2,414","0.00**","0.00**","--"
"2021","Missouri","White","Non-Hispanic","150","1,462,370","10.26","11.99","6,808"
"2021","Missouri","White","Hispanic","--","114,555","--","--","--"
"2021","Missouri","Black","Non-Hispanic","181","268,423","67.43","75.27","8,258"
"2021","Missouri","Black","Hispanic","--","8,969","--","--","--"
"2021","Missouri","American Indian / Alaska Native","Non-Hispanic","0**","7,892","0.00**","0.00**","--"
"2021","Missouri","American Indian / Alaska Native","Hispanic","0**","5,548","0.00**","0.00**","--"
"2021","Missouri","Asian","Non-Hispanic","--","47,634","--","--","--"
"2021","Missouri","Asian","Hispanic","0**","1,816","0.00**","0.00**","--"
"2021","Missouri","HI Native / Pacific Islander","Non-Hispanic","0**","3,980","0.00**","0.00**","--"
"2021","Missouri","HI Native / Pacific Islander","Hispanic","0**","935","0.00**","0.00**","--"
"2021","Missouri","More than One Race","Non-Hispanic","--","89,255","--","--","--"
"2021","Missouri","More than One Race","Hispanic","0**","9,516","0.00**","0.00**","--"
"2021","Montana","White","Non-Hispanic","50","273,878","18.26","18.05","2,277"
"2021","Montana","White","Hispanic","--","15,786","--","--","--"
"2021","Montana","Black","Non-Hispanic","--","2,632","--","--","--"
"2021","Montana","Black","Hispanic","0**","409","0.00**","0.00**","--"
"2021","Montana","American Indian / Alaska Native","Non-Hispanic","10**","30,003","33.33**","59.84**","435"
"2021","Montana","American Indian / Alaska Native","Hispanic","0**","4,198","0.00**","0.00**","--"
"2021","Montana","Asian","Non-Hispanic","0**","3,632","0.00**","0.00**","--"
"2021","Montana","Asian","Hispanic","0**","258","0.00**","0.00**","--"
"2021","Montana","HI Native / Pacific Islander","Non-Hispanic","--","282","--","--","--"
"2021","Montana","HI Native / Pacific Islander","Hispanic","0**","61","0.00**","0.00**","--"
"2021","Montana","More than One Race","Non-Hispanic","--","15,561","--","--","--"
"2021","Montana","More than One Race","Hispanic","0**","2,401","0.00**","0.00**","--"
"2021","Nebraska","White","Non-Hispanic","29","478,883","6.06","6.94","1,288"
"2021","Nebraska","White","Hispanic","--","102,947","--","--","--"
"2021","Nebraska","Black","Non-Hispanic","15**","41,395","36.24**","32.36**","691"
"2021","Nebraska","Black","Hispanic","0**","4,202","0.00**","0.00**","--"
"2021","Nebraska","American Indian / Alaska Native","Non-Hispanic","--","7,327","--","--","--"
"2021","Nebraska","American Indian / Alaska Native","Hispanic","0**","10,168","0.00**","0.00**","--"
"2021","Nebraska","Asian","Non-Hispanic","0**","20,603","0.00**","0.00**","--"
"2021","Nebraska","Asian","Hispanic","0**","1,092","0.00**","0.00**","--"
"2021","Nebraska","HI Native / Pacific Islander","Non-Hispanic","0**","563","0.00**","0.00**","--"
"2021","Nebraska","HI Native / Pacific Islander","Hispanic","0**","701","0.00**","0.00**","--"
"2021","Nebraska","More than One Race","Non-Hispanic","0**","26,871","0.00**","0.00**","--"
"2021","Nebraska","More than One Race","Hispanic","0**","5,099","0.00**","0.00**","--"
