"Year","Intent","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Undetermined","50 to 54","17**","20,676,771","0.08**","--","221"
"2023","Undetermined","55 to 59","23","20,606,257","0.11","--","185"
"2023","Undetermined","60 to 64","20**","21,248,154","0.09**","--","63"
"2023","Undetermined","65 to 69","11**","19,150,728","0.06**","--","0"
"2023","Undetermined","70 to 74","11**","15,534,556","0.07**","--","0"
"2023","Undetermined","75 to 79","--","11,387,417","--","--","--"
"2023","Undetermined","80 to 84","--","6,980,680","--","--","--"
"2023","Undetermined","85+","--","6,194,980","--","--","--"
"2022","Unintentional","0 to 4","49","18,657,742","0.26","--","3,047"
"2022","Unintentional","5 to 9","15**","20,259,621","0.07**","--","873"
"2022","Unintentional","10 to 14","20**","21,152,994","0.10**","--","1,040"
"2022","Unintentional","15 to 19","59","21,833,303","0.27","--","2,825"
"2022","Unintentional","20 to 24","61","21,652,680","0.28","--","2,639"
"2022","Unintentional","25 to 29","34","22,151,088","0.15","--","1,293"
"2022","Unintentional","30 to 34","35","23,380,122","0.15","--","1,165"
"2022","Unintentional","35 to 39","34","22,372,305","0.15","--","958"
"2022","Unintentional","40 to 44","21","21,506,258","0.10","--","488"
"2022","Unintentional","45 to 49","22","19,666,973","0.11","--","392"
"2022","Unintentional","50 to 54","20**","20,860,109","0.10**","--","254"
"2022","Unintentional","55 to 59","17**","21,058,109","0.08**","--","135"
"2022","Unintentional","60 to 64","19**","21,249,923","0.09**","--","46"
"2022","Unintentional","65 to 69","16**","18,766,161","0.09**","--","0"
"2022","Unintentional","70 to 74","15**","15,233,679","0.10**","--","0"
"2022","Unintentional","75 to 79","14**","10,854,327","0.13**","--","0"
"2022","Unintentional","80 to 84","--","6,557,159","--","--","--"
"2022","Unintentional","85+","--","6,058,858","--","--","--"
"2022","Homicide","0 to 4","93","18,657,742","0.50","--","5,834"
"2022","Homicide","5 to 9","95","20,259,621","0.47","--","5,491"
"2022","Homicide","10 to 14","300","21,152,994","1.42","--","15,655"
"2022","Homicide","15 to 19","2,639","21,833,303","12.09","--","125,364"
"2022","Homicide","20 to 24","3,175","21,652,680","14.66","--","136,765"
"2022","Homicide","25 to 29","2,943","22,151,088","13.29","--","111,814"
"2022","Homicide","30 to 34","2,893","23,380,122","12.37","--","95,765"
"2022","Homicide","35 to 39","2,142","22,372,305","9.57","--","60,064"
"2022","Homicide","40 to 44","1,719","21,506,258","7.99","--","39,740"
"2022","Homicide","45 to 49","1,140","19,666,973","5.80","--","20,628"
"2022","Homicide","50 to 54","807","20,860,109","3.87","--","10,663"
"2022","Homicide","55 to 59","612","21,058,109","2.91","--","4,967"
"2022","Homicide","60 to 64","468","21,249,923","2.20","--","1,483"
"2022","Homicide","65 to 69","284","18,766,161","1.51","--","0"
"2022","Homicide","70 to 74","138","15,233,679","0.91","--","0"
"2022","Homicide","75 to 79","108","10,854,327","1.00","--","0"
"2022","Homicide","80 to 84","55","6,557,159","0.84","--","0"
"2022","Homicide","85+","40","6,058,858","0.66","--","0"
"2022","Legal Intervention","15 to 19","19**","21,833,303","0.09**","--","889"
"2022","Legal Intervention","20 to 24","61","21,652,680","0.28","--","2,623"
"2022","Legal Intervention","25 to 29","94","22,151,088","0.42","--","3,552"
"2022","Legal Intervention","30 to 34","113","23,380,122","0.48","--","3,725"
"2022","Legal Intervention","35 to 39","100","22,372,305","0.45","--","2,797"
"2022","Legal Intervention","40 to 44","67","21,506,258","0.31","--","1,569"
"2022","Legal Intervention","45 to 49","62","19,666,973","0.32","--","1,114"
"2022","Legal Intervention","50 to 54","47","20,860,109","0.23","--","610"
"2022","Legal Intervention","55 to 59","35","21,058,109","0.17","--","276"
"2022","Legal Intervention","60 to 64","21","21,249,923","0.10","--","65"
"2022","Legal Intervention","65 to 69","13**","18,766,161","0.07**","--","0"
"2022","Legal Intervention","70 to 74","--","15,233,679","--","--","--"
"2022","Legal Intervention","75 to 79","--","10,854,327","--","--","--"
"2022","Legal Intervention","80 to 84","--","6,557,159","--","--","--"
"2022","Suicide","5 to 9","--","20,259,621","--","--","--"
"2022","Suicide","10 to 14","175","21,152,994","0.83","--","9,050"
"2022","Suicide","15 to 19","1,063","21,833,303","4.87","--","50,594"
"2022","Suicide","20 to 24","2,183","21,652,680","10.08","--","93,553"
"2022","Suicide","25 to 29","2,102","22,151,088","9.49","--","79,926"
"2022","Suicide","30 to 34","2,128","23,380,122","9.10","--","70,301"
"2022","Suicide","35 to 39","1,953","22,372,305","8.73","--","54,792"
"2022","Suicide","40 to 44","1,806","21,506,258","8.40","--","41,564"
"2022","Suicide","45 to 49","1,754","19,666,973","8.92","--","31,528"
"2022","Suicide","50 to 54","2,084","20,860,109","9.99","--","27,121"
"2022","Suicide","55 to 59","2,208","21,058,109","10.49","--","17,448"
"2022","Suicide","60 to 64","2,204","21,249,923","10.37","--","6,801"
"2022","Suicide","65 to 69","1,844","18,766,161","9.83","--","0"
"2022","Suicide","70 to 74","1,692","15,233,679","11.11","--","0"
"2022","Suicide","75 to 79","1,597","10,854,327","14.71","--","0"
"2022","Suicide","80 to 84","1,089","6,557,159","16.61","--","0"
"2022","Suicide","85+","1,145","6,058,858","18.90","--","0"
"2022","Undetermined","0 to 4","14**","18,657,742","0.08**","--","872"
"2022","Undetermined","5 to 9","--","20,259,621","--","--","--"
"2022","Undetermined","10 to 14","16**","21,152,994","0.08**","--","846"
"2022","Undetermined","15 to 19","55","21,833,303","0.25","--","2,632"
"2022","Undetermined","20 to 24","48","21,652,680","0.22","--","2,070"
"2022","Undetermined","25 to 29","45","22,151,088","0.20","--","1,701"
"2022","Undetermined","30 to 34","49","23,380,122","0.21","--","1,628"
"2022","Undetermined","35 to 39","28","22,372,305","0.13","--","779"
"2022","Undetermined","40 to 44","34","21,506,258","0.16","--","775"
"2022","Undetermined","45 to 49","21","19,666,973","0.11","--","366"
"2022","Undetermined","50 to 54","24","20,860,109","0.12","--","319"
"2022","Undetermined","55 to 59","19**","21,058,109","0.09**","--","143"
"2022","Undetermined","60 to 64","22","21,249,923","0.10","--","59"
"2022","Undetermined","65 to 69","13**","18,766,161","0.07**","--","0"
"2022","Undetermined","70 to 74","--","15,233,679","--","--","--"
"2022","Undetermined","75 to 79","11**","10,854,327","0.10**","--","0"
"2022","Undetermined","80 to 84","--","6,557,159","--","--","--"
"2022","Undetermined","85+","--","6,058,858","--","--","--"
"2021","Unintentional","0 to 4","54","18,850,308","0.29","--","3,365"
"2021","Unintentional","5 to 9","25","20,307,666","0.12","--","1,460"
"2021","Unintentional","10 to 14","28","21,464,574","0.13","--","1,456"
"2021","Unintentional","15 to 19","61","21,579,325","0.28","--","2,930"
"2021","Unintentional","20 to 24","64","21,542,729","0.30","--","2,764"
"2021","Unintentional","25 to 29","42","22,405,708","0.19","--","1,610"
"2021","Unintentional","30 to 34","39","23,114,283","0.17","--","1,293"
"2021","Unintentional","35 to 39","39","22,310,911","0.18","--","1,081"
"2021","Unintentional","40 to 44","37","21,110,273","0.18","--","851"
"2021","Unintentional","45 to 49","25","19,788,026","0.13","--","459"
"2021","Unintentional","50 to 54","21","20,905,254","0.10","--","271"
"2021","Unintentional","55 to 59","24","21,566,504","0.11","--","202"
"2021","Unintentional","60 to 64","20**","21,218,670","0.09**","--","66"
"2021","Unintentional","65 to 69","25","18,371,487","0.14","--","0"
"2021","Unintentional","70 to 74","21","15,261,391","0.14","--","0"
"2021","Unintentional","75 to 79","10**","9,902,476","0.10**","--","0"
"2021","Unintentional","80 to 84","10**","6,308,178","0.16**","--","0"
"2021","Unintentional","85+","--","6,041,214","--","--","--"
"2021","Homicide","0 to 4","87","18,850,308","0.46","--","5,471"
"2021","Homicide","5 to 9","105","20,307,666","0.52","--","6,096"
"2021","Homicide","10 to 14","254","21,464,574","1.18","--","13,205"
"2021","Homicide","15 to 19","2,611","21,579,325","12.10","--","123,864"
"2021","Homicide","20 to 24","3,596","21,542,729","16.69","--","154,814"
"2021","Homicide","25 to 29","3,594","22,405,708","16.04","--","136,367"
"2021","Homicide","30 to 34","3,085","23,114,283","13.35","--","102,343"
"2021","Homicide","35 to 39","2,255","22,310,911","10.11","--","63,274"
"2021","Homicide","40 to 44","1,676","21,110,273","7.94","--","38,797"
"2021","Homicide","45 to 49","1,154","19,788,026","5.83","--","20,780"
"2021","Homicide","50 to 54","870","20,905,254","4.16","--","11,412"
"2021","Homicide","55 to 59","630","21,566,504","2.92","--","5,113"
"2021","Homicide","60 to 64","466","21,218,670","2.20","--","1,500"
"2021","Homicide","65 to 69","244","18,371,487","1.33","--","0"
"2021","Homicide","70 to 74","169","15,261,391","1.11","--","0"
"2021","Homicide","75 to 79","74","9,902,476","0.75","--","0"
"2021","Homicide","80 to 84","41","6,308,178","0.65","--","0"
"2021","Homicide","85+","47","6,041,214","0.78","--","0"
"2021","Legal Intervention","10 to 14","--","21,464,574","--","--","--"
"2021","Legal Intervention","15 to 19","11**","21,579,325","0.05**","--","518"
"2021","Legal Intervention","20 to 24","59","21,542,729","0.27","--","2,513"
"2021","Legal Intervention","25 to 29","83","22,405,708","0.37","--","3,140"
"2021","Legal Intervention","30 to 34","116","23,114,283","0.50","--","3,804"
"2021","Legal Intervention","35 to 39","88","22,310,911","0.39","--","2,478"
"2021","Legal Intervention","40 to 44","59","21,110,273","0.28","--","1,381"
"2021","Legal Intervention","45 to 49","35","19,788,026","0.18","--","628"
"2021","Legal Intervention","50 to 54","34","20,905,254","0.16","--","453"
"2021","Legal Intervention","55 to 59","17**","21,566,504","0.08**","--","133"
"2021","Legal Intervention","60 to 64","17**","21,218,670","0.08**","--","68"
"2021","Legal Intervention","65 to 69","--","18,371,487","--","--","--"
"2021","Legal Intervention","70 to 74","--","15,261,391","--","--","--"
"2021","Legal Intervention","75 to 79","--","9,902,476","--","--","--"
"2021","Legal Intervention","80 to 84","--","6,308,178","--","--","--"
"2021","Legal Intervention","85+","--","6,041,214","--","--","--"
"2021","Suicide","5 to 9","--","20,307,666","--","--","--"
"2021","Suicide","10 to 14","235","21,464,574","1.10","--","12,194"
"2021","Suicide","15 to 19","1,185","21,579,325","5.49","--","56,477"
"2021","Suicide","20 to 24","2,405","21,542,729","11.16","--","103,292"
"2021","Suicide","25 to 29","2,201","22,405,708","9.82","--","83,644"
"2021","Suicide","30 to 34","2,020","23,114,283","8.74","--","66,834"
"2021","Suicide","35 to 39","1,889","22,310,911","8.47","--","52,820"
"2021","Suicide","40 to 44","1,755","21,110,273","8.31","--","40,528"
"2021","Suicide","45 to 49","1,706","19,788,026","8.62","--","30,624"
"2021","Suicide","50 to 54","2,011","20,905,254","9.62","--","26,262"
"2021","Suicide","55 to 59","2,045","21,566,504","9.48","--","16,148"
"2021","Suicide","60 to 64","1,939","21,218,670","9.14","--","5,873"
"2021","Suicide","65 to 69","1,720","18,371,487","9.36","--","0"
"2021","Suicide","70 to 74","1,710","15,261,391","11.21","--","0"
"2021","Suicide","75 to 79","1,385","9,902,476","13.99","--","0"
"2021","Suicide","80 to 84","1,085","6,308,178","17.20","--","0"
"2021","Suicide","85+","1,035","6,041,214","17.13","--","0"
"2021","Suicide","Unknown","--","--","--","--","--"
"2021","Undetermined","0 to 4","12**","18,850,308","0.06**","--","753"
"2021","Undetermined","5 to 9","--","20,307,666","--","--","--"
"2021","Undetermined","10 to 14","15**","21,464,574","0.07**","--","789"
"2021","Undetermined","15 to 19","59","21,579,325","0.27","--","2,818"
"2021","Undetermined","20 to 24","81","21,542,729","0.38","--","3,493"
"2021","Undetermined","25 to 29","62","22,405,708","0.28","--","2,387"
"2021","Undetermined","30 to 34","36","23,114,283","0.16","--","1,191"
"2021","Undetermined","35 to 39","35","22,310,911","0.16","--","979"
"2021","Undetermined","40 to 44","29","21,110,273","0.14","--","663"
"2021","Undetermined","45 to 49","20**","19,788,026","0.10**","--","355"
"2021","Undetermined","50 to 54","22","20,905,254","0.11","--","293"
"2021","Undetermined","55 to 59","15**","21,566,504","0.07**","--","121"
"2021","Undetermined","60 to 64","16**","21,218,670","0.08**","--","50"
"2021","Undetermined","65 to 69","12**","18,371,487","0.07**","--","0"
"2021","Undetermined","70 to 74","12**","15,261,391","0.08**","--","0"
"2021","Undetermined","75 to 79","12**","9,902,476","0.12**","--","0"
"2021","Undetermined","80 to 84","--","6,308,178","--","--","--"
"2021","Undetermined","85+","--","6,041,214","--","--","--"
"2020","Unintentional","0 to 4","41","19,291,875","0.21","--","2,553"
"2020","Unintentional","5 to 9","22","20,345,136","0.11","--","1,287"
"2020","Unintentional","10 to 14","30","21,694,336","0.14","--","1,568"
"2020","Unintentional","15 to 19","56","21,542,085","0.26","--","2,670"
"2020","Unintentional","20 to 24","73","21,473,625","0.34","--","3,155"
"2020","Unintentional","25 to 29","50","22,801,499","0.22","--","1,901"
"2020","Unintentional","30 to 34","42","22,875,009","0.18","--","1,393"
"2020","Unintentional","35 to 39","38","22,232,820","0.17","--","1,057"
"2020","Unintentional","40 to 44","27","20,670,615","0.13","--","621"
"2020","Unintentional","45 to 49","26","20,317,691","0.13","--","463"
"2020","Unintentional","50 to 54","22","20,778,385","0.11","--","292"
"2020","Unintentional","55 to 59","37","22,026,763","0.17","--","301"
"2020","Unintentional","60 to 64","16**","21,024,533","0.08**","--","58"
"2020","Unintentional","65 to 69","20**","17,994,296","0.11**","--","0"
"2020","Unintentional","70 to 74","14**","14,574,985","0.10**","--","0"
"2020","Unintentional","75 to 79","10**","9,661,327","0.10**","--","0"
"2020","Unintentional","80 to 84","--","6,160,937","--","--","--"
"2020","Unintentional","85+","--","6,061,016","--","--","--"
"2020","Homicide","0 to 4","85","19,291,875","0.44","--","5,326"
"2020","Homicide","5 to 9","91","20,345,136","0.45","--","5,278"
"2020","Homicide","10 to 14","218","21,694,336","1.01","--","11,416"
"2020","Homicide","15 to 19","2,417","21,542,085","11.22","--","114,508"
"2020","Homicide","20 to 24","3,549","21,473,625","16.53","--","152,750"
"2020","Homicide","25 to 29","3,401","22,801,499","14.92","--","129,178"
"2020","Homicide","30 to 34","2,757","22,875,009","12.05","--","91,364"
"2020","Homicide","35 to 39","2,095","22,232,820","9.42","--","58,806"
"2020","Homicide","40 to 44","1,445","20,670,615","6.99","--","33,490"
"2020","Homicide","45 to 49","1,042","20,317,691","5.13","--","18,787"
"2020","Homicide","50 to 54","741","20,778,385","3.57","--","9,735"
"2020","Homicide","55 to 59","584","22,026,763","2.65","--","4,757"
"2020","Homicide","60 to 64","408","21,024,533","1.94","--","1,302"
"2020","Homicide","65 to 69","229","17,994,296","1.27","--","0"
"2020","Homicide","70 to 74","124","14,574,985","0.85","--","0"
"2020","Homicide","75 to 79","101","9,661,327","1.05","--","0"
"2020","Homicide","80 to 84","51","6,160,937","0.83","--","0"
"2020","Homicide","85+","45","6,061,016","0.74","--","0"
"2020","Homicide","Unknown","--","--","--","--","--"
"2020","Legal Intervention","15 to 19","25","21,542,085","0.12","--","1,168"
"2020","Legal Intervention","20 to 24","50","21,473,625","0.23","--","2,132"
"2020","Legal Intervention","25 to 29","93","22,801,499","0.41","--","3,539"
"2020","Legal Intervention","30 to 34","116","22,875,009","0.51","--","3,847"
"2020","Legal Intervention","35 to 39","90","22,232,820","0.41","--","2,521"
"2020","Legal Intervention","40 to 44","67","20,670,615","0.32","--","1,550"
"2020","Legal Intervention","45 to 49","61","20,317,691","0.30","--","1,095"
"2020","Legal Intervention","50 to 54","33","20,778,385","0.16","--","446"
"2020","Legal Intervention","55 to 59","31","22,026,763","0.14","--","244"
"2020","Legal Intervention","60 to 64","22","21,024,533","0.11","--","81"
"2020","Legal Intervention","65 to 69","11**","17,994,296","0.06**","--","0"
"2020","Legal Intervention","70 to 74","--","14,574,985","--","--","--"
"2020","Legal Intervention","75 to 79","--","9,661,327","--","--","--"
"2020","Legal Intervention","80 to 84","--","6,160,937","--","--","--"
"2020","Suicide","10 to 14","224","21,694,336","1.03","--","11,620"
"2020","Suicide","15 to 19","1,069","21,542,085","4.96","--","50,878"
"2020","Suicide","20 to 24","2,104","21,473,625","9.80","--","90,166"
"2020","Suicide","25 to 29","2,043","22,801,499","8.96","--","77,773"
"2020","Suicide","30 to 34","1,858","22,875,009","8.12","--","61,507"
"2020","Suicide","35 to 39","1,640","22,232,820","7.38","--","45,881"
"2020","Suicide","40 to 44","1,575","20,670,615","7.62","--","36,341"
"2020","Suicide","45 to 49","1,676","20,317,691","8.25","--","29,976"
"2020","Suicide","50 to 54","1,742","20,778,385","8.38","--","22,565"
"2020","Suicide","55 to 59","1,983","22,026,763","9.00","--","15,718"
"2020","Suicide","60 to 64","1,906","21,024,533","9.07","--","5,750"
"2020","Suicide","65 to 69","1,618","17,994,296","8.99","--","0"
"2020","Suicide","70 to 74","1,489","14,574,985","10.22","--","0"
"2020","Suicide","75 to 79","1,319","9,661,327","13.65","--","0"
"2020","Suicide","80 to 84","1,018","6,160,937","16.52","--","0"
"2020","Suicide","85+","1,028","6,061,016","16.96","--","0"
"2020","Undetermined","0 to 4","--","19,291,875","--","--","--"
"2020","Undetermined","5 to 9","--","20,345,136","--","--","--"
"2020","Undetermined","10 to 14","22","21,694,336","0.10","--","1,151"
"2020","Undetermined","15 to 19","50","21,542,085","0.23","--","2,364"
"2020","Undetermined","20 to 24","53","21,473,625","0.25","--","2,271"
"2020","Undetermined","25 to 29","51","22,801,499","0.22","--","1,939"
"2020","Undetermined","30 to 34","30","22,875,009","0.13","--","1,001"
"2020","Undetermined","35 to 39","30","22,232,820","0.14","--","847"
"2020","Undetermined","40 to 44","32","20,670,615","0.16","--","749"
"2020","Undetermined","45 to 49","19**","20,317,691","0.09**","--","346"
"2020","Undetermined","50 to 54","26","20,778,385","0.13","--","336"
"2020","Undetermined","55 to 59","19**","22,026,763","0.09**","--","149"
"2020","Undetermined","60 to 64","15**","21,024,533","0.07**","--","54"
"2020","Undetermined","65 to 69","17**","17,994,296","0.09**","--","0"
"2020","Undetermined","70 to 74","--","14,574,985","--","--","--"
"2020","Undetermined","75 to 79","--","9,661,327","--","--","--"
"2020","Undetermined","80 to 84","--","6,160,937","--","--","--"
"2020","Undetermined","85+","--","6,061,016","--","--","--"
"2019","Unintentional","0 to 4","26","19,571,339","0.13","--","1,626"
"2019","Unintentional","5 to 9","--","20,221,753","--","--","--"
"2019","Unintentional","10 to 14","16**","20,820,053","0.08**","--","841"
"2019","Unintentional","15 to 19","66","21,066,423","0.31","--","3,155"
"2019","Unintentional","20 to 24","62","21,643,974","0.29","--","2,666"
"2019","Unintentional","25 to 29","39","23,539,452","0.17","--","1,507"
"2019","Unintentional","30 to 34","35","22,464,232","0.16","--","1,174"
"2019","Unintentional","35 to 39","31","21,753,883","0.14","--","867"
"2019","Unintentional","40 to 44","26","19,920,561","0.13","--","600"
"2019","Unintentional","45 to 49","29","20,390,439","0.14","--","505"
"2019","Unintentional","50 to 54","34","20,469,884","0.17","--","437"
"2019","Unintentional","55 to 59","27","21,871,091","0.12","--","218"
"2019","Unintentional","60 to 64","24","20,560,134","0.12","--","75"
"2019","Unintentional","65 to 69","12**","17,444,367","0.07**","--","0"
"2019","Unintentional","70 to 74","14**","14,026,977","0.10**","--","0"
"2019","Unintentional","75 to 79","16**","9,650,824","0.17**","--","0"
"2019","Unintentional","80 to 84","13**","6,315,100","0.21**","--","0"
"2019","Unintentional","85+","--","6,599,467","--","--","--"
"2019","Homicide","0 to 4","57","19,571,339","0.29","--","3,590"
"2019","Homicide","5 to 9","68","20,221,753","0.34","--","3,942"
"2019","Homicide","10 to 14","144","20,820,053","0.69","--","7,534"
"2019","Homicide","15 to 19","1,754","21,066,423","8.33","--","83,022"
"2019","Homicide","20 to 24","2,585","21,643,974","11.94","--","111,157"
"2019","Homicide","25 to 29","2,510","23,539,452","10.66","--","95,426"
"2019","Homicide","30 to 34","1,988","22,464,232","8.85","--","65,936"
"2019","Homicide","35 to 39","1,511","21,753,883","6.95","--","42,463"
"2019","Homicide","40 to 44","1,149","19,920,561","5.77","--","26,631"
"2019","Homicide","45 to 49","808","20,390,439","3.96","--","14,628"
"2019","Homicide","50 to 54","551","20,469,884","2.69","--","7,187"
"2019","Homicide","55 to 59","512","21,871,091","2.34","--","4,119"
"2019","Homicide","60 to 64","312","20,560,134","1.52","--","1,010"
"2019","Homicide","65 to 69","180","17,444,367","1.03","--","0"
"2019","Homicide","70 to 74","134","14,026,977","0.96","--","0"
"2019","Homicide","75 to 79","78","9,650,824","0.81","--","0"
"2019","Homicide","80 to 84","36","6,315,100","0.57","--","0"
"2019","Homicide","85+","36","6,599,467","0.55","--","0"
"2019","Homicide","Unknown","--","--","--","--","--"
"2019","Legal Intervention","15 to 19","19**","21,066,423","0.09**","--","898"
"2019","Legal Intervention","20 to 24","51","21,643,974","0.24","--","2,196"
"2019","Legal Intervention","25 to 29","85","23,539,452","0.36","--","3,220"
"2019","Legal Intervention","30 to 34","91","22,464,232","0.41","--","2,990"
"2019","Legal Intervention","35 to 39","65","21,753,883","0.30","--","1,827"
"2019","Legal Intervention","40 to 44","57","19,920,561","0.29","--","1,327"
"2019","Legal Intervention","45 to 49","54","20,390,439","0.27","--","976"
"2019","Legal Intervention","50 to 54","34","20,469,884","0.17","--","446"
"2019","Legal Intervention","55 to 59","33","21,871,091","0.15","--","264"
"2019","Legal Intervention","60 to 64","16**","20,560,134","0.08**","--","49"
"2019","Legal Intervention","65 to 69","--","17,444,367","--","--","--"
"2019","Legal Intervention","70 to 74","--","14,026,977","--","--","--"
"2019","Legal Intervention","75 to 79","--","9,650,824","--","--","--"
"2019","Legal Intervention","80 to 84","--","6,315,100","--","--","--"
"2019","Suicide","10 to 14","172","20,820,053","0.83","--","8,910"
"2019","Suicide","15 to 19","995","21,066,423","4.72","--","47,387"
"2019","Suicide","20 to 24","1,805","21,643,974","8.34","--","77,474"
"2019","Suicide","25 to 29","1,826","23,539,452","7.76","--","69,415"
"2019","Suicide","30 to 34","1,681","22,464,232","7.48","--","55,567"
"2019","Suicide","35 to 39","1,625","21,753,883","7.47","--","45,367"
"2019","Suicide","40 to 44","1,562","19,920,561","7.84","--","35,886"
"2019","Suicide","45 to 49","1,780","20,390,439","8.73","--","31,895"
"2019","Suicide","50 to 54","1,836","20,469,884","8.97","--","23,810"
