"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","Utah","--","22,191","--","--","--"
"2020","Vermont","--","4,945","--","--","--"
"2020","Virginia","279","798,318","34.95","33.68","9,908"
"2020","Washington","49","170,545","28.73","26.80","1,810"
"2020","West Virginia","--","34,695","--","--","--"
"2020","Wisconsin","136","187,135","72.68","68.54","4,846"
"2020","Wyoming","0**","3,622","0.00**","0.00**","--"
"2019","Alabama","303","603,170","50.24","50.05","10,009"
"2019","Alaska","--","13,579","--","--","--"
"2019","Arizona","38","169,399","22.43","20.28","1,333"
"2019","Arkansas","111","221,714","50.06","49.18","3,573"
"2019","California","334","1,102,291","30.30","28.37","10,825"
"2019","Colorado","30","124,911","24.02","22.68","994"
"2019","Connecticut","34","176,007","19.32","17.94","1,148"
"2019","Delaware","32","101,272","31.60","31.41","1,103"
"2019","District of Columbia","119","142,272","83.64","78.41","4,460"
"2019","Florida","533","1,607,251","33.16","31.28","18,474"
"2019","Georgia","457","1,570,444","29.10","27.22","15,832"
"2019","Hawaii","0**","16,836","0.00**","0.00**","--"
"2019","Idaho","--","7,617","--","--","--"
"2019","Illinois","547","838,656","65.22","61.30","20,044"
"2019","Indiana","204","312,521","65.28","60.22","7,558"
"2019","Iowa","16**","65,804","24.32**","20.38**","615"
"2019","Kansas","29","86,673","33.46","29.05","1,041"
"2019","Kentucky","91","182,771","49.79","44.55","3,302"
"2019","Louisiana","382","712,954","53.58","52.30","12,699"
"2019","Maine","--","12,097","--","--","--"
"2019","Maryland","390","846,784","46.06","44.03","13,718"
"2019","Massachusetts","39","245,567","15.88","14.26","1,266"
"2019","Michigan","315","652,101","48.31","46.48","10,668"
"2019","Minnesota","51","196,952","25.90","22.90","1,928"
"2019","Mississippi","243","524,037","46.37","44.89","8,249"
"2019","Missouri","337","337,553","99.84","96.02","11,452"
"2019","Montana","0**","3,412","0.00**","0.00**","--"
"2019","Nebraska","14**","48,861","28.65**","24.22**","567"
"2019","Nevada","28","142,438","19.66","19.51","909"
"2019","New Hampshire","0**","11,268","0.00**","0.00**","--"
"2019","New Jersey","145","543,607","26.67","25.39","5,131"
"2019","New Mexico","11**","22,683","48.49**","43.40**","388"
"2019","New York","195","1,307,632","14.91","14.13","6,771"
"2019","North Carolina","339","1,047,066","32.38","30.90","11,769"
"2019","North Dakota","0**","14,146","0.00**","0.00**","--"
"2019","Ohio","354","710,822","49.80","47.74","12,439"
"2019","Oklahoma","82","146,389","56.02","53.37","2,739"
"2019","Oregon","--","44,383","--","--","--"
"2019","Pennsylvania","352","668,977","52.62","48.71","12,274"
"2019","Rhode Island","--","32,060","--","--","--"
"2019","South Carolina","282","634,952","44.41","43.09","9,820"
"2019","South Dakota","--","11,670","--","--","--"
"2019","Tennessee","276","538,464","51.26","48.22","9,775"
"2019","Texas","483","1,698,834","28.43","26.54","16,492"
"2019","Utah","--","21,164","--","--","--"
"2019","Vermont","--","4,660","--","--","--"
"2019","Virginia","208","784,927","26.50","25.41","7,280"
"2019","Washington","36","164,143","21.93","19.74","1,256"
"2019","West Virginia","--","33,982","--","--","--"
"2019","Wisconsin","71","183,594","38.67","38.54","2,340"
"2019","Wyoming","--","3,683","--","--","--"
"2018","Alabama","293","601,843","48.68","46.87","10,028"
"2018","Alaska","--","13,809","--","--","--"
"2018","Arizona","44","163,430","26.92","24.41","1,482"
"2018","Arkansas","110","221,120","49.75","48.64","3,539"
"2018","California","283","1,102,222","25.68","23.85","9,158"
"2018","Colorado","40","122,904","32.55","28.46","1,449"
"2018","Connecticut","30","173,956","17.25","16.20","1,088"
"2018","Delaware","30","99,583","30.13","31.35","1,041"
"2018","District of Columbia","100","143,849","69.52","67.44","3,624"
"2018","Florida","477","1,589,606","30.01","28.17","16,164"
"2018","Georgia","407","1,547,553","26.30","25.24","13,932"
"2018","Hawaii","0**","16,945","0.00**","0.00**","--"
"2018","Idaho","0**","7,329","0.00**","0.00**","--"
"2018","Illinois","564","842,060","66.98","63.23","20,242"
"2018","Indiana","201","308,036","65.25","61.04","7,157"
"2018","Iowa","10**","63,627","15.72**","13.89**","341"
"2018","Kansas","41","86,600","47.34","44.66","1,401"
"2018","Kentucky","72","180,634","39.86","36.92","2,476"
"2018","Louisiana","360","713,624","50.45","48.26","12,444"
"2018","Maine","--","11,513","--","--","--"
"2018","Maryland","335","841,986","39.79","38.31","11,186"
"2018","Massachusetts","48","241,839","19.85","16.80","1,714"
"2018","Michigan","316","652,833","48.40","46.92","10,704"
"2018","Minnesota","31","189,723","16.34","14.86","1,187"
"2018","Mississippi","209","525,173","39.80","38.56","7,150"
"2018","Missouri","310","337,662","91.81","87.64","10,540"
"2018","Montana","0**","3,337","0.00**","0.00**","--"
"2018","Nebraska","--","48,138","--","--","--"
"2018","Nevada","53","137,844","38.45","37.32","1,794"
"2018","New Hampshire","0**","10,810","0.00**","0.00**","--"
"2018","New Jersey","144","542,058","26.57","25.24","4,933"
"2018","New Mexico","11**","22,106","49.76**","46.33**","340"
"2018","New York","200","1,313,577","15.23","14.22","7,084"
"2018","North Carolina","283","1,037,391","27.28","25.88","9,908"
"2018","North Dakota","0**","13,839","0.00**","0.00**","--"
"2018","Ohio","322","705,780","45.62","44.69","10,628"
"2018","Oklahoma","57","145,506","39.17","36.01","1,808"
"2018","Oregon","--","43,413","--","--","--"
"2018","Pennsylvania","350","667,499","52.44","47.21","12,513"
"2018","Rhode Island","--","31,645","--","--","--"
"2018","South Carolina","226","631,849","35.77","35.02","7,812"
"2018","South Dakota","--","11,235","--","--","--"
"2018","Tennessee","289","535,716","53.95","50.33","10,379"
"2018","Texas","410","1,667,903","24.58","22.60","13,854"
"2018","Utah","--","20,395","--","--","--"
"2018","Vermont","0**","4,489","0.00**","0.00**","--"
"2018","Virginia","189","779,828","24.24","23.15","6,479"
"2018","Washington","28","159,348","17.57","15.31","1,027"
"2018","West Virginia","11**","33,940","32.41**","26.82**","365"
"2018","Wisconsin","82","182,946","44.82","43.34","2,875"
"2018","Wyoming","0**","3,715","0.00**","0.00**","--"
"Total","","36,149","79,430,199","45.51","43.08","1,249,040"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2018 to 2021","","","","","",""
"Geography: United States","","","","","",""
"Intent: Homicide","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: All Ages","","","","","",""
"Sex: Males","","","","","",""
"Race: Black","","","","","",""
"Ethnicity: Non-Hispanic","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
