"Intent","Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Unintentional","2007","North Carolina","38","9,118,037","0.42","0.42","1,151"
"Unintentional","2007","North Dakota","--","652,822","--","--","--"
"Unintentional","2007","Ohio","14**","11,500,468","0.12**","0.12**","414"
"Unintentional","2007","Oklahoma","--","3,634,349","--","--","--"
"Unintentional","2007","Oregon","--","3,722,417","--","--","--"
"Unintentional","2007","Pennsylvania","23","12,563,937","0.18","0.19","829"
"Unintentional","2007","South Carolina","14**","4,444,110","0.32**","0.33**","450"
"Unintentional","2007","South Dakota","--","791,623","--","--","--"
"Unintentional","2007","Tennessee","22","6,175,727","0.36","0.35","529"
"Unintentional","2007","Texas","78","23,831,983","0.33","0.33","2,357"
"Unintentional","2007","Utah","--","2,597,746","--","--","--"
"Unintentional","2007","Virginia","10**","7,751,000","0.13**","0.13**","354"
"Unintentional","2007","Washington","--","6,461,587","--","--","--"
"Unintentional","2007","West Virginia","13**","1,834,052","0.71**","0.68**","285"
"Unintentional","2007","Wisconsin","--","5,610,775","--","--","--"
"Unintentional","2006","Alabama","37","4,628,981","0.80","0.80","995"
"Unintentional","2006","Alaska","--","675,150","--","--","--"
"Unintentional","2006","Arizona","--","6,029,141","--","--","--"
"Unintentional","2006","Arkansas","12**","2,821,761","0.43**","0.41**","190"
"Unintentional","2006","California","68","36,021,202","0.19","0.18","2,475"
"Unintentional","2006","Colorado","--","4,720,423","--","--","--"
"Unintentional","2006","Connecticut","--","3,517,460","--","--","--"
"Unintentional","2006","District of Columbia","--","570,681","--","--","--"
"Unintentional","2006","Florida","25","18,166,990","0.14","0.14","863"
"Unintentional","2006","Georgia","20**","9,155,813","0.22**","0.23**","589"
"Unintentional","2006","Hawaii","--","1,309,731","--","--","--"
"Unintentional","2006","Idaho","--","1,468,669","--","--","--"
"Unintentional","2006","Illinois","24","12,643,955","0.19","0.19","691"
"Unintentional","2006","Indiana","20**","6,332,669","0.32**","0.31**","632"
"Unintentional","2006","Iowa","--","2,982,644","--","--","--"
"Unintentional","2006","Kansas","--","2,762,931","--","--","--"
"Unintentional","2006","Kentucky","23","4,219,239","0.55","0.55","541"
"Unintentional","2006","Louisiana","47","4,302,665","1.09","1.08","1,110"
"Unintentional","2006","Maryland","--","5,627,367","--","--","--"
"Unintentional","2006","Massachusetts","--","6,410,084","--","--","--"
"Unintentional","2006","Michigan","11**","10,036,081","0.11**","0.11**","372"
"Unintentional","2006","Minnesota","--","5,163,555","--","--","--"
"Unintentional","2006","Mississippi","20**","2,904,978","0.69**","0.67**","836"
"Unintentional","2006","Missouri","20**","5,842,704","0.34**","0.34**","590"
"Unintentional","2006","Montana","--","952,692","--","--","--"
"Unintentional","2006","Nebraska","--","1,772,693","--","--","--"
"Unintentional","2006","Nevada","--","2,522,658","--","--","--"
"Unintentional","2006","New Hampshire","--","1,308,389","--","--","--"
"Unintentional","2006","New Jersey","14**","8,661,679","0.16**","0.16**","351"
"Unintentional","2006","New Mexico","--","1,962,137","--","--","--"
"Unintentional","2006","New York","12**","19,104,631","0.06**","0.06**","291"
"Unintentional","2006","North Carolina","19**","8,917,270","0.21**","0.20**","519"
"Unintentional","2006","North Dakota","--","649,422","--","--","--"
"Unintentional","2006","Ohio","25","11,481,213","0.22","0.22","810"
"Unintentional","2006","Oklahoma","--","3,594,090","--","--","--"
"Unintentional","2006","Oregon","--","3,670,883","--","--","--"
"Unintentional","2006","Pennsylvania","30","12,510,809","0.24","0.24","997"
"Unintentional","2006","Rhode Island","--","1,063,096","--","--","--"
"Unintentional","2006","South Carolina","17**","4,357,847","0.39**","0.38**","456"
"Unintentional","2006","South Dakota","--","783,033","--","--","--"
"Unintentional","2006","Tennessee","30","6,088,766","0.49","0.49","812"
"Unintentional","2006","Texas","45","23,359,580","0.19","0.19","1,476"
"Unintentional","2006","Utah","--","2,525,507","--","--","--"
"Unintentional","2006","Vermont","0**","622,892","0.00**","0.00**","--"
"Unintentional","2006","Virginia","13**","7,673,725","0.17**","0.17**","465"
"Unintentional","2006","Washington","--","6,370,753","--","--","--"
"Unintentional","2006","West Virginia","13**","1,827,912","0.71**","0.68**","228"
"Unintentional","2006","Wisconsin","--","5,577,655","--","--","--"
"Unintentional","2006","Wyoming","--","522,667","--","--","--"
"Unintentional","2005","Alabama","37","4,569,805","0.81","0.80","1,012"
"Unintentional","2005","Alaska","--","666,835","--","--","--"
"Unintentional","2005","Arizona","15**","5,839,077","0.26**","0.27**","386"
"Unintentional","2005","Arkansas","14**","2,781,097","0.50**","0.52**","520"
"Unintentional","2005","California","146","35,827,943","0.41","0.40","4,272"
"Unintentional","2005","Colorado","--","4,631,888","--","--","--"
"Unintentional","2005","Connecticut","--","3,506,956","--","--","--"
"Unintentional","2005","District of Columbia","--","567,136","--","--","--"
"Unintentional","2005","Florida","23","17,842,038","0.13","0.13","707"
"Unintentional","2005","Georgia","16**","8,925,922","0.18**","0.17**","514"
"Unintentional","2005","Idaho","--","1,428,241","--","--","--"
"Unintentional","2005","Illinois","21","12,609,903","0.17","0.17","617"
"Unintentional","2005","Indiana","13**","6,278,616","0.21**","0.20**","349"
"Unintentional","2005","Iowa","--","2,964,454","--","--","--"
"Unintentional","2005","Kansas","--","2,745,299","--","--","--"
"Unintentional","2005","Kentucky","16**","4,182,742","0.38**","0.39**","397"
"Unintentional","2005","Louisiana","38","4,576,628","0.83","0.81","1,058"
"Unintentional","2005","Maine","--","1,318,787","--","--","--"
"Unintentional","2005","Maryland","--","5,592,379","--","--","--"
"Unintentional","2005","Massachusetts","--","6,403,290","--","--","--"
"Unintentional","2005","Michigan","15**","10,051,137","0.15**","0.15**","341"
"Unintentional","2005","Minnesota","--","5,119,598","--","--","--"
"Unintentional","2005","Mississippi","20**","2,905,943","0.69**","0.69**","702"
"Unintentional","2005","Missouri","23","5,790,300","0.40","0.40","795"
"Unintentional","2005","Montana","--","940,102","--","--","--"
"Unintentional","2005","Nebraska","--","1,761,497","--","--","--"
"Unintentional","2005","Nevada","--","2,432,143","--","--","--"
"Unintentional","2005","New Hampshire","--","1,298,492","--","--","--"
"Unintentional","2005","New Jersey","--","8,651,974","--","--","--"
"Unintentional","2005","New Mexico","--","1,932,274","--","--","--"
"Unintentional","2005","New York","33","19,132,610","0.17","0.17","852"
"Unintentional","2005","North Carolina","27","8,705,407","0.31","0.31","802"
"Unintentional","2005","North Dakota","--","646,089","--","--","--"
"Unintentional","2005","Ohio","24","11,463,320","0.21","0.21","869"
"Unintentional","2005","Oklahoma","16**","3,548,597","0.45**","0.45**","319"
"Unintentional","2005","Oregon","--","3,613,202","--","--","--"
"Unintentional","2005","Pennsylvania","32","12,449,990","0.26","0.26","816"
"Unintentional","2005","Rhode Island","--","1,067,916","--","--","--"
"Unintentional","2005","South Carolina","34","4,270,150","0.80","0.79","938"
"Unintentional","2005","South Dakota","--","775,493","--","--","--"
"Unintentional","2005","Tennessee","36","5,991,057","0.60","0.60","1,017"
"Unintentional","2005","Texas","62","22,778,123","0.27","0.27","1,867"
"Unintentional","2005","Utah","--","2,457,719","--","--","--"
"Unintentional","2005","Virginia","--","7,577,105","--","--","--"
"Unintentional","2005","Washington","10**","6,257,305","0.16**","0.16**","268"
"Unintentional","2005","West Virginia","13**","1,820,492","0.71**","0.70**","269"
"Unintentional","2005","Wisconsin","--","5,546,166","--","--","--"
"Unintentional","2005","Wyoming","--","514,157","--","--","--"
"Unintentional","2004","Alabama","31","4,530,729","0.68","0.69","1,024"
"Unintentional","2004","Alaska","0**","659,199","0.00**","0.00**","--"
"Unintentional","2004","Arizona","14**","5,652,404","0.25**","0.26**","518"
"Unintentional","2004","Arkansas","16**","2,749,686","0.58**","0.57**","390"
"Unintentional","2004","California","50","35,574,576","0.14","0.14","1,635"
"Unintentional","2004","Colorado","--","4,575,013","--","--","--"
"Unintentional","2004","Connecticut","--","3,496,094","--","--","--"
"Unintentional","2004","Delaware","--","830,803","--","--","--"
"Unintentional","2004","District of Columbia","--","567,754","--","--","--"
"Unintentional","2004","Florida","21","17,415,318","0.12","0.12","661"
"Unintentional","2004","Georgia","24","8,769,252","0.27","0.28","560"
"Unintentional","2004","Idaho","--","1,391,802","--","--","--"
"Unintentional","2004","Illinois","18**","12,589,773","0.14**","0.14**","455"
"Unintentional","2004","Indiana","14**","6,233,007","0.23**","0.22**","530"
"Unintentional","2004","Iowa","--","2,953,635","--","--","--"
"Unintentional","2004","Kansas","--","2,734,373","--","--","--"
"Unintentional","2004","Kentucky","16**","4,146,101","0.39**","0.38**","313"
"Unintentional","2004","Louisiana","41","4,552,238","0.90","0.88","1,070"
"Unintentional","2004","Maine","0**","1,313,688","0.00**","0.00**","--"
"Unintentional","2004","Maryland","11**","5,546,935","0.20**","0.20**","366"
"Unintentional","2004","Massachusetts","--","6,412,281","--","--","--"
"Unintentional","2004","Michigan","14**","10,055,315","0.14**","0.14**","592"
"Unintentional","2004","Minnesota","--","5,087,713","--","--","--"
"Unintentional","2004","Mississippi","18**","2,889,010","0.62**","0.64**","514"
"Unintentional","2004","Missouri","16**","5,747,741","0.28**","0.27**","449"
"Unintentional","2004","Montana","--","930,009","--","--","--"
"Unintentional","2004","Nebraska","--","1,749,370","--","--","--"
"Unintentional","2004","Nevada","--","2,346,222","--","--","--"
"Unintentional","2004","New Hampshire","--","1,290,121","--","--","--"
"Unintentional","2004","New Jersey","10**","8,634,561","0.12**","0.12**","322"
"Unintentional","2004","New Mexico","--","1,903,808","--","--","--"
"Unintentional","2004","New York","22","19,171,567","0.12","0.12","538"
"Unintentional","2004","North Carolina","23","8,553,152","0.27","0.27","712"
"Unintentional","2004","North Dakota","--","644,705","--","--","--"
"Unintentional","2004","Ohio","20**","11,452,251","0.18**","0.17**","670"
"Unintentional","2004","Oklahoma","10**","3,525,233","0.28**","0.28**","264"
"Unintentional","2004","Oregon","10**","3,569,463","0.28**","0.28**","265"
"Unintentional","2004","Pennsylvania","26","12,410,722","0.21","0.21","694"
"Unintentional","2004","Rhode Island","0**","1,074,579","0.00**","0.00**","--"
"Unintentional","2004","South Carolina","17**","4,210,921","0.40**","0.41**","586"
"Unintentional","2004","South Dakota","--","770,396","--","--","--"
"Unintentional","2004","Tennessee","38","5,910,809","0.64","0.65","972"
"Unintentional","2004","Texas","63","22,394,023","0.28","0.28","1,691"
"Unintentional","2004","Utah","--","2,401,580","--","--","--"
"Unintentional","2004","Vermont","--","619,920","--","--","--"
"Unintentional","2004","Virginia","16**","7,475,575","0.21**","0.21**","521"
"Unintentional","2004","Washington","12**","6,178,645","0.19**","0.19**","404"
"Unintentional","2004","West Virginia","--","1,816,438","--","--","--"
"Unintentional","2004","Wisconsin","--","5,514,026","--","--","--"
"Unintentional","2004","Wyoming","--","509,106","--","--","--"
"Unintentional","2003","Alabama","38","4,503,491","0.84","0.83","1,091"
"Unintentional","2003","Alaska","--","648,326","--","--","--"
"Unintentional","2003","Arizona","12**","5,510,364","0.22**","0.21**","306"
"Unintentional","2003","Arkansas","18**","2,724,816","0.66**","0.65**","593"
"Unintentional","2003","California","68","35,253,159","0.19","0.19","2,351"
"Unintentional","2003","Colorado","--","4,528,732","--","--","--"
"Unintentional","2003","Connecticut","--","3,484,336","--","--","--"
"Unintentional","2003","Delaware","--","818,003","--","--","--"
"Unintentional","2003","District of Columbia","--","568,502","--","--","--"
"Unintentional","2003","Florida","27","17,004,085","0.16","0.16","785"
"Unintentional","2003","Georgia","12**","8,622,793","0.14**","0.14**","255"
"Unintentional","2003","Hawaii","--","1,251,154","--","--","--"
"Unintentional","2003","Idaho","--","1,363,380","--","--","--"
"Unintentional","2003","Illinois","23","12,556,006","0.18","0.19","714"
"Unintentional","2003","Indiana","16**","6,196,638","0.26**","0.26**","590"
"Unintentional","2003","Iowa","--","2,941,999","--","--","--"
"Unintentional","2003","Kansas","--","2,723,004","--","--","--"
"Unintentional","2003","Kentucky","34","4,117,170","0.83","0.83","1,029"
"Unintentional","2003","Louisiana","50","4,521,042","1.11","1.08","1,336"
"Unintentional","2003","Maine","--","1,306,513","--","--","--"
"Unintentional","2003","Maryland","--","5,496,269","--","--","--"
"Unintentional","2003","Massachusetts","--","6,422,565","--","--","--"
"Unintentional","2003","Michigan","--","10,041,152","--","--","--"
"Unintentional","2003","Minnesota","--","5,053,572","--","--","--"
"Unintentional","2003","Mississippi","23","2,868,312","0.80","0.78","642"
"Unintentional","2003","Missouri","17**","5,709,403","0.30**","0.29**","434"
"Unintentional","2003","Montana","--","919,630","--","--","--"
"Unintentional","2003","Nebraska","--","1,738,643","--","--","--"
"Unintentional","2003","Nevada","--","2,248,850","--","--","--"
"Unintentional","2003","New Hampshire","--","1,279,840","--","--","--"
"Unintentional","2003","New Jersey","10**","8,601,402","0.12**","0.11**","204"
"Unintentional","2003","New Mexico","18**","1,877,574","0.96**","0.97**","463"
"Unintentional","2003","New York","22","19,175,939","0.12","0.11","622"
"Unintentional","2003","North Carolina","32","8,422,501","0.38","0.38","1,086"
"Unintentional","2003","North Dakota","--","638,817","--","--","--"
"Unintentional","2003","Ohio","21","11,434,788","0.18","0.18","569"
"Unintentional","2003","Oklahoma","15**","3,504,892","0.43**","0.46**","448"
"Unintentional","2003","Oregon","--","3,547,376","--","--","--"
"Unintentional","2003","Pennsylvania","20**","12,374,658","0.16**","0.16**","546"
"Unintentional","2003","South Carolina","24","4,150,297","0.58","0.56","671"
"Unintentional","2003","South Dakota","--","763,729","--","--","--"
"Unintentional","2003","Tennessee","37","5,847,812","0.63","0.63","879"
"Unintentional","2003","Texas","57","22,030,931","0.26","0.27","1,400"
"Unintentional","2003","Utah","--","2,360,137","--","--","--"
"Unintentional","2003","Vermont","--","617,858","--","--","--"
"Unintentional","2003","Virginia","12**","7,366,977","0.16**","0.17**","404"
"Unintentional","2003","Washington","--","6,104,115","--","--","--"
"Unintentional","2003","West Virginia","10**","1,812,295","0.55**","0.51**","270"
"Unintentional","2003","Wisconsin","11**","5,479,203","0.20**","0.21**","420"
"Unintentional","2003","Wyoming","--","503,453","--","--","--"
"Unintentional","2002","Alabama","45","4,480,089","1.00","1.00","1,380"
"Unintentional","2002","Alaska","--","642,270","--","--","--"
"Unintentional","2002","Arizona","25","5,396,255","0.46","0.46","781"
"Unintentional","2002","Arkansas","22","2,705,927","0.81","0.79","642"
"Unintentional","2002","California","44","34,871,843","0.13","0.12","1,533"
"Unintentional","2002","Colorado","--","4,490,406","--","--","--"
"Unintentional","2002","Connecticut","--","3,458,749","--","--","--"
"Unintentional","2002","Delaware","--","806,169","--","--","--"
"Unintentional","2002","District of Columbia","--","573,158","--","--","--"
"Unintentional","2002","Florida","26","16,689,370","0.16","0.16","728"
"Unintentional","2002","Georgia","19**","8,508,256","0.22**","0.23**","667"
"Unintentional","2002","Idaho","--","1,340,372","--","--","--"
"Unintentional","2002","Illinois","17**","12,525,556","0.14**","0.13**","549"
"Unintentional","2002","Indiana","24","6,155,967","0.39","0.39","814"
"Unintentional","2002","Iowa","--","2,934,234","--","--","--"
"Unintentional","2002","Kansas","--","2,713,535","--","--","--"
"Unintentional","2002","Kentucky","39","4,089,875","0.95","0.93","1,025"
"Unintentional","2002","Louisiana","47","4,497,267","1.05","1.04","1,446"
"Unintentional","2002","Maine","0**","1,295,960","0.00**","0.00**","--"
"Unintentional","2002","Maryland","--","5,440,389","--","--","--"
"Unintentional","2002","Massachusetts","--","6,417,206","--","--","--"
"Unintentional","2002","Michigan","11**","10,015,710","0.11**","0.11**","460"
"Unintentional","2002","Minnesota","--","5,018,935","--","--","--"
"Unintentional","2002","Mississippi","21","2,858,681","0.74","0.72","711"
"Unintentional","2002","Missouri","12**","5,674,825","0.21**","0.21**","320"
"Unintentional","2002","Montana","--","911,667","--","--","--"
"Unintentional","2002","Nebraska","--","1,728,292","--","--","--"
"Unintentional","2002","Nevada","--","2,173,791","--","--","--"
"Unintentional","2002","New Hampshire","--","1,269,089","--","--","--"
"Unintentional","2002","New Jersey","28","8,552,643","0.33","0.33","723"
"Unintentional","2002","New Mexico","--","1,855,309","--","--","--"
"Unintentional","2002","New York","16**","19,137,800","0.08**","0.08**","397"
"Unintentional","2002","North Carolina","26","8,326,201","0.31","0.30","603"
"Unintentional","2002","North Dakota","--","638,168","--","--","--"
"Unintentional","2002","Ohio","19**","11,407,889","0.17**","0.17**","533"
"Unintentional","2002","Oklahoma","13**","3,489,080","0.37**","0.37**","497"
"Unintentional","2002","Oregon","--","3,513,424","--","--","--"
"Unintentional","2002","Pennsylvania","25","12,331,031","0.20","0.21","824"
"Unintentional","2002","South Carolina","31","4,107,795","0.76","0.74","828"
"Unintentional","2002","South Dakota","--","760,020","--","--","--"
"Unintentional","2002","Tennessee","46","5,795,918","0.79","0.79","1,294"
"Unintentional","2002","Texas","53","21,690,325","0.24","0.25","1,498"
"Unintentional","2002","Vermont","--","615,442","--","--","--"
"Unintentional","2002","Virginia","18**","7,286,873","0.25**","0.24**","560"
"Unintentional","2002","Washington","--","6,052,349","--","--","--"
"Unintentional","2002","West Virginia","12**","1,805,414","0.67**","0.68**","311"
"Unintentional","2002","Wisconsin","--","5,445,162","--","--","--"
"Unintentional","2002","Wyoming","--","500,017","--","--","--"
"Unintentional","2001","Alabama","41","4,467,634","0.92","0.93","1,159"
"Unintentional","2001","Alaska","--","633,687","--","--","--"
"Unintentional","2001","Arizona","16**","5,273,477","0.30**","0.31**","579"
"Unintentional","2001","Arkansas","19**","2,691,571","0.71**","0.70**","577"
"Unintentional","2001","California","97","34,479,458","0.28","0.28","2,739"
"Unintentional","2001","Colorado","10**","4,425,687","0.23**","0.24**","300"
"Unintentional","2001","Connecticut","--","3,432,835","--","--","--"
"Unintentional","2001","Delaware","--","795,699","--","--","--"
"Unintentional","2001","District of Columbia","--","574,504","--","--","--"
"Unintentional","2001","Florida","23","16,356,966","0.14","0.14","581"
"Unintentional","2001","Georgia","23","8,377,038","0.28","0.27","789"
"Unintentional","2001","Hawaii","--","1,225,948","--","--","--"
"Unintentional","2001","Idaho","--","1,319,962","--","--","--"
"Unintentional","2001","Illinois","20**","12,488,445","0.16**","0.16**","588"
"Unintentional","2001","Indiana","21","6,127,760","0.34","0.34","710"
"Unintentional","2001","Iowa","--","2,931,997","--","--","--"
"Unintentional","2001","Kansas","11**","2,702,162","0.41**","0.40**","380"
"Unintentional","2001","Kentucky","45","4,068,132","1.11","1.10","1,098"
"Unintentional","2001","Louisiana","24","4,477,875","0.54","0.54","756"
"Unintentional","2001","Maine","--","1,285,692","--","--","--"
"Unintentional","2001","Maryland","10**","5,374,691","0.19**","0.19**","307"
"Unintentional","2001","Massachusetts","--","6,397,634","--","--","--"
"Unintentional","2001","Michigan","14**","9,991,120","0.14**","0.14**","470"
"Unintentional","2001","Minnesota","--","4,982,796","--","--","--"
"Unintentional","2001","Mississippi","22","2,852,994","0.77","0.76","658"
"Unintentional","2001","Missouri","26","5,641,142","0.46","0.45","615"
"Unintentional","2001","Montana","--","906,961","--","--","--"
"Unintentional","2001","Nebraska","--","1,719,836","--","--","--"
"Unintentional","2001","Nevada","--","2,098,399","--","--","--"
"Unintentional","2001","New Hampshire","--","1,255,517","--","--","--"
"Unintentional","2001","New Jersey","11**","8,492,671","0.13**","0.13**","222"
"Unintentional","2001","New Mexico","--","1,831,690","--","--","--"
"Unintentional","2001","New York","21","19,082,838","0.11","0.11","665"
"Unintentional","2001","North Carolina","32","8,210,122","0.39","0.39","910"
"Unintentional","2001","North Dakota","0**","639,062","0.00**","0.00**","--"
"Unintentional","2001","Ohio","26","11,387,404","0.23","0.23","716"
"Unintentional","2001","Oklahoma","13**","3,467,100","0.38**","0.37**","497"
"Unintentional","2001","Oregon","18**","3,467,937","0.52**","0.51**","388"
"Unintentional","2001","Pennsylvania","23","12,298,970","0.19","0.19","762"
"Unintentional","2001","Rhode Island","--","1,057,142","--","--","--"
"Unintentional","2001","South Carolina","17**","4,064,995","0.42**","0.41**","559"
"Unintentional","2001","South Dakota","--","757,972","--","--","--"
"Unintentional","2001","Tennessee","49","5,750,789","0.85","0.85","1,365"
"Unintentional","2001","Texas","58","21,319,622","0.27","0.27","1,791"
"Unintentional","2001","Utah","--","2,283,715","--","--","--"
"Unintentional","2001","Virginia","13**","7,198,362","0.18**","0.18**","426"
"Unintentional","2001","Washington","--","5,985,722","--","--","--"
"Unintentional","2001","West Virginia","12**","1,801,481","0.67**","0.62**","282"
"Unintentional","2001","Wisconsin","15**","5,406,835","0.28**","0.27**","594"
"Homicide","2021","Alabama","650","5,039,877","12.90","13.84","21,110"
"Homicide","2021","Alaska","31","732,673","4.23","4.17","952"
"Homicide","2021","Arizona","430","7,276,316","5.91","6.24","13,758"
"Homicide","2021","Arkansas","281","3,025,891","9.29","9.83","8,970"
"Homicide","2021","California","1,861","39,237,836","4.74","4.80","59,637"
"Homicide","2021","Colorado","276","5,812,069","4.75","4.77","8,396"
"Homicide","2021","Connecticut","116","3,605,597","3.22","3.45","4,006"
"Homicide","2021","Delaware","80","1,003,384","7.97","9.05","2,784"
"Homicide","2021","District of Columbia","169","670,050","25.22","22.02","5,553"
"Homicide","2021","Florida","1,150","21,781,128","5.28","5.89","37,220"
"Homicide","2021","Georgia","1,021","10,799,566","9.45","9.63","33,148"
"Homicide","2021","Hawaii","23","1,441,553","1.60","1.58","535"
"Homicide","2021","Idaho","28","1,900,923","1.47","1.58","674"
"Homicide","2021","Illinois","1,292","12,671,469","10.20","10.70","44,518"
"Homicide","2021","Indiana","517","6,805,985","7.60","7.96","16,951"
"Homicide","2021","Iowa","64","3,193,079","2.00","2.21","2,000"
"Homicide","2021","Kansas","145","2,934,582","4.94","5.28","4,767"
"Homicide","2021","Kentucky","364","4,509,394","8.07","8.50","11,469"
"Homicide","2021","Louisiana","804","4,624,047","17.39","18.40","27,638"
"Homicide","2021","Maine","12**","1,372,247","0.87**","0.99**","325"
"Homicide","2021","Maryland","592","6,165,129","9.60","10.31","19,384"
"Homicide","2021","Massachusetts","99","6,984,723","1.42","1.44","3,259"
"Homicide","2021","Michigan","701","10,050,811","6.98","7.47","22,466"
"Homicide","2021","Minnesota","164","5,707,390","2.87","3.11","5,451"
"Homicide","2021","Mississippi","583","2,949,965","19.76","21.15","18,879"
"Homicide","2021","Missouri","609","6,168,187","9.87","10.65","19,554"
"Homicide","2021","Montana","30","1,104,271","2.72","2.92","903"
"Homicide","2021","Nebraska","46","1,963,692","2.34","2.43","1,557"
"Homicide","2021","Nevada","199","3,143,991","6.33","6.40","5,844"
"Homicide","2021","New Hampshire","--","1,388,992","--","--","--"
"Homicide","2021","New Jersey","276","9,267,130","2.98","3.26","9,339"
"Homicide","2021","New Mexico","230","2,115,877","10.87","11.66","6,998"
"Homicide","2021","New York","613","19,835,913","3.09","3.26","20,695"
"Homicide","2021","North Carolina","850","10,551,162","8.06","8.38","27,483"
"Homicide","2021","North Dakota","20**","774,948","2.58**","2.82**","503"
"Homicide","2021","Ohio","872","11,780,017","7.40","8.02","29,144"
"Homicide","2021","Oklahoma","257","3,986,639","6.45","6.80","7,965"
"Homicide","2021","Oregon","146","4,246,155","3.44","3.59","4,391"
"Homicide","2021","Pennsylvania","861","12,964,056","6.64","7.24","29,358"
"Homicide","2021","Rhode Island","27","1,095,610","2.46","2.47","934"
"Homicide","2021","South Carolina","558","5,190,705","10.75","11.64","18,553"
"Homicide","2021","South Dakota","25","895,376","2.79","2.81","763"
"Homicide","2021","Tennessee","714","6,975,218","10.24","10.89","22,849"
"Homicide","2021","Texas","1,942","29,527,941","6.58","6.61","62,962"
"Homicide","2021","Utah","70","3,337,975","2.10","2.07","2,219"
"Homicide","2021","Vermont","--","645,570","--","--","--"
"Homicide","2021","Virginia","505","8,642,274","5.84","6.08","16,310"
"Homicide","2021","Washington","254","7,738,692","3.28","3.36","7,864"
"Homicide","2021","West Virginia","86","1,782,959","4.82","5.35","2,350"
"Homicide","2021","Wisconsin","290","5,895,908","4.92","5.34","9,911"
"Homicide","2021","Wyoming","10**","578,803","1.73**","1.81**","258"
"Homicide","2020","Alabama","564","5,024,803","11.22","11.97","17,834"
"Homicide","2020","Alaska","27","732,441","3.69","3.81","800"
"Homicide","2020","Arizona","382","7,177,986","5.32","5.65","11,635"
"Homicide","2020","Arkansas","282","3,012,232","9.36","10.05","8,923"
"Homicide","2020","California","1,732","39,499,738","4.39","4.45","55,548"
"Homicide","2020","Colorado","235","5,784,308","4.06","4.07","7,402"
"Homicide","2020","Connecticut","101","3,600,260","2.81","3.02","3,328"
"Homicide","2020","Delaware","76","991,886","7.66","8.67","2,800"
"Homicide","2020","District of Columbia","157","690,093","22.75","20.84","5,547"
"Homicide","2020","Florida","1,227","21,569,932","5.69","6.36","39,866"
"Homicide","2020","Georgia","899","10,725,800","8.38","8.62","29,275"
"Homicide","2020","Hawaii","16**","1,451,911","1.10**","1.11**","355"
"Homicide","2020","Idaho","26","1,847,772","1.41","1.52","623"
"Homicide","2020","Illinois","1,167","12,785,245","9.13","9.53","40,264"
"Homicide","2020","Indiana","496","6,785,644","7.31","7.70","17,224"
"Homicide","2020","Iowa","83","3,188,669","2.60","2.82","2,800"
"Homicide","2020","Kansas","160","2,935,880","5.45","5.73","5,376"
"Homicide","2020","Kentucky","341","4,503,958","7.57","8.06","10,744"
"Homicide","2020","Louisiana","747","4,651,203","16.06","16.96","25,304"
"Homicide","2020","Maine","15**","1,362,280","1.10**","1.11**","348"
"Homicide","2020","Maryland","526","6,172,679","8.52","9.06","17,795"
"Homicide","2020","Massachusetts","130","7,022,220","1.85","1.88","4,537"
"Homicide","2020","Michigan","672","10,067,664","6.68","7.19","21,558"
"Homicide","2020","Minnesota","138","5,707,165","2.42","2.51","4,572"
"Homicide","2020","Mississippi","499","2,956,870","16.88","17.90","15,899"
"Homicide","2020","Missouri","683","6,154,481","11.10","11.91","22,598"
"Homicide","2020","Montana","33","1,086,193","3.04","3.42","1,079"
"Homicide","2020","Nebraska","49","1,961,455","2.50","2.59","1,540"
"Homicide","2020","Nevada","148","3,114,071","4.75","5.01","4,497"
"Homicide","2020","New Hampshire","--","1,377,848","--","--","--"
"Homicide","2020","New Jersey","253","9,279,743","2.73","2.97","8,623"
"Homicide","2020","New Mexico","149","2,117,566","7.04","7.45","4,474"
"Homicide","2020","New York","561","20,154,933","2.78","2.89","19,218"
"Homicide","2020","North Carolina","744","10,457,177","7.12","7.41","24,717"
"Homicide","2020","North Dakota","17**","778,962","2.18**","2.36**","473"
"Homicide","2020","Ohio","824","11,790,587","6.99","7.53","28,088"
"Homicide","2020","Oklahoma","269","3,962,031","6.79","7.13","8,034"
"Homicide","2020","Oregon","109","4,241,544","2.57","2.65","3,336"
"Homicide","2020","Pennsylvania","788","12,989,625","6.07","6.63","27,334"
"Homicide","2020","Rhode Island","22","1,096,229","2.01","2.07","740"
"Homicide","2020","South Carolina","528","5,130,729","10.29","11.04","17,653"
"Homicide","2020","South Dakota","26","887,099","2.93","3.33","929"
"Homicide","2020","Tennessee","652","6,920,119","9.42","9.91","20,900"
"Homicide","2020","Texas","1,734","29,217,653","5.94","5.96","56,851"
"Homicide","2020","Utah","75","3,281,684","2.29","2.25","2,584"
"Homicide","2020","Vermont","--","642,495","--","--","--"
"Homicide","2020","Virginia","440","8,632,044","5.10","5.27","14,558"
"Homicide","2020","Washington","211","7,718,785","2.73","2.78","6,793"
"Homicide","2020","West Virginia","87","1,789,798","4.86","5.52","2,424"
"Homicide","2020","Wisconsin","253","5,892,323","4.29","4.56","8,103"
"Homicide","2020","Wyoming","18**","577,267","3.12**","3.48**","441"
"Homicide","2019","Alabama","486","4,907,965","9.90","10.63","14,925"
"Homicide","2019","Alaska","51","733,603","6.95","7.22","1,483"
"Homicide","2019","Arizona","285","7,291,843","3.91","4.11","9,086"
