"Year","Intent","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Homicide","Black","Pennsylvania","590","1,403,451","42.04","40.36","20,151"
"2022","Homicide","Black","Rhode Island","--","68,900","--","--","--"
"2022","Homicide","Black","South Carolina","376","1,354,319","27.76","27.67","13,085"
"2022","Homicide","Black","South Dakota","--","22,206","--","--","--"
"2022","Homicide","Black","Tennessee","415","1,153,620","35.97","34.84","14,451"
"2022","Homicide","Black","Texas","754","3,741,618","20.15","19.05","25,805"
"2022","Homicide","Black","Utah","--","41,138","--","--","--"
"2022","Homicide","Black","Vermont","--","9,071","--","--","--"
"2022","Homicide","Black","Virginia","404","1,664,108","24.28","24.21","14,201"
"2022","Homicide","Black","Washington","71","323,768","21.93","20.47","2,138"
"2022","Homicide","Black","West Virginia","19**","63,933","29.72**","28.67**","617"
"2022","Homicide","Black","Wisconsin","209","369,629","56.54","55.91","6,836"
"2022","Homicide","Black","Wyoming","--","6,004","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Alabama","--","28,072","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Alaska","--","109,120","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Arizona","44","274,326","16.04","16.05","1,393"
"2022","Homicide","American Indian / Alaska Native","Arkansas","--","24,107","--","--","--"
"2022","Homicide","American Indian / Alaska Native","California","--","158,722","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Colorado","0**","36,799","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Connecticut","--","8,158","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Delaware","0**","3,055","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","District of Columbia","--","1,404","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Florida","--","56,494","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Georgia","--","25,046","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Hawaii","0**","3,045","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Idaho","0**","19,839","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Illinois","0**","19,669","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Indiana","--","15,747","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Iowa","0**","9,966","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Kansas","--","23,038","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Kentucky","0**","9,511","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Louisiana","0**","30,004","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Maine","0**","8,807","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Maryland","--","14,658","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Massachusetts","0**","12,698","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Michigan","--","57,106","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Minnesota","--","59,910","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Mississippi","0**","15,007","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Missouri","--","27,156","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Montana","10**","65,967","15.16**","15.22**","343"
"2022","Homicide","American Indian / Alaska Native","Nebraska","--","16,137","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Nevada","--","26,334","--","--","--"
"2022","Homicide","American Indian / Alaska Native","New Hampshire","0**","2,937","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","New Jersey","0**","14,162","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","New Mexico","29","185,093","15.67","16.01","892"
"2022","Homicide","American Indian / Alaska Native","New York","--","59,252","--","--","--"
"2022","Homicide","American Indian / Alaska Native","North Carolina","23","111,183","20.69","21.92","743"
"2022","Homicide","American Indian / Alaska Native","North Dakota","0**","37,660","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Ohio","--","22,750","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Oklahoma","34","333,051","10.21","11.24","979"
"2022","Homicide","American Indian / Alaska Native","Oregon","--","46,042","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Pennsylvania","--","18,931","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Rhode Island","0**","4,531","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","South Carolina","--","19,274","--","--","--"
"2022","Homicide","American Indian / Alaska Native","South Dakota","15**","70,119","21.39**","19.69**","557"
"2022","Homicide","American Indian / Alaska Native","Tennessee","--","20,274","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Texas","--","98,205","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Utah","--","30,187","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Vermont","--","2,094","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Virginia","--","23,207","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Washington","--","94,189","--","--","--"
"2022","Homicide","American Indian / Alaska Native","West Virginia","0**","3,901","0.00**","0.00**","--"
"2022","Homicide","American Indian / Alaska Native","Wisconsin","--","52,201","--","--","--"
"2022","Homicide","American Indian / Alaska Native","Wyoming","--","11,827","--","--","--"
"2022","Homicide","Asian","Alabama","0**","78,533","0.00**","0.00**","--"
"2022","Homicide","Asian","Alaska","--","47,853","--","--","--"
"2022","Homicide","Asian","Arizona","--","267,645","--","--","--"
"2022","Homicide","Asian","Arkansas","--","54,175","--","--","--"
"2022","Homicide","Asian","California","53","6,083,599","0.87","0.82","1,202"
"2022","Homicide","Asian","Colorado","--","207,424","--","--","--"
"2022","Homicide","Asian","Connecticut","--","182,755","--","--","--"
"2022","Homicide","Asian","Delaware","0**","43,623","0.00**","0.00**","--"
"2022","Homicide","Asian","District of Columbia","0**","30,308","0.00**","0.00**","--"
"2022","Homicide","Asian","Florida","--","667,826","--","--","--"
"2022","Homicide","Asian","Georgia","--","510,018","--","--","--"
"2022","Homicide","Asian","Hawaii","--","516,999","--","--","--"
"2022","Homicide","Asian","Idaho","0**","29,681","0.00**","0.00**","--"
"2022","Homicide","Asian","Illinois","--","769,499","--","--","--"
"2022","Homicide","Asian","Indiana","--","188,702","--","--","--"
"2022","Homicide","Asian","Iowa","--","86,834","--","--","--"
"2022","Homicide","Asian","Kansas","--","91,904","--","--","--"
"2022","Homicide","Asian","Kentucky","0**","77,396","0.00**","0.00**","--"
"2022","Homicide","Asian","Louisiana","0**","85,445","0.00**","0.00**","--"
"2022","Homicide","Asian","Maine","0**","18,743","0.00**","0.00**","--"
"2022","Homicide","Asian","Maryland","--","425,846","--","--","--"
"2022","Homicide","Asian","Massachusetts","--","529,917","--","--","--"
"2022","Homicide","Asian","Michigan","--","347,815","--","--","--"
"2022","Homicide","Asian","Minnesota","--","308,785","--","--","--"
"2022","Homicide","Asian","Mississippi","--","33,278","--","--","--"
"2022","Homicide","Asian","Missouri","--","139,415","--","--","--"
"2022","Homicide","Asian","Montana","0**","11,582","0.00**","0.00**","--"
"2022","Homicide","Asian","Nebraska","--","53,720","--","--","--"
"2022","Homicide","Asian","Nevada","--","283,621","--","--","--"
"2022","Homicide","Asian","New Hampshire","0**","43,630","0.00**","0.00**","--"
"2022","Homicide","Asian","New Jersey","--","957,530","--","--","--"
"2022","Homicide","Asian","New Mexico","--","35,686","--","--","--"
"2022","Homicide","Asian","New York","--","1,851,641","--","--","--"
"2022","Homicide","Asian","North Carolina","--","370,540","--","--","--"
"2022","Homicide","Asian","North Dakota","0**","13,208","0.00**","0.00**","--"
"2022","Homicide","Asian","Ohio","--","318,181","--","--","--"
"2022","Homicide","Asian","Oklahoma","--","100,224","--","--","--"
"2022","Homicide","Asian","Oregon","--","210,022","--","--","--"
"2022","Homicide","Asian","Pennsylvania","--","519,968","--","--","--"
"2022","Homicide","Asian","Rhode Island","0**","38,429","0.00**","0.00**","--"
"2022","Homicide","Asian","South Carolina","--","102,276","--","--","--"
"2022","Homicide","Asian","South Dakota","0**","15,865","0.00**","0.00**","--"
"2022","Homicide","Asian","Tennessee","--","141,387","--","--","--"
"2022","Homicide","Asian","Texas","16**","1,654,482","0.97**","0.91**","462"
"2022","Homicide","Asian","Utah","0**","89,094","0.00**","0.00**","--"
"2022","Homicide","Asian","Vermont","0**","13,154","0.00**","0.00**","--"
"2022","Homicide","Asian","Virginia","--","624,456","--","--","--"
"2022","Homicide","Asian","Washington","14**","794,517","1.76**","1.70**","434"
"2022","Homicide","Asian","West Virginia","--","15,864","--","--","--"
"2022","Homicide","Asian","Wisconsin","--","187,007","--","--","--"
"2022","Homicide","Asian","Wyoming","0**","5,923","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Alabama","0**","2,671","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Alaska","--","11,661","--","--","--"
"2022","Homicide","HI Native / Pacific Islander","Arizona","--","14,480","--","--","--"
"2022","Homicide","HI Native / Pacific Islander","Arkansas","0**","12,844","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","California","--","145,891","--","--","--"
"2022","Homicide","HI Native / Pacific Islander","Colorado","--","9,095","--","--","--"
"2022","Homicide","HI Native / Pacific Islander","Connecticut","0**","1,367","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Delaware","0**","352","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","District of Columbia","0**","393","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Florida","0**","15,192","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Georgia","--","7,892","--","--","--"
"2022","Homicide","HI Native / Pacific Islander","Hawaii","--","137,307","--","--","--"
"2022","Homicide","HI Native / Pacific Islander","Idaho","0**","3,615","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Illinois","0**","3,751","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Indiana","0**","2,949","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Iowa","0**","6,432","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Kansas","0**","3,410","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Kentucky","0**","3,831","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Louisiana","--","1,775","--","--","--"
"2022","Homicide","HI Native / Pacific Islander","Maine","0**","444","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Maryland","0**","3,022","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Massachusetts","0**","3,202","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Michigan","0**","3,032","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Minnesota","0**","3,528","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Mississippi","0**","1,189","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Missouri","0**","9,833","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Montana","0**","891","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Nebraska","0**","1,387","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","Nevada","--","22,339","--","--","--"
"2022","Homicide","HI Native / Pacific Islander","New Hampshire","0**","422","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","New Jersey","0**","3,469","0.00**","0.00**","--"
"2022","Homicide","HI Native / Pacific Islander","New Mexico","0**","1,401","0.00**","0.00**","--"
