"Year","Intent","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2011","Legal Intervention","454","311,583,481","0.15","0.15","12,845"
"2011","Suicide","19,990","311,583,481","6.42","6.16","353,982"
"2011","Undetermined","248","311,583,481","0.08","0.08","6,742"
"2010","Unintentional","606","308,758,105","0.20","0.20","17,973"
"2010","Homicide","11,078","308,758,105","3.59","3.62","370,474"
"2010","Legal Intervention","344","308,758,105","0.11","0.11","9,486"
"2010","Suicide","19,392","308,758,105","6.28","6.06","344,232"
"2010","Undetermined","252","308,758,105","0.08","0.08","6,860"
"2009","Unintentional","554","306,771,529","0.18","0.18","15,596"
"2009","Homicide","11,493","306,771,529","3.75","3.78","383,740"
"2009","Legal Intervention","333","306,771,529","0.11","0.11","9,357"
"2009","Suicide","18,735","306,771,529","6.11","5.91","329,803"
"2009","Undetermined","232","306,771,529","0.08","0.07","5,700"
"2008","Unintentional","592","304,093,791","0.20","0.19","16,822"
"2008","Homicide","12,179","304,093,791","4.01","4.03","413,875"
"2008","Legal Intervention","326","304,093,791","0.11","0.11","9,717"
"2008","Suicide","18,223","304,093,791","5.99","5.82","323,217"
"2008","Undetermined","273","304,093,791","0.09","0.09","7,536"
"2007","Unintentional","613","301,231,030","0.20","0.20","18,149"
"2007","Homicide","12,632","301,231,030","4.19","4.20","433,172"
"2007","Legal Intervention","351","301,231,030","0.12","0.12","11,027"
"2007","Suicide","17,352","301,231,030","5.76","5.63","312,498"
"2007","Undetermined","276","301,231,030","0.09","0.09","7,904"
"2006","Unintentional","642","298,379,760","0.22","0.21","19,386"
"2006","Homicide","12,791","298,379,760","4.29","4.27","441,270"
"2006","Legal Intervention","360","298,379,760","0.12","0.12","10,976"
"2006","Suicide","16,883","298,379,760","5.66","5.54","308,658"
"2006","Undetermined","220","298,379,760","0.07","0.07","6,990"
"2005","Unintentional","789","295,516,488","0.27","0.27","23,121"
"2005","Homicide","12,352","295,516,488","4.18","4.17","422,274"
"2005","Legal Intervention","330","295,516,488","0.11","0.11","9,810"
"2005","Suicide","17,002","295,516,488","5.75","5.66","312,979"
"2005","Undetermined","221","295,516,488","0.08","0.07","6,759"
"2004","Unintentional","649","292,805,211","0.22","0.22","19,185"
"2004","Homicide","11,624","292,805,211","3.97","3.94","392,338"
"2004","Legal Intervention","311","292,805,211","0.11","0.11","9,566"
"2004","Suicide","16,750","292,805,211","5.72","5.65","315,829"
"2004","Undetermined","235","292,805,211","0.08","0.08","6,394"
"2003","Unintentional","730","290,107,845","0.25","0.25","21,280"
"2003","Homicide","11,920","290,107,845","4.11","4.07","407,958"
"2003","Legal Intervention","347","290,107,845","0.12","0.12","11,071"
"2003","Suicide","16,907","290,107,845","5.83","5.77","318,972"
"2003","Undetermined","232","290,107,845","0.08","0.08","6,904"
"2002","Unintentional","762","287,625,126","0.27","0.26","22,943"
"2002","Homicide","11,829","287,625,126","4.11","4.07","404,056"
"2002","Legal Intervention","300","287,625,126","0.10","0.10","9,621"
"2002","Suicide","17,108","287,625,126","5.95","5.92","324,837"
"2002","Undetermined","243","287,625,126","0.08","0.08","7,499"
"2001","Unintentional","802","284,968,928","0.28","0.28","23,555"
"2001","Homicide","11,348","284,968,928","3.98","3.93","389,123"
"2001","Legal Intervention","323","284,968,928","0.11","0.11","9,990"
"2001","Suicide","16,869","284,968,928","5.92","5.91","327,109"
"2001","Undetermined","231","284,968,928","0.08","0.08","6,807"
"Total","","823,204","7,186,028,477","11.46","11.26","19,879,094"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2001 to 2023","","","","","",""
"Geography: United States","","","","","",""
"Intent: All Intents","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: All Ages","","","","","",""
"Sex: All Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2001 - 2023 with No Race","","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","","",""
"--* indicates secondary suppression.","","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","",""
"Data sources:","","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
