"Year","Intent","Sex","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2017","Undetermined","Males","278","160,113,445","0.17","0.17","7,880"
"2017","Undetermined","Females","60","165,008,683","0.04","0.04","1,640"
"2016","Unintentional","Males","424","159,085,693","0.27","0.26","12,958"
"2016","Unintentional","Females","71","163,986,062","0.04","0.04","2,009"
"2016","Homicide","Males","12,213","159,085,693","7.68","7.74","407,368"
"2016","Homicide","Females","2,202","163,986,062","1.34","1.40","64,719"
"2016","Legal Intervention","Males","488","159,085,693","0.31","0.31","13,727"
"2016","Legal Intervention","Females","22","163,986,062","0.01","0.02","612"
"2016","Suicide","Males","19,647","159,085,693","12.35","11.95","344,709"
"2016","Suicide","Females","3,291","163,986,062","2.01","1.93","62,484"
"2016","Undetermined","Males","222","159,085,693","0.14","0.14","6,414"
"2016","Undetermined","Females","78","163,986,062","0.05","0.05","1,869"
"2015","Unintentional","Males","418","157,906,843","0.27","0.26","12,071"
"2015","Unintentional","Females","71","162,832,151","0.04","0.04","1,823"
"2015","Homicide","Males","11,029","157,906,843","6.98","7.00","368,271"
"2015","Homicide","Females","1,950","162,832,151","1.20","1.23","55,133"
"2015","Legal Intervention","Males","465","157,906,843","0.29","0.30","12,900"
"2015","Legal Intervention","Females","19**","162,832,151","0.01**","0.01**","500"
"2015","Suicide","Males","18,910","157,906,843","11.98","11.63","326,262"
"2015","Suicide","Females","3,108","162,832,151","1.91","1.83","58,000"
"2015","Undetermined","Males","210","157,906,843","0.13","0.13","5,771"
"2015","Undetermined","Females","72","162,832,151","0.04","0.04","1,740"
"2014","Unintentional","Males","397","156,695,810","0.25","0.25","10,931"
"2014","Unintentional","Females","64","161,690,519","0.04","0.04","1,888"
"2014","Homicide","Males","9,278","156,695,810","5.92","5.92","311,068"
"2014","Homicide","Females","1,730","161,690,519","1.07","1.10","49,420"
"2014","Legal Intervention","Males","440","156,695,810","0.28","0.28","12,812"
"2014","Legal Intervention","Females","24","161,690,519","0.02","0.02","637"
"2014","Suicide","Males","18,383","156,695,810","11.73","11.43","310,739"
"2014","Suicide","Females","3,003","161,690,519","1.86","1.78","55,344"
"2014","Undetermined","Males","217","156,695,810","0.14","0.13","5,288"
"2014","Undetermined","Females","58","161,690,519","0.04","0.04","1,466"
"2013","Unintentional","Males","441","155,514,054","0.28","0.28","12,624"
"2013","Unintentional","Females","64","160,545,893","0.04","0.04","1,936"
"2013","Homicide","Males","9,445","155,514,054","6.07","6.05","317,038"
"2013","Homicide","Females","1,763","160,545,893","1.10","1.12","48,803"
"2013","Legal Intervention","Males","446","155,514,054","0.29","0.29","12,946"
"2013","Legal Intervention","Females","21","160,545,893","0.01","0.01","436"
"2013","Suicide","Males","18,241","155,514,054","11.73","11.50","312,258"
"2013","Suicide","Females","2,934","160,545,893","1.83","1.74","54,199"
"2013","Undetermined","Males","221","155,514,054","0.14","0.14","5,854"
"2013","Undetermined","Females","60","160,545,893","0.04","0.04","1,612"
"2012","Unintentional","Males","475","154,397,027","0.31","0.30","13,083"
"2012","Unintentional","Females","73","159,480,635","0.05","0.05","2,136"
"2012","Homicide","Males","9,797","154,397,027","6.35","6.31","330,972"
"2012","Homicide","Females","1,825","159,480,635","1.14","1.17","52,136"
"2012","Legal Intervention","Males","453","154,397,027","0.29","0.29","13,435"
"2012","Legal Intervention","Females","18**","159,480,635","0.01**","0.01**","534"
"2012","Suicide","Males","17,910","154,397,027","11.60","11.40","309,045"
"2012","Suicide","Females","2,756","159,480,635","1.73","1.67","51,841"
"2012","Undetermined","Males","203","154,397,027","0.13","0.13","5,288"
"2012","Undetermined","Females","53","159,480,635","0.03","0.03","1,416"
"2011","Unintentional","Males","511","153,212,980","0.33","0.33","14,047"
"2011","Unintentional","Females","80","158,370,501","0.05","0.05","2,662"
"2011","Homicide","Males","9,270","153,212,980","6.05","6.00","315,558"
"2011","Homicide","Females","1,798","158,370,501","1.14","1.16","51,376"
"2011","Legal Intervention","Males","438","153,212,980","0.29","0.28","12,421"
"2011","Legal Intervention","Females","16**","158,370,501","0.01**","0.01**","424"
"2011","Suicide","Males","17,320","153,212,980","11.31","11.18","303,766"
"2011","Suicide","Females","2,670","158,370,501","1.69","1.62","50,216"
"2011","Undetermined","Males","199","153,212,980","0.13","0.13","5,586"
"2011","Undetermined","Females","49","158,370,501","0.03","0.03","1,156"
"2010","Unintentional","Males","515","151,788,777","0.34","0.34","15,287"
"2010","Unintentional","Females","91","156,969,328","0.06","0.06","2,686"
"2010","Homicide","Males","9,340","151,788,777","6.15","6.08","321,502"
"2010","Homicide","Females","1,738","156,969,328","1.11","1.13","48,972"
"2010","Legal Intervention","Males","336","151,788,777","0.22","0.22","9,255"
"2010","Legal Intervention","Females","--","156,969,328","--","--","--"
"2010","Suicide","Males","16,962","151,788,777","11.18","11.13","299,579"
"2010","Suicide","Females","2,430","156,969,328","1.55","1.49","44,653"
"2010","Undetermined","Males","203","151,788,777","0.13","0.13","5,672"
"2010","Undetermined","Females","49","156,969,328","0.03","0.03","1,188"
"2009","Unintentional","Males","497","150,807,454","0.33","0.33","14,136"
"2009","Unintentional","Females","57","155,964,075","0.04","0.04","1,460"
"2009","Homicide","Males","9,615","150,807,454","6.38","6.30","330,316"
"2009","Homicide","Females","1,878","155,964,075","1.20","1.22","53,424"
"2009","Legal Intervention","Males","311","150,807,454","0.21","0.20","8,912"
"2009","Legal Intervention","Females","22","155,964,075","0.01","0.01","445"
"2009","Suicide","Males","16,307","150,807,454","10.81","10.83","283,717"
"2009","Suicide","Females","2,428","155,964,075","1.56","1.50","46,086"
"2009","Undetermined","Males","191","150,807,454","0.13","0.12","4,634"
"2009","Undetermined","Females","41","155,964,075","0.03","0.03","1,066"
"2008","Unintentional","Males","510","149,489,864","0.34","0.34","14,548"
"2008","Unintentional","Females","82","154,603,927","0.05","0.05","2,274"
"2008","Homicide","Males","10,361","149,489,864","6.93","6.82","359,573"
"2008","Homicide","Females","1,818","154,603,927","1.18","1.20","54,302"
"2008","Legal Intervention","Males","314","149,489,864","0.21","0.21","9,364"
"2008","Legal Intervention","Females","12**","154,603,927","0.01**","0.01**","353"
"2008","Suicide","Males","15,931","149,489,864","10.66","10.72","280,335"
"2008","Suicide","Females","2,292","154,603,927","1.48","1.43","42,882"
"2008","Undetermined","Males","220","149,489,864","0.15","0.14","6,408"
"2008","Undetermined","Females","53","154,603,927","0.03","0.03","1,128"
"2007","Unintentional","Males","537","148,064,715","0.36","0.36","16,141"
"2007","Unintentional","Females","76","153,166,315","0.05","0.05","2,008"
"2007","Homicide","Males","10,767","148,064,715","7.27","7.12","376,771"
"2007","Homicide","Females","1,865","153,166,315","1.22","1.24","56,401"
"2007","Legal Intervention","Males","339","148,064,715","0.23","0.23","10,681"
"2007","Legal Intervention","Females","12**","153,166,315","0.01**","0.01**","346"
"2007","Suicide","Males","15,181","148,064,715","10.25","10.40","271,692"
"2007","Suicide","Females","2,171","153,166,315","1.42","1.38","40,806"
"2007","Undetermined","Males","223","148,064,715","0.15","0.15","6,519"
"2007","Undetermined","Females","53","153,166,315","0.04","0.03","1,385"
"2006","Unintentional","Males","567","146,647,158","0.39","0.38","17,299"
"2006","Unintentional","Females","75","151,732,602","0.05","0.05","2,087"
"2006","Homicide","Males","10,886","146,647,158","7.42","7.22","384,337"
"2006","Homicide","Females","1,905","151,732,602","1.26","1.27","56,933"
"2006","Legal Intervention","Males","344","146,647,158","0.24","0.23","10,601"
"2006","Legal Intervention","Females","16**","151,732,602","0.01**","0.01**","375"
"2006","Suicide","Males","14,734","146,647,158","10.05","10.25","267,959"
"2006","Suicide","Females","2,149","151,732,602","1.42","1.37","40,699"
"2006","Undetermined","Males","181","146,647,158","0.12","0.12","6,001"
"2006","Undetermined","Females","39","151,732,602","0.03","0.03","989"
"2005","Unintentional","Males","683","145,196,982","0.47","0.47","20,240"
"2005","Unintentional","Females","106","150,319,506","0.07","0.07","2,881"
"2005","Homicide","Males","10,561","145,196,982","7.27","7.07","369,728"
"2005","Homicide","Females","1,791","150,319,506","1.19","1.21","52,546"
"2005","Legal Intervention","Males","319","145,196,982","0.22","0.22","9,619"
"2005","Legal Intervention","Females","11**","150,319,506","0.01**","0.01**","191"
"2005","Suicide","Males","14,916","145,196,982","10.27","10.54","272,356"
"2005","Suicide","Females","2,086","150,319,506","1.39","1.35","40,623"
"2005","Undetermined","Males","178","145,196,982","0.12","0.12","5,653"
"2005","Undetermined","Females","43","150,319,506","0.03","0.03","1,106"
"2004","Unintentional","Males","573","143,827,954","0.40","0.40","17,115"
"2004","Unintentional","Females","76","148,977,257","0.05","0.05","2,070"
"2004","Homicide","Males","9,921","143,827,954","6.90","6.69","342,654"
"2004","Homicide","Females","1,703","148,977,257","1.14","1.15","49,684"
"2004","Legal Intervention","Males","302","143,827,954","0.21","0.21","9,357"
"2004","Legal Intervention","Females","--","148,977,257","--","--","--"
"2004","Suicide","Males","14,523","143,827,954","10.10","10.41","271,543"
"2004","Suicide","Females","2,227","148,977,257","1.50","1.47","44,286"
"2004","Undetermined","Males","179","143,827,954","0.12","0.12","4,958"
"2004","Undetermined","Females","56","148,977,257","0.04","0.04","1,436"
"2003","Unintentional","Males","656","142,428,853","0.46","0.46","19,397"
"2003","Unintentional","Females","74","147,678,992","0.05","0.05","1,883"
"2003","Homicide","Males","10,126","142,428,853","7.11","6.87","354,596"
"2003","Homicide","Females","1,794","147,678,992","1.22","1.23","53,362"
"2003","Legal Intervention","Males","329","142,428,853","0.23","0.23","10,536"
"2003","Legal Intervention","Females","18**","147,678,992","0.01**","0.01**","535"
"2003","Suicide","Males","14,827","142,428,853","10.41","10.79","278,139"
"2003","Suicide","Females","2,080","147,678,992","1.41","1.38","40,833"
"2003","Undetermined","Males","186","142,428,853","0.13","0.13","5,712"
"2003","Undetermined","Females","46","147,678,992","0.03","0.03","1,192"
"2002","Unintentional","Males","667","141,230,565","0.47","0.47","20,201"
"2002","Unintentional","Females","95","146,394,561","0.07","0.07","2,742"
"2002","Homicide","Males","9,899","141,230,565","7.01","6.76","345,759"
"2002","Homicide","Females","1,930","146,394,561","1.32","1.33","58,297"
"2002","Legal Intervention","Males","288","141,230,565","0.20","0.20","9,237"
"2002","Legal Intervention","Females","12**","146,394,561","0.01**","0.01**","384"
"2002","Suicide","Males","15,045","141,230,565","10.65","11.12","282,680"
"2002","Suicide","Females","2,063","146,394,561","1.41","1.39","42,157"
"2002","Undetermined","Males","199","141,230,565","0.14","0.14","6,408"
"2002","Undetermined","Females","44","146,394,561","0.03","0.03","1,091"
"2001","Unintentional","Males","690","139,891,523","0.49","0.49","20,679"
"2001","Unintentional","Females","112","145,077,405","0.08","0.08","2,876"
"2001","Homicide","Males","9,532","139,891,523","6.81","6.56","334,821"
"2001","Homicide","Females","1,816","145,077,405","1.25","1.26","54,302"
"2001","Legal Intervention","Males","310","139,891,523","0.22","0.22","9,578"
"2001","Legal Intervention","Females","13**","145,077,405","0.01**","0.01**","412"
"2001","Suicide","Males","14,758","139,891,523","10.55","11.04","284,679"
"2001","Suicide","Females","2,111","145,077,405","1.46","1.44","42,430"
"2001","Undetermined","Males","190","139,891,523","0.14","0.13","5,771"
"2001","Undetermined","Females","41","145,077,405","0.03","0.03","1,036"
"Total","","","823,204","7,186,028,477","11.46","11.26","19,879,094"
"","","","","","","",""
"Injury Outcome: Fatal","","","","","","",""
"Injury Type: All Injury","","","","","","",""
"Data Years: 2001 to 2023","","","","","","",""
"Geography: United States","","","","","","",""
"Intent: All Intents","","","","","","",""
"Mechanism: Firearm","","","","","","",""
"Age: All Ages","","","","","","",""
"Sex: All Sexes","","","","","","",""
"Race: All Races","","","","","","",""
"Ethnicity: All Ethnicities","","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","","",""
"YPLL Age: 65","","","","","","",""
"Year and Race Options: 2001 - 2023 with No Race","","","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","","","",""
"--* indicates secondary suppression.","","","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","","",""
"Data sources:","","","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","",""
