"Year","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2001 - 2023 with No Race","","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","","",""
"--* indicates secondary suppression.","","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","",""
"Data sources:","","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
