"Year","State","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Alaska","75 to 79","0**","148","0.00**","--","--"
"2021","Alaska","80 to 84","0**","79","0.00**","--","--"
"2021","Alaska","85+","0**","60","0.00**","--","--"
"2021","Arizona","0 to 4","0**","13,670","0.00**","--","--"
"2021","Arizona","5 to 9","0**","15,051","0.00**","--","--"
"2021","Arizona","10 to 14","--","16,075","--","--","--"
"2021","Arizona","15 to 19","10**","15,256","65.55**","--","472"
"2021","Arizona","20 to 24","16**","16,331","97.97**","--","685"
"2021","Arizona","25 to 29","--","18,354","--","--","--"
"2021","Arizona","30 to 34","13**","18,672","69.62**","--","428"
"2021","Arizona","35 to 39","12**","15,999","75.01**","--","340"
"2021","Arizona","40 to 44","--","14,042","--","--","--"
"2021","Arizona","45 to 49","--","12,092","--","--","--"
"2021","Arizona","50 to 54","--","11,348","--","--","--"
"2021","Arizona","55 to 59","--","10,648","--","--","--"
"2021","Arizona","60 to 64","--","9,407","--","--","--"
"2021","Arizona","65 to 69","--","6,931","--","--","--"
"2021","Arizona","70 to 74","--","4,894","--","--","--"
"2021","Arizona","75 to 79","0**","2,600","0.00**","--","--"
"2021","Arizona","80 to 84","0**","1,530","0.00**","--","--"
"2021","Arizona","85+","0**","1,046","0.00**","--","--"
"2021","Arkansas","0 to 4","0**","17,721","0.00**","--","--"
"2021","Arkansas","5 to 9","--","17,682","--","--","--"
"2021","Arkansas","10 to 14","--","18,710","--","--","--"
"2021","Arkansas","15 to 19","34","18,130","187.53","--","1,604"
"2021","Arkansas","20 to 24","35","18,814","186.03","--","1,516"
"2021","Arkansas","25 to 29","22","17,543","125.41","--","834"
"2021","Arkansas","30 to 34","18**","16,511","109.02**","--","611"
"2021","Arkansas","35 to 39","13**","14,566","89.25**","--","364"
"2021","Arkansas","40 to 44","--","13,679","--","--","--"
"2021","Arkansas","45 to 49","--","12,096","--","--","--"
"2021","Arkansas","50 to 54","--","11,905","--","--","--"
"2021","Arkansas","55 to 59","--","12,639","--","--","--"
"2021","Arkansas","60 to 64","--","12,263","--","--","--"
"2021","Arkansas","65 to 69","--","10,329","--","--","--"
"2021","Arkansas","70 to 74","--","6,979","--","--","--"
"2021","Arkansas","75 to 79","0**","3,722","0.00**","--","--"
"2021","Arkansas","80 to 84","0**","1,997","0.00**","--","--"
"2021","Arkansas","85+","0**","1,517","0.00**","--","--"
"2021","California","0 to 4","--","71,333","--","--","--"
"2021","California","5 to 9","--","73,834","--","--","--"
"2021","California","10 to 14","0**","84,625","0.00**","--","--"
"2021","California","15 to 19","45","84,750","53.10","--","2,132"
"2021","California","20 to 24","100","91,534","109.25","--","4,291"
"2021","California","25 to 29","97","110,179","88.04","--","3,664"
"2021","California","30 to 34","86","115,664","74.35","--","2,852"
"2021","California","35 to 39","65","96,777","67.17","--","1,841"
"2021","California","40 to 44","42","86,523","48.54","--","974"
"2021","California","45 to 49","24","76,856","31.23","--","428"
"2021","California","50 to 54","23","81,828","28.11","--","304"
"2021","California","55 to 59","22","82,926","26.53","--","176"
"2021","California","60 to 64","11**","76,037","14.47**","--","39"
"2021","California","65 to 69","--","55,379","--","--","--"
"2021","California","70 to 74","--","39,051","--","--","--"
"2021","California","75 to 79","0**","22,737","0.00**","--","--"
"2021","California","80 to 84","0**","14,584","0.00**","--","--"
"2021","California","85+","0**","11,595","0.00**","--","--"
"2021","Colorado","0 to 4","0**","9,084","0.00**","--","--"
"2021","Colorado","5 to 9","--","9,567","--","--","--"
"2021","Colorado","10 to 14","--","9,953","--","--","--"
"2021","Colorado","15 to 19","--","9,677","--","--","--"
"2021","Colorado","20 to 24","--","11,228","--","--","--"
"2021","Colorado","25 to 29","--","13,982","--","--","--"
"2021","Colorado","30 to 34","--","14,324","--","--","--"
"2021","Colorado","35 to 39","--","12,331","--","--","--"
"2021","Colorado","40 to 44","--","10,487","--","--","--"
"2021","Colorado","45 to 49","--","9,564","--","--","--"
"2021","Colorado","50 to 54","--","8,549","--","--","--"
"2021","Colorado","55 to 59","--","7,966","--","--","--"
"2021","Colorado","60 to 64","--","7,081","--","--","--"
"2021","Colorado","65 to 69","--","5,014","--","--","--"
"2021","Colorado","70 to 74","0**","3,347","0.00**","--","--"
"2021","Colorado","75 to 79","0**","1,730","0.00**","--","--"
"2021","Colorado","80 to 84","0**","1,056","0.00**","--","--"
"2021","Colorado","85+","0**","763","0.00**","--","--"
"2021","Connecticut","0 to 4","--","14,365","--","--","--"
"2021","Connecticut","5 to 9","0**","14,742","0.00**","--","--"
"2021","Connecticut","10 to 14","--","16,922","--","--","--"
"2021","Connecticut","15 to 19","10**","17,236","58.02**","--","473"
"2021","Connecticut","20 to 24","15**","17,924","83.69**","--","645"
"2021","Connecticut","25 to 29","16**","18,655","85.77**","--","605"
"2021","Connecticut","30 to 34","11**","17,905","61.44**","--","363"
"2021","Connecticut","35 to 39","--","15,655","--","--","--"
"2021","Connecticut","40 to 44","--","14,815","--","--","--"
"2021","Connecticut","45 to 49","--","13,209","--","--","--"
"2021","Connecticut","50 to 54","--","13,663","--","--","--"
"2021","Connecticut","55 to 59","--","13,241","--","--","--"
"2021","Connecticut","60 to 64","0**","11,119","0.00**","--","--"
"2021","Connecticut","65 to 69","0**","7,806","0.00**","--","--"
"2021","Connecticut","70 to 74","0**","5,368","0.00**","--","--"
"2021","Connecticut","75 to 79","0**","3,413","0.00**","--","--"
"2021","Connecticut","80 to 84","0**","2,008","0.00**","--","--"
"2021","Connecticut","85+","0**","1,501","0.00**","--","--"
"2021","Delaware","0 to 4","0**","7,576","0.00**","--","--"
"2021","Delaware","5 to 9","--","7,981","--","--","--"
"2021","Delaware","10 to 14","--","8,864","--","--","--"
"2021","Delaware","15 to 19","12**","8,687","138.14**","--","560"
"2021","Delaware","20 to 24","13**","8,608","151.02**","--","563"
"2021","Delaware","25 to 29","--","8,433","--","--","--"
"2021","Delaware","30 to 34","--","7,988","--","--","--"
"2021","Delaware","35 to 39","--","7,082","--","--","--"
"2021","Delaware","40 to 44","--","6,709","--","--","--"
"2021","Delaware","45 to 49","0**","6,316","0.00**","--","--"
"2021","Delaware","50 to 54","0**","7,110","0.00**","--","--"
"2021","Delaware","55 to 59","0**","7,186","0.00**","--","--"
"2021","Delaware","60 to 64","--","6,602","--","--","--"
"2021","Delaware","65 to 69","0**","4,975","0.00**","--","--"
"2021","Delaware","70 to 74","0**","3,724","0.00**","--","--"
"2021","Delaware","75 to 79","0**","2,153","0.00**","--","--"
"2021","Delaware","80 to 84","0**","1,229","0.00**","--","--"
"2021","Delaware","85+","0**","867","0.00**","--","--"
"2021","District of Columbia","0 to 4","0**","9,780","0.00**","--","--"
"2021","District of Columbia","5 to 9","0**","10,597","0.00**","--","--"
"2021","District of Columbia","10 to 14","0**","9,682","0.00**","--","--"
"2021","District of Columbia","15 to 19","11**","8,594","128.00**","--","525"
"2021","District of Columbia","20 to 24","24","8,875","270.42","--","1,036"
"2021","District of Columbia","25 to 29","39","11,301","345.10","--","1,480"
"2021","District of Columbia","30 to 34","26","12,516","207.73","--","875"
"2021","District of Columbia","35 to 39","13**","9,487","137.03**","--","358"
"2021","District of Columbia","40 to 44","12**","8,518","140.88**","--","272"
"2021","District of Columbia","45 to 49","--","7,378","--","--","--"
"2021","District of Columbia","50 to 54","--","7,833","--","--","--"
"2021","District of Columbia","55 to 59","--","8,627","--","--","--"
"2021","District of Columbia","60 to 64","--","8,403","--","--","--"
"2021","District of Columbia","65 to 69","--","6,867","--","--","--"
"2021","District of Columbia","70 to 74","0**","4,848","0.00**","--","--"
"2021","District of Columbia","75 to 79","0**","2,840","0.00**","--","--"
"2021","District of Columbia","80 to 84","0**","1,877","0.00**","--","--"
"2021","District of Columbia","85+","0**","1,760","0.00**","--","--"
"2021","Florida","0 to 4","--","126,946","--","--","--"
"2021","Florida","5 to 9","--","135,983","--","--","--"
"2021","Florida","10 to 14","--","139,773","--","--","--"
"2021","Florida","15 to 19","86","133,316","64.51","--","4,069"
"2021","Florida","20 to 24","125","134,764","92.76","--","5,371"
"2021","Florida","25 to 29","131","142,346","92.03","--","4,982"
"2021","Florida","30 to 34","93","143,315","64.89","--","3,100"
"2021","Florida","35 to 39","72","127,451","56.49","--","2,021"
"2021","Florida","40 to 44","47","116,506","40.34","--","1,093"
"2021","Florida","45 to 49","30","106,076","28.28","--","540"
"2021","Florida","50 to 54","13**","104,242","12.47**","--","165"
"2021","Florida","55 to 59","10**","103,063","9.70**","--","90"
"2021","Florida","60 to 64","--","93,557","--","--","--"
"2021","Florida","65 to 69","--","73,287","--","--","--"
"2021","Florida","70 to 74","--","53,414","--","--","--"
"2021","Florida","75 to 79","0**","31,743","0.00**","--","--"
"2021","Florida","80 to 84","0**","18,877","0.00**","--","--"
"2021","Florida","85+","0**","13,708","0.00**","--","--"
"2021","Georgia","0 to 4","--","115,011","--","--","--"
"2021","Georgia","5 to 9","--","122,133","--","--","--"
"2021","Georgia","10 to 14","10**","135,137","7.40**","--","518"
"2021","Georgia","15 to 19","98","131,788","74.36","--","4,634"
"2021","Georgia","20 to 24","135","128,491","105.07","--","5,819"
"2021","Georgia","25 to 29","120","133,020","90.21","--","4,535"
"2021","Georgia","30 to 34","102","128,538","79.35","--","3,413"
"2021","Georgia","35 to 39","73","113,038","64.58","--","2,045"
"2021","Georgia","40 to 44","47","108,408","43.36","--","1,090"
"2021","Georgia","45 to 49","33","101,327","32.57","--","622"
"2021","Georgia","50 to 54","27","102,855","26.25","--","350"
"2021","Georgia","55 to 59","20**","100,966","19.81**","--","165"
"2021","Georgia","60 to 64","10**","87,280","11.46**","--","31"
"2021","Georgia","65 to 69","--","66,000","--","--","--"
"2021","Georgia","70 to 74","--","47,091","--","--","--"
"2021","Georgia","75 to 79","--","25,305","--","--","--"
"2021","Georgia","80 to 84","0**","13,655","0.00**","--","--"
"2021","Georgia","85+","0**","8,575","0.00**","--","--"
"2021","Hawaii","0 to 4","0**","962","0.00**","--","--"
"2021","Hawaii","5 to 9","0**","938","0.00**","--","--"
"2021","Hawaii","10 to 14","0**","772","0.00**","--","--"
"2021","Hawaii","15 to 19","0**","815","0.00**","--","--"
"2021","Hawaii","20 to 24","0**","2,295","0.00**","--","--"
"2021","Hawaii","25 to 29","--","2,491","--","--","--"
"2021","Hawaii","30 to 34","--","2,082","--","--","--"
"2021","Hawaii","35 to 39","0**","1,891","0.00**","--","--"
"2021","Hawaii","40 to 44","0**","1,432","0.00**","--","--"
"2021","Hawaii","45 to 49","0**","1,073","0.00**","--","--"
"2021","Hawaii","50 to 54","0**","1,047","0.00**","--","--"
"2021","Hawaii","55 to 59","0**","908","0.00**","--","--"
"2021","Hawaii","60 to 64","0**","774","0.00**","--","--"
"2021","Hawaii","65 to 69","0**","558","0.00**","--","--"
"2021","Hawaii","70 to 74","0**","420","0.00**","--","--"
"2021","Hawaii","75 to 79","0**","180","0.00**","--","--"
"2021","Hawaii","80 to 84","0**","106","0.00**","--","--"
"2021","Hawaii","85+","0**","89","0.00**","--","--"
"2021","Idaho","0 to 4","0**","745","0.00**","--","--"
"2021","Idaho","5 to 9","0**","719","0.00**","--","--"
"2021","Idaho","10 to 14","0**","720","0.00**","--","--"
"2021","Idaho","15 to 19","0**","805","0.00**","--","--"
"2021","Idaho","20 to 24","--","1,003","--","--","--"
"2021","Idaho","25 to 29","0**","1,137","0.00**","--","--"
"2021","Idaho","30 to 34","0**","1,011","0.00**","--","--"
"2021","Idaho","35 to 39","0**","790","0.00**","--","--"
"2021","Idaho","40 to 44","0**","638","0.00**","--","--"
"2021","Idaho","45 to 49","0**","570","0.00**","--","--"
"2021","Idaho","50 to 54","0**","495","0.00**","--","--"
"2021","Idaho","55 to 59","0**","472","0.00**","--","--"
"2021","Idaho","60 to 64","0**","421","0.00**","--","--"
"2021","Idaho","65 to 69","0**","282","0.00**","--","--"
"2021","Idaho","70 to 74","0**","162","0.00**","--","--"
"2021","Idaho","75 to 79","0**","66","0.00**","--","--"
"2021","Idaho","80 to 84","0**","39","0.00**","--","--"
"2021","Idaho","85+","0**","21","0.00**","--","--"
"2021","Illinois","0 to 4","0**","61,021","0.00**","--","--"
"2021","Illinois","5 to 9","--","63,986","--","--","--"
"2021","Illinois","10 to 14","10**","66,657","15.00**","--","516"
"2021","Illinois","15 to 19","122","66,165","184.39","--","5,806"
"2021","Illinois","20 to 24","172","67,412","255.15","--","7,391"
"2021","Illinois","25 to 29","205","73,842","277.62","--","7,767"
"2021","Illinois","30 to 34","165","68,544","240.72","--","5,480"
"2021","Illinois","35 to 39","95","57,276","165.86","--","2,668"
"2021","Illinois","40 to 44","57","54,486","104.61","--","1,310"
"2021","Illinois","45 to 49","37","50,072","73.89","--","662"
"2021","Illinois","50 to 54","29","52,166","55.59","--","378"
"2021","Illinois","55 to 59","11**","52,328","21.02**","--","90"
"2021","Illinois","60 to 64","--","49,679","--","--","--"
"2021","Illinois","65 to 69","--","37,369","--","--","--"
"2021","Illinois","70 to 74","--","27,182","--","--","--"
"2021","Illinois","75 to 79","0**","16,536","0.00**","--","--"
"2021","Illinois","80 to 84","0**","10,070","0.00**","--","--"
"2021","Illinois","85+","--","8,025","--","--","--"
"2021","Indiana","0 to 4","0**","26,805","0.00**","--","--"
"2021","Indiana","5 to 9","--","27,561","--","--","--"
"2021","Indiana","10 to 14","--","28,205","--","--","--"
"2021","Indiana","15 to 19","41","27,271","150.34","--","1,929"
"2021","Indiana","20 to 24","57","27,285","208.91","--","2,449"
"2021","Indiana","25 to 29","47","28,397","165.51","--","1,786"
"2021","Indiana","30 to 34","36","26,583","135.43","--","1,174"
"2021","Indiana","35 to 39","16**","22,581","70.86**","--","454"
"2021","Indiana","40 to 44","21","21,410","98.09","--","492"
"2021","Indiana","45 to 49","19**","19,061","99.68**","--","337"
"2021","Indiana","50 to 54","--","18,398","--","--","--"
"2021","Indiana","55 to 59","--","17,475","--","--","--"
"2021","Indiana","60 to 64","--","16,385","--","--","--"
"2021","Indiana","65 to 69","--","12,224","--","--","--"
"2021","Indiana","70 to 74","--","8,424","--","--","--"
"2021","Indiana","75 to 79","0**","4,603","0.00**","--","--"
"2021","Indiana","80 to 84","0**","2,763","0.00**","--","--"
"2021","Indiana","85+","0**","2,002","0.00**","--","--"
"2021","Iowa","0 to 4","0**","6,529","0.00**","--","--"
"2021","Iowa","5 to 9","0**","6,432","0.00**","--","--"
"2021","Iowa","10 to 14","--","6,267","--","--","--"
"2021","Iowa","15 to 19","--","6,386","--","--","--"
"2021","Iowa","20 to 24","--","6,828","--","--","--"
"2021","Iowa","25 to 29","--","6,875","--","--","--"
"2021","Iowa","30 to 34","--","6,723","--","--","--"
"2021","Iowa","35 to 39","--","5,996","--","--","--"
"2021","Iowa","40 to 44","--","5,199","--","--","--"
"2021","Iowa","45 to 49","--","4,124","--","--","--"
"2021","Iowa","50 to 54","0**","3,638","0.00**","--","--"
"2021","Iowa","55 to 59","--","2,982","--","--","--"
"2021","Iowa","60 to 64","0**","2,508","0.00**","--","--"
"2021","Iowa","65 to 69","0**","1,580","0.00**","--","--"
"2021","Iowa","70 to 74","0**","980","0.00**","--","--"
"2021","Iowa","75 to 79","0**","507","0.00**","--","--"
"2021","Iowa","80 to 84","0**","307","0.00**","--","--"
"2021","Iowa","85+","0**","217","0.00**","--","--"
"2021","Kansas","0 to 4","--","6,742","--","--","--"
"2021","Kansas","5 to 9","0**","6,820","0.00**","--","--"
"2021","Kansas","10 to 14","0**","7,054","0.00**","--","--"
"2021","Kansas","15 to 19","--","7,488","--","--","--"
"2021","Kansas","20 to 24","--","8,632","--","--","--"
"2021","Kansas","25 to 29","--","8,360","--","--","--"
"2021","Kansas","30 to 34","--","7,637","--","--","--"
"2021","Kansas","35 to 39","--","6,862","--","--","--"
"2021","Kansas","40 to 44","--","6,166","--","--","--"
"2021","Kansas","45 to 49","--","5,333","--","--","--"
"2021","Kansas","50 to 54","0**","4,946","0.00**","--","--"
"2021","Kansas","55 to 59","0**","5,057","0.00**","--","--"
"2021","Kansas","60 to 64","0**","4,974","0.00**","--","--"
"2021","Kansas","65 to 69","0**","3,608","0.00**","--","--"
"2021","Kansas","70 to 74","0**","2,335","0.00**","--","--"
"2021","Kansas","75 to 79","0**","1,342","0.00**","--","--"
"2021","Kansas","80 to 84","0**","791","0.00**","--","--"
"2021","Kansas","85+","0**","593","0.00**","--","--"
"2021","Kentucky","0 to 4","0**","13,270","0.00**","--","--"
"2021","Kentucky","5 to 9","--","13,579","--","--","--"
"2021","Kentucky","10 to 14","--","14,740","--","--","--"
"2021","Kentucky","15 to 19","28","15,755","177.72","--","1,332"
"2021","Kentucky","20 to 24","36","17,520","205.48","--","1,548"
"2021","Kentucky","25 to 29","44","16,758","262.56","--","1,663"
"2021","Kentucky","30 to 34","23","15,471","148.67","--","763"
"2021","Kentucky","35 to 39","25","12,773","195.73","--","716"
"2021","Kentucky","40 to 44","10**","12,481","80.12**","--","239"
"2021","Kentucky","45 to 49","--","10,891","--","--","--"
"2021","Kentucky","50 to 54","--","10,776","--","--","--"
"2021","Kentucky","55 to 59","--","11,087","--","--","--"
"2021","Kentucky","60 to 64","--","10,614","--","--","--"
"2021","Kentucky","65 to 69","--","7,966","--","--","--"
"2021","Kentucky","70 to 74","--","5,595","--","--","--"
"2021","Kentucky","75 to 79","0**","2,711","0.00**","--","--"
"2021","Kentucky","80 to 84","0**","1,613","0.00**","--","--"
"2021","Kentucky","85+","0**","1,176","0.00**","--","--"
"2021","Louisiana","0 to 4","--","54,277","--","--","--"
"2021","Louisiana","5 to 9","--","56,471","--","--","--"
"2021","Louisiana","10 to 14","--","58,982","--","--","--"
"2021","Louisiana","15 to 19","117","57,301","204.19","--","5,545"
"2021","Louisiana","20 to 24","117","56,934","205.50","--","5,070"
"2021","Louisiana","25 to 29","119","56,068","212.24","--","4,531"
"2021","Louisiana","30 to 34","87","54,392","159.95","--","2,882"
"2021","Louisiana","35 to 39","54","48,814","110.62","--","1,518"
"2021","Louisiana","40 to 44","38","44,496","85.40","--","886"
"2021","Louisiana","45 to 49","26","37,681","69.00","--","462"
"2021","Louisiana","50 to 54","18**","37,884","47.51**","--","242"
"2021","Louisiana","55 to 59","16**","40,968","39.06**","--","134"
"2021","Louisiana","60 to 64","--","39,893","--","--","--"
"2021","Louisiana","65 to 69","--","32,688","--","--","--"
"2021","Louisiana","70 to 74","--","23,528","--","--","--"
"2021","Louisiana","75 to 79","0**","12,550","0.00**","--","--"
"2021","Louisiana","80 to 84","0**","7,135","0.00**","--","--"
"2021","Louisiana","85+","0**","5,232","0.00**","--","--"
"2021","Maine","0 to 4","0**","996","0.00**","--","--"
"2021","Maine","5 to 9","0**","1,104","0.00**","--","--"
"2021","Maine","10 to 14","0**","1,255","0.00**","--","--"
"2021","Maine","15 to 19","0**","1,245","0.00**","--","--"
"2021","Maine","20 to 24","0**","1,266","0.00**","--","--"
"2021","Maine","25 to 29","0**","1,329","0.00**","--","--"
"2021","Maine","30 to 34","0**","1,125","0.00**","--","--"
"2021","Maine","35 to 39","0**","1,084","0.00**","--","--"
"2021","Maine","40 to 44","0**","935","0.00**","--","--"
"2021","Maine","45 to 49","0**","825","0.00**","--","--"
"2021","Maine","50 to 54","0**","716","0.00**","--","--"
"2021","Maine","55 to 59","--","613","--","--","--"
"2021","Maine","60 to 64","0**","515","0.00**","--","--"
"2021","Maine","65 to 69","0**","370","0.00**","--","--"
"2021","Maine","70 to 74","0**","199","0.00**","--","--"
"2021","Maine","75 to 79","0**","86","0.00**","--","--"
"2021","Maine","80 to 84","0**","68","0.00**","--","--"
"2021","Maine","85+","0**","50","0.00**","--","--"
"2021","Maryland","0 to 4","0**","58,441","0.00**","--","--"
"2021","Maryland","5 to 9","--","62,074","--","--","--"
"2021","Maryland","10 to 14","--","66,495","--","--","--"
"2021","Maryland","15 to 19","36","63,802","56.43","--","1,705"
"2021","Maryland","20 to 24","93","62,159","149.62","--","4,002"
"2021","Maryland","25 to 29","87","67,003","129.85","--","3,308"
"2021","Maryland","30 to 34","75","69,704","107.60","--","2,469"
"2021","Maryland","35 to 39","55","63,122","87.13","--","1,543"
"2021","Maryland","40 to 44","39","59,976","65.03","--","901"
"2021","Maryland","45 to 49","29","55,482","52.27","--","524"
"2021","Maryland","50 to 54","--","61,633","--","--","--"
"2021","Maryland","55 to 59","--","62,283","--","--","--"
"2021","Maryland","60 to 64","--","54,765","--","--","--"
"2021","Maryland","65 to 69","--","39,504","--","--","--"
"2021","Maryland","70 to 74","0**","29,733","0.00**","--","--"
"2021","Maryland","75 to 79","--","16,999","--","--","--"
"2021","Maryland","80 to 84","0**","9,867","0.00**","--","--"
"2021","Maryland","85+","0**","7,054","0.00**","--","--"
"2021","Massachusetts","0 to 4","0**","22,926","0.00**","--","--"
"2021","Massachusetts","5 to 9","0**","23,737","0.00**","--","--"
"2021","Massachusetts","10 to 14","0**","23,770","0.00**","--","--"
"2021","Massachusetts","15 to 19","--","24,210","--","--","--"
"2021","Massachusetts","20 to 24","12**","24,378","49.23**","--","524"
"2021","Massachusetts","25 to 29","10**","26,945","37.11**","--","379"
"2021","Massachusetts","30 to 34","12**","26,861","44.67**","--","398"
"2021","Massachusetts","35 to 39","--","23,604","--","--","--"
"2021","Massachusetts","40 to 44","--","21,255","--","--","--"
"2021","Massachusetts","45 to 49","0**","19,219","0.00**","--","--"
"2021","Massachusetts","50 to 54","0**","18,696","0.00**","--","--"
"2021","Massachusetts","55 to 59","0**","18,451","0.00**","--","--"
"2021","Massachusetts","60 to 64","0**","15,576","0.00**","--","--"
"2021","Massachusetts","65 to 69","--","11,223","--","--","--"
"2021","Massachusetts","70 to 74","0**","7,750","0.00**","--","--"
"2021","Massachusetts","75 to 79","0**","4,459","0.00**","--","--"
"2021","Massachusetts","80 to 84","0**","2,523","0.00**","--","--"
"2021","Massachusetts","85+","0**","2,186","0.00**","--","--"
"2021","Michigan","0 to 4","--","50,029","--","--","--"
"2021","Michigan","5 to 9","--","51,550","--","--","--"
"2021","Michigan","10 to 14","0**","52,223","0.00**","--","--"
"2021","Michigan","15 to 19","42","50,207","83.65","--","1,987"
"2021","Michigan","20 to 24","96","51,580","186.12","--","4,140"
"2021","Michigan","25 to 29","87","56,391","154.28","--","3,307"
"2021","Michigan","30 to 34","81","53,284","152.02","--","2,686"
"2021","Michigan","35 to 39","51","40,398","126.24","--","1,443"
"2021","Michigan","40 to 44","41","38,779","105.73","--","932"
"2021","Michigan","45 to 49","17**","38,910","43.69**","--","309"
"2021","Michigan","50 to 54","18**","41,071","43.83**","--","237"
"2021","Michigan","55 to 59","14**","38,849","36.04**","--","113"
"2021","Michigan","60 to 64","11**","36,626","30.03**","--","29"
"2021","Michigan","65 to 69","--","29,266","--","--","--"
"2021","Michigan","70 to 74","--","21,816","--","--","--"
"2021","Michigan","75 to 79","0**","12,755","0.00**","--","--"
"2021","Michigan","80 to 84","0**","7,039","0.00**","--","--"
"2021","Michigan","85+","--","5,823","--","--","--"
"2021","Minnesota","0 to 4","0**","19,581","0.00**","--","--"
"2021","Minnesota","5 to 9","0**","21,797","0.00**","--","--"
"2021","Minnesota","10 to 14","--","21,146","--","--","--"
"2021","Minnesota","15 to 19","11**","18,366","59.89**","--","520"
"2021","Minnesota","20 to 24","20**","15,976","125.19**","--","863"
"2021","Minnesota","25 to 29","12**","16,959","70.76**","--","456"
"2021","Minnesota","30 to 34","11**","18,950","58.05**","--","365"
"2021","Minnesota","35 to 39","10**","18,123","55.18**","--","284"
"2021","Minnesota","40 to 44","--","14,883","--","--","--"
"2021","Minnesota","45 to 49","--","12,344","--","--","--"
"2021","Minnesota","50 to 54","--","10,993","--","--","--"
"2021","Minnesota","55 to 59","--","9,437","--","--","--"
"2021","Minnesota","60 to 64","--","7,571","--","--","--"
"2021","Minnesota","65 to 69","0**","4,925","0.00**","--","--"
"2021","Minnesota","70 to 74","--","2,916","--","--","--"
"2021","Minnesota","75 to 79","0**","1,622","0.00**","--","--"
"2021","Minnesota","80 to 84","0**","822","0.00**","--","--"
"2021","Minnesota","85+","0**","688","0.00**","--","--"
"2021","Mississippi","0 to 4","--","38,411","--","--","--"
"2021","Mississippi","5 to 9","--","38,453","--","--","--"
"2021","Mississippi","10 to 14","--","44,649","--","--","--"
"2021","Mississippi","15 to 19","51","43,341","117.67","--","2,420"
"2021","Mississippi","20 to 24","97","41,225","235.29","--","4,171"
"2021","Mississippi","25 to 29","56","39,717","141.00","--","2,113"
"2021","Mississippi","30 to 34","53","36,964","143.38","--","1,738"
"2021","Mississippi","35 to 39","42","33,503","125.36","--","1,175"
"2021","Mississippi","40 to 44","45","33,108","135.92","--","1,024"
"2021","Mississippi","45 to 49","22","29,373","74.90","--","400"
"2021","Mississippi","50 to 54","--","29,252","--","--","--"
"2021","Mississippi","55 to 59","--","30,943","--","--","--"
"2021","Mississippi","60 to 64","10**","29,633","33.75**","--","34"
"2021","Mississippi","65 to 69","--","24,507","--","--","--"
"2021","Mississippi","70 to 74","0**","17,496","0.00**","--","--"
"2021","Mississippi","75 to 79","0**","8,881","0.00**","--","--"
"2021","Mississippi","80 to 84","0**","4,841","0.00**","--","--"
"2021","Mississippi","85+","0**","3,240","0.00**","--","--"
"2021","Missouri","0 to 4","--","26,514","--","--","--"
"2021","Missouri","5 to 9","--","27,118","--","--","--"
"2021","Missouri","10 to 14","--","27,926","--","--","--"
"2021","Missouri","15 to 19","52","27,366","190.02","--","2,471"
"2021","Missouri","20 to 24","59","27,216","216.78","--","2,539"
"2021","Missouri","25 to 29","62","28,618","216.65","--","2,330"
"2021","Missouri","30 to 34","62","27,115","228.66","--","2,057"
