"Intent","Year","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"Assault - Other","2018","--","326,838,199","--","--","--","--","--","--","--"
"Assault - Other","2017","--","325,122,128","--","--","--","--","--","--","--"
"Assault - Other","2016","--","323,071,755","--","--","--","--","--","--","--"
"Assault - Other","2015","--","320,738,994","--","--","--","--","--","--","--"
"Assault - Other","2014","--","318,386,329","--","--","--","--","--","--","--"
"Assault - Other","2013","--","316,059,947","--","--","--","--","--","--","--"
"Assault - Other","2012","59,077","313,877,662","18.82","18.92","1,626","16,269","27.5%","27,189","90,965"
"Assault - Other","2011","55,544","311,583,481","17.83","17.85","1,388","15,761","28.4%","24,651","86,436"
"Assault - Other","2010","53,738","308,758,105","17.40","17.55","1,378","15,913","29.6%","22,548","84,928"
"Assault - Other","2009","44,466","306,771,529","14.49","14.50","1,287","11,859","26.7%","21,223","67,710"
"Assault - Other","2008","56,626","304,093,966","18.62","18.57","1,485","16,825","29.7%","23,648","89,604"
"Assault - Other","2007","--","301,231,207","--","--","--","--","--","--","--"
"Assault - Other","2006","52,748","298,379,912","17.68","17.45","1,486","15,048","28.5%","23,255","82,241"
"Assault - Other","2005","50,297","295,516,599","17.02","16.91","1,434","14,409","28.6%","22,056","78,538"
"Assault - Other","2004","43,569","292,805,298","14.88","14.72","1,255","11,700","26.9%","20,637","66,500"
"Assault - Other","2003","42,455","290,107,933","14.63","14.38","1,113","11,374","26.8%","20,161","64,749"
"Assault - Other","2002","37,321","287,625,193","12.98","12.75","1,126","9,235","24.7%","19,221","55,421"
"Assault - Other","2001","41,044","284,968,955","14.40","14.11","1,086","10,180","24.8%","21,091","60,997"
"Assault - Sexual","2020","--","329,484,123","--","--","--","--","--","--","--"
"Assault - Sexual","2018","--","326,838,199","--","--","--","--","--","--","--"
"Assault - Sexual","2016","--","323,071,755","--","--","--","--","--","--","--"
"Assault - Sexual","2015","--","320,738,994","--","--","--","--","--","--","--"
"Assault - Sexual","2005","--","295,516,599","--","--","--","--","--","--","--"
"Assault - Sexual","2004","--","292,805,298","--","--","--","--","--","--","--"
"Assault - Sexual","2003","--","290,107,933","--","--","--","--","--","--","--"
"Legal Intervention","2021","--","331,893,745","--","--","--","--","--","--","--"
"Legal Intervention","2020","--","329,484,123","--","--","--","--","--","--","--"
"Legal Intervention","2019","--","328,329,953","--","--","--","--","--","--","--"
"Legal Intervention","2018","--","326,838,199","--","--","--","--","--","--","--"
"Legal Intervention","2017","--","325,122,128","--","--","--","--","--","--","--"
"Legal Intervention","2016","--","323,071,755","--","--","--","--","--","--","--"
"Legal Intervention","2015","--","320,738,994","--","--","--","--","--","--","--"
"Legal Intervention","2014","--","318,386,329","--","--","--","--","--","--","--"
"Legal Intervention","2013","--","316,059,947","--","--","--","--","--","--","--"
"Legal Intervention","2012","--","313,877,662","--","--","--","--","--","--","--"
"Legal Intervention","2011","--","311,583,481","--","--","--","--","--","--","--"
"Legal Intervention","2010","--","308,758,105","--","--","--","--","--","--","--"
"Legal Intervention","2009","--","306,771,529","--","--","--","--","--","--","--"
"Legal Intervention","2008","--","304,093,966","--","--","--","--","--","--","--"
"Legal Intervention","2007","--","301,231,207","--","--","--","--","--","--","--"
"Legal Intervention","2006","--","298,379,912","--","--","--","--","--","--","--"
"Legal Intervention","2005","--","295,516,599","--","--","--","--","--","--","--"
"Legal Intervention","2004","--","292,805,298","--","--","--","--","--","--","--"
"Legal Intervention","2003","--","290,107,933","--","--","--","--","--","--","--"
"Legal Intervention","2002","--","287,625,193","--","--","--","--","--","--","--"
"Legal Intervention","2001","--","284,968,955","--","--","--","--","--","--","--"
"Self-Harm","2021","--","331,893,745","--","--","--","--","--","--","--"
"Self-Harm","2020","--","329,484,123","--","--","--","--","--","--","--"
"Self-Harm","2019","--","328,329,953","--","--","--","--","--","--","--"
"Self-Harm","2018","--","326,838,199","--","--","--","--","--","--","--"
"Self-Harm","2017","--","325,122,128","--","--","--","--","--","--","--"
"Self-Harm","2016","--","323,071,755","--","--","--","--","--","--","--"
"Self-Harm","2015","--","320,738,994","--","--","--","--","--","--","--"
"Self-Harm","2014","--","318,386,329","--","--","--","--","--","--","--"
"Self-Harm","2013","--","316,059,947","--","--","--","--","--","--","--"
"Self-Harm","2012","4,086","313,877,662","1.30","1.23","87","1,178","28.8%","1,777","6,395"
"Self-Harm","2011","--","311,583,481","--","--","--","--","--","--","--"
"Self-Harm","2010","--","308,758,105","--","--","--","--","--","--","--"
"Self-Harm","2009","--","306,771,529","--","--","--","--","--","--","--"
"Self-Harm","2008","--","304,093,966","--","--","--","--","--","--","--"
"Self-Harm","2007","--","301,231,207","--","--","--","--","--","--","--"
"Self-Harm","2006","--","298,379,912","--","--","--","--","--","--","--"
"Self-Harm","2005","--","295,516,599","--","--","--","--","--","--","--"
"Self-Harm","2004","--","292,805,298","--","--","--","--","--","--","--"
"Self-Harm","2003","--","290,107,933","--","--","--","--","--","--","--"
"Self-Harm","2002","--","287,625,193","--","--","--","--","--","--","--"
"Self-Harm","2001","--","284,968,955","--","--","--","--","--","--","--"
"Total","","1,944,049","6,515,645,013","29.84","--","46,062","--","--","--","--"
"","","","","","","","","","",""
"Injury Outcome: Nonfatal All Injuries","","","","","","","","","",""
"Data Years: 2001 to 2021","","","","","","","","","",""
"Geography: United States","","","","","","","","","",""
"Disposition: All Cases","","","","","","","","","",""
"Intent: All Intents","","","","","","","","","",""
"Mechanism: Firearm","","","","","","","","","",""
"Age: All Ages","","","","","","","","","",""
"Sex: All Sexes","","","","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","","","","",""
