"Year","State","Race","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Delaware","Asian","Hispanic","0**","129","0.00**","--","--"
"2023","Delaware","HI Native / Pacific Islander","Non-Hispanic","0**","25","0.00**","--","--"
"2023","Delaware","HI Native / Pacific Islander","Hispanic","0**","144","0.00**","--","--"
"2023","Delaware","More than One Race","Non-Hispanic","--","4,407","--","--","--"
"2023","Delaware","More than One Race","Hispanic","0**","667","0.00**","--","--"
"2023","District of Columbia","White","Non-Hispanic","0**","34,531","0.00**","--","--"
"2023","District of Columbia","White","Hispanic","--","6,811","--","--","--"
"2023","District of Columbia","Black","Non-Hispanic","57","29,713","191.84","--","2,496"
"2023","District of Columbia","Black","Hispanic","0**","1,222","0.00**","--","--"
"2023","District of Columbia","American Indian / Alaska Native","Non-Hispanic","0**","145","0.00**","--","--"
"2023","District of Columbia","American Indian / Alaska Native","Hispanic","0**","322","0.00**","--","--"
"2023","District of Columbia","Asian","Non-Hispanic","0**","5,068","0.00**","--","--"
"2023","District of Columbia","Asian","Hispanic","0**","79","0.00**","--","--"
"2023","District of Columbia","HI Native / Pacific Islander","Non-Hispanic","0**","66","0.00**","--","--"
"2023","District of Columbia","HI Native / Pacific Islander","Hispanic","0**","65","0.00**","--","--"
"2023","District of Columbia","More than One Race","Non-Hispanic","0**","2,702","0.00**","--","--"
"2023","District of Columbia","More than One Race","Hispanic","0**","489","0.00**","--","--"
"2023","Florida","White","Non-Hispanic","125","903,731","13.83","--","5,404"
"2023","Florida","White","Hispanic","72","583,192","12.35","--","3,104"
"2023","Florida","Black","Non-Hispanic","236","390,965","60.36","--","10,236"
"2023","Florida","Black","Hispanic","--","38,936","--","--","--"
"2023","Florida","American Indian / Alaska Native","Non-Hispanic","0**","5,192","0.00**","--","--"
"2023","Florida","American Indian / Alaska Native","Hispanic","0**","8,331","0.00**","--","--"
"2023","Florida","Asian","Non-Hispanic","--","65,452","--","--","--"
"2023","Florida","Asian","Hispanic","--","3,192","--","--","--"
"2023","Florida","HI Native / Pacific Islander","Non-Hispanic","0**","1,493","0.00**","--","--"
"2023","Florida","HI Native / Pacific Islander","Hispanic","0**","1,358","0.00**","--","--"
"2023","Florida","More than One Race","Non-Hispanic","11**","60,375","18.22**","--","476"
"2023","Florida","More than One Race","Hispanic","--","18,661","--","--","--"
"2023","Georgia","White","Non-Hispanic","92","528,474","17.41","--","3,951"
"2023","Georgia","White","Hispanic","26","140,585","18.49","--","1,119"
"2023","Georgia","Black","Non-Hispanic","293","404,799","72.38","--","12,754"
"2023","Georgia","Black","Hispanic","--","14,959","--","--","--"
"2023","Georgia","American Indian / Alaska Native","Non-Hispanic","--","2,508","--","--","--"
"2023","Georgia","American Indian / Alaska Native","Hispanic","0**","6,551","0.00**","--","--"
"2023","Georgia","Asian","Non-Hispanic","--","51,831","--","--","--"
"2023","Georgia","Asian","Hispanic","0**","1,439","0.00**","--","--"
"2023","Georgia","HI Native / Pacific Islander","Non-Hispanic","0**","879","0.00**","--","--"
"2023","Georgia","HI Native / Pacific Islander","Hispanic","0**","859","0.00**","--","--"
"2023","Georgia","More than One Race","Non-Hispanic","--","33,826","--","--","--"
"2023","Georgia","More than One Race","Hispanic","0**","6,245","0.00**","--","--"
"2023","Hawaii","White","Non-Hispanic","0**","28,591","0.00**","--","--"
"2023","Hawaii","White","Hispanic","--","7,687","--","--","--"
"2023","Hawaii","Black","Non-Hispanic","0**","4,353","0.00**","--","--"
"2023","Hawaii","Black","Hispanic","0**","494","0.00**","--","--"
"2023","Hawaii","American Indian / Alaska Native","Non-Hispanic","0**","447","0.00**","--","--"
"2023","Hawaii","American Indian / Alaska Native","Hispanic","0**","261","0.00**","--","--"
"2023","Hawaii","Asian","Non-Hispanic","0**","33,154","0.00**","--","--"
"2023","Hawaii","Asian","Hispanic","0**","1,297","0.00**","--","--"
"2023","Hawaii","HI Native / Pacific Islander","Non-Hispanic","--","13,666","--","--","--"
"2023","Hawaii","HI Native / Pacific Islander","Hispanic","0**","1,092","0.00**","--","--"
"2023","Hawaii","More than One Race","Non-Hispanic","--","33,548","--","--","--"
"2023","Hawaii","More than One Race","Hispanic","0**","8,144","0.00**","--","--"
"2023","Idaho","White","Non-Hispanic","37","163,960","22.57","--","1,606"
"2023","Idaho","White","Hispanic","--","34,739","--","--","--"
"2023","Idaho","Black","Non-Hispanic","--","2,758","--","--","--"
"2023","Idaho","Black","Hispanic","0**","512","0.00**","--","--"
"2023","Idaho","American Indian / Alaska Native","Non-Hispanic","--","2,220","--","--","--"
"2023","Idaho","American Indian / Alaska Native","Hispanic","--","1,585","--","--","--"
"2023","Idaho","Asian","Non-Hispanic","0**","3,793","0.00**","--","--"
"2023","Idaho","Asian","Hispanic","0**","316","0.00**","--","--"
"2023","Idaho","HI Native / Pacific Islander","Non-Hispanic","0**","561","0.00**","--","--"
"2023","Idaho","HI Native / Pacific Islander","Hispanic","0**","127","0.00**","--","--"
"2023","Idaho","More than One Race","Non-Hispanic","--","6,932","--","--","--"
"2023","Idaho","More than One Race","Hispanic","0**","1,710","0.00**","--","--"
"2023","Illinois","White","Non-Hispanic","53","658,217","8.05","--","2,257"
"2023","Illinois","White","Hispanic","64","296,434","21.59","--","2,790"
"2023","Illinois","Black","Non-Hispanic","222","191,602","115.87","--","9,729"
"2023","Illinois","Black","Hispanic","--","11,650","--","--","--"
"2023","Illinois","Black","Unknown","--","--","--","--","--"
"2023","Illinois","American Indian / Alaska Native","Non-Hispanic","0**","1,967","0.00**","--","--"
"2023","Illinois","American Indian / Alaska Native","Hispanic","--","9,462","--","--","--"
"2023","Illinois","Asian","Non-Hispanic","--","81,660","--","--","--"
"2023","Illinois","Asian","Hispanic","0**","2,864","0.00**","--","--"
"2023","Illinois","HI Native / Pacific Islander","Non-Hispanic","0**","506","0.00**","--","--"
"2023","Illinois","HI Native / Pacific Islander","Hispanic","0**","609","0.00**","--","--"
"2023","Illinois","More than One Race","Non-Hispanic","--","37,234","--","--","--"
"2023","Illinois","More than One Race","Hispanic","--","8,342","--","--","--"
"2023","Indiana","White","Non-Hispanic","87","524,850","16.58","--","3,775"
"2023","Indiana","White","Hispanic","23","77,095","29.83","--","1,005"
"2023","Indiana","Black","Non-Hispanic","110","80,182","137.19","--","4,778"
"2023","Indiana","Black","Hispanic","--","4,542","--","--","--"
"2023","Indiana","American Indian / Alaska Native","Non-Hispanic","0**","1,539","0.00**","--","--"
"2023","Indiana","American Indian / Alaska Native","Hispanic","0**","2,195","0.00**","--","--"
"2023","Indiana","Asian","Non-Hispanic","--","30,053","--","--","--"
"2023","Indiana","Asian","Hispanic","0**","660","0.00**","--","--"
"2023","Indiana","HI Native / Pacific Islander","Non-Hispanic","0**","356","0.00**","--","--"
"2023","Indiana","HI Native / Pacific Islander","Hispanic","0**","317","0.00**","--","--"
"2023","Indiana","More than One Race","Non-Hispanic","--","24,503","--","--","--"
"2023","Indiana","More than One Race","Hispanic","0**","3,281","0.00**","--","--"
"2023","Iowa","White","Non-Hispanic","31","276,551","11.21","--","1,315"
"2023","Iowa","White","Hispanic","--","31,824","--","--","--"
"2023","Iowa","White","Unknown","--","--","--","--","--"
"2023","Iowa","Black","Non-Hispanic","14**","19,219","72.85**","--","617"
"2023","Iowa","Black","Hispanic","0**","1,062","0.00**","--","--"
"2023","Iowa","American Indian / Alaska Native","Non-Hispanic","0**","1,330","0.00**","--","--"
"2023","Iowa","American Indian / Alaska Native","Hispanic","0**","1,355","0.00**","--","--"
"2023","Iowa","Asian","Non-Hispanic","0**","14,022","0.00**","--","--"
"2023","Iowa","Asian","Hispanic","0**","231","0.00**","--","--"
"2023","Iowa","HI Native / Pacific Islander","Non-Hispanic","0**","1,085","0.00**","--","--"
"2023","Iowa","HI Native / Pacific Islander","Hispanic","0**","111","0.00**","--","--"
"2023","Iowa","More than One Race","Non-Hispanic","--","11,097","--","--","--"
"2023","Iowa","More than One Race","Hispanic","--","1,436","--","--","--"
"2023","Kansas","White","Non-Hispanic","46","223,652","20.57","--","2,002"
"2023","Kansas","White","Hispanic","--","54,439","--","--","--"
"2023","Kansas","White","Unknown","--","--","--","--","--"
"2023","Kansas","Black","Non-Hispanic","25","22,134","112.95","--","1,093"
"2023","Kansas","Black","Hispanic","0**","2,295","0.00**","--","--"
"2023","Kansas","Black","Unknown","--","--","--","--","--"
"2023","Kansas","American Indian / Alaska Native","Non-Hispanic","--","3,333","--","--","--"
"2023","Kansas","American Indian / Alaska Native","Hispanic","0**","1,966","0.00**","--","--"
"2023","Kansas","Asian","Non-Hispanic","--","12,326","--","--","--"
"2023","Kansas","Asian","Hispanic","0**","362","0.00**","--","--"
"2023","Kansas","HI Native / Pacific Islander","Non-Hispanic","--","443","--","--","--"
"2023","Kansas","HI Native / Pacific Islander","Hispanic","0**","142","0.00**","--","--"
"2023","Kansas","More than One Race","Non-Hispanic","--","14,272","--","--","--"
"2023","Kansas","More than One Race","Hispanic","--","2,708","--","--","--"
"2023","Kentucky","White","Non-Hispanic","76","362,037","20.99","--","3,317"
"2023","Kentucky","White","Hispanic","--","26,265","--","--","--"
"2023","Kentucky","Black","Non-Hispanic","55","48,107","114.33","--","2,395"
"2023","Kentucky","Black","Hispanic","--","1,758","--","--","--"
"2023","Kentucky","American Indian / Alaska Native","Non-Hispanic","0**","895","0.00**","--","--"
"2023","Kentucky","American Indian / Alaska Native","Hispanic","0**","775","0.00**","--","--"
"2023","Kentucky","Asian","Non-Hispanic","--","8,931","--","--","--"
"2023","Kentucky","Asian","Hispanic","0**","230","0.00**","--","--"
"2023","Kentucky","HI Native / Pacific Islander","Non-Hispanic","0**","653","0.00**","--","--"
"2023","Kentucky","HI Native / Pacific Islander","Hispanic","0**","192","0.00**","--","--"
"2023","Kentucky","More than One Race","Non-Hispanic","0**","15,149","0.00**","--","--"
"2023","Kentucky","More than One Race","Hispanic","0**","1,284","0.00**","--","--"
"2023","Louisiana","White","Non-Hispanic","48","238,577","20.12","--","2,089"
"2023","Louisiana","White","Hispanic","--","30,651","--","--","--"
"2023","Louisiana","Black","Non-Hispanic","254","174,299","145.73","--","11,115"
"2023","Louisiana","Black","Hispanic","--","3,190","--","--","--"
"2023","Louisiana","American Indian / Alaska Native","Non-Hispanic","--","3,266","--","--","--"
"2023","Louisiana","American Indian / Alaska Native","Hispanic","--","975","--","--","--"
"2023","Louisiana","Asian","Non-Hispanic","--","9,987","--","--","--"
"2023","Louisiana","Asian","Hispanic","0**","278","0.00**","--","--"
"2023","Louisiana","HI Native / Pacific Islander","Non-Hispanic","0**","192","0.00**","--","--"
"2023","Louisiana","HI Native / Pacific Islander","Hispanic","0**","113","0.00**","--","--"
"2023","Louisiana","More than One Race","Non-Hispanic","--","10,944","--","--","--"
"2023","Louisiana","More than One Race","Hispanic","0**","1,710","0.00**","--","--"
"2023","Maine","White","Non-Hispanic","17**","110,144","15.43**","--","724"
"2023","Maine","White","Hispanic","--","3,674","--","--","--"
"2023","Maine","Black","Non-Hispanic","--","3,983","--","--","--"
"2023","Maine","Black","Hispanic","0**","236","0.00**","--","--"
"2023","Maine","American Indian / Alaska Native","Non-Hispanic","0**","904","0.00**","--","--"
"2023","Maine","American Indian / Alaska Native","Hispanic","0**","125","0.00**","--","--"
"2023","Maine","Asian","Non-Hispanic","0**","2,639","0.00**","--","--"
"2023","Maine","Asian","Hispanic","0**","44","0.00**","--","--"
"2023","Maine","HI Native / Pacific Islander","Non-Hispanic","0**","48","0.00**","--","--"
"2023","Maine","HI Native / Pacific Islander","Hispanic","0**","18","0.00**","--","--"
"2023","Maine","More than One Race","Non-Hispanic","0**","3,791","0.00**","--","--"
"2023","Maine","More than One Race","Hispanic","0**","349","0.00**","--","--"
"2023","Maryland","White","Non-Hispanic","14**","252,319","5.55**","--","615"
"2023","Maryland","White","Hispanic","16**","71,280","22.45**","--","697"
"2023","Maryland","Black","Non-Hispanic","122","185,278","65.85","--","5,373"
"2023","Maryland","Black","Hispanic","--","9,942","--","--","--"
"2023","Maryland","American Indian / Alaska Native","Non-Hispanic","0**","1,341","0.00**","--","--"
"2023","Maryland","American Indian / Alaska Native","Hispanic","0**","3,669","0.00**","--","--"
"2023","Maryland","Asian","Non-Hispanic","--","38,376","--","--","--"
"2023","Maryland","Asian","Hispanic","0**","1,061","0.00**","--","--"
"2023","Maryland","HI Native / Pacific Islander","Non-Hispanic","0**","225","0.00**","--","--"
"2023","Maryland","HI Native / Pacific Islander","Hispanic","--","364","--","--","--"
"2023","Maryland","More than One Race","Non-Hispanic","0**","24,710","0.00**","--","--"
"2023","Maryland","More than One Race","Hispanic","0**","4,358","0.00**","--","--"
"2023","Massachusetts","White","Non-Hispanic","12**","488,513","2.46**","--","507"
"2023","Massachusetts","White","Hispanic","17**","96,944","17.54**","--","730"
"2023","Massachusetts","Black","Non-Hispanic","18**","62,484","28.81**","--","788"
"2023","Massachusetts","Black","Hispanic","--","17,177","--","--","--"
"2023","Massachusetts","American Indian / Alaska Native","Non-Hispanic","0**","1,338","0.00**","--","--"
"2023","Massachusetts","American Indian / Alaska Native","Hispanic","0**","3,490","0.00**","--","--"
"2023","Massachusetts","Asian","Non-Hispanic","--","70,689","--","--","--"
"2023","Massachusetts","Asian","Hispanic","0**","1,336","0.00**","--","--"
"2023","Massachusetts","HI Native / Pacific Islander","Non-Hispanic","0**","377","0.00**","--","--"
"2023","Massachusetts","HI Native / Pacific Islander","Hispanic","0**","625","0.00**","--","--"
"2023","Massachusetts","More than One Race","Non-Hispanic","--","24,445","--","--","--"
"2023","Massachusetts","More than One Race","Hispanic","0**","7,968","0.00**","--","--"
"2023","Michigan","White","Non-Hispanic","80","711,027","11.25","--","3,440"
"2023","Michigan","White","Hispanic","16**","75,551","21.18**","--","698"
"2023","Michigan","White","Unknown","--","--","--","--","--"
"2023","Michigan","Black","Non-Hispanic","109","152,742","71.36","--","4,774"
"2023","Michigan","Black","Hispanic","--","5,676","--","--","--"
"2023","Michigan","American Indian / Alaska Native","Non-Hispanic","--","6,515","--","--","--"
"2023","Michigan","American Indian / Alaska Native","Hispanic","0**","2,610","0.00**","--","--"
"2023","Michigan","Asian","Non-Hispanic","--","47,605","--","--","--"
"2023","Michigan","Asian","Hispanic","0**","720","0.00**","--","--"
"2023","Michigan","HI Native / Pacific Islander","Non-Hispanic","0**","399","0.00**","--","--"
"2023","Michigan","HI Native / Pacific Islander","Hispanic","0**","264","0.00**","--","--"
"2023","Michigan","More than One Race","Non-Hispanic","--","41,793","--","--","--"
"2023","Michigan","More than One Race","Hispanic","0**","5,184","0.00**","--","--"
"2023","Minnesota","White","Non-Hispanic","28","401,110","6.98","--","1,187"
"2023","Minnesota","White","Hispanic","--","45,218","--","--","--"
"2023","Minnesota","Black","Non-Hispanic","36","52,524","68.54","--","1,561"
"2023","Minnesota","Black","Hispanic","--","2,165","--","--","--"
"2023","Minnesota","American Indian / Alaska Native","Non-Hispanic","--","7,556","--","--","--"
"2023","Minnesota","American Indian / Alaska Native","Hispanic","0**","2,675","0.00**","--","--"
"2023","Minnesota","Asian","Non-Hispanic","--","36,920","--","--","--"
"2023","Minnesota","Asian","Hispanic","0**","505","0.00**","--","--"
"2023","Minnesota","HI Native / Pacific Islander","Non-Hispanic","0**","348","0.00**","--","--"
"2023","Minnesota","HI Native / Pacific Islander","Hispanic","0**","235","0.00**","--","--"
"2023","Minnesota","More than One Race","Non-Hispanic","--","23,752","--","--","--"
"2023","Minnesota","More than One Race","Hispanic","0**","3,041","0.00**","--","--"
"2023","Mississippi","White","Non-Hispanic","30","161,707","18.55","--","1,302"
"2023","Mississippi","White","Hispanic","--","12,176","--","--","--"
"2023","Mississippi","Black","Non-Hispanic","150","131,645","113.94","--","6,542"
"2023","Mississippi","Black","Hispanic","0**","1,353","0.00**","--","--"
"2023","Mississippi","American Indian / Alaska Native","Non-Hispanic","--","1,918","--","--","--"
"2023","Mississippi","American Indian / Alaska Native","Hispanic","0**","483","0.00**","--","--"
"2023","Mississippi","Asian","Non-Hispanic","0**","4,328","0.00**","--","--"
"2023","Mississippi","Asian","Hispanic","0**","90","0.00**","--","--"
"2023","Mississippi","HI Native / Pacific Islander","Non-Hispanic","0**","179","0.00**","--","--"
"2023","Mississippi","HI Native / Pacific Islander","Hispanic","0**","82","0.00**","--","--"
"2023","Mississippi","More than One Race","Non-Hispanic","--","6,039","--","--","--"
"2023","Mississippi","More than One Race","Hispanic","0**","708","0.00**","--","--"
"2023","Missouri","White","Non-Hispanic","85","466,855","18.21","--","3,663"
"2023","Missouri","White","Hispanic","11**","40,731","27.01**","--","467"
"2023","Missouri","Black","Non-Hispanic","128","81,834","156.41","--","5,586"
"2023","Missouri","Black","Hispanic","--","2,480","--","--","--"
"2023","Missouri","American Indian / Alaska Native","Non-Hispanic","--","2,870","--","--","--"
"2023","Missouri","American Indian / Alaska Native","Hispanic","0**","1,422","0.00**","--","--"
"2023","Missouri","Asian","Non-Hispanic","--","19,353","--","--","--"
"2023","Missouri","Asian","Hispanic","--","428","--","--","--"
"2023","Missouri","HI Native / Pacific Islander","Non-Hispanic","0**","1,445","0.00**","--","--"
"2023","Missouri","HI Native / Pacific Islander","Hispanic","0**","298","0.00**","--","--"
"2023","Missouri","More than One Race","Non-Hispanic","--","22,743","--","--","--"
"2023","Missouri","More than One Race","Hispanic","0**","2,737","0.00**","--","--"
"2023","Montana","White","Non-Hispanic","15**","93,346","16.07**","--","660"
"2023","Montana","White","Hispanic","--","5,517","--","--","--"
"2023","Montana","Black","Non-Hispanic","--","1,130","--","--","--"
"2023","Montana","Black","Hispanic","0**","137","0.00**","--","--"
"2023","Montana","American Indian / Alaska Native","Non-Hispanic","--","8,420","--","--","--"
"2023","Montana","American Indian / Alaska Native","Hispanic","--","740","--","--","--"
"2023","Montana","Asian","Non-Hispanic","0**","1,728","0.00**","--","--"
"2023","Montana","Asian","Hispanic","0**","91","0.00**","--","--"
"2023","Montana","HI Native / Pacific Islander","Non-Hispanic","0**","109","0.00**","--","--"
"2023","Montana","HI Native / Pacific Islander","Hispanic","0**","27","0.00**","--","--"
"2023","Montana","More than One Race","Non-Hispanic","--","4,620","--","--","--"
"2023","Montana","More than One Race","Hispanic","0**","775","0.00**","--","--"
"2023","Nebraska","White","Non-Hispanic","26","154,617","16.82","--","1,133"
"2023","Nebraska","White","Hispanic","--","32,079","--","--","--"
"2023","Nebraska","Black","Non-Hispanic","--","12,300","--","--","--"
"2023","Nebraska","Black","Hispanic","0**","947","0.00**","--","--"
"2023","Nebraska","American Indian / Alaska Native","Non-Hispanic","--","2,158","--","--","--"
"2023","Nebraska","American Indian / Alaska Native","Hispanic","0**","1,999","0.00**","--","--"
"2023","Nebraska","Asian","Non-Hispanic","0**","6,819","0.00**","--","--"
"2023","Nebraska","Asian","Hispanic","0**","252","0.00**","--","--"
"2023","Nebraska","HI Native / Pacific Islander","Non-Hispanic","0**","231","0.00**","--","--"
"2023","Nebraska","HI Native / Pacific Islander","Hispanic","0**","157","0.00**","--","--"
"2023","Nebraska","More than One Race","Non-Hispanic","0**","7,299","0.00**","--","--"
"2023","Nebraska","More than One Race","Hispanic","0**","1,328","0.00**","--","--"
"2023","Nevada","White","Non-Hispanic","20**","99,000","20.20**","--","853"
"2023","Nevada","White","Hispanic","26","107,074","24.28","--","1,127"
"2023","Nevada","Black","Non-Hispanic","31","30,880","100.39","--","1,357"
"2023","Nevada","Black","Hispanic","--","4,502","--","--","--"
"2023","Nevada","American Indian / Alaska Native","Non-Hispanic","0**","2,452","0.00**","--","--"
"2023","Nevada","American Indian / Alaska Native","Hispanic","--","3,431","--","--","--"
"2023","Nevada","Asian","Non-Hispanic","--","21,488","--","--","--"
"2023","Nevada","Asian","Hispanic","0**","1,874","0.00**","--","--"
"2023","Nevada","HI Native / Pacific Islander","Non-Hispanic","0**","2,198","0.00**","--","--"
"2023","Nevada","HI Native / Pacific Islander","Hispanic","0**","687","0.00**","--","--"
"2023","Nevada","More than One Race","Non-Hispanic","--","16,637","--","--","--"
"2023","Nevada","More than One Race","Hispanic","0**","5,383","0.00**","--","--"
"2023","New Hampshire","White","Non-Hispanic","13**","114,324","11.37**","--","560"
"2023","New Hampshire","White","Hispanic","0**","7,572","0.00**","--","--"
"2023","New Hampshire","Black","Non-Hispanic","0**","3,085","0.00**","--","--"
"2023","New Hampshire","Black","Hispanic","0**","694","0.00**","--","--"
"2023","New Hampshire","American Indian / Alaska Native","Non-Hispanic","0**","329","0.00**","--","--"
"2023","New Hampshire","American Indian / Alaska Native","Hispanic","0**","177","0.00**","--","--"
"2023","New Hampshire","Asian","Non-Hispanic","0**","4,949","0.00**","--","--"
"2023","New Hampshire","Asian","Hispanic","0**","61","0.00**","--","--"
