"Year","State","Age Group","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Alaska","65 to 69","0**","548","0.00**","--","--"
"2023","Alaska","70 to 74","0**","361","0.00**","--","--"
"2023","Alaska","75 to 79","0**","159","0.00**","--","--"
"2023","Alaska","80 to 84","0**","78","0.00**","--","--"
"2023","Alaska","85+","0**","60","0.00**","--","--"
"2023","Arizona","0 to 4","0**","10,480","0.00**","--","--"
"2023","Arizona","5 to 9","0**","12,612","0.00**","--","--"
"2023","Arizona","10 to 14","--","13,282","--","--","--"
"2023","Arizona","15 to 19","10**","13,908","71.90**","--","474"
"2023","Arizona","20 to 24","--","14,311","--","--","--"
"2023","Arizona","25 to 29","10**","16,860","59.31**","--","378"
"2023","Arizona","30 to 34","11**","18,205","60.42**","--","371"
"2023","Arizona","35 to 39","--","15,598","--","--","--"
"2023","Arizona","40 to 44","--","13,773","--","--","--"
"2023","Arizona","45 to 49","--","11,376","--","--","--"
"2023","Arizona","50 to 54","--","11,062","--","--","--"
"2023","Arizona","55 to 59","--","10,037","--","--","--"
"2023","Arizona","60 to 64","--","9,710","--","--","--"
"2023","Arizona","65 to 69","0**","7,495","0.00**","--","--"
"2023","Arizona","70 to 74","0**","5,107","0.00**","--","--"
"2023","Arizona","75 to 79","0**","3,045","0.00**","--","--"
"2023","Arizona","80 to 84","0**","1,632","0.00**","--","--"
"2023","Arizona","85+","0**","1,183","0.00**","--","--"
"2023","Arkansas","0 to 4","0**","16,569","0.00**","--","--"
"2023","Arkansas","5 to 9","0**","17,108","0.00**","--","--"
"2023","Arkansas","10 to 14","--","17,390","--","--","--"
"2023","Arkansas","15 to 19","35","18,295","191.31","--","1,667"
"2023","Arkansas","20 to 24","26","18,664","139.31","--","1,134"
"2023","Arkansas","25 to 29","24","16,872","142.25","--","927"
"2023","Arkansas","30 to 34","24","17,125","140.15","--","794"
"2023","Arkansas","35 to 39","18**","14,291","125.95**","--","496"
"2023","Arkansas","40 to 44","--","13,728","--","--","--"
"2023","Arkansas","45 to 49","--","12,039","--","--","--"
"2023","Arkansas","50 to 54","--","11,690","--","--","--"
"2023","Arkansas","55 to 59","--","11,499","--","--","--"
"2023","Arkansas","60 to 64","--","11,912","--","--","--"
"2023","Arkansas","65 to 69","--","10,447","--","--","--"
"2023","Arkansas","70 to 74","0**","7,564","0.00**","--","--"
"2023","Arkansas","75 to 79","0**","4,235","0.00**","--","--"
"2023","Arkansas","80 to 84","0**","2,118","0.00**","--","--"
"2023","Arkansas","85+","0**","1,519","0.00**","--","--"
"2023","California","0 to 4","0**","54,666","0.00**","--","--"
"2023","California","5 to 9","0**","57,663","0.00**","--","--"
"2023","California","10 to 14","--","62,569","--","--","--"
"2023","California","15 to 19","32","66,353","48.23","--","1,524"
"2023","California","20 to 24","49","71,851","68.20","--","2,088"
"2023","California","25 to 29","51","85,848","59.41","--","1,938"
"2023","California","30 to 34","60","101,673","59.01","--","1,968"
"2023","California","35 to 39","47","86,069","54.61","--","1,321"
"2023","California","40 to 44","41","76,542","53.57","--","934"
"2023","California","45 to 49","14**","67,305","20.80**","--","256"
"2023","California","50 to 54","18**","70,909","25.39**","--","238"
"2023","California","55 to 59","17**","72,044","23.60**","--","140"
"2023","California","60 to 64","--","70,981","--","--","--"
"2023","California","65 to 69","--","55,933","--","--","--"
"2023","California","70 to 74","--","38,153","--","--","--"
"2023","California","75 to 79","--","24,175","--","--","--"
"2023","California","80 to 84","0**","14,244","0.00**","--","--"
"2023","California","85+","0**","11,785","0.00**","--","--"
"2023","Colorado","0 to 4","0**","7,704","0.00**","--","--"
"2023","Colorado","5 to 9","0**","7,868","0.00**","--","--"
"2023","Colorado","10 to 14","--","7,997","--","--","--"
"2023","Colorado","15 to 19","--","8,043","--","--","--"
"2023","Colorado","20 to 24","10**","9,601","104.16**","--","430"
"2023","Colorado","25 to 29","--","12,266","--","--","--"
"2023","Colorado","30 to 34","--","14,321","--","--","--"
"2023","Colorado","35 to 39","--","11,861","--","--","--"
"2023","Colorado","40 to 44","--","10,081","--","--","--"
"2023","Colorado","45 to 49","--","8,648","--","--","--"
"2023","Colorado","50 to 54","--","8,312","--","--","--"
"2023","Colorado","55 to 59","--","7,290","--","--","--"
"2023","Colorado","60 to 64","0**","6,740","0.00**","--","--"
"2023","Colorado","65 to 69","0**","5,174","0.00**","--","--"
"2023","Colorado","70 to 74","0**","3,429","0.00**","--","--"
"2023","Colorado","75 to 79","0**","1,963","0.00**","--","--"
"2023","Colorado","80 to 84","0**","1,022","0.00**","--","--"
"2023","Colorado","85+","0**","749","0.00**","--","--"
"2023","Connecticut","0 to 4","0**","11,191","0.00**","--","--"
"2023","Connecticut","5 to 9","0**","11,541","0.00**","--","--"
"2023","Connecticut","10 to 14","0**","12,790","0.00**","--","--"
"2023","Connecticut","15 to 19","--","13,919","--","--","--"
"2023","Connecticut","20 to 24","11**","14,284","77.01**","--","470"
"2023","Connecticut","25 to 29","15**","14,763","101.61**","--","571"
"2023","Connecticut","30 to 34","--","15,974","--","--","--"
"2023","Connecticut","35 to 39","--","14,004","--","--","--"
"2023","Connecticut","40 to 44","--","13,130","--","--","--"
"2023","Connecticut","45 to 49","--","11,506","--","--","--"
"2023","Connecticut","50 to 54","--","11,979","--","--","--"
"2023","Connecticut","55 to 59","--","12,023","--","--","--"
"2023","Connecticut","60 to 64","0**","10,395","0.00**","--","--"
"2023","Connecticut","65 to 69","0**","8,077","0.00**","--","--"
"2023","Connecticut","70 to 74","--","5,236","--","--","--"
"2023","Connecticut","75 to 79","0**","3,451","0.00**","--","--"
"2023","Connecticut","80 to 84","0**","2,078","0.00**","--","--"
"2023","Connecticut","85+","0**","1,324","0.00**","--","--"
"2023","Delaware","0 to 4","0**","6,957","0.00**","--","--"
"2023","Delaware","5 to 9","0**","7,543","0.00**","--","--"
"2023","Delaware","10 to 14","0**","8,274","0.00**","--","--"
"2023","Delaware","15 to 19","--","8,637","--","--","--"
"2023","Delaware","20 to 24","--","8,210","--","--","--"
"2023","Delaware","25 to 29","--","7,531","--","--","--"
"2023","Delaware","30 to 34","--","8,196","--","--","--"
"2023","Delaware","35 to 39","--","6,975","--","--","--"
"2023","Delaware","40 to 44","--","6,840","--","--","--"
"2023","Delaware","45 to 49","--","5,979","--","--","--"
"2023","Delaware","50 to 54","0**","6,736","0.00**","--","--"
"2023","Delaware","55 to 59","0**","6,825","0.00**","--","--"
"2023","Delaware","60 to 64","0**","6,933","0.00**","--","--"
"2023","Delaware","65 to 69","0**","5,642","0.00**","--","--"
"2023","Delaware","70 to 74","0**","3,909","0.00**","--","--"
"2023","Delaware","75 to 79","0**","2,436","0.00**","--","--"
"2023","Delaware","80 to 84","0**","1,397","0.00**","--","--"
"2023","Delaware","85+","0**","853","0.00**","--","--"
"2023","District of Columbia","0 to 4","0**","8,509","0.00**","--","--"
"2023","District of Columbia","5 to 9","0**","9,672","0.00**","--","--"
"2023","District of Columbia","10 to 14","--","9,391","--","--","--"
"2023","District of Columbia","15 to 19","28","8,699","321.88","--","1,330"
"2023","District of Columbia","20 to 24","31","8,169","379.48","--","1,316"
"2023","District of Columbia","25 to 29","28","9,600","291.67","--","1,054"
"2023","District of Columbia","30 to 34","38","12,724","298.65","--","1,258"
"2023","District of Columbia","35 to 39","18**","9,325","193.03**","--","501"
"2023","District of Columbia","40 to 44","14**","8,196","170.82**","--","320"
"2023","District of Columbia","45 to 49","--","6,825","--","--","--"
"2023","District of Columbia","50 to 54","--","7,276","--","--","--"
"2023","District of Columbia","55 to 59","10**","7,358","135.91**","--","81"
"2023","District of Columbia","60 to 64","--","7,658","--","--","--"
"2023","District of Columbia","65 to 69","--","6,659","--","--","--"
"2023","District of Columbia","70 to 74","--","4,656","--","--","--"
"2023","District of Columbia","75 to 79","0**","3,102","0.00**","--","--"
"2023","District of Columbia","80 to 84","0**","1,781","0.00**","--","--"
"2023","District of Columbia","85+","0**","1,681","0.00**","--","--"
"2023","Florida","0 to 4","--","107,888","--","--","--"
"2023","Florida","5 to 9","--","120,201","--","--","--"
"2023","Florida","10 to 14","--","124,983","--","--","--"
"2023","Florida","15 to 19","85","126,490","67.20","--","4,044"
"2023","Florida","20 to 24","113","122,607","92.16","--","4,852"
"2023","Florida","25 to 29","91","125,503","72.51","--","3,453"
"2023","Florida","30 to 34","92","138,815","66.28","--","3,056"
"2023","Florida","35 to 39","68","120,395","56.48","--","1,921"
"2023","Florida","40 to 44","36","110,699","32.52","--","840"
"2023","Florida","45 to 49","24","97,573","24.60","--","442"
"2023","Florida","50 to 54","14**","96,971","14.44**","--","182"
"2023","Florida","55 to 59","--","94,818","--","--","--"
"2023","Florida","60 to 64","12**","91,305","13.14**","--","34"
"2023","Florida","65 to 69","--","75,256","--","--","--"
"2023","Florida","70 to 74","--","53,948","--","--","--"
"2023","Florida","75 to 79","--","34,466","--","--","--"
"2023","Florida","80 to 84","0**","19,431","0.00**","--","--"
"2023","Florida","85+","0**","14,614","0.00**","--","--"
"2023","Georgia","0 to 4","--","108,939","--","--","--"
"2023","Georgia","5 to 9","--","117,733","--","--","--"
"2023","Georgia","10 to 14","11**","125,528","8.76**","--","573"
"2023","Georgia","15 to 19","96","132,530","72.44","--","4,592"
"2023","Georgia","20 to 24","130","124,831","104.14","--","5,615"
"2023","Georgia","25 to 29","93","125,838","73.91","--","3,517"
"2023","Georgia","30 to 34","84","134,528","62.44","--","2,791"
"2023","Georgia","35 to 39","58","113,428","51.13","--","1,627"
"2023","Georgia","40 to 44","42","109,531","38.35","--","977"
"2023","Georgia","45 to 49","37","97,755","37.85","--","681"
"2023","Georgia","50 to 54","20**","102,064","19.60**","--","252"
"2023","Georgia","55 to 59","19**","97,840","19.42**","--","156"
"2023","Georgia","60 to 64","--","89,910","--","--","--"
"2023","Georgia","65 to 69","--","71,368","--","--","--"
"2023","Georgia","70 to 74","--","49,681","--","--","--"
"2023","Georgia","75 to 79","--","30,142","--","--","--"
"2023","Georgia","80 to 84","0**","15,206","0.00**","--","--"
"2023","Georgia","85+","0**","9,321","0.00**","--","--"
"2023","Hawaii","0 to 4","0**","712","0.00**","--","--"
"2023","Hawaii","5 to 9","0**","785","0.00**","--","--"
"2023","Hawaii","10 to 14","0**","663","0.00**","--","--"
"2023","Hawaii","15 to 19","0**","766","0.00**","--","--"
"2023","Hawaii","20 to 24","0**","2,019","0.00**","--","--"
"2023","Hawaii","25 to 29","0**","2,087","0.00**","--","--"
"2023","Hawaii","30 to 34","0**","2,077","0.00**","--","--"
"2023","Hawaii","35 to 39","0**","1,733","0.00**","--","--"
"2023","Hawaii","40 to 44","0**","1,311","0.00**","--","--"
"2023","Hawaii","45 to 49","0**","1,042","0.00**","--","--"
"2023","Hawaii","50 to 54","0**","996","0.00**","--","--"
"2023","Hawaii","55 to 59","0**","895","0.00**","--","--"
"2023","Hawaii","60 to 64","0**","804","0.00**","--","--"
"2023","Hawaii","65 to 69","0**","609","0.00**","--","--"
"2023","Hawaii","70 to 74","0**","402","0.00**","--","--"
"2023","Hawaii","75 to 79","0**","251","0.00**","--","--"
"2023","Hawaii","80 to 84","0**","111","0.00**","--","--"
"2023","Hawaii","85+","0**","110","0.00**","--","--"
"2023","Idaho","0 to 4","0**","706","0.00**","--","--"
"2023","Idaho","5 to 9","0**","590","0.00**","--","--"
"2023","Idaho","10 to 14","0**","560","0.00**","--","--"
"2023","Idaho","15 to 19","0**","711","0.00**","--","--"
"2023","Idaho","20 to 24","0**","975","0.00**","--","--"
"2023","Idaho","25 to 29","0**","981","0.00**","--","--"
"2023","Idaho","30 to 34","0**","991","0.00**","--","--"
"2023","Idaho","35 to 39","0**","716","0.00**","--","--"
"2023","Idaho","40 to 44","0**","646","0.00**","--","--"
"2023","Idaho","45 to 49","0**","479","0.00**","--","--"
"2023","Idaho","50 to 54","0**","463","0.00**","--","--"
"2023","Idaho","55 to 59","0**","407","0.00**","--","--"
"2023","Idaho","60 to 64","0**","393","0.00**","--","--"
"2023","Idaho","65 to 69","--","331","--","--","--"
"2023","Idaho","70 to 74","0**","169","0.00**","--","--"
"2023","Idaho","75 to 79","0**","71","0.00**","--","--"
"2023","Idaho","80 to 84","0**","39","0.00**","--","--"
"2023","Idaho","85+","0**","24","0.00**","--","--"
"2023","Illinois","0 to 4","0**","52,871","0.00**","--","--"
"2023","Illinois","5 to 9","--","59,646","--","--","--"
"2023","Illinois","10 to 14","12**","59,772","20.08**","--","619"
"2023","Illinois","15 to 19","105","61,025","172.06","--","5,002"
"2023","Illinois","20 to 24","95","60,388","157.32","--","4,116"
"2023","Illinois","25 to 29","114","64,889","175.69","--","4,309"
"2023","Illinois","30 to 34","106","68,547","154.64","--","3,519"
"2023","Illinois","35 to 39","67","55,190","121.40","--","1,899"
"2023","Illinois","40 to 44","58","51,548","112.52","--","1,340"
"2023","Illinois","45 to 49","26","45,987","56.54","--","470"
"2023","Illinois","50 to 54","28","48,811","57.36","--","365"
"2023","Illinois","55 to 59","--","47,264","--","--","--"
"2023","Illinois","60 to 64","--","47,209","--","--","--"
"2023","Illinois","65 to 69","--","38,651","--","--","--"
"2023","Illinois","70 to 74","--","27,394","--","--","--"
"2023","Illinois","75 to 79","0**","17,833","0.00**","--","--"
"2023","Illinois","80 to 84","0**","10,404","0.00**","--","--"
"2023","Illinois","85+","--","7,923","--","--","--"
"2023","Indiana","0 to 4","--","25,833","--","--","--"
"2023","Indiana","5 to 9","0**","26,574","0.00**","--","--"
"2023","Indiana","10 to 14","--","26,407","--","--","--"
"2023","Indiana","15 to 19","47","26,520","177.23","--","2,239"
"2023","Indiana","20 to 24","52","25,638","202.82","--","2,219"
"2023","Indiana","25 to 29","33","26,330","125.33","--","1,250"
"2023","Indiana","30 to 34","27","27,941","96.63","--","892"
"2023","Indiana","35 to 39","14**","23,144","60.49**","--","402"
"2023","Indiana","40 to 44","18**","21,292","84.54**","--","418"
"2023","Indiana","45 to 49","12**","18,647","64.35**","--","222"
"2023","Indiana","50 to 54","15**","18,216","82.35**","--","189"
"2023","Indiana","55 to 59","--","16,523","--","--","--"
"2023","Indiana","60 to 64","--","15,831","--","--","--"
"2023","Indiana","65 to 69","--","12,973","--","--","--"
"2023","Indiana","70 to 74","0**","8,900","0.00**","--","--"
"2023","Indiana","75 to 79","0**","5,145","0.00**","--","--"
"2023","Indiana","80 to 84","0**","2,919","0.00**","--","--"
"2023","Indiana","85+","--","2,047","--","--","--"
"2023","Iowa","0 to 4","0**","6,394","0.00**","--","--"
"2023","Iowa","5 to 9","0**","6,488","0.00**","--","--"
"2023","Iowa","10 to 14","0**","5,949","0.00**","--","--"
"2023","Iowa","15 to 19","--","6,364","--","--","--"
"2023","Iowa","20 to 24","--","6,507","--","--","--"
"2023","Iowa","25 to 29","--","6,451","--","--","--"
"2023","Iowa","30 to 34","--","6,753","--","--","--"
"2023","Iowa","35 to 39","--","5,978","--","--","--"
"2023","Iowa","40 to 44","--","5,317","--","--","--"
"2023","Iowa","45 to 49","--","4,337","--","--","--"
"2023","Iowa","50 to 54","--","3,622","--","--","--"
"2023","Iowa","55 to 59","0**","2,951","0.00**","--","--"
"2023","Iowa","60 to 64","0**","2,556","0.00**","--","--"
"2023","Iowa","65 to 69","0**","1,647","0.00**","--","--"
"2023","Iowa","70 to 74","0**","1,017","0.00**","--","--"
"2023","Iowa","75 to 79","0**","526","0.00**","--","--"
"2023","Iowa","80 to 84","0**","328","0.00**","--","--"
"2023","Iowa","85+","0**","204","0.00**","--","--"
"2023","Kansas","0 to 4","--","5,720","--","--","--"
"2023","Kansas","5 to 9","--","6,015","--","--","--"
"2023","Kansas","10 to 14","--","6,093","--","--","--"
"2023","Kansas","15 to 19","--","6,737","--","--","--"
"2023","Kansas","20 to 24","10**","8,003","124.95**","--","425"
"2023","Kansas","25 to 29","--","7,471","--","--","--"
"2023","Kansas","30 to 34","--","7,557","--","--","--"
"2023","Kansas","35 to 39","--","6,468","--","--","--"
"2023","Kansas","40 to 44","--","5,986","--","--","--"
"2023","Kansas","45 to 49","--","5,151","--","--","--"
"2023","Kansas","50 to 54","--","4,870","--","--","--"
"2023","Kansas","55 to 59","--","4,537","--","--","--"
"2023","Kansas","60 to 64","0**","4,642","0.00**","--","--"
"2023","Kansas","65 to 69","--","3,827","--","--","--"
"2023","Kansas","70 to 74","0**","2,544","0.00**","--","--"
"2023","Kansas","75 to 79","0**","1,487","0.00**","--","--"
"2023","Kansas","80 to 84","0**","759","0.00**","--","--"
"2023","Kansas","85+","0**","569","0.00**","--","--"
"2023","Kentucky","0 to 4","0**","12,889","0.00**","--","--"
"2023","Kentucky","5 to 9","--","12,894","--","--","--"
"2023","Kentucky","10 to 14","--","13,625","--","--","--"
"2023","Kentucky","15 to 19","20**","14,901","134.22**","--","950"
"2023","Kentucky","20 to 24","27","16,255","166.10","--","1,155"
"2023","Kentucky","25 to 29","13**","15,636","83.14**","--","499"
"2023","Kentucky","30 to 34","15**","16,513","90.84**","--","494"
"2023","Kentucky","35 to 39","10**","12,922","77.39**","--","287"
"2023","Kentucky","40 to 44","13**","12,556","103.54**","--","306"
"2023","Kentucky","45 to 49","--","10,815","--","--","--"
"2023","Kentucky","50 to 54","--","10,537","--","--","--"
"2023","Kentucky","55 to 59","--","10,089","--","--","--"
"2023","Kentucky","60 to 64","--","10,437","--","--","--"
"2023","Kentucky","65 to 69","--","8,522","--","--","--"
"2023","Kentucky","70 to 74","0**","5,857","0.00**","--","--"
"2023","Kentucky","75 to 79","0**","3,188","0.00**","--","--"
"2023","Kentucky","80 to 84","0**","1,689","0.00**","--","--"
"2023","Kentucky","85+","0**","1,248","0.00**","--","--"
"2023","Louisiana","0 to 4","0**","50,822","0.00**","--","--"
"2023","Louisiana","5 to 9","--","51,968","--","--","--"
"2023","Louisiana","10 to 14","10**","53,357","18.74**","--","517"
"2023","Louisiana","15 to 19","106","56,504","187.60","--","5,039"
"2023","Louisiana","20 to 24","117","54,516","214.62","--","5,054"
"2023","Louisiana","25 to 29","79","49,515","159.55","--","3,036"
"2023","Louisiana","30 to 34","63","52,364","120.31","--","2,087"
"2023","Louisiana","35 to 39","42","46,043","91.22","--","1,178"
"2023","Louisiana","40 to 44","47","43,477","108.10","--","1,074"
"2023","Louisiana","45 to 49","25","36,314","68.84","--","462"
"2023","Louisiana","50 to 54","21","35,017","59.97","--","277"
"2023","Louisiana","55 to 59","11**","36,812","29.88**","--","91"
"2023","Louisiana","60 to 64","--","37,959","--","--","--"
"2023","Louisiana","65 to 69","--","33,268","--","--","--"
"2023","Louisiana","70 to 74","--","23,840","--","--","--"
"2023","Louisiana","75 to 79","--","14,315","--","--","--"
"2023","Louisiana","80 to 84","--","7,252","--","--","--"
"2023","Louisiana","85+","0**","5,335","0.00**","--","--"
"2023","Maine","0 to 4","0**","1,498","0.00**","--","--"
"2023","Maine","5 to 9","0**","1,152","0.00**","--","--"
"2023","Maine","10 to 14","0**","1,282","0.00**","--","--"
"2023","Maine","15 to 19","0**","1,331","0.00**","--","--"
"2023","Maine","20 to 24","--","1,268","--","--","--"
"2023","Maine","25 to 29","--","1,354","--","--","--"
"2023","Maine","30 to 34","--","1,548","--","--","--"
"2023","Maine","35 to 39","0**","1,256","0.00**","--","--"
"2023","Maine","40 to 44","0**","1,049","0.00**","--","--"
"2023","Maine","45 to 49","0**","852","0.00**","--","--"
"2023","Maine","50 to 54","0**","772","0.00**","--","--"
"2023","Maine","55 to 59","0**","692","0.00**","--","--"
"2023","Maine","60 to 64","0**","512","0.00**","--","--"
"2023","Maine","65 to 69","0**","433","0.00**","--","--"
"2023","Maine","70 to 74","0**","216","0.00**","--","--"
"2023","Maine","75 to 79","0**","109","0.00**","--","--"
"2023","Maine","80 to 84","0**","67","0.00**","--","--"
"2023","Maine","85+","0**","54","0.00**","--","--"
"2023","Maryland","0 to 4","--","51,657","--","--","--"
"2023","Maryland","5 to 9","0**","56,928","0.00**","--","--"
"2023","Maryland","10 to 14","--","60,381","--","--","--"
"2023","Maryland","15 to 19","61","61,309","99.50","--","2,896"
"2023","Maryland","20 to 24","61","57,214","106.62","--","2,647"
"2023","Maryland","25 to 29","60","59,443","100.94","--","2,260"
"2023","Maryland","30 to 34","52","68,533","75.88","--","1,711"
"2023","Maryland","35 to 39","38","61,485","61.80","--","1,075"
"2023","Maryland","40 to 44","30","58,822","51.00","--","701"
"2023","Maryland","45 to 49","18**","52,209","34.48**","--","328"
"2023","Maryland","50 to 54","--","57,202","--","--","--"
"2023","Maryland","55 to 59","--","58,752","--","--","--"
"2023","Maryland","60 to 64","--","55,530","--","--","--"
"2023","Maryland","65 to 69","--","42,424","--","--","--"
"2023","Maryland","70 to 74","0**","30,526","0.00**","--","--"
"2023","Maryland","75 to 79","0**","19,632","0.00**","--","--"
"2023","Maryland","80 to 84","--","11,025","--","--","--"
"2023","Maryland","85+","0**","7,249","0.00**","--","--"
"2023","Massachusetts","0 to 4","0**","18,488","0.00**","--","--"
"2023","Massachusetts","5 to 9","0**","17,122","0.00**","--","--"
"2023","Massachusetts","10 to 14","--","17,683","--","--","--"
"2023","Massachusetts","15 to 19","--","19,281","--","--","--"
"2023","Massachusetts","20 to 24","--","18,823","--","--","--"
"2023","Massachusetts","25 to 29","--","20,790","--","--","--"
"2023","Massachusetts","30 to 34","10**","22,989","43.50**","--","328"
"2023","Massachusetts","35 to 39","--","20,212","--","--","--"
"2023","Massachusetts","40 to 44","--","18,277","--","--","--"
"2023","Massachusetts","45 to 49","--","16,380","--","--","--"
"2023","Massachusetts","50 to 54","0**","15,946","0.00**","--","--"
"2023","Massachusetts","55 to 59","--","15,505","--","--","--"
"2023","Massachusetts","60 to 64","--","14,308","--","--","--"
"2023","Massachusetts","65 to 69","0**","10,808","0.00**","--","--"
"2023","Massachusetts","70 to 74","0**","7,263","0.00**","--","--"
"2023","Massachusetts","75 to 79","0**","4,352","0.00**","--","--"
"2023","Massachusetts","80 to 84","0**","2,354","0.00**","--","--"
"2023","Massachusetts","85+","0**","2,019","0.00**","--","--"
"2023","Michigan","0 to 4","0**","45,775","0.00**","--","--"
"2023","Michigan","5 to 9","--","49,357","--","--","--"
"2023","Michigan","10 to 14","--","49,249","--","--","--"
"2023","Michigan","15 to 19","46","49,031","93.82","--","2,181"
"2023","Michigan","20 to 24","51","48,358","105.46","--","2,198"
"2023","Michigan","25 to 29","51","50,198","101.60","--","1,940"
"2023","Michigan","30 to 34","69","57,053","120.94","--","2,286"
"2023","Michigan","35 to 39","40","41,262","96.94","--","1,144"
"2023","Michigan","40 to 44","27","37,692","71.63","--","626"
"2023","Michigan","45 to 49","23","35,488","64.81","--","414"
"2023","Michigan","50 to 54","17**","40,342","42.14**","--","224"
"2023","Michigan","55 to 59","10**","37,220","26.87**","--","84"
"2023","Michigan","60 to 64","--","34,833","--","--","--"
"2023","Michigan","65 to 69","--","30,426","--","--","--"
"2023","Michigan","70 to 74","--","21,837","--","--","--"
"2023","Michigan","75 to 79","--","14,336","--","--","--"
"2023","Michigan","80 to 84","0**","7,849","0.00**","--","--"
"2023","Michigan","85+","0**","5,820","0.00**","--","--"
"2023","Minnesota","0 to 4","0**","19,397","0.00**","--","--"
"2023","Minnesota","5 to 9","0**","21,892","0.00**","--","--"
"2023","Minnesota","10 to 14","--","20,756","--","--","--"
"2023","Minnesota","15 to 19","--","19,280","--","--","--"
"2023","Minnesota","20 to 24","21","16,712","125.66","--","904"
"2023","Minnesota","25 to 29","12**","16,300","73.62**","--","453"
"2023","Minnesota","30 to 34","11**","18,858","58.33**","--","360"
"2023","Minnesota","35 to 39","--","18,673","--","--","--"
"2023","Minnesota","40 to 44","--","16,467","--","--","--"
"2023","Minnesota","45 to 49","--","12,611","--","--","--"
"2023","Minnesota","50 to 54","--","11,270","--","--","--"
"2023","Minnesota","55 to 59","0**","9,577","0.00**","--","--"
"2023","Minnesota","60 to 64","--","7,908","--","--","--"
"2023","Minnesota","65 to 69","0**","5,589","0.00**","--","--"
"2023","Minnesota","70 to 74","0**","3,234","0.00**","--","--"
"2023","Minnesota","75 to 79","0**","1,847","0.00**","--","--"
"2023","Minnesota","80 to 84","0**","956","0.00**","--","--"
"2023","Minnesota","85+","0**","735","0.00**","--","--"
"2023","Mississippi","0 to 4","--","36,715","--","--","--"
"2023","Mississippi","5 to 9","--","36,812","--","--","--"
"2023","Mississippi","10 to 14","--","39,577","--","--","--"
"2023","Mississippi","15 to 19","58","44,909","129.15","--","2,764"
"2023","Mississippi","20 to 24","72","40,400","178.22","--","3,108"
"2023","Mississippi","25 to 29","54","36,721","147.06","--","2,054"
"2023","Mississippi","30 to 34","54","37,823","142.77","--","1,805"
"2023","Mississippi","35 to 39","31","31,993","96.90","--","873"
"2023","Mississippi","40 to 44","27","32,746","82.45","--","634"
"2023","Mississippi","45 to 49","17**","28,821","58.99**","--","317"
"2023","Mississippi","50 to 54","12**","28,897","41.53**","--","161"
"2023","Mississippi","55 to 59","11**","28,697","38.33**","--","84"
"2023","Mississippi","60 to 64","--","28,843","--","--","--"
"2023","Mississippi","65 to 69","--","25,328","--","--","--"
"2023","Mississippi","70 to 74","--","18,436","--","--","--"
"2023","Mississippi","75 to 79","0**","10,403","0.00**","--","--"
"2023","Mississippi","80 to 84","0**","5,088","0.00**","--","--"
"2023","Mississippi","85+","0**","3,399","0.00**","--","--"
"2023","Missouri","0 to 4","--","24,720","--","--","--"
"2023","Missouri","5 to 9","--","25,905","--","--","--"
"2023","Missouri","10 to 14","--","26,039","--","--","--"
"2023","Missouri","15 to 19","49","27,031","181.27","--","2,332"
"2023","Missouri","20 to 24","58","25,716","225.54","--","2,483"
"2023","Missouri","25 to 29","43","25,959","165.65","--","1,636"
"2023","Missouri","30 to 34","45","27,875","161.44","--","1,491"
"2023","Missouri","35 to 39","27","22,293","121.11","--","770"
