"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Arizona","59","1,594,638","3.70","--","2,952"
"2022","Arkansas","41","706,529","5.80","--","2,094"
"2022","California","130","8,582,944","1.52","--","6,470"
"2022","Colorado","62","1,226,987","5.05","--","3,180"
"2022","Connecticut","10**","728,608","1.37**","--","488"
"2022","Delaware","--","211,259","--","--","--"
"2022","District of Columbia","14**","125,672","11.14**","--","694"
"2022","Florida","131","4,341,654","3.02","--","6,656"
"2022","Georgia","154","2,540,296","6.06","--","7,862"
"2022","Hawaii","--","297,125","--","--","--"
"2022","Idaho","14**","468,145","2.99**","--","705"
"2022","Illinois","118","2,752,035","4.29","--","5,947"
"2022","Indiana","58","1,592,048","3.64","--","2,938"
"2022","Iowa","16**","733,566","2.18**","--","826"
"2022","Kansas","27","699,314","3.86","--","1,351"
"2022","Kentucky","33","1,019,206","3.24","--","1,687"
"2022","Louisiana","102","1,077,218","9.47","--","5,178"
"2022","Maine","--","251,053","--","--","--"
"2022","Maryland","51","1,366,336","3.73","--","2,559"
"2022","Massachusetts","12**","1,350,159","0.89**","--","586"
"2022","Michigan","71","2,133,330","3.33","--","3,680"
"2022","Minnesota","26","1,309,503","1.99","--","1,314"
"2022","Mississippi","63","685,575","9.19","--","3,229"
"2022","Missouri","77","1,381,373","5.57","--","3,935"
"2022","Montana","14**","236,550","5.92**","--","706"
"2022","Nebraska","10**","482,324","2.07**","--","489"
"2022","Nevada","18**","693,801","2.59**","--","939"
"2022","New Hampshire","--","255,302","--","--","--"
"2022","New Jersey","16**","2,017,711","0.79**","--","813"
"2022","New Mexico","31","460,068","6.74","--","1,523"
"2022","New York","50","4,027,951","1.24","--","2,463"
"2022","North Carolina","110","2,328,897","4.72","--","5,592"
"2022","North Dakota","--","184,345","--","--","--"
"2022","Ohio","104","2,592,193","4.01","--","5,343"
"2022","Oklahoma","48","965,518","4.97","--","2,517"
"2022","Oregon","15**","845,795","1.77**","--","755"
"2022","Pennsylvania","100","2,652,666","3.77","--","5,057"
"2022","Rhode Island","--","205,767","--","--","--"
"2022","South Carolina","74","1,134,671","6.52","--","3,721"
"2022","South Dakota","10**","221,389","4.52**","--","491"
"2022","Tennessee","79","1,564,695","5.05","--","4,027"
"2022","Texas","296","7,516,252","3.94","--","14,949"
"2022","Utah","18**","942,094","1.91**","--","913"
"2022","Vermont","--","116,199","--","--","--"
"2022","Virginia","75","1,888,301","3.97","--","3,765"
"2022","Washington","34","1,665,998","2.04","--","1,704"
"2022","West Virginia","--","354,919","--","--","--"
"2022","Wisconsin","55","1,260,389","4.36","--","2,804"
"2022","Wyoming","--","131,069","--","--","--"
"2021","Alabama","81","1,128,005","7.18","--","4,125"
"2021","Alaska","--","178,917","--","--","--"
"2021","Arizona","57","1,597,685","3.57","--","2,893"
"2021","Arkansas","34","705,161","4.82","--","1,746"
"2021","California","145","8,734,758","1.66","--","7,269"
"2021","Colorado","47","1,244,201","3.78","--","2,402"
"2021","Connecticut","10**","732,830","1.37**","--","505"
"2021","Delaware","--","209,884","--","--","--"
"2021","District of Columbia","--","125,293","--","--","--"
"2021","Florida","123","4,280,180","2.87","--","6,224"
"2021","Georgia","134","2,536,809","5.28","--","6,769"
"2021","Hawaii","--","301,318","--","--","--"
"2021","Idaho","13**","465,744","2.79**","--","657"
"2021","Illinois","130","2,811,647","4.62","--","6,559"
"2021","Indiana","64","1,596,363","4.01","--","3,242"
"2021","Iowa","20**","737,229","2.71**","--","1,017"
"2021","Kansas","42","705,003","5.96","--","2,095"
"2021","Kentucky","54","1,022,233","5.28","--","2,726"
"2021","Louisiana","111","1,091,937","10.17","--","5,696"
"2021","Maine","--","252,436","--","--","--"
"2021","Maryland","36","1,375,245","2.62","--","1,786"
"2021","Massachusetts","--","1,365,906","--","--","--"
"2021","Michigan","64","2,156,102","2.97","--","3,277"
"2021","Minnesota","22","1,319,250","1.67","--","1,125"
"2021","Mississippi","69","692,594","9.96","--","3,590"
"2021","Missouri","87","1,387,442","6.27","--","4,505"
"2021","Montana","17**","235,346","7.22**","--","846"
"2021","Nebraska","15**","485,005","3.09**","--","739"
"2021","Nevada","18**","694,980","2.59**","--","898"
"2021","New Hampshire","--","257,430","--","--","--"
"2021","New Jersey","25","2,030,637","1.23","--","1,237"
"2021","New Mexico","24","468,006","5.13","--","1,229"
"2021","New York","52","4,112,493","1.26","--","2,600"
"2021","North Carolina","119","2,317,847","5.13","--","6,021"
"2021","North Dakota","--","185,037","--","--","--"
"2021","Ohio","122","2,612,071","4.67","--","6,314"
"2021","Oklahoma","48","963,306","4.98","--","2,503"
"2021","Oregon","17**","861,153","1.97**","--","842"
"2021","Pennsylvania","111","2,678,603","4.14","--","5,606"
"2021","Rhode Island","0**","208,581","0.00**","--","--"
"2021","South Carolina","71","1,122,726","6.32","--","3,652"
"2021","South Dakota","--","219,786","--","--","--"
"2021","Tennessee","86","1,555,919","5.53","--","4,436"
"2021","Texas","260","7,458,003","3.49","--","13,009"
"2021","Utah","20**","948,417","2.11**","--","1,019"
"2021","Vermont","--","117,428","--","--","--"
"2021","Virginia","76","1,895,204","4.01","--","3,847"
"2021","Washington","45","1,681,898","2.68","--","2,290"
"2021","West Virginia","--","358,469","--","--","--"
"2021","Wisconsin","47","1,275,422","3.69","--","2,376"
"2021","Wyoming","12**","132,494","9.06**","--","611"
"2020","Alabama","38","1,129,672","3.36","--","1,937"
"2020","Alaska","15**","180,220","8.32**","--","768"
"2020","Arizona","55","1,600,080","3.44","--","2,767"
"2020","Arkansas","45","706,459","6.37","--","2,312"
"2020","California","143","8,902,537","1.61","--","7,191"
"2020","Colorado","53","1,259,307","4.21","--","2,672"
"2020","Connecticut","--","739,674","--","--","--"
"2020","Delaware","--","210,076","--","--","--"
"2020","District of Columbia","10**","126,362","7.91**","--","510"
"2020","Florida","132","4,276,128","3.09","--","6,676"
"2020","Georgia","98","2,547,971","3.85","--","4,993"
"2020","Hawaii","--","306,311","--","--","--"
"2020","Idaho","16**","458,267","3.49**","--","814"
"2020","Illinois","102","2,869,242","3.56","--","5,131"
"2020","Indiana","68","1,603,634","4.24","--","3,488"
"2020","Iowa","17**","741,974","2.29**","--","841"
"2020","Kansas","34","712,422","4.77","--","1,712"
"2020","Kentucky","54","1,026,270","5.26","--","2,797"
"2020","Louisiana","70","1,104,295","6.34","--","3,567"
"2020","Maine","--","254,012","--","--","--"
"2020","Maryland","26","1,388,229","1.87","--","1,315"
"2020","Massachusetts","--","1,388,653","--","--","--"
"2020","Michigan","63","2,181,035","2.89","--","3,233"
"2020","Minnesota","28","1,331,046","2.10","--","1,419"
"2020","Mississippi","50","699,161","7.15","--","2,567"
"2020","Missouri","75","1,393,596","5.38","--","3,875"
"2020","Montana","10**","234,054","4.27**","--","495"
"2020","Nebraska","13**","488,129","2.66**","--","652"
"2020","Nevada","25","697,201","3.59","--","1,265"
"2020","New Hampshire","--","259,269","--","--","--"
"2020","New Jersey","13**","2,050,818","0.63**","--","662"
"2020","New Mexico","25","476,634","5.25","--","1,251"
"2020","New York","32","4,212,998","0.76","--","1,604"
"2020","North Carolina","109","2,319,098","4.70","--","5,589"
"2020","North Dakota","--","186,414","--","--","--"
"2020","Ohio","97","2,632,397","3.69","--","5,032"
"2020","Oklahoma","40","962,995","4.15","--","1,994"
"2020","Oregon","16**","872,748","1.83**","--","803"
"2020","Pennsylvania","82","2,702,049","3.04","--","4,155"
"2020","Rhode Island","0**","211,666","0.00**","--","--"
"2020","South Carolina","66","1,118,808","5.90","--","3,385"
"2020","South Dakota","--","219,103","--","--","--"
"2020","Tennessee","70","1,554,645","4.50","--","3,599"
"2020","Texas","262","7,461,418","3.51","--","13,217"
"2020","Utah","31","949,728","3.26","--","1,559"
"2020","Vermont","--","118,646","--","--","--"
"2020","Virginia","67","1,907,867","3.51","--","3,443"
"2020","Washington","28","1,697,257","1.65","--","1,429"
"2020","West Virginia","13**","362,177","3.59**","--","711"
"2020","Wisconsin","35","1,290,647","2.71","--","1,756"
"2020","Wyoming","--","133,810","--","--","--"
"2019","Alabama","43","1,088,727","3.95","--","2,326"
"2019","Alaska","11**","180,442","6.10**","--","539"
"2019","Arizona","35","1,641,727","2.13","--","1,789"
"2019","Arkansas","23","701,317","3.28","--","1,163"
"2019","California","111","8,881,104","1.25","--","5,556"
"2019","Colorado","43","1,256,673","3.42","--","2,127"
"2019","Connecticut","--","727,280","--","--","--"
"2019","Delaware","--","204,263","--","--","--"
"2019","District of Columbia","--","127,952","--","--","--"
"2019","Florida","94","4,233,967","2.22","--","4,718"
"2019","Georgia","78","2,505,399","3.11","--","3,931"
"2019","Hawaii","--","299,419","--","--","--"
"2019","Idaho","--","448,116","--","--","--"
"2019","Illinois","99","2,817,312","3.51","--","4,982"
"2019","Indiana","48","1,569,375","3.06","--","2,426"
"2019","Iowa","17**","728,005","2.34**","--","856"
"2019","Kansas","25","701,453","3.56","--","1,253"
"2019","Kentucky","31","1,004,268","3.09","--","1,543"
"2019","Louisiana","56","1,089,906","5.14","--","2,836"
"2019","Maine","--","249,610","--","--","--"
"2019","Maryland","24","1,338,232","1.79","--","1,180"
"2019","Massachusetts","--","1,353,615","--","--","--"
"2019","Michigan","46","2,144,307","2.15","--","2,330"
"2019","Minnesota","21","1,303,212","1.61","--","1,071"
"2019","Mississippi","36","699,984","5.14","--","1,804"
"2019","Missouri","71","1,374,703","5.17","--","3,628"
"2019","Montana","11**","228,888","4.81**","--","550"
"2019","Nebraska","--","476,033","--","--","--"
"2019","Nevada","13**","694,730","1.87**","--","645"
"2019","New Hampshire","--","255,785","--","--","--"
"2019","New Jersey","17**","1,943,575","0.88**","--","842"
"2019","New Mexico","25","477,209","5.24","--","1,250"
"2019","New York","28","4,031,894","0.69","--","1,398"
"2019","North Carolina","56","2,304,554","2.43","--","2,871"
"2019","North Dakota","--","180,584","--","--","--"
"2019","Ohio","71","2,581,403","2.75","--","3,593"
"2019","Oklahoma","40","953,923","4.19","--","2,102"
"2019","Oregon","10**","864,815","1.16**","--","518"
"2019","Pennsylvania","54","2,635,819","2.05","--","2,763"
"2019","Rhode Island","--","203,923","--","--","--"
"2019","South Carolina","48","1,113,673","4.31","--","2,490"
"2019","South Dakota","--","217,817","--","--","--"
"2019","Tennessee","46","1,510,976","3.04","--","2,337"
"2019","Texas","211","7,406,777","2.85","--","10,628"
"2019","Utah","17**","929,940","1.83**","--","837"
"2019","Vermont","--","114,325","--","--","--"
"2019","Virginia","42","1,868,689","2.25","--","2,121"
"2019","Washington","27","1,661,024","1.63","--","1,334"
"2019","West Virginia","10**","360,439","2.77**","--","504"
"2019","Wisconsin","23","1,267,935","1.81","--","1,169"
"2019","Wyoming","--","133,577","--","--","--"
"2018","Alabama","47","1,092,599","4.30","--","2,434"
"2018","Alaska","--","183,189","--","--","--"
"2018","Arizona","42","1,638,657","2.56","--","2,083"
"2018","Arkansas","23","703,626","3.27","--","1,180"
"2018","California","108","8,974,477","1.20","--","5,487"
"2018","Colorado","43","1,264,226","3.40","--","2,155"
"2018","Connecticut","--","736,061","--","--","--"
"2018","Delaware","--","204,154","--","--","--"
"2018","District of Columbia","10**","126,703","7.89**","--","495"
"2018","Florida","93","4,226,134","2.20","--","4,729"
"2018","Georgia","78","2,509,456","3.11","--","3,971"
"2018","Hawaii","0**","303,049","0.00**","--","--"
"2018","Idaho","12**","445,134","2.70**","--","594"
"2018","Illinois","85","2,857,349","2.98","--","4,243"
"2018","Indiana","54","1,572,404","3.43","--","2,748"
"2018","Iowa","13**","729,802","1.78**","--","636"
"2018","Kansas","17**","706,593","2.41**","--","842"
"2018","Kentucky","29","1,008,017","2.88","--","1,483"
"2018","Louisiana","53","1,098,318","4.83","--","2,705"
"2018","Maine","--","250,465","--","--","--"
"2018","Maryland","28","1,341,430","2.09","--","1,414"
"2018","Massachusetts","--","1,365,956","--","--","--"
"2018","Michigan","50","2,163,590","2.31","--","2,563"
"2018","Minnesota","20**","1,303,090","1.54**","--","994"
"2018","Mississippi","35","707,663","4.95","--","1,759"
"2018","Missouri","73","1,379,108","5.29","--","3,739"
"2018","Montana","--","229,210","--","--","--"
"2018","Nebraska","--","476,581","--","--","--"
"2018","Nevada","22","688,989","3.19","--","1,117"
"2018","New Hampshire","--","258,045","--","--","--"
"2018","New Jersey","13**","1,954,045","0.67**","--","646"
"2018","New Mexico","17**","482,442","3.52**","--","840"
"2018","New York","33","4,074,414","0.81","--","1,675"
"2018","North Carolina","62","2,304,529","2.69","--","3,121"
"2018","North Dakota","--","178,524","--","--","--"
"2018","Ohio","75","2,595,584","2.89","--","3,798"
"2018","Oklahoma","33","955,996","3.45","--","1,660"
"2018","Oregon","24","868,879","2.76","--","1,226"
"2018","Pennsylvania","55","2,653,058","2.07","--","2,730"
"2018","Rhode Island","--","206,059","--","--","--"
"2018","South Carolina","43","1,108,588","3.88","--","2,201"
"2018","South Dakota","--","216,722","--","--","--"
"2018","Tennessee","64","1,510,375","4.24","--","3,214"
"2018","Texas","186","7,382,686","2.52","--","9,364"
"2018","Utah","28","930,162","3.01","--","1,390"
"2018","Vermont","0**","115,630","0.00**","--","--"
"2018","Virginia","47","1,870,042","2.51","--","2,402"
"2018","Washington","34","1,657,823","2.05","--","1,728"
"2018","West Virginia","--","365,119","--","--","--"
"2018","Wisconsin","17**","1,276,066","1.33**","--","868"
"2018","Wyoming","--","134,683","--","--","--"
"Total","","13,455","440,419,003","3.06","--","681,919"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2018 to 2023","","","","","",""
"Geography: United States","","","","","",""
"Intent: All Intents","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: <1 to 17","","","","","",""
"Sex: All Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: All Ethnicities","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2018 - 2023 by Single Race","","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","","",""
"--* indicates secondary suppression.","","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","","",""
"Data sources:","","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
