"Year","Intent","Race","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Homicide","HI Native / Pacific Islander","37","624,677","5.92","5.64","1,295"
"2021","Homicide","More than One Race","261","7,803,455","3.35","3.33","9,819"
"2021","Legal Intervention","White","252","196,894,384","0.13","0.14","6,365"
"2021","Legal Intervention","Black","120","41,859,278","0.29","0.28","3,727"
"2021","Legal Intervention","American Indian / Alaska Native","13**","2,412,991","0.54**","0.54**","343"
"2021","Legal Intervention","Asian","--","19,811,597","--","--","--"
"2021","Legal Intervention","HI Native / Pacific Islander","--","624,677","--","--","--"
"2021","Legal Intervention","More than One Race","15**","7,803,455","0.19**","0.21**","530"
"2021","Suicide","White","21,197","196,894,384","10.77","9.62","344,493"
"2021","Suicide","Black","2,165","41,859,278","5.17","5.06","64,773"
"2021","Suicide","American Indian / Alaska Native","241","2,412,991","9.99","9.74","6,734"
"2021","Suicide","Asian","352","19,811,597","1.78","1.72","10,115"
"2021","Suicide","HI Native / Pacific Islander","27","624,677","4.32","4.07","817"
"2021","Suicide","More than One Race","264","7,803,455","3.38","4.09","8,180"
"2021","Undetermined","White","231","196,894,384","0.12","0.12","5,775"
"2021","Undetermined","Black","134","41,859,278","0.32","0.31","5,155"
"2021","Undetermined","American Indian / Alaska Native","20**","2,412,991","0.83**","0.80**","689"
"2021","Undetermined","Asian","--","19,811,597","--","--","--"
"2021","Undetermined","HI Native / Pacific Islander","--","624,677","--","--","--"
"2021","Undetermined","More than One Race","--","7,803,455","--","--","--"
"2020","Unintentional","White","317","197,704,168","0.16","0.17","8,654"
"2020","Unintentional","Black","134","41,737,491","0.32","0.32","5,365"
"2020","Unintentional","American Indian / Alaska Native","12**","2,405,789","0.50**","0.47**","486"
"2020","Unintentional","Asian","--","19,579,116","--","--","--"
"2020","Unintentional","HI Native / Pacific Islander","--","616,967","--","--","--"
"2020","Unintentional","More than One Race","--","7,629,431","--","--","--"
"2020","Homicide","White","3,969","197,704,168","2.01","2.14","105,225"
"2020","Homicide","Black","11,832","41,737,491","28.35","27.47","409,200"
"2020","Homicide","American Indian / Alaska Native","191","2,405,789","7.94","7.93","6,107"
"2020","Homicide","Asian","173","19,579,116","0.88","0.83","4,854"
"2020","Homicide","HI Native / Pacific Islander","35","616,967","5.67","5.29","1,079"
"2020","Homicide","More than One Race","204","7,629,431","2.67","2.71","7,642"
"2020","Legal Intervention","White","315","197,704,168","0.16","0.17","7,413"
"2020","Legal Intervention","Black","125","41,737,491","0.30","0.30","3,914"
"2020","Legal Intervention","American Indian / Alaska Native","16**","2,405,789","0.67**","0.69**","482"
"2020","Legal Intervention","Asian","--","19,579,116","--","--","--"
"2020","Legal Intervention","HI Native / Pacific Islander","--","616,967","--","--","--"
"2020","Legal Intervention","More than One Race","13**","7,629,431","0.17**","0.20**","429"
"2020","Suicide","White","19,851","197,704,168","10.04","8.96","319,579"
"2020","Suicide","Black","1,784","41,737,491","4.27","4.16","52,337"
"2020","Suicide","American Indian / Alaska Native","225","2,405,789","9.35","8.97","6,693"
"2020","Suicide","Asian","323","19,579,116","1.65","1.59","8,368"
"2020","Suicide","HI Native / Pacific Islander","20**","616,967","3.24**","3.15**","747"
"2020","Suicide","More than One Race","252","7,629,431","3.30","4.00","7,766"
"2020","Undetermined","White","212","197,704,168","0.11","0.11","5,486"
"2020","Undetermined","Black","99","41,737,491","0.24","0.23","3,716"
"2020","Undetermined","American Indian / Alaska Native","--","2,405,789","--","--","--"
"2020","Undetermined","Asian","--","19,579,116","--","--","--"
"2020","Undetermined","More than One Race","--","7,629,431","--","--","--"
"2019","Unintentional","White","291","197,255,617","0.15","0.15","7,060"
"2019","Unintentional","Black","115","41,192,127","0.28","0.28","4,421"
"2019","Unintentional","American Indian / Alaska Native","--","2,422,370","--","--","--"
"2019","Unintentional","Asian","--","19,075,130","--","--","--"
"2019","Unintentional","HI Native / Pacific Islander","--","604,124","--","--","--"
"2019","Unintentional","More than One Race","--","7,376,098","--","--","--"
"2019","Homicide","White","3,129","197,255,617","1.59","1.68","79,732"
"2019","Homicide","Black","8,438","41,192,127","20.48","19.84","291,536"
"2019","Homicide","American Indian / Alaska Native","154","2,422,370","6.36","6.43","4,808"
"2019","Homicide","Asian","173","19,075,130","0.91","0.86","4,519"
"2019","Homicide","HI Native / Pacific Islander","29","604,124","4.80","4.65","1,066"
"2019","Homicide","More than One Race","169","7,376,098","2.29","2.46","6,102"
"2019","Legal Intervention","White","239","197,255,617","0.12","0.13","5,614"
"2019","Legal Intervention","Black","112","41,192,127","0.27","0.27","3,417"
"2019","Legal Intervention","American Indian / Alaska Native","19**","2,422,370","0.78**","0.78**","566"
"2019","Legal Intervention","Asian","16**","19,075,130","0.08**","0.07**","463"
"2019","Legal Intervention","HI Native / Pacific Islander","--","604,124","--","--","--"
"2019","Legal Intervention","More than One Race","12**","7,376,098","0.16**","0.21**","393"
"2019","Suicide","White","20,090","197,255,617","10.19","9.02","313,180"
"2019","Suicide","Black","1,546","41,192,127","3.75","3.69","42,405"
"2019","Suicide","American Indian / Alaska Native","154","2,422,370","6.36","6.31","4,482"
"2019","Suicide","Asian","316","19,075,130","1.66","1.57","8,359"
"2019","Suicide","HI Native / Pacific Islander","21","604,124","3.48","3.30","618"
"2019","Suicide","More than One Race","227","7,376,098","3.08","3.77","6,950"
"2019","Undetermined","White","215","197,255,617","0.11","0.11","5,215"
"2019","Undetermined","Black","77","41,192,127","0.19","0.19","2,939"
"2019","Undetermined","American Indian / Alaska Native","--","2,422,370","--","--","--"
"2019","Undetermined","HI Native / Pacific Islander","--","604,124","--","--","--"
"2019","Undetermined","More than One Race","--","7,376,098","--","--","--"
"2018","Unintentional","White","284","197,545,931","0.14","0.14","7,248"
"2018","Unintentional","Black","101","40,898,768","0.25","0.24","4,145"
"2018","Unintentional","American Indian / Alaska Native","--","2,410,262","--","--","--"
"2018","Unintentional","Asian","--","18,728,396","--","--","--"
"2018","Unintentional","More than One Race","--","7,192,403","--","--","--"
"2018","Homicide","White","3,303","197,545,931","1.67","1.76","84,336"
"2018","Homicide","Black","7,937","40,898,768","19.41","18.71","271,743"
"2018","Homicide","American Indian / Alaska Native","153","2,410,262","6.35","6.42","4,741"
"2018","Homicide","Asian","162","18,728,396","0.87","0.82","4,354"
"2018","Homicide","HI Native / Pacific Islander","32","593,606","5.39","4.97","1,115"
"2018","Homicide","More than One Race","149","7,192,403","2.07","2.21","5,283"
"2018","Legal Intervention","White","269","197,545,931","0.14","0.15","6,734"
"2018","Legal Intervention","Black","111","40,898,768","0.27","0.27","3,348"
"2018","Legal Intervention","American Indian / Alaska Native","14**","2,410,262","0.58**","0.60**","348"
"2018","Legal Intervention","Asian","10**","18,728,396","0.05**","0.05**","276"
"2018","Legal Intervention","HI Native / Pacific Islander","--","593,606","--","--","--"
"2018","Legal Intervention","More than One Race","10**","7,192,403","0.14**","0.18**","315"
"2018","Suicide","White","20,585","197,545,931","10.42","9.26","325,572"
"2018","Suicide","Black","1,492","40,898,768","3.65","3.58","42,054"
"2018","Suicide","American Indian / Alaska Native","174","2,410,262","7.22","7.23","4,995"
"2018","Suicide","Asian","310","18,728,396","1.66","1.57","7,866"
"2018","Suicide","HI Native / Pacific Islander","16**","593,606","2.70**","2.57**","506"
"2018","Suicide","More than One Race","201","7,192,403","2.80","3.54","5,884"
"2018","Undetermined","White","202","197,545,931","0.10","0.10","5,194"
"2018","Undetermined","Black","72","40,898,768","0.18","0.17","2,650"
"2018","Undetermined","American Indian / Alaska Native","11**","2,410,262","0.46**","0.46**","314"
"2018","Undetermined","Asian","--","18,728,396","--","--","--"
"2018","Undetermined","HI Native / Pacific Islander","--","593,606","--","--","--"
"2018","Undetermined","More than One Race","--","7,192,403","--","--","--"
"Total","","","196,621","1,343,997,387","14.63","14.30","4,562,045"
"","","","","","","",""
"Injury Outcome: Fatal","","","","","","",""
"Injury Type: All Injury","","","","","","",""
"Data Years: 2018 to 2022","","","","","","",""
"Geography: United States","","","","","","",""
"Intent: All Intents","","","","","","",""
"Mechanism: Firearm","","","","","","",""
"Age: All Ages","","","","","","",""
"Sex: All Sexes","","","","","","",""
"Race: All Races","","","","","","",""
"Ethnicity: Non-Hispanic","","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","","",""
"YPLL Age: 65","","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","",""
