"Date Printed: Wednesday, January 25, 2023 2:36:25 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | 13-24 | All races/ethnicities | Both sexes | All transmission categories | US Map-State Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV diagnoses,Pennsylvania,42,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,216,11.4,"1,900,979"
HIV diagnoses,Rhode Island,44,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,15,8.8,"169,561"
HIV diagnoses,South Carolina,45,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,194,24.7,"784,277"
HIV diagnoses,South Dakota,46,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,4,2.8,"141,772"
HIV diagnoses,Tennessee,47,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,166,15.9,"1,042,003"
HIV diagnoses,Texas,48,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,"1,023",20.9,"4,897,743"
HIV diagnoses,Utah,49,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,39,6.2,"625,399"
HIV diagnoses,Vermont,50,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,2,2,"100,240"
HIV diagnoses,Virginia,51,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,167,12.6,"1,329,662"
HIV diagnoses,Washington,53,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,62,5.6,"1,114,089"
HIV diagnoses,West Virginia,54,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,24,9.3,"258,964"
HIV diagnoses,Wisconsin,55,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,48,5.2,"917,245"
HIV diagnoses,Wyoming,56,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,1,1.1,"90,152"
HIV diagnoses,American Samoa,60,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,Guam,66,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,N. Mariana Islands,69,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,Puerto Rico,72,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,61,12.3,"493,983"
HIV diagnoses,U.S. Virgin Islands,78,2019,13-24,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
