"Date Printed: Wednesday, January 25, 2023 12:27:46 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | 45-54 | All races/ethnicities | Both sexes | All transmission categories | US Map-State Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV diagnoses,Pennsylvania,42,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,130,8.1,"1,603,600"
HIV diagnoses,Rhode Island,44,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,9,6.7,"135,086"
HIV diagnoses,South Carolina,45,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,78,12.2,"641,467"
HIV diagnoses,South Dakota,46,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,5,5.3,"94,876"
HIV diagnoses,Tennessee,47,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,107,12.3,"871,125"
HIV diagnoses,Texas,48,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,518,14.6,"3,548,619"
HIV diagnoses,Utah,49,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,16,4.9,"328,080"
HIV diagnoses,Vermont,50,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,2,2.6,"77,975"
HIV diagnoses,Virginia,51,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,101,9.2,"1,101,509"
HIV diagnoses,Washington,53,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,76,8.2,"923,414"
HIV diagnoses,West Virginia,54,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,20,8.7,"229,306"
HIV diagnoses,Wisconsin,55,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,28,3.9,"715,145"
HIV diagnoses,Wyoming,56,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,2,3.1,"63,935"
HIV diagnoses,American Samoa,60,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,Guam,66,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,N. Mariana Islands,69,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,Puerto Rico,72,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,64,15.4,"416,023"
HIV diagnoses,U.S. Virgin Islands,78,2019,45-54,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
