Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Race,Race Code,Ethnicity,Ethnicity Code,Deaths,Population,Crude Rate
,2013,2013,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,127,1294658,9.8
,2013,2013,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,465,8617811,5.4
,2013,2013,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,30,1444521,2.1
,2013,2013,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4477,19632906,22.8
,2013,2013,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,21,Not Applicable,Not Applicable
,2013,2013,Prostate,28010,White,2106-3,Hispanic,2135-2,1594,24521734,6.5
,2013,2013,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,20914,99325046,21.1
,2013,2013,Prostate,28010,White,2106-3,Unknown or Missing,UNK,41,Not Applicable,Not Applicable
,2014,2014,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,145,1304943,11.1
,2014,2014,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,498,8919270,5.6
,2014,2014,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,50,1495018,3.3
,2014,2014,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4529,19882959,22.8
,2014,2014,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,34,Not Applicable,Not Applicable
,2014,2014,Prostate,28010,White,2106-3,Hispanic,2135-2,1643,25007679,6.6
,2014,2014,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,21366,99599576,21.5
,2014,2014,Prostate,28010,White,2106-3,Unknown or Missing,UNK,63,Not Applicable,Not Applicable
,2015,2015,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,143,1314335,10.9
,2015,2015,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,574,9236863,6.2
,2015,2015,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,45,1547238,2.9
,2015,2015,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,4678,20135529,23.2
,2015,2015,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,19,Not Applicable,Not Applicable
,2015,2015,Prostate,28010,White,2106-3,Hispanic,2135-2,1810,25533113,7.1
,2015,2015,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,21513,99842761,21.5
,2015,2015,Prostate,28010,White,2106-3,Unknown or Missing,UNK,54,Not Applicable,Not Applicable
,2016,2016,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,139,1322704,10.5
,2016,2016,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,570,9546690,6
,2016,2016,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,50,1600408,3.1
,2016,2016,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5019,20380568,24.6
,2016,2016,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,19,Not Applicable,Not Applicable
,2016,2016,Prostate,28010,White,2106-3,Hispanic,2135-2,1865,26073517,7.2
,2016,2016,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,22633,100051529,22.6
,2016,2016,Prostate,28010,White,2106-3,Unknown or Missing,UNK,57,Not Applicable,Not Applicable
,2017,2017,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,136,1329981,10.2
,2017,2017,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,609,9836008,6.2
,2017,2017,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,45,1654579,2.7
,2017,2017,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5000,20612473,24.3
,2017,2017,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,20,Not Applicable,Not Applicable
,2017,2017,Prostate,28010,White,2106-3,Hispanic,2135-2,1949,26587839,7.3
,2017,2017,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,22658,100163320,22.6
,2017,2017,Prostate,28010,White,2106-3,Unknown or Missing,UNK,50,Not Applicable,Not Applicable
,2018,2018,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,161,1335448,12.1
,2018,2018,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,704,10066943,7
,2018,2018,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,60,1709749,3.5
,2018,2018,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5214,20827590,25
,2018,2018,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,17,Not Applicable,Not Applicable
,2018,2018,Prostate,28010,White,2106-3,Hispanic,2135-2,2040,27071988,7.5
,2018,2018,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,23218,100208038,23.2
,2018,2018,Prostate,28010,White,2106-3,Unknown or Missing,UNK,57,Not Applicable,Not Applicable
,2019,2019,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,155,1340749,11.6
,2019,2019,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,643,10282541,6.3
,2019,2019,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,65,1759616,3.7
,2019,2019,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5330,21034604,25.3
,2019,2019,Prostate,28010,White,2106-3,Hispanic,2135-2,2050,27499779,7.5
,2019,2019,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,23310,100228425,23.3
,2019,2019,Prostate,28010,White,2106-3,Unknown or Missing,UNK,47,Not Applicable,Not Applicable
,2020,2020,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,138,1349198,10.2
,2020,2020,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,754,10452633,7.2
,2020,2020,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,59,1808651,3.3
,2020,2020,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5526,21190435,26.1
,2020,2020,Prostate,28010,Black or African American,2054-5,Unknown or Missing,UNK,17,Not Applicable,Not Applicable
,2020,2020,Prostate,28010,White,2106-3,Hispanic,2135-2,2088,27892449,7.5
,2020,2020,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,24052,100136827,24
,2020,2020,Prostate,28010,White,2106-3,Unknown or Missing,UNK,43,Not Applicable,Not Applicable
,2021,2021,Prostate,28010,American Indian or Alaska Native,1002-5,Non-Hispanic,2186-5,163,1353213,12
,2021,2021,Prostate,28010,Asian or Pacific Islander,A-PI,Non-Hispanic,2186-5,746,10582910,7
,2021,2021,Prostate,28010,Black or African American,2054-5,Hispanic,2135-2,59,1848887,3.2
,2021,2021,Prostate,28010,Black or African American,2054-5,Non-Hispanic,2186-5,5311,21271678,25
,2021,2021,Prostate,28010,White,2106-3,Hispanic,2135-2,2208,28195069,7.8
,2021,2021,Prostate,28010,White,2106-3,Non-Hispanic,2186-5,23996,99743452,24.1
,2021,2021,Prostate,28010,White,2106-3,Unknown or Missing,UNK,43,Not Applicable,Not Applicable
---,,,,,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Mortality",,,,,,,,,,,
Query Parameters:,,,,,,,,,,,
Leading Cancer Sites: Prostate,,,,,,,,,,,
Group By: Year; Leading Cancer Sites; Race; Ethnicity,,,,,,,,,,,
Show Totals: Disabled,,,,,,,,,,,
Show Zero Values: False,,,,,,,,,,,
Show Suppressed: False,,,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,,,,,
---,,,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html for more information.,,,,,,,,,,,
---,,,,,,,,,,,
"Query Date: Dec 12, 2024 5:27:30 PM",,,,,,,,,,,
---,,,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Mortality: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention; 2024. Accessed at",,,,,,,,,,,
"http://wonder.cdc.gov/CancerMort-v2021.html on Dec 12, 2024 5:27:30 PM",,,,,,,,,,,
---,,,,,,,,,,,
Messages:,,,,,,,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,,,,,,,
2. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows.,,,,,,,,,,,
3. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.,,,,,,,,,,,
---,,,,,,,,,,,
Caveats:,,,,,,,,,,,
1. 'Suppressed' is displayed for data values when they must not be provided in order to protect personal privacy. Data is,,,,,,,,,,,
"suppressed if fewer than 16 cases are reported in any one line of the results table. Data for the ""Asian / Pacific Islander""",,,,,,,,,,,
"and ""American Indian or Alaska Native"" race categories are suppressed at the Metropolitan Statistical Area level for",,,,,,,,,,,
"populations less than 50,000 persons. More information: http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html#Suppressed.",,,,,,,,,,,
2. 'Not Applicable' is displayed for all data values when sex-specific cancers are combined with the wrong sex. More,,,,,,,,,,,
information: http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html#Genital Cancers List.,,,,,,,,,,,
"3. 'Not Applicable' is displayed for Population when it is not available, and for Age Adjusted Rates, Crude Rates, 95%",,,,,,,,,,,
"Confidence Interval, and Standard Error when they cannot be calculated due to lack of denominator population.",,,,,,,,,,,
"4. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,,,
misleading.,,,,,,,,,,,
"5. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were",,,,,,,,,,,
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:",,,,,,,,,,,
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may",,,,,,,,,,,
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence",,,,,,,,,,,
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one",,,,,,,,,,,
code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are,,,,,,,,,,,
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was",,,,,,,,,,,
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the",,,,,,,,,,,
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US.",,,,,,,,,,,
Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in,,,,,,,,,,,
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the",,,,,,,,,,,
proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates.,,,,,,,,,,,
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this",,,,,,,,,,,
report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this,,,,,,,,,,,
data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>,,,,,,,,,,,
"6. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,,,
