Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,2016,2016,Prostate,28010,55-59 years,55-59,977,10964135,8.9
,2016,2016,Prostate,28010,60-64 years ,60-64,1942,9504952,20.4
,2016,2016,Prostate,28010,65-69 years,65-69,3085,8076250,38.2
,2017,2017,Prostate,28010,55-59 years,55-59,870,11002150,7.9
,2017,2017,Prostate,28010,60-64 years ,60-64,1903,9758120,19.5
,2017,2017,Prostate,28010,65-69 years,65-69,3227,8067178,40
,2018,2018,Prostate,28010,55-59 years,55-59,939,11020644,8.5
,2018,2018,Prostate,28010,60-64 years ,60-64,2008,9967623,20.1
,2018,2018,Prostate,28010,65-69 years,65-69,3215,8190398,39.3
,2019,2019,Prostate,28010,55-59 years,55-59,923,11032510,8.4
,2019,2019,Prostate,28010,60-64 years ,60-64,2019,10123186,19.9
,2019,2019,Prostate,28010,65-69 years,65-69,3224,8371745,38.5
,2020,2020,Prostate,28010,55-59 years,55-59,871,10933198,8
,2020,2020,Prostate,28010,60-64 years ,60-64,2095,10274747,20.4
,2020,2020,Prostate,28010,65-69 years,65-69,3427,8589041,39.9
,2021,2021,Prostate,28010,55-59 years,55-59,796,10716203,7.4
,2021,2021,Prostate,28010,60-64 years ,60-64,2020,10377370,19.5
,2021,2021,Prostate,28010,65-69 years,65-69,3397,8769536,38.7
---,,,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Mortality",,,,,,,,,
Query Parameters:,,,,,,,,,
Age Group: 55-59 years; 60-64 years ; 65-69 years,,,,,,,,,
Leading Cancer Sites: Prostate,,,,,,,,,
Group By: Year; Leading Cancer Sites; Age Group,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Dec 12, 2024 5:24:00 PM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Mortality: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention; 2024. Accessed at",,,,,,,,,
"http://wonder.cdc.gov/CancerMort-v2021.html on Dec 12, 2024 5:24:00 PM",,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
1. 'Not Applicable' is displayed for all data values when sex-specific cancers are combined with the wrong sex. More,,,,,,,,,
information: http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html#Genital Cancers List.,,,,,,,,,
"2. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,
misleading.,,,,,,,,,
3. Age-adjusted rates are not available when results are grouped by age.,,,,,,,,,
"4. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were",,,,,,,,,
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:",,,,,,,,,
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may",,,,,,,,,
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence",,,,,,,,,
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one",,,,,,,,,
code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are,,,,,,,,,
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was",,,,,,,,,
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the",,,,,,,,,
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US.",,,,,,,,,
Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in,,,,,,,,,
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the",,,,,,,,,
proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates.,,,,,,,,,
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this",,,,,,,,,
report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this,,,,,,,,,
data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>,,,,,,,,,
"5. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,
