"Date Printed: Wednesday, January 25, 2023 12:58:36 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | Ages 13 years and older | Black/African American | Both sexes | All transmission categories | US Map-County Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV diagnoses,"Greene County, Alabama",1063,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"5,436"
HIV diagnoses,"Hale County, Alabama",1065,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,980"
HIV diagnoses,"Henry County, Alabama",1067,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,802"
HIV diagnoses,"Houston County, Alabama",1069,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,12,52,"23,094"
HIV diagnoses,"Jackson County, Alabama",1071,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,444"
HIV diagnoses,"Jefferson County, Alabama",1073,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,91,38.9,"233,882"
HIV diagnoses,"Lamar County, Alabama",1075,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,189"
HIV diagnoses,"Lauderdale County, Alabama",1077,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,710"
HIV diagnoses,"Lawrence County, Alabama",1079,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,061"
HIV diagnoses,"Lee County, Alabama",1081,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,13,41.9,"31,016"
HIV diagnoses,"Limestone County, Alabama",1083,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,697"
HIV diagnoses,"Lowndes County, Alabama",1085,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,803"
HIV diagnoses,"Macon County, Alabama",1087,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,8,63.1,"12,675"
HIV diagnoses,"Madison County, Alabama",1089,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,36,47.7,"75,515"
HIV diagnoses,"Marengo County, Alabama",1091,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,034"
HIV diagnoses,"Marion County, Alabama",1093,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,990
HIV diagnoses,"Marshall County, Alabama",1095,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,960"
HIV diagnoses,"Mobile County, Alabama",1097,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,80,66.6,"120,192"
HIV diagnoses,"Monroe County, Alabama",1099,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"7,095"
HIV diagnoses,"Montgomery County, Alabama",1101,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,69,63.6,"108,576"
HIV diagnoses,"Morgan County, Alabama",1103,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"12,319"
HIV diagnoses,"Perry County, Alabama",1105,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"5,018"
HIV diagnoses,"Pickens County, Alabama",1107,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,654"
HIV diagnoses,"Pike County, Alabama",1109,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"10,385"
HIV diagnoses,"Randolph County, Alabama",1111,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"3,609"
HIV diagnoses,"Russell County, Alabama",1113,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,7,32.6,"21,468"
HIV diagnoses,"St. Clair County, Alabama",1115,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,187"
HIV diagnoses,"Shelby County, Alabama",1117,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"23,853"
HIV diagnoses,"Sumter County, Alabama",1119,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,66.8,"7,490"
HIV diagnoses,"Talladega County, Alabama",1121,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"22,285"
HIV diagnoses,"Tallapoosa County, Alabama",1123,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,821"
HIV diagnoses,"Tuscaloosa County, Alabama",1125,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,32,57.5,"55,671"
HIV diagnoses,"Walker County, Alabama",1127,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,181"
HIV diagnoses,"Washington County, Alabama",1129,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,227"
HIV diagnoses,"Wilcox County, Alabama",1131,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,963"
HIV diagnoses,"Winston County, Alabama",1133,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,165
HIV diagnoses,"Aleutians East Borough, Alaska",2013,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,283
HIV diagnoses,"Aleutians West Census Area, Alaska",2016,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,356
HIV diagnoses,"Anchorage Municipality, Alaska",2020,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"12,694"
HIV diagnoses,"Bethel Census Area, Alaska",2050,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,130
HIV diagnoses,"Bristol Bay Borough, Alaska",2060,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,4
HIV diagnoses,"Chugach Census Area, Alaska",2063,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,13
HIV diagnoses,"Copper River Census Area, Alaska",2066,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,44
HIV diagnoses,"Denali Borough, Alaska",2068,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,49
HIV diagnoses,"Dillingham Census Area, Alaska",2070,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,28
HIV diagnoses,"Fairbanks North Star Borough, Alaska",2090,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,872"
HIV diagnoses,"Haines Borough, Alaska",2100,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,13
HIV diagnoses,"Hoonah-Angoon Census Area, Alaska",2105,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,46
HIV diagnoses,"Juneau City and Borough, Alaska",2110,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,350
HIV diagnoses,"Kenai Peninsula Borough, Alaska",2122,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,360
HIV diagnoses,"Ketchikan Gateway Borough, Alaska",2130,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,107
HIV diagnoses,"Kodiak Island Borough, Alaska",2150,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,124
HIV diagnoses,"Kusilvak Census Area, Alaska",2158,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,9
HIV diagnoses,"Lake and Peninsula Borough, Alaska",2164,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,16
HIV diagnoses,"Matanuska-Susitna Borough, Alaska",2170,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,092"
HIV diagnoses,"Nome Census Area, Alaska",2180,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,58
HIV diagnoses,"North Slope Borough, Alaska",2185,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,127
HIV diagnoses,"Northwest Arctic Borough, Alaska",2188,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,71
HIV diagnoses,"Petersburg Census Area, Alaska",2195,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,42
HIV diagnoses,"Prince of Wales-Hyder Censu, Alaska",2198,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,31
HIV diagnoses,"Sitka City and Borough, Alaska",2220,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,64
HIV diagnoses,"Skagway Municipality, Alaska",2230,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,16
HIV diagnoses,"Southeast Fairbanks Census Area, Alaska",2240,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,96
HIV diagnoses,"Valdez-Cordova Census Area, Alaska",2261,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,NA
HIV diagnoses,"Wrangell City and Borough, Alaska",2275,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,11
HIV diagnoses,"Yakutat City and Borough, Alaska",2282,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,12
HIV diagnoses,"Yukon-Koyukuk Census Area, Alaska",2290,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,30
HIV diagnoses,"Apache County, Arizona",4001,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,266
HIV diagnoses,"Cochise County, Arizona",4003,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,359"
HIV diagnoses,"Coconino County, Arizona",4005,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,665"
HIV diagnoses,"Gila County, Arizona",4007,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,258
HIV diagnoses,"Graham County, Arizona",4009,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,539
HIV diagnoses,"Greenlee County, Arizona",4011,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,131
HIV diagnoses,"La Paz County, Arizona",4012,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,151
HIV diagnoses,"Maricopa County, Arizona",4013,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,102,50,"204,078"
HIV diagnoses,"Mohave County, Arizona",4015,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,076"
HIV diagnoses,"Navajo County, Arizona",4017,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,766
HIV diagnoses,"Pima County, Arizona",4019,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,13,42.6,"30,508"
HIV diagnoses,"Pinal County, Arizona",4021,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,7,38.7,"18,067"
HIV diagnoses,"Santa Cruz County, Arizona",4023,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,167
HIV diagnoses,"Yavapai County, Arizona",4025,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,508"
HIV diagnoses,"Yuma County, Arizona",4027,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,465"
HIV diagnoses,"Arkansas County, Arkansas",5001,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,518"
HIV diagnoses,"Ashley County, Arkansas",5003,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,008"
HIV diagnoses,"Baxter County, Arkansas",5005,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,127
HIV diagnoses,"Benton County, Arkansas",5007,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"4,029"
HIV diagnoses,"Boone County, Arkansas",5009,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,107
HIV diagnoses,"Bradley County, Arkansas",5011,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,412"
HIV diagnoses,"Calhoun County, Arkansas",5013,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,946
HIV diagnoses,"Carroll County, Arkansas",5015,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,118
HIV diagnoses,"Chicot County, Arkansas",5017,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"4,480"
HIV diagnoses,"Clark County, Arkansas",5019,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,597"
HIV diagnoses,"Clay County, Arkansas",5021,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,81
HIV diagnoses,"Cleburne County, Arkansas",5023,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,72
HIV diagnoses,"Cleveland County, Arkansas",5025,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,738
HIV diagnoses,"Columbia County, Arkansas",5027,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"6,865"
HIV diagnoses,"Conway County, Arkansas",5029,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"1,995"
HIV diagnoses,"Craighead County, Arkansas",5031,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"13,610"
HIV diagnoses,"Crawford County, Arkansas",5033,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,751
HIV diagnoses,"Crittenden County, Arkansas",5035,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,7,34.6,"20,217"
HIV diagnoses,"Cross County, Arkansas",5037,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,082"
HIV diagnoses,"Dallas County, Arkansas",5039,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,385"
HIV diagnoses,"Desha County, Arkansas",5041,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"4,285"
HIV diagnoses,"Drew County, Arkansas",5043,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,150"
HIV diagnoses,"Faulkner County, Arkansas",5045,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,48.8,"12,303"
HIV diagnoses,"Franklin County, Arkansas",5047,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,116
HIV diagnoses,"Fulton County, Arkansas",5049,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,62
HIV diagnoses,"Garland County, Arkansas",5051,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,877"
HIV diagnoses,"Grant County, Arkansas",5053,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,392
HIV diagnoses,"Greene County, Arkansas",5055,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,544
HIV diagnoses,"Hempstead County, Arkansas",5057,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,178"
HIV diagnoses,"Hot Spring County, Arkansas",5059,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,6,183,"3,279"
HIV diagnoses,"Howard County, Arkansas",5061,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,190"
HIV diagnoses,"Independence County, Arkansas",5063,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,708
HIV diagnoses,"Izard County, Arkansas",5065,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,281
HIV diagnoses,"Jackson County, Arkansas",5067,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,440"
HIV diagnoses,"Jefferson County, Arkansas",5069,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,7,22.1,"31,606"
HIV diagnoses,"Johnson County, Arkansas",5071,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,351
HIV diagnoses,"Lafayette County, Arkansas",5073,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,026"
HIV diagnoses,"Lawrence County, Arkansas",5075,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,163
HIV diagnoses,"Lee County, Arkansas",5077,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,056"
HIV diagnoses,"Lincoln County, Arkansas",5079,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"3,534"
HIV diagnoses,"Little River County, Arkansas",5081,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,027"
HIV diagnoses,"Logan County, Arkansas",5083,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,253
HIV diagnoses,"Lonoke County, Arkansas",5085,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,723"
HIV diagnoses,"Madison County, Arkansas",5087,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,51
HIV diagnoses,"Marion County, Arkansas",5089,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,69
HIV diagnoses,"Miller County, Arkansas",5091,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,760"
HIV diagnoses,"Mississippi County, Arkansas",5093,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,295"
HIV diagnoses,"Monroe County, Arkansas",5095,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,214"
HIV diagnoses,"Montgomery County, Arkansas",5097,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,34
HIV diagnoses,"Nevada County, Arkansas",5099,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"2,119"
HIV diagnoses,"Newton County, Arkansas",5101,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,25
HIV diagnoses,"Ouachita County, Arkansas",5103,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,696"
HIV diagnoses,"Perry County, Arkansas",5105,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,169
HIV diagnoses,"Phillips County, Arkansas",5107,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,5,57.3,"8,726"
HIV diagnoses,"Pike County, Arkansas",5109,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,303
HIV diagnoses,"Poinsett County, Arkansas",5111,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,496"
HIV diagnoses,"Polk County, Arkansas",5113,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,72
HIV diagnoses,"Pope County, Arkansas",5115,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,622"
HIV diagnoses,"Prairie County, Arkansas",5117,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,784
HIV diagnoses,"Pulaski County, Arkansas",5119,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,69,58.3,"118,407"
HIV diagnoses,"Randolph County, Arkansas",5121,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,160
HIV diagnoses,"St. Francis County, Arkansas",5123,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"10,716"
HIV diagnoses,"Saline County, Arkansas",5125,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,949"
HIV diagnoses,"Scott County, Arkansas",5127,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,49
HIV diagnoses,"Searcy County, Arkansas",5129,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,20
HIV diagnoses,"Sebastian County, Arkansas",5131,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,865"
HIV diagnoses,"Sevier County, Arkansas",5133,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,519
HIV diagnoses,"Sharp County, Arkansas",5135,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,116
HIV diagnoses,"Stone County, Arkansas",5137,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,Data suppressed,Data suppressed,35
HIV diagnoses,"Union County, Arkansas",5139,2019,Ages 13 years and older,Black/African American,Both sexes,All transmission categories,0,0,"10,288"
