"Date Printed: Wednesday, January 25, 2023 12:12:47 PM"
Title: HIV diagnoses | 2019 | Ages 13 years and older | All races/ethnicities | Both sexes | All transmission categories | US Map-County Level

Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
NA - Not Applicable.




Indicator,Geography,FIPS,Year,Age Group,Race/Ethnicity,Sex,Transmission Category,Cases,Rate per 100000,Population
"HIV diagnoses","Lowndes County, Alabama","01085","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,148"
"HIV diagnoses","Macon County, Alabama","01087","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","8","50.5","15,836"
"HIV diagnoses","Madison County, Alabama","01089","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","47","14.9","314,691"
"HIV diagnoses","Marengo County, Alabama","01091","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","15,902"
"HIV diagnoses","Marion County, Alabama","01093","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","25,495"
"HIV diagnoses","Marshall County, Alabama","01095","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","11.4","79,219"
"HIV diagnoses","Mobile County, Alabama","01097","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","105","30.5","343,905"
"HIV diagnoses","Monroe County, Alabama","01099","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","17,680"
"HIV diagnoses","Montgomery County, Alabama","01101","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","78","41.7","187,245"
"HIV diagnoses","Morgan County, Alabama","01103","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","100,192"
"HIV diagnoses","Perry County, Alabama","01105","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","7,633"
"HIV diagnoses","Pickens County, Alabama","01107","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","17,219"
"HIV diagnoses","Pike County, Alabama","01109","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","28,465"
"HIV diagnoses","Randolph County, Alabama","01111","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","19,354"
"HIV diagnoses","Russell County, Alabama","01113","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","7","14.6","47,789"
"HIV diagnoses","St. Clair County, Alabama","01115","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","75,360"
"HIV diagnoses","Shelby County, Alabama","01117","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10","5.5","183,195"
"HIV diagnoses","Sumter County, Alabama","01119","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","47.0","10,632"
"HIV diagnoses","Talladega County, Alabama","01121","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","68,495"
"HIV diagnoses","Tallapoosa County, Alabama","01123","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","14.5","34,415"
"HIV diagnoses","Tuscaloosa County, Alabama","01125","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","41","23.0","178,255"
"HIV diagnoses","Walker County, Alabama","01127","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","53,567"
"HIV diagnoses","Washington County, Alabama","01129","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","13,849"
"HIV diagnoses","Wilcox County, Alabama","01131","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,687"
"HIV diagnoses","Winston County, Alabama","01133","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","20,347"
"HIV diagnoses","Aleutians East Borough, Alaska","02013","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","3,176"
"HIV diagnoses","Aleutians West Census Area, Alaska","02016","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,208"
"HIV diagnoses","Anchorage Municipality, Alaska","02020","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","237,534"
"HIV diagnoses","Bethel Census Area, Alaska","02050","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","13,545"
"HIV diagnoses","Bristol Bay Borough, Alaska","02060","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","712"
"HIV diagnoses","Chugach Census Area, Alaska","02063","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","2,353"
"HIV diagnoses","Copper River Census Area, Alaska","02066","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,431"
"HIV diagnoses","Denali Borough, Alaska","02068","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,848"
"HIV diagnoses","Dillingham Census Area, Alaska","02070","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","3,742"
"HIV diagnoses","Fairbanks North Star Borough, Alaska","02090","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","79,662"
"HIV diagnoses","Haines Borough, Alaska","02100","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","2,256"
"HIV diagnoses","Hoonah-Angoon Census Area, Alaska","02105","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,864"
"HIV diagnoses","Juneau City and Borough, Alaska","02110","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","27,162"
"HIV diagnoses","Kenai Peninsula Borough, Alaska","02122","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","49,421"
"HIV diagnoses","Ketchikan Gateway Borough, Alaska","02130","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","11,786"
"HIV diagnoses","Kodiak Island Borough, Alaska","02150","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","10,784"
"HIV diagnoses","Kusilvak Census Area, Alaska","02158","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,734"
"HIV diagnoses","Lake and Peninsula Borough, Alaska","02164","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,246"
"HIV diagnoses","Matanuska-Susitna Borough, Alaska","02170","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","87,967"
"HIV diagnoses","Nome Census Area, Alaska","02180","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,451"
"HIV diagnoses","North Slope Borough, Alaska","02185","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,444"
"HIV diagnoses","Northwest Arctic Borough, Alaska","02188","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,553"
"HIV diagnoses","Petersburg Census Area, Alaska","02195","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","2,778"
"HIV diagnoses","Prince of Wales-Hyder Censu, Alaska","02198","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,207"
"HIV diagnoses","Sitka City and Borough, Alaska","02220","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,255"
"HIV diagnoses","Skagway Municipality, Alaska","02230","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,048"
"HIV diagnoses","Southeast Fairbanks Census Area, Alaska","02240","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,586"
"HIV diagnoses","Valdez-Cordova Census Area, Alaska","02261","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","NA"
"HIV diagnoses","Wrangell City and Borough, Alaska","02275","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","2,162"
"HIV diagnoses","Yakutat City and Borough, Alaska","02282","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","492"
"HIV diagnoses","Yukon-Koyukuk Census Area, Alaska","02290","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","4,154"
"HIV diagnoses","Apache County, Arizona","04001","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","58,271"
"HIV diagnoses","Cochise County, Arizona","04003","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","107,814"
"HIV diagnoses","Coconino County, Arizona","04005","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12","9.7","123,460"
"HIV diagnoses","Gila County, Arizona","04007","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","46,395"
"HIV diagnoses","Graham County, Arizona","04009","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","15.9","31,432"
"HIV diagnoses","Greenlee County, Arizona","04011","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","7,588"
"HIV diagnoses","La Paz County, Arizona","04012","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","18,781"
"HIV diagnoses","Maricopa County, Arizona","04013","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","505","13.5","3,742,016"
"HIV diagnoses","Mohave County, Arizona","04015","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","3.2","188,817"
"HIV diagnoses","Navajo County, Arizona","04017","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","6","6.6","90,308"
"HIV diagnoses","Pima County, Arizona","04019","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","98","10.9","895,400"
"HIV diagnoses","Pinal County, Arizona","04021","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","76","19.6","388,722"
"HIV diagnoses","Santa Cruz County, Arizona","04023","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","37,926"
"HIV diagnoses","Yavapai County, Arizona","04025","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13","6.2","209,683"
"HIV diagnoses","Yuma County, Arizona","04027","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","17","9.7","175,245"
"HIV diagnoses","Arkansas County, Arkansas","05001","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","14,569"
"HIV diagnoses","Ashley County, Arkansas","05003","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","16,593"
"HIV diagnoses","Baxter County, Arkansas","05005","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","36,773"
"HIV diagnoses","Benton County, Arkansas","05007","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10","4.4","227,498"
"HIV diagnoses","Boone County, Arkansas","05009","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","31,558"
"HIV diagnoses","Bradley County, Arkansas","05011","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,904"
"HIV diagnoses","Calhoun County, Arkansas","05013","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","4,451"
"HIV diagnoses","Carroll County, Arkansas","05015","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","23,970"
"HIV diagnoses","Chicot County, Arkansas","05017","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","8,596"
"HIV diagnoses","Clark County, Arkansas","05019","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","19,287"
"HIV diagnoses","Clay County, Arkansas","05021","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","12,315"
"HIV diagnoses","Cleburne County, Arkansas","05023","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","21,770"
"HIV diagnoses","Cleveland County, Arkansas","05025","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","6,781"
"HIV diagnoses","Columbia County, Arkansas","05027","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","19,954"
"HIV diagnoses","Conway County, Arkansas","05029","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","17,488"
"HIV diagnoses","Craighead County, Arkansas","05031","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","16","17.6","90,699"
"HIV diagnoses","Crawford County, Arkansas","05033","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","52,502"
"HIV diagnoses","Crittenden County, Arkansas","05035","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11","28.5","38,582"
"HIV diagnoses","Cross County, Arkansas","05037","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","13,591"
"HIV diagnoses","Dallas County, Arkansas","05039","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","5,947"
"HIV diagnoses","Desha County, Arkansas","05041","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","9,356"
"HIV diagnoses","Drew County, Arkansas","05043","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","15,226"
"HIV diagnoses","Faulkner County, Arkansas","05045","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","12","11.4","105,382"
"HIV diagnoses","Franklin County, Arkansas","05047","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","14,979"
"HIV diagnoses","Fulton County, Arkansas","05049","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","10,685"
"HIV diagnoses","Garland County, Arkansas","05051","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","11","12.9","85,401"
"HIV diagnoses","Grant County, Arkansas","05053","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","15,458"
"HIV diagnoses","Greene County, Arkansas","05055","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","37,518"
"HIV diagnoses","Hempstead County, Arkansas","05057","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","17,527"
"HIV diagnoses","Hot Spring County, Arkansas","05059","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","13","44.8","29,011"
"HIV diagnoses","Howard County, Arkansas","05061","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","10,717"
"HIV diagnoses","Independence County, Arkansas","05063","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","31,286"
"HIV diagnoses","Izard County, Arkansas","05065","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","11,892"
"HIV diagnoses","Jackson County, Arkansas","05067","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","14,369"
"HIV diagnoses","Jefferson County, Arkansas","05069","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","9","15.9","56,658"
"HIV diagnoses","Johnson County, Arkansas","05071","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","21,930"
"HIV diagnoses","Lafayette County, Arkansas","05073","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,790"
"HIV diagnoses","Lawrence County, Arkansas","05075","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","13,852"
"HIV diagnoses","Lee County, Arkansas","05077","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","7,725"
"HIV diagnoses","Lincoln County, Arkansas","05079","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","11,513"
"HIV diagnoses","Little River County, Arkansas","05081","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","10,389"
"HIV diagnoses","Logan County, Arkansas","05083","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","18,314"
"HIV diagnoses","Lonoke County, Arkansas","05085","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","60,413"
"HIV diagnoses","Madison County, Arkansas","05087","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","13,807"
"HIV diagnoses","Marion County, Arkansas","05089","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","14,464"
"HIV diagnoses","Miller County, Arkansas","05091","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","36,003"
"HIV diagnoses","Mississippi County, Arkansas","05093","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","33,093"
"HIV diagnoses","Monroe County, Arkansas","05095","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","5,647"
"HIV diagnoses","Montgomery County, Arkansas","05097","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","7,888"
"HIV diagnoses","Nevada County, Arkansas","05099","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","6,899"
"HIV diagnoses","Newton County, Arkansas","05101","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","6,711"
"HIV diagnoses","Ouachita County, Arkansas","05103","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","19,623"
"HIV diagnoses","Perry County, Arkansas","05105","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","8,798"
"HIV diagnoses","Phillips County, Arkansas","05107","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","5","34.6","14,438"
"HIV diagnoses","Pike County, Arkansas","05109","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","9,087"
"HIV diagnoses","Poinsett County, Arkansas","05111","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","19,513"
"HIV diagnoses","Polk County, Arkansas","05113","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","16,803"
"HIV diagnoses","Pope County, Arkansas","05115","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","53,619"
"HIV diagnoses","Prairie County, Arkansas","05117","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","0","0.0","6,886"
"HIV diagnoses","Pulaski County, Arkansas","05119","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","95","29.1","326,189"
"HIV diagnoses","Randolph County, Arkansas","05121","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","15,034"
"HIV diagnoses","St. Francis County, Arkansas","05123","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","21,165"
"HIV diagnoses","Saline County, Arkansas","05125","2019","Ages 13 years and older","All races/ethnicities","Both sexes","All transmission categories","10","9.7","102,587"
