"Label (Grouping)","United States Virgin Islands!!Number","United States Virgin Islands!!Percent","St. Croix Island, United States Virgin Islands!!Number","St. Croix Island, United States Virgin Islands!!Percent","St. John Island, United States Virgin Islands!!Number","St. John Island, United States Virgin Islands!!Percent","St. Thomas Island, United States Virgin Islands!!Number","St. Thomas Island, United States Virgin Islands!!Percent"
"            16 years and over","72,049","82.7%","33,416","81.5%","3,361","86.6%","35,272","83.5%"
"            18 years and over","70,060","80.4%","32,422","79.1%","3,300","85.0%","34,338","81.3%"
"            21 years and over","67,214","77.1%","31,091","75.8%","3,211","82.7%","32,912","77.9%"
"            62 years and over","22,349","25.6%","10,718","26.1%","927","23.9%","10,704","25.3%"
"            65 years and over","18,541","21.3%","8,978","21.9%","751","19.4%","8,812","20.9%"
"    Male population","42,343","48.6%","20,162","49.2%","1,966","50.7%","20,215","47.8%"
"        Under 5 years","2,353","2.7%","1,147","2.8%","82","2.1%","1,124","2.7%"
"        5 to 9 years","2,429","2.8%","1,295","3.2%","73","1.9%","1,061","2.5%"
"        10 to 14 years","2,566","2.9%","1,298","3.2%","89","2.3%","1,179","2.8%"
"        15 to 19 years","2,467","2.8%","1,210","3.0%","76","2.0%","1,181","2.8%"
"        20 to 24 years","2,054","2.4%","977","2.4%","78","2.0%","999","2.4%"
"        25 to 29 years","2,170","2.5%","1,054","2.6%","88","2.3%","1,028","2.4%"
"        30 to 34 years","2,247","2.6%","1,072","2.6%","131","3.4%","1,044","2.5%"
"        35 to 39 years","2,470","2.8%","1,151","2.8%","148","3.8%","1,171","2.8%"
"        40 to 44 years","2,515","2.9%","1,160","2.8%","148","3.8%","1,207","2.9%"
"        45 to 49 years","2,810","3.2%","1,301","3.2%","157","4.0%","1,352","3.2%"
"        50 to 54 years","3,275","3.8%","1,464","3.6%","174","4.5%","1,637","3.9%"
"        55 to 59 years","3,360","3.9%","1,454","3.5%","189","4.9%","1,717","4.1%"
"        60 to 64 years","3,206","3.7%","1,468","3.6%","164","4.2%","1,574","3.7%"
"        65 to 69 years","2,651","3.0%","1,238","3.0%","128","3.3%","1,285","3.0%"
"        70 to 74 years","2,491","2.9%","1,235","3.0%","117","3.0%","1,139","2.7%"
"        75 to 79 years","1,828","2.1%","946","2.3%","76","2.0%","806","1.9%"
"        80 to 84 years","897","1.0%","450","1.1%","33","0.9%","414","1.0%"
"        85 years and over","554","0.6%","242","0.6%","15","0.4%","297","0.7%"
"        Selected Age Categories","","","","","","","",""
"            16 years and over","34,522","39.6%","16,201","39.5%","1,710","44.1%","16,611","39.3%"
"            18 years and over","33,494","38.4%","15,676","38.2%","1,681","43.3%","16,137","38.2%"
"            21 years and over","32,085","36.8%","14,999","36.6%","1,631","42.0%","15,455","36.6%"
"            62 years and over","10,278","11.8%","4,965","12.1%","458","11.8%","4,855","11.5%"
"            65 years and over","8,421","9.7%","4,111","10.0%","369","9.5%","3,941","9.3%"
"    Female population","44,803","51.4%","20,842","50.8%","1,915","49.3%","22,046","52.2%"
"        Under 5 years","2,115","2.4%","1,018","2.5%","74","1.9%","1,023","2.4%"
"        5 to 9 years","2,171","2.5%","1,106","2.7%","89","2.3%","976","2.3%"
"        10 to 14 years","2,531","2.9%","1,261","3.1%","85","2.2%","1,185","2.8%"
"        15 to 19 years","2,405","2.8%","1,163","2.8%","76","2.0%","1,166","2.8%"
"        20 to 24 years","2,099","2.4%","977","2.4%","65","1.7%","1,057","2.5%"
"        25 to 29 years","2,400","2.8%","1,132","2.8%","100","2.6%","1,168","2.8%"
"        30 to 34 years","2,442","2.8%","1,080","2.6%","113","2.9%","1,249","3.0%"
"        35 to 39 years","2,592","3.0%","1,137","2.8%","126","3.2%","1,329","3.1%"
"        40 to 44 years","2,632","3.0%","1,161","2.8%","135","3.5%","1,336","3.2%"
"        45 to 49 years","2,893","3.3%","1,316","3.2%","163","4.2%","1,414","3.3%"
"        50 to 54 years","3,376","3.9%","1,481","3.6%","163","4.2%","1,732","4.1%"
"        55 to 59 years","3,636","4.2%","1,596","3.9%","191","4.9%","1,849","4.4%"
"        60 to 64 years","3,391","3.9%","1,547","3.8%","153","3.9%","1,691","4.0%"
"        65 to 69 years","3,102","3.6%","1,446","3.5%","125","3.2%","1,531","3.6%"
"        70 to 74 years","2,761","3.2%","1,354","3.3%","123","3.2%","1,284","3.0%"
"        75 to 79 years","2,065","2.4%","993","2.4%","66","1.7%","1,006","2.4%"
"        80 to 84 years","1,218","1.4%","601","1.5%","51","1.3%","566","1.3%"
"        85 years and over","974","1.1%","473","1.2%","17","0.4%","484","1.1%"
"        Selected Age Categories","","","","","","","",""
"            16 years and over","37,527","43.1%","17,215","42.0%","1,651","42.5%","18,661","44.2%"
"            18 years and over","36,566","42.0%","16,746","40.8%","1,619","41.7%","18,201","43.1%"
"            21 years and over","35,129","40.3%","16,092","39.2%","1,580","40.7%","17,457","41.3%"
"            62 years and over","12,071","13.9%","5,753","14.0%","469","12.1%","5,849","13.8%"
"            65 years and over","10,120","11.6%","4,867","11.9%","382","9.8%","4,871","11.5%"
"MEDIAN AGE BY SEX","","","","","","","",""
"    Both sexes","45.9","(X)","45.2","(X)","47.8","(X)","46.3","(X)"
"    Male","44.8","(X)","43.8","(X)","47.4","(X)","45.5","(X)"
"    Female","46.9","(X)","46.6","(X)","48.0","(X)","47.1","(X)"
"RACE","","","","","","","",""
"    Total population","87,146","100.0%","41,004","100.0%","3,881","100.0%","42,261","100.0%"
"        One Race","80,577","92.5%","38,585","94.1%","3,558","91.7%","38,434","90.9%"
"            Black or African American","62,183","71.4%","29,107","71.0%","1,952","50.3%","31,124","73.6%"
"                African American","18,867","21.6%","7,349","17.9%","492","12.7%","11,026","26.1%"
"                Caribbean","10,310","11.8%","2,385","5.8%","212","5.5%","7,713","18.3%"
"                    Anguillan","143","0.2%","10","0.0%","0","0.0%","133","0.3%"
"                    Antiguan and Barbudan","474","0.5%","206","0.5%","0","0.0%","268","0.6%"
"                    British Virgin Islander","165","0.2%","3","0.0%","2","0.1%","160","0.4%"
"                    Dominica Islander","233","0.3%","47","0.1%","2","0.1%","184","0.4%"
"                    Haitian","2,062","2.4%","31","0.1%","63","1.6%","1,968","4.7%"
"                    Jamaican","174","0.2%","39","0.1%","4","0.1%","131","0.3%"
"                    Kittian and Nevisian","751","0.9%","142","0.3%","5","0.1%","604","1.4%"
"                    St. Lucian","422","0.5%","235","0.6%","18","0.5%","169","0.4%"
"                    Trinidadian and Tobagonian","211","0.2%","126","0.3%","2","0.1%","83","0.2%"
"                    U.S. Virgin Islander","2,565","2.9%","1,013","2.5%","4","0.1%","1,548","3.7%"
"                    West Indian","689","0.8%","147","0.4%","24","0.6%","518","1.2%"
"                    Other Caribbean","2,421","2.8%","386","0.9%","88","2.3%","1,947","4.6%"
"                Other Black or African American","33,006","37.9%","19,373","47.2%","1,248","32.2%","12,385","29.3%"
"            White","11,584","13.3%","4,915","12.0%","1,365","35.2%","5,304","12.6%"
"            Asian","910","1.0%","315","0.8%","20","0.5%","575","1.4%"
"            American Indian and Alaska Native","371","0.4%","202","0.5%","25","0.6%","144","0.3%"
"            Native Hawaiian and Other Pacific Islander","51","0.1%","44","0.1%","1","0.0%","6","0.0%"
"            Some Other Race","5,478","6.3%","4,002","9.8%","195","5.0%","1,281","3.0%"
"        Two or More Races","6,569","7.5%","2,419","5.9%","323","8.3%","3,827","9.1%"
"    Race alone or in combination with one or more other races [1]","","","","","","","",""
"        Black or African American alone or in combination [2]","67,769","77.8%","31,121","75.9%","2,233","57.5%","34,415","81.4%"
"            U.S. Virgin Islander alone or in any combination","2,756","3.2%","1,121","2.7%","5","0.1%","1,630","3.9%"
"        White alone or in combination [3]","13,143","15.1%","5,537","13.5%","1,454","37.5%","6,152","14.6%"
"        Other races alone or in combination [4]","12,742","14.6%","6,748","16.5%","526","13.6%","5,468","12.9%"
"HISPANIC OR LATINO ORIGIN AND RACE","","","","","","","",""
"    Total population","87,146","100.0%","41,004","100.0%","3,881","100.0%","42,261","100.0%"
"        Hispanic or Latino (of any race)","16,075","18.4%","9,736","23.7%","532","13.7%","5,807","13.7%"
"            Puerto Rican","7,759","8.9%","6,598","16.1%","37","1.0%","1,124","2.7%"
"            Dominican","5,442","6.2%","1,417","3.5%","370","9.5%","3,655","8.6%"
"            Mexican","484","0.6%","342","0.8%","10","0.3%","132","0.3%"
"            All Other Hispanic or Latino [5]","2,390","2.7%","1,379","3.4%","115","3.0%","896","2.1%"
"        Not Hispanic or Latino","71,071","81.6%","31,268","76.3%","3,349","86.3%","36,454","86.3%"
"            One Race","68,722","78.9%","30,331","74.0%","3,260","84.0%","35,131","83.1%"
"                Black or African American","55,936","64.2%","24,995","61.0%","1,875","48.3%","29,066","68.8%"
"                White","11,036","12.7%","4,558","11.1%","1,347","34.7%","5,131","12.1%"
"                Other races [6]","1,750","2.0%","778","1.9%","38","1.0%","934","2.2%"
"            Two or More Races","2,349","2.7%","937","2.3%","89","2.3%","1,323","3.1%"
"RELATIONSHIP","","","","","","","",""
"    Total population","87,146","100.0%","41,004","100.0%","3,881","100.0%","42,261","100.0%"
"        In households","84,891","97.4%","39,443","96.2%","3,855","99.3%","41,593","98.4%"
"            Householder","39,642","45.5%","18,083","44.1%","1,854","47.8%","19,705","46.6%"
"            Spouse [7]","11,018","12.6%","5,026","12.3%","595","15.3%","5,397","12.8%"
"            Unmarried partner","2,452","2.8%","1,151","2.8%","146","3.8%","1,155","2.7%"
"            Child","21,972","25.2%","10,995","26.8%","806","20.8%","10,171","24.1%"
"                Under 18 years","13,851","15.9%","7,044","17.2%","487","12.5%","6,320","15.0%"
"                18 to 26 years","3,932","4.5%","1,898","4.6%","146","3.8%","1,888","4.5%"
"            Other relatives","8,177","9.4%","3,671","9.0%","303","7.8%","4,203","9.9%"
"                Under 18 years","3,019","3.5%","1,451","3.5%","89","2.3%","1,479","3.5%"
"                65 years and over","1,572","1.8%","709","1.7%","45","1.2%","818","1.9%"
"            Nonrelatives","1,630","1.9%","517","1.3%","151","3.9%","962","2.3%"
"                Under 18 years","148","0.2%","55","0.1%","5","0.1%","88","0.2%"
"                65 years and over","189","0.2%","81","0.2%","12","0.3%","96","0.2%"
"        In group quarters","2,255","2.6%","1,561","3.8%","26","0.7%","668","1.6%"
"            Institutionalized population","311","0.4%","182","0.4%","0","0.0%","129","0.3%"
"                Male","248","0.3%","148","0.4%","0","0.0%","100","0.2%"
"                Female","63","0.1%","34","0.1%","0","0.0%","29","0.1%"
"            Noninstitutionalized population","1,944","2.2%","1,379","3.4%","26","0.7%","539","1.3%"
"                Male","1,575","1.8%","1,264","3.1%","20","0.5%","291","0.7%"
"                Female","369","0.4%","115","0.3%","6","0.2%","248","0.6%"
"HOUSEHOLDS BY TYPE","","","","","","","",""
"    Total households","39,642","100.0%","18,083","100.0%","1,854","100.0%","19,705","100.0%"
"        Family households (families) [8]","21,759","54.9%","10,327","57.1%","978","52.8%","10,454","53.1%"
"            With own children under 18 years","7,757","19.6%","3,751","20.7%","295","15.9%","3,711","18.8%"
"            Married couple family","11,018","27.8%","5,026","27.8%","595","32.1%","5,397","27.4%"
"                With own children under 18 years","2,832","7.1%","1,160","6.4%","144","7.8%","1,528","7.8%"
"            Male householder, no spouse present","2,607","6.6%","1,228","6.8%","114","6.1%","1,265","6.4%"
"                With own children under 18 years","918","2.3%","455","2.5%","43","2.3%","420","2.1%"
"            Female householder, no spouse present","8,134","20.5%","4,073","22.5%","269","14.5%","3,792","19.2%"
"                With own children under 18 years","4,007","10.1%","2,136","11.8%","108","5.8%","1,763","8.9%"
"        Nonfamily households [8]","17,883","45.1%","7,756","42.9%","876","47.2%","9,251","46.9%"
"            Householder living alone","15,902","40.1%","6,976","38.6%","700","37.8%","8,226","41.7%"
"                Male","8,087","20.4%","3,581","19.8%","387","20.9%","4,119","20.9%"
"                    65 years and over","2,701","6.8%","1,274","7.0%","113","6.1%","1,314","6.7%"
"                Female","7,815","19.7%","3,395","18.8%","313","16.9%","4,107","20.8%"
"                    65 years and over","3,791","9.6%","1,737","9.6%","128","6.9%","1,926","9.8%"
"            Householder not living alone","1,981","5.0%","780","4.3%","176","9.5%","1,025","5.2%"
"                Male","1,065","2.7%","418","2.3%","93","5.0%","554","2.8%"
"                    65 years and over","184","0.5%","86","0.5%","12","0.6%","86","0.4%"
"                Female","916","2.3%","362","2.0%","83","4.5%","471","2.4%"
"                    65 years and over","188","0.5%","89","0.5%","9","0.5%","90","0.5%"
"        Households with individuals under 18 years","9,553","24.1%","4,598","25.4%","355","19.1%","4,600","23.3%"
"        Households with individuals 65 years and over","14,602","36.8%","6,994","38.7%","577","31.1%","7,031","35.7%"
"        Average household size","2.14","(X)","2.18","(X)","2.08","(X)","2.11","(X)"
"        Average family size [8]","2.98","(X)","2.99","(X)","2.83","(X)","2.98","(X)"
