"Label (Grouping)","American Samoa!!Number","American Samoa!!Percent","Eastern District, American Samoa!!Number","Eastern District, American Samoa!!Percent","Manu'a District, American Samoa!!Number","Manu'a District, American Samoa!!Percent","Rose Island, American Samoa!!Number","Rose Island, American Samoa!!Percent","Swains Island, American Samoa!!Number","Swains Island, American Samoa!!Percent","Western District, American Samoa!!Number","Western District, American Samoa!!Percent"
"            Black or African American","24","0.0%","10","0.1%","0","0.0%","0","-","0","-","14","0.0%"
"            American Indian and Alaska Native","13","0.0%","2","0.0%","0","0.0%","0","-","0","-","11","0.0%"
"            Some Other Race","139","0.3%","119","0.7%","0","0.0%","0","-","0","-","20","0.1%"
"        Two or More Races","2,192","4.4%","704","4.1%","30","3.6%","0","-","0","-","1,458","4.6%"
"    Race alone or in combination with one or more other races [1]","","","","","","","","","","","",""
"        Native Hawaiian and Other Pacific Islander alone or in combination [2]","46,233","93.0%","15,642","91.7%","829","99.6%","0","-","0","-","29,762","93.5%"
"            Samoan alone or in any combination","44,461","89.4%","15,367","90.1%","817","98.2%","0","-","0","-","28,277","88.9%"
"        Asian alone or in combination [3]","3,899","7.8%","1,500","8.8%","4","0.5%","0","-","0","-","2,395","7.5%"
"        Other races alone or in combination [4]","1,938","3.9%","670","3.9%","29","3.5%","0","-","0","-","1,239","3.9%"
"HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    Total population","49,710","100.0%","17,059","100.0%","832","100.0%","0","-","0","-","31,819","100.0%"
"        Hispanic or Latino (of any race)","406","0.8%","237","1.4%","3","0.4%","0","-","0","-","166","0.5%"
"        Not Hispanic or Latino","49,304","99.2%","16,822","98.6%","829","99.6%","0","-","0","-","31,653","99.5%"
"RELATIONSHIP","","","","","","","","","","","",""
"    Total population","49,710","100.0%","17,059","100.0%","832","100.0%","0","-","0","-","31,819","100.0%"
"        In households","48,736","98.0%","16,487","96.6%","832","100.0%","0","-","0","-","31,417","98.7%"
"            Householder","9,834","19.8%","3,348","19.6%","186","22.4%","0","-","0","-","6,300","19.8%"
"            Spouse [5]","6,087","12.2%","1,981","11.6%","118","14.2%","0","-","0","-","3,988","12.5%"
"            Unmarried partner","348","0.7%","133","0.8%","1","0.1%","0","-","0","-","214","0.7%"
"            Child","17,226","34.7%","5,617","32.9%","293","35.2%","0","-","0","-","11,316","35.6%"
"                Under 18 years","10,908","21.9%","3,484","20.4%","169","20.3%","0","-","0","-","7,255","22.8%"
"                18 to 26 years","3,509","7.1%","1,129","6.6%","80","9.6%","0","-","0","-","2,300","7.2%"
"            Other relatives","13,854","27.9%","4,918","28.8%","229","27.5%","0","-","0","-","8,707","27.4%"
"                Under 18 years","7,020","14.1%","2,406","14.1%","142","17.1%","0","-","0","-","4,472","14.1%"
"                65 years and over","725","1.5%","263","1.5%","10","1.2%","0","-","0","-","452","1.4%"
"            Nonrelatives","1,387","2.8%","490","2.9%","5","0.6%","0","-","0","-","892","2.8%"
"                Under 18 years","280","0.6%","98","0.6%","1","0.1%","0","-","0","-","181","0.6%"
"                65 years and over","53","0.1%","19","0.1%","1","0.1%","0","-","0","-","33","0.1%"
"        In group quarters","974","2.0%","572","3.4%","0","0.0%","0","-","0","-","402","1.3%"
"            Institutionalized population","248","0.5%","4","0.0%","0","0.0%","0","-","0","-","244","0.8%"
"                Male","227","0.5%","4","0.0%","0","0.0%","0","-","0","-","223","0.7%"
"                Female","21","0.0%","0","0.0%","0","0.0%","0","-","0","-","21","0.1%"
"            Noninstitutionalized population","726","1.5%","568","3.3%","0","0.0%","0","-","0","-","158","0.5%"
"                Male","702","1.4%","568","3.3%","0","0.0%","0","-","0","-","134","0.4%"
"                Female","24","0.0%","0","0.0%","0","0.0%","0","-","0","-","24","0.1%"
"HOUSEHOLDS BY TYPE","","","","","","","","","","","",""
"    Total households","9,834","100.0%","3,348","100.0%","186","100.0%","0","-","0","-","6,300","100.0%"
"        Family households (families) [6]","8,671","88.2%","2,926","87.4%","163","87.6%","0","-","0","-","5,582","88.6%"
"            With own children under 18 years","4,561","46.4%","1,477","44.1%","71","38.2%","0","-","0","-","3,013","47.8%"
"            Married couple family","6,087","61.9%","1,981","59.2%","118","63.4%","0","-","0","-","3,988","63.3%"
"                With own children under 18 years","3,703","37.7%","1,185","35.4%","60","32.3%","0","-","0","-","2,458","39.0%"
"            Male householder, no spouse present","928","9.4%","322","9.6%","19","10.2%","0","-","0","-","587","9.3%"
"                With own children under 18 years","312","3.2%","102","3.0%","4","2.2%","0","-","0","-","206","3.3%"
"            Female householder, no spouse present","1,656","16.8%","623","18.6%","26","14.0%","0","-","0","-","1,007","16.0%"
"                With own children under 18 years","546","5.6%","190","5.7%","7","3.8%","0","-","0","-","349","5.5%"
"        Nonfamily households [6]","1,163","11.8%","422","12.6%","23","12.4%","0","-","0","-","718","11.4%"
"            Householder living alone","953","9.7%","336","10.0%","23","12.4%","0","-","0","-","594","9.4%"
"                Male","615","6.3%","222","6.6%","16","8.6%","0","-","0","-","377","6.0%"
"                    65 years and over","92","0.9%","40","1.2%","1","0.5%","0","-","0","-","51","0.8%"
"                Female","338","3.4%","114","3.4%","7","3.8%","0","-","0","-","217","3.4%"
"                    65 years and over","102","1.0%","35","1.0%","2","1.1%","0","-","0","-","65","1.0%"
"            Householder not living alone","210","2.1%","86","2.6%","0","0.0%","0","-","0","-","124","2.0%"
"                Male","132","1.3%","53","1.6%","0","0.0%","0","-","0","-","79","1.3%"
"                    65 years and over","20","0.2%","5","0.1%","0","0.0%","0","-","0","-","15","0.2%"
"                Female","78","0.8%","33","1.0%","0","0.0%","0","-","0","-","45","0.7%"
"                    65 years and over","10","0.1%","4","0.1%","0","0.0%","0","-","0","-","6","0.1%"
"        Households with individuals under 18 years","6,504","66.1%","2,160","64.5%","114","61.3%","0","-","0","-","4,230","67.1%"
"        Households with individuals 65 years and over","2,481","25.2%","884","26.4%","52","28.0%","0","-","0","-","1,545","24.5%"
"        Average household size","4.96","(X)","4.92","(X)","4.47","(X)","-","(X)","-","(X)","4.99","(X)"
"        Average family size [6]","5.43","(X)","5.43","(X)","4.96","(X)","-","(X)","-","(X)","5.45","(X)"
