Data Year,Measure,UnitTypeDescription,MeasureDefinition,StateCode,Value,LowerCI,UpperCI,Rank,Number,Source,MissingReason,CaseShare,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,GA,9.4,8.4,10.4,16,772700,"CDC, Behavioral Risk Factor Surveillance System",NA,3.3,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,HI,8.1,7.3,9,1,92800,"CDC, Behavioral Risk Factor Surveillance System",NA,0.4,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,IA,9.1,8.3,9.9,13,224500,"CDC, Behavioral Risk Factor Surveillance System",NA,0.9,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,ID,9.8,8.9,10.7,24,138500,"CDC, Behavioral Risk Factor Surveillance System",NA,0.6,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,IL,8.7,7.3,10.1,6,860400,"CDC, Behavioral Risk Factor Surveillance System",NA,3.6,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,IN,10.3,9.6,11.1,30,536400,"CDC, Behavioral Risk Factor Surveillance System",NA,2.3,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,KS,10.6,10,11.2,37,236000,"CDC, Behavioral Risk Factor Surveillance System",NA,1,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,KY,11.7,10.6,12.9,43,408800,"CDC, Behavioral Risk Factor Surveillance System",NA,1.7,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,LA,9.7,8.5,10.9,20,344800,"CDC, Behavioral Risk Factor Surveillance System",NA,1.5,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,MA,11.7,10.7,12.8,43,661300,"CDC, Behavioral Risk Factor Surveillance System",NA,2.8,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,MD,9.4,8.7,10,16,451200,"CDC, Behavioral Risk Factor Surveillance System",NA,1.9,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,ME,12.5,11.5,13.4,48,138400,"CDC, Behavioral Risk Factor Surveillance System",NA,0.6,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,MI,11.5,10.6,12.4,42,908600,"CDC, Behavioral Risk Factor Surveillance System",NA,3.8,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,MN,8.8,8.2,9.3,8,387200,"CDC, Behavioral Risk Factor Surveillance System",NA,1.6,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,MO,9.4,8.6,10.2,16,449300,"CDC, Behavioral Risk Factor Surveillance System",NA,1.9,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,MS,10,8.7,11.3,28,226600,"CDC, Behavioral Risk Factor Surveillance System",NA,1,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,MT,9.7,8.8,10.7,20,83700,"CDC, Behavioral Risk Factor Surveillance System",NA,0.4,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,NC,8.7,7.6,9.7,6,717300,"CDC, Behavioral Risk Factor Surveillance System",NA,3,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,ND,8.4,7.4,9.4,4,50000,"CDC, Behavioral Risk Factor Surveillance System",NA,0.2,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,NE,8.2,7.6,8.9,2,122500,"CDC, Behavioral Risk Factor Surveillance System",NA,0.5,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,NH,12.1,10.9,13.3,46,136000,"CDC, Behavioral Risk Factor Surveillance System",NA,0.6,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,NJ,8.9,8.1,9.8,10,647000,"CDC, Behavioral Risk Factor Surveillance System",NA,2.7,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,NM,10.6,9.5,11.6,37,173500,"CDC, Behavioral Risk Factor Surveillance System",NA,0.7,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,NV,9.1,7.6,10.7,13,224000,"CDC, Behavioral Risk Factor Surveillance System",NA,0.9,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,NY,9.8,9.3,10.4,24,1563500,"CDC, Behavioral Risk Factor Surveillance System",NA,6.6,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,OH,10.4,9.7,11.2,33,955600,"CDC, Behavioral Risk Factor Surveillance System",NA,4,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,OK,10.9,9.8,11.9,40,326100,"CDC, Behavioral Risk Factor Surveillance System",NA,1.4,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,OR,11.2,10.1,12.2,41,377900,"CDC, Behavioral Risk Factor Surveillance System",NA,1.6,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,PA,10.3,9.3,11.3,30,1062300,"CDC, Behavioral Risk Factor Surveillance System",NA,4.5,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,RI,12.6,11.4,13.9,49,111500,"CDC, Behavioral Risk Factor Surveillance System",NA,0.5,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,SC,9.2,8.3,10,15,372600,"CDC, Behavioral Risk Factor Surveillance System",NA,1.6,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,SD,8.3,6.8,9.9,3,55900,"CDC, Behavioral Risk Factor Surveillance System",NA,0.2,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,TN,10.3,9.2,11.5,30,558300,"CDC, Behavioral Risk Factor Surveillance System",NA,2.4,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,TX,8.4,7.5,9.3,4,1854300,"CDC, Behavioral Risk Factor Surveillance System",NA,7.8,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,UT,9.7,9,10.5,20,231100,"CDC, Behavioral Risk Factor Surveillance System",NA,1,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,VA,9.8,9,10.6,24,661900,"CDC, Behavioral Risk Factor Surveillance System",NA,2.8,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,VT,11.8,10.6,13,45,61500,"CDC, Behavioral Risk Factor Surveillance System",NA,0.3,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,WA,10.5,9.8,11.2,35,641100,"CDC, Behavioral Risk Factor Surveillance System",NA,2.7,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,WI,10.8,9.6,11.9,39,498200,"CDC, Behavioral Risk Factor Surveillance System",NA,2.1,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,WV,12.1,11.1,13,46,171100,"CDC, Behavioral Risk Factor Surveillance System",NA,0.7,,
2021,Asthma,Percentage of adults,Percentage of adults who reported being told by a health professional that they currently have asthma,WY,9.7,8.4,11,20,43200,"CDC, Behavioral Risk Factor Surveillance System",NA,0.2,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,AK,8.9,7.1,10.7,NA,24600,"CDC, Behavioral Risk Factor Surveillance System",NA,49.7,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,AL,9.5,7.4,11.6,NA,162800,"CDC, Behavioral Risk Factor Surveillance System",NA,41.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,ALL,9.9,9.6,10.2,NA,11096900,"CDC, Behavioral Risk Factor Surveillance System",NA,47,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,AR,9.3,7,11.6,NA,96700,"CDC, Behavioral Risk Factor Surveillance System",NA,46.5,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,AZ,9.8,8.4,11.1,NA,247800,"CDC, Behavioral Risk Factor Surveillance System",NA,47.7,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,CA,8.7,7.4,10,NA,1283300,"CDC, Behavioral Risk Factor Surveillance System",NA,47.6,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,CO,10.1,9,11.2,NA,225600,"CDC, Behavioral Risk Factor Surveillance System",NA,47.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,CT,11.8,10.1,13.5,NA,143400,"CDC, Behavioral Risk Factor Surveillance System",NA,47.7,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,DC,11.4,9,13.8,NA,36800,"CDC, Behavioral Risk Factor Surveillance System",NA,57.2,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,DE,10.6,8,13.2,NA,35200,"CDC, Behavioral Risk Factor Surveillance System",NA,45.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,FL,NA,NA,NA,NA,NA,"CDC, Behavioral Risk Factor Surveillance System",Results are suppressed due to inadequate sample size and/or to protect identity,NA,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,GA,10.9,9.1,12.7,NA,422800,"CDC, Behavioral Risk Factor Surveillance System",NA,54.7,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,HI,8.1,6.8,9.5,NA,41100,"CDC, Behavioral Risk Factor Surveillance System",NA,44.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,IA,10.1,8.7,11.5,NA,111500,"CDC, Behavioral Risk Factor Surveillance System",NA,49.7,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,ID,9.4,7.9,10.9,NA,61800,"CDC, Behavioral Risk Factor Surveillance System",NA,44.6,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,IL,9.9,7.6,12.2,NA,448500,"CDC, Behavioral Risk Factor Surveillance System",NA,52.1,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,IN,11.1,9.8,12.5,NA,264400,"CDC, Behavioral Risk Factor Surveillance System",NA,49.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,KS,11.1,10.1,12.2,NA,115900,"CDC, Behavioral Risk Factor Surveillance System",NA,49.1,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,KY,11,9.1,12.8,NA,169300,"CDC, Behavioral Risk Factor Surveillance System",NA,41.4,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,LA,10.3,8.3,12.4,NA,171100,"CDC, Behavioral Risk Factor Surveillance System",NA,49.6,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,MA,12.6,10.9,14.2,NA,315100,"CDC, Behavioral Risk Factor Surveillance System",NA,47.6,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,MD,9.3,8.1,10.5,NA,199800,"CDC, Behavioral Risk Factor Surveillance System",NA,44.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,ME,13.5,11.7,15.3,NA,57400,"CDC, Behavioral Risk Factor Surveillance System",NA,41.5,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,MI,12.8,11.2,14.4,NA,438300,"CDC, Behavioral Risk Factor Surveillance System",NA,48.2,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,MN,9.4,8.4,10.4,NA,188500,"CDC, Behavioral Risk Factor Surveillance System",NA,48.7,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,MO,10.7,9.2,12.1,NA,226900,"CDC, Behavioral Risk Factor Surveillance System",NA,50.5,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,MS,9.5,7.2,11.8,NA,97300,"CDC, Behavioral Risk Factor Surveillance System",NA,42.9,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,MT,10.9,9.2,12.7,NA,40600,"CDC, Behavioral Risk Factor Surveillance System",NA,48.5,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,NC,8.3,6.8,9.8,NA,308200,"CDC, Behavioral Risk Factor Surveillance System",NA,43,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,ND,9.3,7.6,11,NA,27500,"CDC, Behavioral Risk Factor Surveillance System",NA,55,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,NE,9,7.8,10.1,NA,62500,"CDC, Behavioral Risk Factor Surveillance System",NA,51,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,NH,13.4,11,15.8,NA,61200,"CDC, Behavioral Risk Factor Surveillance System",NA,45,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,NJ,10,8.3,11.6,NA,312100,"CDC, Behavioral Risk Factor Surveillance System",NA,48.2,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,NM,11,9.3,12.8,NA,81700,"CDC, Behavioral Risk Factor Surveillance System",NA,47.1,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,NV,9,6.3,11.6,NA,101100,"CDC, Behavioral Risk Factor Surveillance System",NA,45.1,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,NY,10,9.1,10.9,NA,716400,"CDC, Behavioral Risk Factor Surveillance System",NA,45.8,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,OH,11.1,9.8,12.4,NA,445000,"CDC, Behavioral Risk Factor Surveillance System",NA,46.6,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,OK,11.1,9.4,12.9,NA,156300,"CDC, Behavioral Risk Factor Surveillance System",NA,47.9,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,OR,11,9.5,12.5,NA,168500,"CDC, Behavioral Risk Factor Surveillance System",NA,44.6,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,PA,11.9,10.2,13.7,NA,524200,"CDC, Behavioral Risk Factor Surveillance System",NA,49.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,RI,13,10.8,15.2,NA,51100,"CDC, Behavioral Risk Factor Surveillance System",NA,45.8,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,SC,9.2,7.5,10.9,NA,162400,"CDC, Behavioral Risk Factor Surveillance System",NA,43.6,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,SD,7.9,5.4,10.3,NA,23900,"CDC, Behavioral Risk Factor Surveillance System",NA,42.8,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,TN,10.5,8.6,12.4,NA,253100,"CDC, Behavioral Risk Factor Surveillance System",NA,45.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,TX,7.3,6.1,8.6,NA,809600,"CDC, Behavioral Risk Factor Surveillance System",NA,43.7,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,UT,10.3,9.2,11.5,NA,134500,"CDC, Behavioral Risk Factor Surveillance System",NA,58.2,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,VA,9.7,8.4,11,NA,299300,"CDC, Behavioral Risk Factor Surveillance System",NA,45.2,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,VT,12.8,10.6,15.1,NA,27600,"CDC, Behavioral Risk Factor Surveillance System",NA,44.9,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,WA,10.9,9.7,12.1,NA,314400,"CDC, Behavioral Risk Factor Surveillance System",NA,49,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,WI,10.2,8.2,12.1,NA,204300,"CDC, Behavioral Risk Factor Surveillance System",NA,41,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,WV,12.4,10.6,14.2,NA,70600,"CDC, Behavioral Risk Factor Surveillance System",NA,41.3,,
2021,Asthma - Ages 18-44,Percentage of adults,Percentage of adults ages 18-44 who reported being told by a health professional that they currently have asthma,WY,9.8,7.4,12.1,NA,19700,"CDC, Behavioral Risk Factor Surveillance System",NA,45.6,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,AK,9.7,7.8,11.7,NA,16700,"CDC, Behavioral Risk Factor Surveillance System",NA,33.7,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,AL,11.7,9.6,13.7,NA,148500,"CDC, Behavioral Risk Factor Surveillance System",NA,37.7,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,ALL,10.1,9.8,10.5,NA,7910800,"CDC, Behavioral Risk Factor Surveillance System",NA,33.5,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,AR,9.8,8,11.6,NA,70500,"CDC, Behavioral Risk Factor Surveillance System",NA,33.9,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,AZ,9.8,8.6,11,NA,162600,"CDC, Behavioral Risk Factor Surveillance System",NA,31.3,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,CA,8.8,7.4,10.3,NA,855700,"CDC, Behavioral Risk Factor Surveillance System",NA,31.8,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,CO,11.6,10.3,12.9,NA,166100,"CDC, Behavioral Risk Factor Surveillance System",NA,34.8,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,CT,10.7,9.3,12.1,NA,103700,"CDC, Behavioral Risk Factor Surveillance System",NA,34.5,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,DC,13.1,10.6,15.7,NA,18700,"CDC, Behavioral Risk Factor Surveillance System",NA,29.1,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,DE,10.4,8.5,12.4,NA,26600,"CDC, Behavioral Risk Factor Surveillance System",NA,34.2,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,FL,NA,NA,NA,NA,NA,"CDC, Behavioral Risk Factor Surveillance System",Results are suppressed due to inadequate sample size and/or to protect identity,NA,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,GA,8.4,7,9.8,NA,229000,"CDC, Behavioral Risk Factor Surveillance System",NA,29.6,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,HI,8.1,6.7,9.4,NA,28200,"CDC, Behavioral Risk Factor Surveillance System",NA,30.4,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,IA,9.4,8.1,10.7,NA,71900,"CDC, Behavioral Risk Factor Surveillance System",NA,32,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,ID,10.7,9.1,12.2,NA,46300,"CDC, Behavioral Risk Factor Surveillance System",NA,33.4,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,IL,7.4,5.7,9.2,NA,237700,"CDC, Behavioral Risk Factor Surveillance System",NA,27.6,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,IN,9.9,8.8,11,NA,165200,"CDC, Behavioral Risk Factor Surveillance System",NA,30.8,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,KS,11.6,10.5,12.6,NA,79000,"CDC, Behavioral Risk Factor Surveillance System",NA,33.5,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,KY,14.3,12.1,16.4,NA,162200,"CDC, Behavioral Risk Factor Surveillance System",NA,39.7,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,LA,10.1,8.4,11.7,NA,112100,"CDC, Behavioral Risk Factor Surveillance System",NA,32.5,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,MA,10.7,9.2,12.2,NA,198100,"CDC, Behavioral Risk Factor Surveillance System",NA,30,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,MD,10.3,9.2,11.4,NA,166600,"CDC, Behavioral Risk Factor Surveillance System",NA,36.9,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,ME,13.4,11.9,15,NA,50900,"CDC, Behavioral Risk Factor Surveillance System",NA,36.8,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,MI,11.8,10.4,13.1,NA,303100,"CDC, Behavioral Risk Factor Surveillance System",NA,33.4,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,MN,8.5,7.7,9.3,NA,120600,"CDC, Behavioral Risk Factor Surveillance System",NA,31.1,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,MO,9.4,8.2,10.7,NA,143000,"CDC, Behavioral Risk Factor Surveillance System",NA,31.8,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,MS,12.5,10.3,14.6,NA,89200,"CDC, Behavioral Risk Factor Surveillance System",NA,39.4,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,MT,9.4,7.9,10.8,NA,25000,"CDC, Behavioral Risk Factor Surveillance System",NA,29.9,,
2021,Asthma - Ages 45-64,Percentage of adults,Percentage of adults ages 45-64 who reported being told by a health professional that they currently have asthma,NC,10.1,8.1,12,NA,272000,"CDC, Behavioral Risk Factor Surveillance System",NA,37.9,,
