Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,2013,2013,Colon and Rectum,21041-21052,60-64 years ,60-64,5369,18338133,29.3
,2013,2013,Colon and Rectum,21041-21052,65-69 years,65-69,5919,14784058,40
,2013,2013,Colon and Rectum,21041-21052,70-74 years,70-74,6167,10700556,57.6
,2014,2014,Colon and Rectum,21041-21052,45-49 years,45-49,1841,21186627,8.7
,2014,2014,Colon and Rectum,21041-21052,50-54 years,50-54,3099,22889811,13.5
,2014,2014,Colon and Rectum,21041-21052,55-59 years,55-59,4414,21805989,20.2
,2014,2014,Colon and Rectum,21041-21052,60-64 years ,60-64,5401,18764646,28.8
,2014,2014,Colon and Rectum,21041-21052,65-69 years,65-69,6111,15492825,39.4
,2014,2014,Colon and Rectum,21041-21052,70-74 years,70-74,5932,11143046,53.2
,2015,2015,Colon and Rectum,21041-21052,45-49 years,45-49,1734,21151472,8.2
,2015,2015,Colon and Rectum,21041-21052,50-54 years,50-54,3149,22662504,13.9
,2015,2015,Colon and Rectum,21041-21052,55-59 years,55-59,4618,22112389,20.9
,2015,2015,Colon and Rectum,21041-21052,60-64 years ,60-64,5495,19257332,28.5
,2015,2015,Colon and Rectum,21041-21052,65-69 years,65-69,6348,16234720,39.1
,2015,2015,Colon and Rectum,21041-21052,70-74 years,70-74,6233,11530198,54.1
,2016,2016,Colon and Rectum,21041-21052,45-49 years,45-49,1784,21324115,8.4
,2016,2016,Colon and Rectum,21041-21052,50-54 years,50-54,3059,22237058,13.8
,2016,2016,Colon and Rectum,21041-21052,55-59 years,55-59,4595,22349108,20.6
,2016,2016,Colon and Rectum,21041-21052,60-64 years ,60-64,5722,19705483,29
,2016,2016,Colon and Rectum,21041-21052,65-69 years,65-69,6646,16989182,39.1
,2016,2016,Colon and Rectum,21041-21052,70-74 years,70-74,6066,11855835,51.2
,2017,2017,Colon and Rectum,21041-21052,45-49 years,45-49,1834,21342809,8.6
,2017,2017,Colon and Rectum,21041-21052,50-54 years,50-54,3063,21795540,14.1
,2017,2017,Colon and Rectum,21041-21052,55-59 years,55-59,4551,22381917,20.3
,2017,2017,Colon and Rectum,21041-21052,60-64 years ,60-64,5697,20191534,28.2
,2017,2017,Colon and Rectum,21041-21052,65-69 years,65-69,6601,16978426,38.9
,2017,2017,Colon and Rectum,21041-21052,70-74 years,70-74,6379,12841498,49.7
,2018,2018,Colon and Rectum,21041-21052,45-49 years,45-49,1916,21188013,9
,2018,2018,Colon and Rectum,21041-21052,50-54 years,50-54,3007,21341286,14.1
,2018,2018,Colon and Rectum,21041-21052,55-59 years,55-59,4501,22380446,20.1
,2018,2018,Colon and Rectum,21041-21052,60-64 years ,60-64,5609,20573743,27.3
,2018,2018,Colon and Rectum,21041-21052,65-69 years,65-69,6424,17243824,37.3
,2018,2018,Colon and Rectum,21041-21052,70-74 years,70-74,6529,13390558,48.8
,2019,2019,Colon and Rectum,21041-21052,45-49 years,45-49,1859,20895583,8.9
,2019,2019,Colon and Rectum,21041-21052,50-54 years,50-54,2921,20975833,13.9
,2019,2019,Colon and Rectum,21041-21052,55-59 years,55-59,4403,22365550,19.7
,2019,2019,Colon and Rectum,21041-21052,60-64 years ,60-64,5776,20841569,27.7
,2019,2019,Colon and Rectum,21041-21052,65-69 years,65-69,6324,17624068,35.9
,2019,2019,Colon and Rectum,21041-21052,70-74 years,70-74,6568,14015303,46.9
,2020,2020,Colon and Rectum,21041-21052,45-49 years,45-49,1787,20482845,8.7
,2020,2020,Colon and Rectum,21041-21052,50-54 years,50-54,2933,20932082,14
,2020,2020,Colon and Rectum,21041-21052,55-59 years,55-59,4446,22134974,20.1
,2020,2020,Colon and Rectum,21041-21052,60-64 years ,60-64,5882,21104582,27.9
,2020,2020,Colon and Rectum,21041-21052,65-69 years,65-69,6479,18067948,35.9
,2020,2020,Colon and Rectum,21041-21052,70-74 years,70-74,6713,14686987,45.7
,2021,2021,Colon and Rectum,21041-21052,45-49 years,45-49,1750,19951165,8.8
,2021,2021,Colon and Rectum,21041-21052,50-54 years,50-54,2977,21060128,14.1
,2021,2021,Colon and Rectum,21041-21052,55-59 years,55-59,4341,21684495,20
,2021,2021,Colon and Rectum,21041-21052,60-64 years ,60-64,5868,21300806,27.5
,2021,2021,Colon and Rectum,21041-21052,65-69 years,65-69,6761,18439390,36.7
,2021,2021,Colon and Rectum,21041-21052,70-74 years,70-74,6998,15367857,45.5
---,,,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Mortality",,,,,,,,,
Query Parameters:,,,,,,,,,
Age Group: 45-49 years; 50-54 years; 55-59 years; 60-64 years ; 65-69 years; 70-74 years,,,,,,,,,
Leading Cancer Sites: Colon and Rectum,,,,,,,,,
Group By: Year; Leading Cancer Sites; Age Group,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Dec 12, 2024 2:01:37 PM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Mortality: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention; 2024. Accessed at",,,,,,,,,
"http://wonder.cdc.gov/CancerMort-v2021.html on Dec 12, 2024 2:01:37 PM",,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
"1. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,
misleading.,,,,,,,,,
2. Age-adjusted rates are not available when results are grouped by age.,,,,,,,,,
"3. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were",,,,,,,,,
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:",,,,,,,,,
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may",,,,,,,,,
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence",,,,,,,,,
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one",,,,,,,,,
code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are,,,,,,,,,
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was",,,,,,,,,
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the",,,,,,,,,
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US.",,,,,,,,,
Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in,,,,,,,,,
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the",,,,,,,,,
proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates.,,,,,,,,,
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this",,,,,,,,,
report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this,,,,,,,,,
data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>,,,,,,,,,
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,
