Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,2012,2012,Lung and Bronchus,22030,60-64 years ,60-64,18305,18036056,101.5
,2012,2012,Lung and Bronchus,22030,65-69 years,65-69,24128,14167268,170.3
,2012,2012,Lung and Bronchus,22030,70-74 years,70-74,25468,10123795,251.6
,2012,2012,Lung and Bronchus,22030,75-79 years,75-79,24199,7550044,320.5
,2013,2013,Lung and Bronchus,22030,50-54 years,50-54,7623,22893105,33.3
,2013,2013,Lung and Bronchus,22030,55-59 years,55-59,13579,21490925,63.2
,2013,2013,Lung and Bronchus,22030,60-64 years ,60-64,17930,18338133,97.8
,2013,2013,Lung and Bronchus,22030,65-69 years,65-69,23903,14784058,161.7
,2013,2013,Lung and Bronchus,22030,70-74 years,70-74,25854,10700556,241.6
,2013,2013,Lung and Bronchus,22030,75-79 years,75-79,23818,7715794,308.7
,2014,2014,Lung and Bronchus,22030,50-54 years,50-54,7264,22889811,31.7
,2014,2014,Lung and Bronchus,22030,55-59 years,55-59,13361,21805989,61.3
,2014,2014,Lung and Bronchus,22030,60-64 years ,60-64,18168,18764646,96.8
,2014,2014,Lung and Bronchus,22030,65-69 years,65-69,23760,15492825,153.4
,2014,2014,Lung and Bronchus,22030,70-74 years,70-74,26408,11143046,237
,2014,2014,Lung and Bronchus,22030,75-79 years,75-79,24004,7927560,302.8
,2015,2015,Lung and Bronchus,22030,50-54 years,50-54,6665,22662504,29.4
,2015,2015,Lung and Bronchus,22030,55-59 years,55-59,13438,22112389,60.8
,2015,2015,Lung and Bronchus,22030,60-64 years ,60-64,18084,19257332,93.9
,2015,2015,Lung and Bronchus,22030,65-69 years,65-69,23860,16234720,147
,2015,2015,Lung and Bronchus,22030,70-74 years,70-74,26140,11530198,226.7
,2015,2015,Lung and Bronchus,22030,75-79 years,75-79,23535,8098379,290.6
,2016,2016,Lung and Bronchus,22030,50-54 years,50-54,5929,22237058,26.7
,2016,2016,Lung and Bronchus,22030,55-59 years,55-59,12744,22349108,57
,2016,2016,Lung and Bronchus,22030,60-64 years ,60-64,17703,19705483,89.8
,2016,2016,Lung and Bronchus,22030,65-69 years,65-69,23042,16989182,135.6
,2016,2016,Lung and Bronchus,22030,70-74 years,70-74,25190,11855835,212.5
,2016,2016,Lung and Bronchus,22030,75-79 years,75-79,23280,8325007,279.6
,2017,2017,Lung and Bronchus,22030,50-54 years,50-54,5211,21795540,23.9
,2017,2017,Lung and Bronchus,22030,55-59 years,55-59,12035,22381917,53.8
,2017,2017,Lung and Bronchus,22030,60-64 years ,60-64,17540,20191534,86.9
,2017,2017,Lung and Bronchus,22030,65-69 years,65-69,22286,16978426,131.3
,2017,2017,Lung and Bronchus,22030,70-74 years,70-74,25525,12841498,198.8
,2017,2017,Lung and Bronchus,22030,75-79 years,75-79,23317,8654139,269.4
,2018,2018,Lung and Bronchus,22030,50-54 years,50-54,4654,21341286,21.8
,2018,2018,Lung and Bronchus,22030,55-59 years,55-59,11263,22380446,50.3
,2018,2018,Lung and Bronchus,22030,60-64 years ,60-64,17758,20573743,86.3
,2018,2018,Lung and Bronchus,22030,65-69 years,65-69,21297,17243824,123.5
,2018,2018,Lung and Bronchus,22030,70-74 years,70-74,24877,13390558,185.8
,2018,2018,Lung and Bronchus,22030,75-79 years,75-79,23191,9144371,253.6
,2019,2019,Lung and Bronchus,22030,50-54 years,50-54,4019,20975833,19.2
,2019,2019,Lung and Bronchus,22030,55-59 years,55-59,10381,22365550,46.4
,2019,2019,Lung and Bronchus,22030,60-64 years ,60-64,17166,20841569,82.4
,2019,2019,Lung and Bronchus,22030,65-69 years,65-69,20938,17624068,118.8
,2019,2019,Lung and Bronchus,22030,70-74 years,70-74,24639,14015303,175.8
,2019,2019,Lung and Bronchus,22030,75-79 years,75-79,23509,9513563,247.1
,2020,2020,Lung and Bronchus,22030,50-54 years,50-54,3663,20932082,17.5
,2020,2020,Lung and Bronchus,22030,55-59 years,55-59,9671,22134974,43.7
,2020,2020,Lung and Bronchus,22030,60-64 years ,60-64,17051,21104582,80.8
,2020,2020,Lung and Bronchus,22030,65-69 years,65-69,20991,18067948,116.2
,2020,2020,Lung and Bronchus,22030,70-74 years,70-74,24744,14686987,168.5
,2020,2020,Lung and Bronchus,22030,75-79 years,75-79,23054,9825257,234.6
,2021,2021,Lung and Bronchus,22030,50-54 years,50-54,3529,21060128,16.8
,2021,2021,Lung and Bronchus,22030,55-59 years,55-59,8977,21684495,41.4
,2021,2021,Lung and Bronchus,22030,60-64 years ,60-64,16997,21300806,79.8
,2021,2021,Lung and Bronchus,22030,65-69 years,65-69,21214,18439390,115
,2021,2021,Lung and Bronchus,22030,70-74 years,70-74,24218,15367857,157.6
,2021,2021,Lung and Bronchus,22030,75-79 years,75-79,22816,10065707,226.7
---,,,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Mortality",,,,,,,,,
Query Parameters:,,,,,,,,,
Age Group: 50-54 years; 55-59 years; 60-64 years ; 65-69 years; 70-74 years; 75-79 years,,,,,,,,,
Leading Cancer Sites: Lung and Bronchus,,,,,,,,,
Group By: Year; Leading Cancer Sites; Age Group,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Dec 12, 2024 3:45:28 PM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Mortality: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention; 2024. Accessed at",,,,,,,,,
"http://wonder.cdc.gov/CancerMort-v2021.html on Dec 12, 2024 3:45:28 PM",,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
"1. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,
misleading.,,,,,,,,,
2. Age-adjusted rates are not available when results are grouped by age.,,,,,,,,,
"3. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were",,,,,,,,,
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:",,,,,,,,,
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may",,,,,,,,,
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence",,,,,,,,,
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one",,,,,,,,,
code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are,,,,,,,,,
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was",,,,,,,,,
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the",,,,,,,,,
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US.",,,,,,,,,
Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in,,,,,,,,,
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the",,,,,,,,,
proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates.,,,,,,,,,
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this",,,,,,,,,
report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this,,,,,,,,,
data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>,,,,,,,,,
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,
