Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2012,2012,Lung and Bronchus,22030,Female,F,70990,161349825,44
,2012,2012,Lung and Bronchus,22030,Male,M,87081,156656109,55.6
,2013,2013,Lung and Bronchus,22030,Female,F,70751,162374492,43.6
,2013,2013,Lung and Bronchus,22030,Male,M,86043,157983633,54.5
,2014,2014,Lung and Bronchus,22030,Female,F,70897,163469466,43.4
,2014,2014,Lung and Bronchus,22030,Male,M,85271,159360124,53.5
,2015,2015,Lung and Bronchus,22030,Female,F,70295,164558125,42.7
,2015,2015,Lung and Bronchus,22030,Male,M,84025,160765628,52.3
,2016,2016,Lung and Bronchus,22030,Female,F,68300,165650963,41.2
,2016,2016,Lung and Bronchus,22030,Male,M,81101,162133616,50
,2017,2017,Lung and Bronchus,22030,Female,F,67358,166595532,40.4
,2017,2017,Lung and Bronchus,22030,Male,M,79054,163340937,48.4
,2018,2018,Lung and Bronchus,22030,Female,F,66059,167366762,39.5
,2018,2018,Lung and Bronchus,22030,Male,M,76550,164352515,46.6
,2019,2019,Lung and Bronchus,22030,Female,F,64936,168100791,38.6
,2019,2019,Lung and Bronchus,22030,Male,M,75145,165314770,45.5
,2020,2020,Lung and Bronchus,22030,Female,F,63361,168712895,37.6
,2020,2020,Lung and Bronchus,22030,Male,M,73297,166080174,44.1
,2021,2021,Lung and Bronchus,22030,Female,F,63198,169027007,37.4
,2021,2021,Lung and Bronchus,22030,Male,M,71904,166267240,43.2
---,,,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Mortality",,,,,,,,,
Query Parameters:,,,,,,,,,
Leading Cancer Sites: Lung and Bronchus,,,,,,,,,
Group By: Year; Leading Cancer Sites; Sex,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Dec 12, 2024 5:16:06 PM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Mortality: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention; 2024. Accessed at",,,,,,,,,
"http://wonder.cdc.gov/CancerMort-v2021.html on Dec 12, 2024 5:16:06 PM",,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
"1. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,
misleading.,,,,,,,,,
"2. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were",,,,,,,,,
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:",,,,,,,,,
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may",,,,,,,,,
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence",,,,,,,,,
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one",,,,,,,,,
code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are,,,,,,,,,
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was",,,,,,,,,
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the",,,,,,,,,
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US.",,,,,,,,,
Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in,,,,,,,,,
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the",,,,,,,,,
proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates.,,,,,,,,,
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this",,,,,,,,,
report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this,,,,,,,,,
data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>,,,,,,,,,
"3. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,
