Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,2002,2002,Colon and Rectum,21041-21052,25-29 years,25-29,393,18510142,2.1
,2002,2002,Colon and Rectum,21041-21052,30-34 years,30-34,871,20467339,4.3
,2002,2002,Colon and Rectum,21041-21052,35-39 years,35-39,1774,21551652,8.2
,2002,2002,Colon and Rectum,21041-21052,40-44 years,40-44,3532,22675693,15.6
,2002,2002,Colon and Rectum,21041-21052,45-49 years,45-49,6203,21049493,29.5
,2002,2002,Colon and Rectum,21041-21052,50-54 years,50-54,10238,18560294,55.2
,2002,2002,Colon and Rectum,21041-21052,55-59 years,55-59,12404,14996304,82.7
,2002,2002,Colon and Rectum,21041-21052,60-64 years ,60-64,14728,11442027,128.7
,2002,2002,Colon and Rectum,21041-21052,65-69 years,65-69,18263,9538576,191.5
,2002,2002,Colon and Rectum,21041-21052,70-74 years,70-74,22118,8663457,255.3
,2002,2002,Colon and Rectum,21041-21052,75-79 years,75-79,23491,7400487,317.4
,2002,2002,Colon and Rectum,21041-21052,80-84 years,80-84,19858,5246561,378.5
,2002,2002,Colon and Rectum,21041-21052,85+ years,85+,18302,4327726,422.9
,2003,2003,Colon and Rectum,21041-21052,10-14 years,14-Oct,18,21415353,0.1
,2003,2003,Colon and Rectum,21041-21052,15-19 years,15-19,54,20797166,0.3
,2003,2003,Colon and Rectum,21041-21052,20-24 years,20-24,166,20591688,0.8
,2003,2003,Colon and Rectum,21041-21052,25-29 years,25-29,372,18771585,2
,2003,2003,Colon and Rectum,21041-21052,30-34 years,30-34,932,20472210,4.6
,2003,2003,Colon and Rectum,21041-21052,35-39 years,35-39,1771,21264159,8.3
,2003,2003,Colon and Rectum,21041-21052,40-44 years,40-44,3686,22890047,16.1
,2003,2003,Colon and Rectum,21041-21052,45-49 years,45-49,6359,21722676,29.3
,2003,2003,Colon and Rectum,21041-21052,50-54 years,50-54,10665,19097278,55.8
,2003,2003,Colon and Rectum,21041-21052,55-59 years,55-59,13142,15814557,83.1
,2003,2003,Colon and Rectum,21041-21052,60-64 years ,60-64,15266,12194388,125.2
,2003,2003,Colon and Rectum,21041-21052,65-69 years,65-69,18609,9830796,189.3
,2003,2003,Colon and Rectum,21041-21052,70-74 years,70-74,21195,8670119,244.5
,2003,2003,Colon and Rectum,21041-21052,75-79 years,75-79,23449,7497842,312.7
,2003,2003,Colon and Rectum,21041-21052,80-84 years,80-84,19781,5398596,366.4
,2003,2003,Colon and Rectum,21041-21052,85+ years,85+,18424,4466176,412.5
,2004,2004,Colon and Rectum,21041-21052,15-19 years,15-19,54,21102552,0.3
,2004,2004,Colon and Rectum,21041-21052,20-24 years,20-24,193,20845560,0.9
,2004,2004,Colon and Rectum,21041-21052,25-29 years,25-29,381,19107055,2
,2004,2004,Colon and Rectum,21041-21052,30-34 years,30-34,942,20159501,4.7
,2004,2004,Colon and Rectum,21041-21052,35-39 years,35-39,1822,20874649,8.7
,2004,2004,Colon and Rectum,21041-21052,40-44 years,40-44,3661,22925626,16
,2004,2004,Colon and Rectum,21041-21052,45-49 years,45-49,6691,22065262,30.3
,2004,2004,Colon and Rectum,21041-21052,50-54 years,50-54,11064,19564668,56.6
,2004,2004,Colon and Rectum,21041-21052,55-59 years,55-59,13422,16607176,80.8
,2004,2004,Colon and Rectum,21041-21052,60-64 years ,60-64,15354,12698128,120.9
,2004,2004,Colon and Rectum,21041-21052,65-69 years,65-69,18413,10073429,182.8
,2004,2004,Colon and Rectum,21041-21052,70-74 years,70-74,20278,8594104,236
,2004,2004,Colon and Rectum,21041-21052,75-79 years,75-79,22175,7461399,297.2
,2004,2004,Colon and Rectum,21041-21052,80-84 years,80-84,19772,5528504,357.6
,2004,2004,Colon and Rectum,21041-21052,85+ years,85+,17833,4545883,392.3
,2005,2005,Colon and Rectum,21041-21052,15-19 years,15-19,70,21471178,0.3
,2005,2005,Colon and Rectum,21041-21052,20-24 years,20-24,156,20941230,0.7
,2005,2005,Colon and Rectum,21041-21052,25-29 years,25-29,411,19521407,2.1
,2005,2005,Colon and Rectum,21041-21052,30-34 years,30-34,905,19707198,4.6
,2005,2005,Colon and Rectum,21041-21052,35-39 years,35-39,1781,20785291,8.6
,2005,2005,Colon and Rectum,21041-21052,40-44 years,40-44,3790,22690105,16.7
,2005,2005,Colon and Rectum,21041-21052,45-49 years,45-49,6712,22403209,30
,2005,2005,Colon and Rectum,21041-21052,50-54 years,50-54,11319,20067242,56.4
,2005,2005,Colon and Rectum,21041-21052,55-59 years,55-59,14036,17495609,80.2
,2005,2005,Colon and Rectum,21041-21052,60-64 years ,60-64,15413,13131162,117.4
,2005,2005,Colon and Rectum,21041-21052,65-69 years,65-69,18014,10273382,175.3
,2005,2005,Colon and Rectum,21041-21052,70-74 years,70-74,19381,8598015,225.4
,2005,2005,Colon and Rectum,21041-21052,75-79 years,75-79,21470,7458837,287.8
,2005,2005,Colon and Rectum,21041-21052,80-84 years,80-84,19395,5608292,345.8
,2005,2005,Colon and Rectum,21041-21052,85+ years,85+,17988,4690947,383.5
,2006,2006,Colon and Rectum,21041-21052,10-14 years,14-Oct,18,21033138,0.1
,2006,2006,Colon and Rectum,21041-21052,15-19 years,15-19,62,21807709,0.3
,2006,2006,Colon and Rectum,21041-21052,20-24 years,20-24,177,21036135,0.8
,2006,2006,Colon and Rectum,21041-21052,25-29 years,25-29,448,20110011,2.2
,2006,2006,Colon and Rectum,21041-21052,30-34 years,30-34,946,19285168,4.9
,2006,2006,Colon and Rectum,21041-21052,35-39 years,35-39,1924,20941233,9.2
,2006,2006,Colon and Rectum,21041-21052,40-44 years,40-44,3870,22302568,17.4
,2006,2006,Colon and Rectum,21041-21052,45-49 years,45-49,6838,22715286,30.1
,2006,2006,Colon and Rectum,21041-21052,50-54 years,50-54,11569,20570873,56.2
,2006,2006,Colon and Rectum,21041-21052,55-59 years,55-59,14284,18396860,77.6
,2006,2006,Colon and Rectum,21041-21052,60-64 years ,60-64,15226,13533253,112.5
,2006,2006,Colon and Rectum,21041-21052,65-69 years,65-69,17793,10553201,168.6
,2006,2006,Colon and Rectum,21041-21052,70-74 years,70-74,18898,8649826,218.5
,2006,2006,Colon and Rectum,21041-21052,75-79 years,75-79,20627,7447034,277
,2006,2006,Colon and Rectum,21041-21052,80-84 years,80-84,18589,5648117,329.1
,2006,2006,Colon and Rectum,21041-21052,85+ years,85+,17768,4865929,365.2
,2007,2007,Colon and Rectum,21041-21052,10-14 years,14-Oct,16,20841042,0.1
,2007,2007,Colon and Rectum,21041-21052,15-19 years,15-19,63,22067816,0.3
,2007,2007,Colon and Rectum,21041-21052,20-24 years,20-24,196,21077999,0.9
,2007,2007,Colon and Rectum,21041-21052,25-29 years,25-29,441,20542698,2.1
,2007,2007,Colon and Rectum,21041-21052,30-34 years,30-34,870,19170765,4.5
,2007,2007,Colon and Rectum,21041-21052,35-39 years,35-39,1924,20963891,9.2
,2007,2007,Colon and Rectum,21041-21052,40-44 years,40-44,3843,21832339,17.6
,2007,2007,Colon and Rectum,21041-21052,45-49 years,45-49,7058,22799761,31
,2007,2007,Colon and Rectum,21041-21052,50-54 years,50-54,12136,21140178,57.4
,2007,2007,Colon and Rectum,21041-21052,55-59 years,55-59,14269,18454772,77.3
,2007,2007,Colon and Rectum,21041-21052,60-64 years ,60-64,15887,14673662,108.3
,2007,2007,Colon and Rectum,21041-21052,65-69 years,65-69,17916,10970235,163.3
,2007,2007,Colon and Rectum,21041-21052,70-74 years,70-74,18581,8728492,212.9
,2007,2007,Colon and Rectum,21041-21052,75-79 years,75-79,19655,7400363,265.6
,2007,2007,Colon and Rectum,21041-21052,80-84 years,80-84,17995,5687076,316.4
,2007,2007,Colon and Rectum,21041-21052,85+ years,85+,17730,5039545,351.8
,2008,2008,Colon and Rectum,21041-21052,15-19 years,15-19,67,22210880,0.3
,2008,2008,Colon and Rectum,21041-21052,20-24 years,20-24,196,21180612,0.9
,2008,2008,Colon and Rectum,21041-21052,25-29 years,25-29,482,20902668,2.3
,2008,2008,Colon and Rectum,21041-21052,30-34 years,30-34,911,19304805,4.7
,2008,2008,Colon and Rectum,21041-21052,35-39 years,35-39,1981,20817463,9.5
,2008,2008,Colon and Rectum,21041-21052,40-44 years,40-44,3747,21375023,17.5
,2008,2008,Colon and Rectum,21041-21052,45-49 years,45-49,7036,22820973,30.8
,2008,2008,Colon and Rectum,21041-21052,50-54 years,50-54,12329,21639474,57
,2008,2008,Colon and Rectum,21041-21052,55-59 years,55-59,13952,18814568,74.2
,2008,2008,Colon and Rectum,21041-21052,60-64 years ,60-64,15869,15342495,103.4
,2008,2008,Colon and Rectum,21041-21052,65-69 years,65-69,17869,11594347,154.1
,2008,2008,Colon and Rectum,21041-21052,70-74 years,70-74,18064,8911332,202.7
,2008,2008,Colon and Rectum,21041-21052,75-79 years,75-79,19046,7345743,259.3
,2008,2008,Colon and Rectum,21041-21052,80-84 years,80-84,17905,5730359,312.5
,2008,2008,Colon and Rectum,21041-21052,85+ years,85+,18291,5195840,352
,2009,2009,Colon and Rectum,21041-21052,10-14 years,14-Oct,17,20660564,0.1
,2009,2009,Colon and Rectum,21041-21052,15-19 years,15-19,54,22192810,0.2
,2009,2009,Colon and Rectum,21041-21052,20-24 years,20-24,204,21384122,1
,2009,2009,Colon and Rectum,21041-21052,25-29 years,25-29,476,21078228,2.3
,2009,2009,Colon and Rectum,21041-21052,30-34 years,30-34,955,19645114,4.9
,2009,2009,Colon and Rectum,21041-21052,35-39 years,35-39,1907,20507796,9.3
,2009,2009,Colon and Rectum,21041-21052,40-44 years,40-44,3796,20980015,18.1
,2009,2009,Colon and Rectum,21041-21052,45-49 years,45-49,7201,22862245,31.5
,2009,2009,Colon and Rectum,21041-21052,50-54 years,50-54,12650,22004843,57.5
,2009,2009,Colon and Rectum,21041-21052,55-59 years,55-59,13761,19280603,71.4
,2009,2009,Colon and Rectum,21041-21052,60-64 years ,60-64,16042,16124997,99.5
,2009,2009,Colon and Rectum,21041-21052,65-69 years,65-69,17732,12092377,146.6
,2009,2009,Colon and Rectum,21041-21052,70-74 years,70-74,17291,9140722,189.2
,2009,2009,Colon and Rectum,21041-21052,75-79 years,75-79,17764,7295064,243.5
,2009,2009,Colon and Rectum,21041-21052,80-84 years,80-84,16559,5727711,289.1
,2009,2009,Colon and Rectum,21041-21052,85+ years,85+,17436,5367301,324.9
,2010,2010,Colon and Rectum,21041-21052,10-14 years,14-Oct,16,20698184,0.1
,2010,2010,Colon and Rectum,21041-21052,15-19 years,15-19,85,22008711,0.4
,2010,2010,Colon and Rectum,21041-21052,20-24 years,20-24,233,21711544,1.1
,2010,2010,Colon and Rectum,21041-21052,25-29 years,25-29,511,21132693,2.4
,2010,2010,Colon and Rectum,21041-21052,30-34 years,30-34,1011,20067916,5
,2010,2010,Colon and Rectum,21041-21052,35-39 years,35-39,1897,20084470,9.4
,2010,2010,Colon and Rectum,21041-21052,40-44 years,40-44,3691,20910582,17.7
,2010,2010,Colon and Rectum,21041-21052,45-49 years,45-49,7032,22643500,31.1
,2010,2010,Colon and Rectum,21041-21052,50-54 years,50-54,12539,22359789,56.1
,2010,2010,Colon and Rectum,21041-21052,55-59 years,55-59,13597,19800281,68.7
,2010,2010,Colon and Rectum,21041-21052,60-64 years ,60-64,15905,16990709,93.6
,2010,2010,Colon and Rectum,21041-21052,65-69 years,65-69,17148,12520450,137
,2010,2010,Colon and Rectum,21041-21052,70-74 years,70-74,16874,9332366,180.8
,2010,2010,Colon and Rectum,21041-21052,75-79 years,75-79,16673,7314234,228
,2010,2010,Colon and Rectum,21041-21052,80-84 years,80-84,15754,5754653,273.8
,2010,2010,Colon and Rectum,21041-21052,85+ years,85+,17160,5540110,309.7
,2011,2011,Colon and Rectum,21041-21052,10-14 years,14-Oct,25,20801469,0.1
,2011,2011,Colon and Rectum,21041-21052,15-19 years,15-19,75,21794850,0.3
,2011,2011,Colon and Rectum,21041-21052,20-24 years,20-24,232,22211800,1
,2011,2011,Colon and Rectum,21041-21052,25-29 years,25-29,528,21229274,2.5
,2011,2011,Colon and Rectum,21041-21052,30-34 years,30-34,996,20513784,4.9
,2011,2011,Colon and Rectum,21041-21052,35-39 years,35-39,1903,19633289,9.7
,2011,2011,Colon and Rectum,21041-21052,40-44 years,40-44,3818,21072630,18.1
,2011,2011,Colon and Rectum,21041-21052,45-49 years,45-49,6751,22204345,30.4
,2011,2011,Colon and Rectum,21041-21052,50-54 years,50-54,12571,22606113,55.6
,2011,2011,Colon and Rectum,21041-21052,55-59 years,55-59,13751,20290231,67.8
,2011,2011,Colon and Rectum,21041-21052,60-64 years ,60-64,16341,17820042,91.7
,2011,2011,Colon and Rectum,21041-21052,65-69 years,65-69,17102,12878057,132.8
,2011,2011,Colon and Rectum,21041-21052,70-74 years,70-74,16969,9590489,176.9
,2011,2011,Colon and Rectum,21041-21052,75-79 years,75-79,16426,7360839,223.2
,2011,2011,Colon and Rectum,21041-21052,80-84 years,80-84,15562,5758664,270.2
,2011,2011,Colon and Rectum,21041-21052,85+ years,85+,17070,5679743,300.5
,2012,2012,Colon and Rectum,21041-21052,10-14 years,14-Oct,29,20830078,0.1
,2012,2012,Colon and Rectum,21041-21052,15-19 years,15-19,112,21611310,0.5
,2012,2012,Colon and Rectum,21041-21052,20-24 years,20-24,250,22681021,1.1
,2012,2012,Colon and Rectum,21041-21052,25-29 years,25-29,600,21292157,2.8
,2012,2012,Colon and Rectum,21041-21052,30-34 years,30-34,1103,20907571,5.3
,2012,2012,Colon and Rectum,21041-21052,35-39 years,35-39,1937,19552679,9.9
,2012,2012,Colon and Rectum,21041-21052,40-44 years,40-44,3767,21089994,17.9
,2012,2012,Colon and Rectum,21041-21052,45-49 years,45-49,6863,21759876,31.5
,2012,2012,Colon and Rectum,21041-21052,50-54 years,50-54,12839,22648262,56.7
,2012,2012,Colon and Rectum,21041-21052,55-59 years,55-59,13782,20828662,66.2
,2012,2012,Colon and Rectum,21041-21052,60-64 years ,60-64,16169,17824194,90.7
,2012,2012,Colon and Rectum,21041-21052,65-69 years,65-69,17747,13976228,127
,2012,2012,Colon and Rectum,21041-21052,70-74 years,70-74,16804,9979703,168.4
,2012,2012,Colon and Rectum,21041-21052,75-79 years,75-79,15967,7443217,214.5
,2012,2012,Colon and Rectum,21041-21052,80-84 years,80-84,14729,5744875,256.4
,2012,2012,Colon and Rectum,21041-21052,85+ years,85+,16411,5831953,281.4
,2013,2013,Colon and Rectum,21041-21052,10-14 years,14-Oct,38,20882500,0.2
,2013,2013,Colon and Rectum,21041-21052,15-19 years,15-19,120,21523978,0.6
,2013,2013,Colon and Rectum,21041-21052,20-24 years,20-24,253,22946498,1.1
,2013,2013,Colon and Rectum,21041-21052,25-29 years,25-29,538,21435169,2.5
,2013,2013,Colon and Rectum,21041-21052,30-34 years,30-34,1125,21268221,5.3
,2013,2013,Colon and Rectum,21041-21052,35-39 years,35-39,1918,19695304,9.7
,2013,2013,Colon and Rectum,21041-21052,40-44 years,40-44,3851,20940015,18.4
,2013,2013,Colon and Rectum,21041-21052,45-49 years,45-49,6816,21310457,32
,2013,2013,Colon and Rectum,21041-21052,50-54 years,50-54,13195,22657508,58.2
,2013,2013,Colon and Rectum,21041-21052,55-59 years,55-59,14445,21264866,67.9
,2013,2013,Colon and Rectum,21041-21052,60-64 years ,60-64,16302,18128425,89.9
,2013,2013,Colon and Rectum,21041-21052,65-69 years,65-69,18159,14587794,124.5
,2013,2013,Colon and Rectum,21041-21052,70-74 years,70-74,17079,10551497,161.9
,2013,2013,Colon and Rectum,21041-21052,75-79 years,75-79,15707,7605844,206.5
,2013,2013,Colon and Rectum,21041-21052,80-84 years,80-84,14435,5712815,252.7
,2013,2013,Colon and Rectum,21041-21052,85+ years,85+,16332,5944237,274.8
,2014,2014,Colon and Rectum,21041-21052,10-14 years,14-Oct,62,20968376,0.3
,2014,2014,Colon and Rectum,21041-21052,15-19 years,15-19,146,21502453,0.7
,2014,2014,Colon and Rectum,21041-21052,20-24 years,20-24,330,23045398,1.4
,2014,2014,Colon and Rectum,21041-21052,25-29 years,25-29,675,21773140,3.1
,2014,2014,Colon and Rectum,21041-21052,30-34 years,30-34,1263,21503601,5.9
,2014,2014,Colon and Rectum,21041-21052,35-39 years,35-39,2128,19994073,10.6
,2014,2014,Colon and Rectum,21041-21052,40-44 years,40-44,3908,20655612,18.9
,2014,2014,Colon and Rectum,21041-21052,45-49 years,45-49,7058,20957341,33.7
,2014,2014,Colon and Rectum,21041-21052,50-54 years,50-54,13515,22655076,59.7
,2014,2014,Colon and Rectum,21041-21052,55-59 years,55-59,15240,21580660,70.6
,2014,2014,Colon and Rectum,21041-21052,60-64 years ,60-64,17357,18555707,93.5
,2014,2014,Colon and Rectum,21041-21052,65-69 years,65-69,18899,15294148,123.6
,2014,2014,Colon and Rectum,21041-21052,70-74 years,70-74,17013,10989671,154.8
,2014,2014,Colon and Rectum,21041-21052,75-79 years,75-79,15781,7814119,202
,2014,2014,Colon and Rectum,21041-21052,80-84 years,80-84,13730,5691530,241.2
,2014,2014,Colon and Rectum,21041-21052,85+ years,85+,16036,6066438,264.3
,2015,2015,Colon and Rectum,21041-21052,5-9 years,9-May,24,20412054,0.1
,2015,2015,Colon and Rectum,21041-21052,10-14 years,14-Oct,113,20978503,0.5
,2015,2015,Colon and Rectum,21041-21052,15-19 years,15-19,277,21635443,1.3
,2015,2015,Colon and Rectum,21041-21052,20-24 years,20-24,456,22876751,2
,2015,2015,Colon and Rectum,21041-21052,25-29 years,25-29,719,22185626,3.2
,2015,2015,Colon and Rectum,21041-21052,30-34 years,30-34,1377,21636346,6.4
,2015,2015,Colon and Rectum,21041-21052,35-39 years,35-39,2271,20459438,11.1
,2015,2015,Colon and Rectum,21041-21052,40-44 years,40-44,4011,20283575,19.8
,2015,2015,Colon and Rectum,21041-21052,45-49 years,45-49,7229,20927582,34.5
,2015,2015,Colon and Rectum,21041-21052,50-54 years,50-54,13753,22430223,61.3
,2015,2015,Colon and Rectum,21041-21052,55-59 years,55-59,15241,21887340,69.6
,2015,2015,Colon and Rectum,21041-21052,60-64 years ,60-64,17403,19048932,91.4
,2015,2015,Colon and Rectum,21041-21052,65-69 years,65-69,19363,16034693,120.8
,2015,2015,Colon and Rectum,21041-21052,70-74 years,70-74,16900,11372193,148.6
,2015,2015,Colon and Rectum,21041-21052,75-79 years,75-79,15861,7981929,198.7
,2015,2015,Colon and Rectum,21041-21052,80-84 years,80-84,13498,5712776,236.3
,2015,2015,Colon and Rectum,21041-21052,85+ years,85+,15900,6177950,257.4
,2016,2016,Colon and Rectum,21041-21052,5-9 years,9-May,16,20357183,0.1
,2016,2016,Colon and Rectum,21041-21052,10-14 years,14-Oct,123,21069372,0.6
,2016,2016,Colon and Rectum,21041-21052,15-19 years,15-19,303,21792648,1.4
,2016,2016,Colon and Rectum,21041-21052,20-24 years,20-24,417,22588147,1.8
,2016,2016,Colon and Rectum,21041-21052,25-29 years,25-29,799,22640994,3.5
,2016,2016,Colon and Rectum,21041-21052,30-34 years,30-34,1363,21829391,6.2
,2016,2016,Colon and Rectum,21041-21052,35-39 years,35-39,2376,20970940,11.3
,2016,2016,Colon and Rectum,21041-21052,40-44 years,40-44,4071,19857144,20.5
,2016,2016,Colon and Rectum,21041-21052,45-49 years,45-49,7339,21105071,34.8
,2016,2016,Colon and Rectum,21041-21052,50-54 years,50-54,13968,22007547,63.5
,2016,2016,Colon and Rectum,21041-21052,55-59 years,55-59,15312,22125872,69.2
,2016,2016,Colon and Rectum,21041-21052,60-64 years ,60-64,17557,19496202,90.1
,2016,2016,Colon and Rectum,21041-21052,65-69 years,65-69,19999,16791513,119.1
,2016,2016,Colon and Rectum,21041-21052,70-74 years,70-74,17262,11691115,147.7
,2016,2016,Colon and Rectum,21041-21052,75-79 years,75-79,15675,8205565,191
,2016,2016,Colon and Rectum,21041-21052,80-84 years,80-84,13090,5771274,226.8
,2016,2016,Colon and Rectum,21041-21052,85+ years,85+,15684,6278763,249.8
,2017,2017,Colon and Rectum,21041-21052,5-9 years,9-May,20,20222871,0.1
,2017,2017,Colon and Rectum,21041-21052,10-14 years,14-Oct,122,21292787,0.6
,2017,2017,Colon and Rectum,21041-21052,15-19 years,15-19,263,21865644,1.2
,2017,2017,Colon and Rectum,21041-21052,20-24 years,20-24,482,22316171,2.2
,2017,2017,Colon and Rectum,21041-21052,25-29 years,25-29,784,23008341,3.4
,2017,2017,Colon and Rectum,21041-21052,30-34 years,30-34,1398,21952724,6.4
,2017,2017,Colon and Rectum,21041-21052,35-39 years,35-39,2520,21412754,11.8
,2017,2017,Colon and Rectum,21041-21052,40-44 years,40-44,3995,19782856,20.2
,2017,2017,Colon and Rectum,21041-21052,45-49 years,45-49,7499,21129046,35.5
,2017,2017,Colon and Rectum,21041-21052,50-54 years,50-54,13372,21570661,62
,2017,2017,Colon and Rectum,21041-21052,55-59 years,55-59,15241,22161342,68.8
,2017,2017,Colon and Rectum,21041-21052,60-64 years ,60-64,17509,19981647,87.6
,2017,2017,Colon and Rectum,21041-21052,65-69 years,65-69,19813,16784896,118
,2017,2017,Colon and Rectum,21041-21052,70-74 years,70-74,17841,12671297,140.8
,2017,2017,Colon and Rectum,21041-21052,75-79 years,75-79,15559,8531071,182.4
,2017,2017,Colon and Rectum,21041-21052,80-84 years,80-84,13023,5845301,222.8
,2017,2017,Colon and Rectum,21041-21052,85+ years,85+,15307,6345371,241.2
,2018,2018,Colon and Rectum,21041-21052,5-9 years,9-May,23,20091629,0.1
,2018,2018,Colon and Rectum,21041-21052,10-14 years,14-Oct,141,21471654,0.7
,2018,2018,Colon and Rectum,21041-21052,15-19 years,15-19,296,21948216,1.3
,2018,2018,Colon and Rectum,21041-21052,20-24 years,20-24,417,22115306,1.9
,2018,2018,Colon and Rectum,21041-21052,25-29 years,25-29,793,23142802,3.4
,2018,2018,Colon and Rectum,21041-21052,30-34 years,30-34,1474,22124357,6.7
,2018,2018,Colon and Rectum,21041-21052,35-39 years,35-39,2488,21805998,11.4
,2018,2018,Colon and Rectum,21041-21052,40-44 years,40-44,4123,19919074,20.7
,2018,2018,Colon and Rectum,21041-21052,45-49 years,45-49,7416,20982053,35.3
,2018,2018,Colon and Rectum,21041-21052,50-54 years,50-54,13377,21124933,63.3
,2018,2018,Colon and Rectum,21041-21052,55-59 years,55-59,14982,22162268,67.6
,2018,2018,Colon and Rectum,21041-21052,60-64 years ,60-64,17877,20365633,87.8
,2018,2018,Colon and Rectum,21041-21052,65-69 years,65-69,19715,17054961,115.6
,2018,2018,Colon and Rectum,21041-21052,70-74 years,70-74,18505,13217494,140
,2018,2018,Colon and Rectum,21041-21052,75-79 years,75-79,16047,9017872,177.9
,2018,2018,Colon and Rectum,21041-21052,80-84 years,80-84,13156,5986736,219.8
,2018,2018,Colon and Rectum,21041-21052,85+ years,85+,15350,6394877,240
,2019,2019,Colon and Rectum,21041-21052,5-9 years,9-May,21,20086014,0.1
,2019,2019,Colon and Rectum,21041-21052,10-14 years,14-Oct,134,21475673,0.6
,2019,2019,Colon and Rectum,21041-21052,15-19 years,15-19,297,22050657,1.3
,2019,2019,Colon and Rectum,21041-21052,20-24 years,20-24,441,21971808,2
,2019,2019,Colon and Rectum,21041-21052,25-29 years,25-29,777,23086271,3.4
,2019,2019,Colon and Rectum,21041-21052,30-34 years,30-34,1516,22455443,6.8
,2019,2019,Colon and Rectum,21041-21052,35-39 years,35-39,2599,22047204,11.8
