"Date Printed: Wednesday, January 25, 2023 12:29:18 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | 25-34 | All races/ethnicities | Both sexes | All transmission categories | US Map-State Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV diagnoses,Pennsylvania,42,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,365,21.4,"1,708,870"
HIV diagnoses,Rhode Island,44,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,25,16.9,"148,145"
HIV diagnoses,South Carolina,45,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,251,36.7,"684,756"
HIV diagnoses,South Dakota,46,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,11,9.5,"115,754"
HIV diagnoses,Tennessee,47,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,286,30.1,"950,003"
HIV diagnoses,Texas,48,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,"1,584",37,"4,279,219"
HIV diagnoses,Utah,49,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,45,9.5,"471,861"
HIV diagnoses,Vermont,50,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,2,2.7,"74,680"
HIV diagnoses,Virginia,51,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,317,26.5,"1,195,083"
HIV diagnoses,Washington,53,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,182,15.5,"1,173,901"
HIV diagnoses,West Virginia,54,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,57,26.5,"214,955"
HIV diagnoses,Wisconsin,55,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,71,9.6,"742,663"
HIV diagnoses,Wyoming,56,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,4,5.2,"76,977"
HIV diagnoses,American Samoa,60,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,Guam,66,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,N. Mariana Islands,69,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
HIV diagnoses,Puerto Rico,72,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,110,27.1,"405,171"
HIV diagnoses,U.S. Virgin Islands,78,2019,25-34,All races/ethnicities,Both sexes,All transmission categories,Data not available,Data not available,NA
