"Date Printed: Wednesday, January 25, 2023 12:49:48 PM",,,,,,,,,,
Title: HIV diagnoses | 2019 | 55+ | All races/ethnicities | Both sexes | All transmission categories | US Map-County Level,,,,,,,,,,
,,,,,,,,,,
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV diagnoses,"Hale County, Alabama",1065,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,036"
HIV diagnoses,"Henry County, Alabama",1067,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,357"
HIV diagnoses,"Houston County, Alabama",1069,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"33,479"
HIV diagnoses,"Jackson County, Alabama",1071,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"18,272"
HIV diagnoses,"Jefferson County, Alabama",1073,2019,55+,All races/ethnicities,Both sexes,All transmission categories,13,6.8,"192,465"
HIV diagnoses,"Lamar County, Alabama",1075,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"5,047"
HIV diagnoses,"Lauderdale County, Alabama",1077,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"31,688"
HIV diagnoses,"Lawrence County, Alabama",1079,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,100"
HIV diagnoses,"Lee County, Alabama",1081,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"38,777"
HIV diagnoses,"Limestone County, Alabama",1083,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"28,757"
HIV diagnoses,"Lowndes County, Alabama",1085,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,400"
HIV diagnoses,"Macon County, Alabama",1087,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"6,196"
HIV diagnoses,"Madison County, Alabama",1089,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"110,319"
HIV diagnoses,"Marengo County, Alabama",1091,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,426"
HIV diagnoses,"Marion County, Alabama",1093,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"10,540"
HIV diagnoses,"Marshall County, Alabama",1095,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"29,350"
HIV diagnoses,"Mobile County, Alabama",1097,2019,55+,All races/ethnicities,Both sexes,All transmission categories,14,11.3,"123,807"
HIV diagnoses,"Monroe County, Alabama",1099,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"7,437"
HIV diagnoses,"Montgomery County, Alabama",1101,2019,55+,All races/ethnicities,Both sexes,All transmission categories,9,14.2,"63,601"
HIV diagnoses,"Morgan County, Alabama",1103,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"37,936"
HIV diagnoses,"Perry County, Alabama",1105,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"2,957"
HIV diagnoses,"Pickens County, Alabama",1107,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,730"
HIV diagnoses,"Pike County, Alabama",1109,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,862"
HIV diagnoses,"Randolph County, Alabama",1111,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"8,202"
HIV diagnoses,"Russell County, Alabama",1113,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"16,084"
HIV diagnoses,"St. Clair County, Alabama",1115,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"27,625"
HIV diagnoses,"Shelby County, Alabama",1117,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"63,222"
HIV diagnoses,"Sumter County, Alabama",1119,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"4,067"
HIV diagnoses,"Talladega County, Alabama",1121,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"26,028"
HIV diagnoses,"Tallapoosa County, Alabama",1123,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"15,161"
HIV diagnoses,"Tuscaloosa County, Alabama",1125,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"52,632"
HIV diagnoses,"Walker County, Alabama",1127,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"21,559"
HIV diagnoses,"Washington County, Alabama",1129,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,637"
HIV diagnoses,"Wilcox County, Alabama",1131,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,479"
HIV diagnoses,"Winston County, Alabama",1133,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"8,828"
HIV diagnoses,"Aleutians East Borough, Alaska",2013,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,858
HIV diagnoses,"Aleutians West Census Area, Alaska",2016,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,328"
HIV diagnoses,"Anchorage Municipality, Alaska",2020,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"68,648"
HIV diagnoses,"Bethel Census Area, Alaska",2050,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,328"
HIV diagnoses,"Bristol Bay Borough, Alaska",2060,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,292
HIV diagnoses,"Chugach Census Area, Alaska",2063,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,943
HIV diagnoses,"Copper River Census Area, Alaska",2066,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,011"
HIV diagnoses,"Denali Borough, Alaska",2068,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,565
HIV diagnoses,"Dillingham Census Area, Alaska",2070,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,109"
HIV diagnoses,"Fairbanks North Star Borough, Alaska",2090,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"21,347"
HIV diagnoses,"Haines Borough, Alaska",2100,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,080"
HIV diagnoses,"Hoonah-Angoon Census Area, Alaska",2105,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,924
HIV diagnoses,"Juneau City and Borough, Alaska",2110,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"9,119"
HIV diagnoses,"Kenai Peninsula Borough, Alaska",2122,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"19,928"
HIV diagnoses,"Ketchikan Gateway Borough, Alaska",2130,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,382"
HIV diagnoses,"Kodiak Island Borough, Alaska",2150,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,260"
HIV diagnoses,"Kusilvak Census Area, Alaska",2158,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,278"
HIV diagnoses,"Lake and Peninsula Borough, Alaska",2164,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,397
HIV diagnoses,"Matanuska-Susitna Borough, Alaska",2170,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"27,950"
HIV diagnoses,"Nome Census Area, Alaska",2180,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,864"
HIV diagnoses,"North Slope Borough, Alaska",2185,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,988"
HIV diagnoses,"Northwest Arctic Borough, Alaska",2188,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,357"
HIV diagnoses,"Petersburg Census Area, Alaska",2195,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,170"
HIV diagnoses,"Prince of Wales-Hyder Censu, Alaska",2198,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,149"
HIV diagnoses,"Sitka City and Borough, Alaska",2220,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,614"
HIV diagnoses,"Skagway Municipality, Alaska",2230,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,341
HIV diagnoses,"Southeast Fairbanks Census Area, Alaska",2240,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,003"
HIV diagnoses,"Valdez-Cordova Census Area, Alaska",2261,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,NA
HIV diagnoses,"Wrangell City and Borough, Alaska",2275,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,106"
HIV diagnoses,"Yakutat City and Borough, Alaska",2282,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,202
HIV diagnoses,"Yukon-Koyukuk Census Area, Alaska",2290,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"1,536"
HIV diagnoses,"Apache County, Arizona",4001,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"20,680"
HIV diagnoses,"Cochise County, Arizona",4003,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"45,953"
HIV diagnoses,"Coconino County, Arizona",4005,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"35,117"
HIV diagnoses,"Gila County, Arizona",4007,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"24,477"
HIV diagnoses,"Graham County, Arizona",4009,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"9,404"
HIV diagnoses,"Greenlee County, Arizona",4011,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"2,312"
HIV diagnoses,"La Paz County, Arizona",4012,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,235"
HIV diagnoses,"Maricopa County, Arizona",4013,2019,55+,All races/ethnicities,Both sexes,All transmission categories,51,4.2,"1,221,643"
HIV diagnoses,"Mohave County, Arizona",4015,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"101,582"
HIV diagnoses,"Navajo County, Arizona",4017,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"35,674"
HIV diagnoses,"Pima County, Arizona",4019,2019,55+,All races/ethnicities,Both sexes,All transmission categories,12,3.5,"342,323"
HIV diagnoses,"Pinal County, Arizona",4021,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"151,459"
HIV diagnoses,"Santa Cruz County, Arizona",4023,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"14,268"
HIV diagnoses,"Yavapai County, Arizona",4025,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"117,167"
HIV diagnoses,"Yuma County, Arizona",4027,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"62,816"
HIV diagnoses,"Arkansas County, Arkansas",5001,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,008"
HIV diagnoses,"Ashley County, Arkansas",5003,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,918"
HIV diagnoses,"Baxter County, Arkansas",5005,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"19,618"
HIV diagnoses,"Benton County, Arkansas",5007,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"68,242"
HIV diagnoses,"Boone County, Arkansas",5009,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"13,091"
HIV diagnoses,"Bradley County, Arkansas",5011,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,500"
HIV diagnoses,"Calhoun County, Arkansas",5013,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"1,932"
HIV diagnoses,"Carroll County, Arkansas",5015,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"10,808"
HIV diagnoses,"Chicot County, Arkansas",5017,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"3,759"
HIV diagnoses,"Clark County, Arkansas",5019,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,313"
HIV diagnoses,"Clay County, Arkansas",5021,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"5,183"
HIV diagnoses,"Cleburne County, Arkansas",5023,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"10,773"
HIV diagnoses,"Cleveland County, Arkansas",5025,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,869"
HIV diagnoses,"Columbia County, Arkansas",5027,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"6,994"
HIV diagnoses,"Conway County, Arkansas",5029,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"7,231"
HIV diagnoses,"Craighead County, Arkansas",5031,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"27,617"
HIV diagnoses,"Crawford County, Arkansas",5033,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"19,412"
HIV diagnoses,"Crittenden County, Arkansas",5035,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"12,885"
HIV diagnoses,"Cross County, Arkansas",5037,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,309"
HIV diagnoses,"Dallas County, Arkansas",5039,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"2,728"
HIV diagnoses,"Desha County, Arkansas",5041,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"3,852"
HIV diagnoses,"Drew County, Arkansas",5043,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,568"
HIV diagnoses,"Faulkner County, Arkansas",5045,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"30,256"
HIV diagnoses,"Franklin County, Arkansas",5047,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,064"
HIV diagnoses,"Fulton County, Arkansas",5049,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,175"
HIV diagnoses,"Garland County, Arkansas",5051,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"38,445"
HIV diagnoses,"Grant County, Arkansas",5053,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,910"
HIV diagnoses,"Greene County, Arkansas",5055,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"12,941"
HIV diagnoses,"Hempstead County, Arkansas",5057,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,018"
HIV diagnoses,"Hot Spring County, Arkansas",5059,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,255"
HIV diagnoses,"Howard County, Arkansas",5061,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,145"
HIV diagnoses,"Independence County, Arkansas",5063,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,730"
HIV diagnoses,"Izard County, Arkansas",5065,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"5,554"
HIV diagnoses,"Jackson County, Arkansas",5067,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,351"
HIV diagnoses,"Jefferson County, Arkansas",5069,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"21,174"
HIV diagnoses,"Johnson County, Arkansas",5071,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,959"
HIV diagnoses,"Lafayette County, Arkansas",5073,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,728"
HIV diagnoses,"Lawrence County, Arkansas",5075,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,498"
HIV diagnoses,"Lee County, Arkansas",5077,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,919"
HIV diagnoses,"Lincoln County, Arkansas",5079,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"3,673"
HIV diagnoses,"Little River County, Arkansas",5081,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"4,341"
HIV diagnoses,"Logan County, Arkansas",5083,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,532"
HIV diagnoses,"Lonoke County, Arkansas",5085,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"19,373"
HIV diagnoses,"Madison County, Arkansas",5087,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"5,584"
HIV diagnoses,"Marion County, Arkansas",5089,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,753"
HIV diagnoses,"Miller County, Arkansas",5091,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"13,010"
HIV diagnoses,"Mississippi County, Arkansas",5093,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"11,471"
HIV diagnoses,"Monroe County, Arkansas",5095,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"2,676"
HIV diagnoses,"Montgomery County, Arkansas",5097,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"4,008"
HIV diagnoses,"Nevada County, Arkansas",5099,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"2,934"
HIV diagnoses,"Newton County, Arkansas",5101,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"3,312"
HIV diagnoses,"Ouachita County, Arkansas",5103,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"8,537"
HIV diagnoses,"Perry County, Arkansas",5105,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,646"
HIV diagnoses,"Phillips County, Arkansas",5107,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"6,003"
HIV diagnoses,"Pike County, Arkansas",5109,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"3,724"
HIV diagnoses,"Poinsett County, Arkansas",5111,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,452"
HIV diagnoses,"Polk County, Arkansas",5113,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"7,532"
HIV diagnoses,"Pope County, Arkansas",5115,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"18,205"
HIV diagnoses,"Prairie County, Arkansas",5117,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"3,146"
HIV diagnoses,"Pulaski County, Arkansas",5119,2019,55+,All races/ethnicities,Both sexes,All transmission categories,7,6.2,"113,566"
HIV diagnoses,"Randolph County, Arkansas",5121,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,914"
HIV diagnoses,"St. Francis County, Arkansas",5123,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"7,368"
HIV diagnoses,"Saline County, Arkansas",5125,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"37,687"
HIV diagnoses,"Scott County, Arkansas",5127,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"3,619"
HIV diagnoses,"Searcy County, Arkansas",5129,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"3,285"
HIV diagnoses,"Sebastian County, Arkansas",5131,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"37,495"
HIV diagnoses,"Sevier County, Arkansas",5133,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"4,489"
HIV diagnoses,"Sharp County, Arkansas",5135,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"7,112"
HIV diagnoses,"Stone County, Arkansas",5137,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"5,566"
HIV diagnoses,"Union County, Arkansas",5139,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"12,583"
HIV diagnoses,"Van Buren County, Arkansas",5141,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"7,055"
HIV diagnoses,"Washington County, Arkansas",5143,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"53,186"
HIV diagnoses,"White County, Arkansas",5145,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"23,132"
HIV diagnoses,"Woodruff County, Arkansas",5147,2019,55+,All races/ethnicities,Both sexes,All transmission categories,0,0,"2,485"
HIV diagnoses,"Yell County, Arkansas",5149,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,"6,785"
HIV diagnoses,"Alameda County, California",6001,2019,55+,All races/ethnicities,Both sexes,All transmission categories,24,5.4,"441,532"
HIV diagnoses,"Alpine County, California",6003,2019,55+,All races/ethnicities,Both sexes,All transmission categories,Data suppressed,Data suppressed,481
