Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Rate LCI,Rate UCI,Population
"HIV Stigma","2022","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","33.4","30.7","36.0","NA"
"HIV Stigma","2022","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","32.0","27.2","36.8","NA"
"HIV Stigma","2022","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","26.1","21.5","30.6","NA"
"HIV Stigma","2022","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2022","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","26.5","23.9","29.0","NA"
"HIV Stigma","2021","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.9","25.7","32.0","NA"
"HIV Stigma","2021","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.9","25.5","32.3","NA"
"HIV Stigma","2021","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.5","25.1","31.9","NA"
"HIV Stigma","2021","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.6","26.6","34.7","NA"
"HIV Stigma","2021","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.4","26.3","36.5","NA"
"HIV Stigma","2021","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","37.2","32.9","41.6","NA"
"HIV Stigma","2021","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.9","23.0","32.8","NA"
"HIV Stigma","2021","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.6","28.5","34.6","NA"
"HIV Stigma","2021","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.5","25.8","31.3","NA"
"HIV Stigma","2021","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.6","23.8","31.4","NA"
"HIV Stigma","2021","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","23.3","19.9","26.7","NA"
"HIV Stigma","2021","Palau","70","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","26.7","22.0","31.4","NA"
"HIV Stigma","2021","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","33.1","29.3","36.8","NA"
"HIV Stigma","2021","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.9","27.6","36.2","NA"
"HIV Stigma","2021","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.3","23.7","31.0","NA"
"HIV Stigma","2021","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.7","23.9","31.4","NA"
"HIV Stigma","2021","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2021","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.4","26.2","30.5","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","25.2","21.5","28.8","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","16.7","12.0","21.4","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.7","23.6","31.9","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","26.0","21.9","30.2","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.5","25.6","31.3","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.3","26.0","32.6","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.3","24.0","34.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.7","28.4","33.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.2","25.5","31.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.9","27.7","32.2","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","21.6","16.6","26.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Palau","70","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","28.2","24.5","31.9","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","33.6","29.5","37.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.3","26.0","32.6","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.7","24.6","34.7","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","31.4","27.7","35.0","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2020 (COVID-19 Pandemic)","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.0","27.9","32.0","NA"
"HIV Stigma","2019","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","27.9","24.9","31.0","NA"
"HIV Stigma","2019","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.2","26.8","33.6","NA"
"HIV Stigma","2019","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","30.4","26.4","34.3","NA"
"HIV Stigma","2019","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","32.3","27.6","36.9","NA"
"HIV Stigma","2019","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.5","26.1","32.8","NA"
"HIV Stigma","2019","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","34.4","30.8","38.0","NA"
"HIV Stigma","2019","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","29.3","25.7","33.0","NA"
"HIV Stigma","2019","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
"HIV Stigma","2019","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA","NA","NA"
