Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2022","Guam","66","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Hawaii","15","45-54","All races/ethnicities","Both sexes","198","45.0","440"
"PrEP coverage and number of persons prescribed","2022","Hawaii","15","35-44","All races/ethnicities","Both sexes","438","35.0","1,250"
"PrEP coverage and number of persons prescribed","2022","Hawaii","15","25-34","All races/ethnicities","Both sexes","529","32.7","1,620"
"PrEP coverage and number of persons prescribed","2022","Hawaii","15","13-24","All races/ethnicities","Both sexes","159","28.4","560"
"PrEP coverage and number of persons prescribed","2022","Idaho","16","45-54","All races/ethnicities","Both sexes","122","15.6","780"
"PrEP coverage and number of persons prescribed","2022","Idaho","16","35-44","All races/ethnicities","Both sexes","260","28.6","910"
"PrEP coverage and number of persons prescribed","2022","Idaho","16","25-34","All races/ethnicities","Both sexes","410","31.5","1,300"
"PrEP coverage and number of persons prescribed","2022","Idaho","16","13-24","All races/ethnicities","Both sexes","188","20.7","910"
"PrEP coverage and number of persons prescribed","2022","Illinois","17","45-54","All races/ethnicities","Both sexes","2,477","30.3","8,170"
"PrEP coverage and number of persons prescribed","2022","Illinois","17","35-44","All races/ethnicities","Both sexes","5,666","55.0","10,300"
"PrEP coverage and number of persons prescribed","2022","Illinois","17","25-34","All races/ethnicities","Both sexes","9,274","48.2","19,250"
"PrEP coverage and number of persons prescribed","2022","Illinois","17","13-24","All races/ethnicities","Both sexes","2,690","19.8","13,580"
"PrEP coverage and number of persons prescribed","2022","Indiana","18","45-54","All races/ethnicities","Both sexes","668","29.7","2,250"
"PrEP coverage and number of persons prescribed","2022","Indiana","18","35-44","All races/ethnicities","Both sexes","1,237","29.2","4,240"
"PrEP coverage and number of persons prescribed","2022","Indiana","18","25-34","All races/ethnicities","Both sexes","2,102","25.1","8,360"
"PrEP coverage and number of persons prescribed","2022","Indiana","18","13-24","All races/ethnicities","Both sexes","920","17.1","5,370"
"PrEP coverage and number of persons prescribed","2022","Iowa","19","45-54","All races/ethnicities","Both sexes","221","48.0","460"
"PrEP coverage and number of persons prescribed","2022","Iowa","19","35-44","All races/ethnicities","Both sexes","498","80.3","620"
"PrEP coverage and number of persons prescribed","2022","Iowa","19","25-34","All races/ethnicities","Both sexes","840","81.6","1,030"
"PrEP coverage and number of persons prescribed","2022","Iowa","19","13-24","All races/ethnicities","Both sexes","414","22.3","1,860"
"PrEP coverage and number of persons prescribed","2022","Kansas","20","45-54","All races/ethnicities","Both sexes","173","29.3","590"
"PrEP coverage and number of persons prescribed","2022","Kansas","20","35-44","All races/ethnicities","Both sexes","351","33.8","1,040"
"PrEP coverage and number of persons prescribed","2022","Kansas","20","25-34","All races/ethnicities","Both sexes","631","35.9","1,760"
"PrEP coverage and number of persons prescribed","2022","Kansas","20","13-24","All races/ethnicities","Both sexes","286","21.3","1,340"
"PrEP coverage and number of persons prescribed","2022","Kentucky","21","45-54","All races/ethnicities","Both sexes","426","27.1","1,570"
"PrEP coverage and number of persons prescribed","2022","Kentucky","21","35-44","All races/ethnicities","Both sexes","702","26.1","2,690"
"PrEP coverage and number of persons prescribed","2022","Kentucky","21","25-34","All races/ethnicities","Both sexes","1,160","23.7","4,890"
"PrEP coverage and number of persons prescribed","2022","Kentucky","21","13-24","All races/ethnicities","Both sexes","432","15.7","2,760"
"PrEP coverage and number of persons prescribed","2022","Louisiana","22","45-54","All races/ethnicities","Both sexes","542","25.1","2,160"
"PrEP coverage and number of persons prescribed","2022","Louisiana","22","35-44","All races/ethnicities","Both sexes","1,203","38.4","3,130"
"PrEP coverage and number of persons prescribed","2022","Louisiana","22","25-34","All races/ethnicities","Both sexes","1,740","30.4","5,730"
"PrEP coverage and number of persons prescribed","2022","Louisiana","22","13-24","All races/ethnicities","Both sexes","770","20.8","3,700"
"PrEP coverage and number of persons prescribed","2022","Maine","23","45-54","All races/ethnicities","Both sexes","184","46.0","400"
"PrEP coverage and number of persons prescribed","2022","Maine","23","35-44","All races/ethnicities","Both sexes","262","28.5","920"
"PrEP coverage and number of persons prescribed","2022","Maine","23","25-34","All races/ethnicities","Both sexes","362","22.9","1,580"
"PrEP coverage and number of persons prescribed","2022","Maine","23","13-24","All races/ethnicities","Both sexes","141","35.3","400"
"PrEP coverage and number of persons prescribed","2022","Maryland","24","45-54","All races/ethnicities","Both sexes","767","18.2","4,220"
"PrEP coverage and number of persons prescribed","2022","Maryland","24","35-44","All races/ethnicities","Both sexes","1,787","34.8","5,130"
"PrEP coverage and number of persons prescribed","2022","Maryland","24","25-34","All races/ethnicities","Both sexes","2,717","28.1","9,680"
"PrEP coverage and number of persons prescribed","2022","Maryland","24","13-24","All races/ethnicities","Both sexes","1,016","19.2","5,290"
"PrEP coverage and number of persons prescribed","2022","Massachusetts","25","45-54","All races/ethnicities","Both sexes","1,460","34.7","4,210"
"PrEP coverage and number of persons prescribed","2022","Massachusetts","25","35-44","All races/ethnicities","Both sexes","2,870","44.6","6,440"
"PrEP coverage and number of persons prescribed","2022","Massachusetts","25","25-34","All races/ethnicities","Both sexes","5,241","67.4","7,780"
"PrEP coverage and number of persons prescribed","2022","Massachusetts","25","13-24","All races/ethnicities","Both sexes","2,075","70.3","2,950"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","45-54","All races/ethnicities","Both sexes","847","22.3","3,800"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","35-44","All races/ethnicities","Both sexes","1,604","36.3","4,420"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","25-34","All races/ethnicities","Both sexes","2,824","24.9","11,360"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","13-24","All races/ethnicities","Both sexes","1,131","15.6","7,230"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","45-54","All races/ethnicities","Both sexes","747","21.5","3,470"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","35-44","All races/ethnicities","Both sexes","1,611","27.7","5,810"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","25-34","All races/ethnicities","Both sexes","2,703","32.0","8,450"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","13-24","All races/ethnicities","Both sexes","882","30.7","2,870"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","45-54","All races/ethnicities","Both sexes","207","34.5","600"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","35-44","All races/ethnicities","Both sexes","344","37.8","910"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","25-34","All races/ethnicities","Both sexes","636","45.4","1,400"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","13-24","All races/ethnicities","Both sexes","385","32.1","1,200"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","45-54","All races/ethnicities","Both sexes","633","27.5","2,300"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","35-44","All races/ethnicities","Both sexes","1,190","31.8","3,740"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","25-34","All races/ethnicities","Both sexes","1,952","33.0","5,920"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","13-24","All races/ethnicities","Both sexes","775","16.1","4,810"
"PrEP coverage and number of persons prescribed","2022","Montana","30","45-54","All races/ethnicities","Both sexes","55","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2022","Montana","30","35-44","All races/ethnicities","Both sexes","148","21.1","700"
"PrEP coverage and number of persons prescribed","2022","Montana","30","25-34","All races/ethnicities","Both sexes","205","20.5","1,000"
"PrEP coverage and number of persons prescribed","2022","Montana","30","13-24","All races/ethnicities","Both sexes","82","27.3","300"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","45-54","All races/ethnicities","Both sexes","143","39.7","360"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","35-44","All races/ethnicities","Both sexes","293","75.1","390"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","25-34","All races/ethnicities","Both sexes","500","62.5","800"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","13-24","All races/ethnicities","Both sexes","203","43.2","470"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","45-54","All races/ethnicities","Both sexes","1,042","64.7","1,610"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","35-44","All races/ethnicities","Both sexes","1,516","63.7","2,380"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","25-34","All races/ethnicities","Both sexes","1,602","37.4","4,280"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","13-24","All races/ethnicities","Both sexes","467","21.2","2,200"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","45-54","All races/ethnicities","Both sexes","118","14.9","790"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","35-44","All races/ethnicities","Both sexes","234","32.5","720"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","25-34","All races/ethnicities","Both sexes","372","33.5","1,110"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","13-24","All races/ethnicities","Both sexes","170","70.8","240"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","45-54","All races/ethnicities","Both sexes","1,013","23.6","4,290"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","35-44","All races/ethnicities","Both sexes","2,150","43.6","4,930"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","25-34","All races/ethnicities","Both sexes","3,671","45.1","8,140"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","13-24","All races/ethnicities","Both sexes","1,307","28.7","4,560"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","45-54","All races/ethnicities","Both sexes","247","21.1","1,170"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","35-44","All races/ethnicities","Both sexes","482","37.7","1,280"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","25-34","All races/ethnicities","Both sexes","739","29.4","2,510"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","13-24","All races/ethnicities","Both sexes","311","28.0","1,110"
"PrEP coverage and number of persons prescribed","2022","New York","36","45-54","All races/ethnicities","Both sexes","4,780","44.3","10,800"
"PrEP coverage and number of persons prescribed","2022","New York","36","35-44","All races/ethnicities","Both sexes","12,456","90.0","13,840"
"PrEP coverage and number of persons prescribed","2022","New York","36","25-34","All races/ethnicities","Both sexes","20,232","78.8","25,670"
"PrEP coverage and number of persons prescribed","2022","New York","36","13-24","All races/ethnicities","Both sexes","5,121","39.6","12,920"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","45-54","All races/ethnicities","Both sexes","1,224","26.3","4,650"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","35-44","All races/ethnicities","Both sexes","2,227","41.7","5,340"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","25-34","All races/ethnicities","Both sexes","3,927","37.3","10,540"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","13-24","All races/ethnicities","Both sexes","1,574","18.7","8,430"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","45-54","All races/ethnicities","Both sexes","44","25.9","170"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","35-44","All races/ethnicities","Both sexes","72","17.1","420"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","25-34","All races/ethnicities","Both sexes","139","20.7","670"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","170"
"PrEP coverage and number of persons prescribed","2022","Northern Mariana Islands","69","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Northern Mariana Islands","69","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Northern Mariana Islands","69","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Northern Mariana Islands","69","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","45-54","All races/ethnicities","Both sexes","1,240","22.4","5,530"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","35-44","All races/ethnicities","Both sexes","2,348","29.9","7,840"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","25-34","All races/ethnicities","Both sexes","4,094","28.3","14,480"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","13-24","All races/ethnicities","Both sexes","1,623","17.4","9,330"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","45-54","All races/ethnicities","Both sexes","322","23.3","1,380"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","35-44","All races/ethnicities","Both sexes","668","24.2","2,760"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","25-34","All races/ethnicities","Both sexes","1,103","28.6","3,860"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","13-24","All races/ethnicities","Both sexes","442","18.7","2,360"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","45-54","All races/ethnicities","Both sexes","769","27.0","2,850"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","35-44","All races/ethnicities","Both sexes","1,665","36.4","4,570"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","25-34","All races/ethnicities","Both sexes","2,340","31.5","7,420"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","13-24","All races/ethnicities","Both sexes","745","25.4","2,930"
"PrEP coverage and number of persons prescribed","2022","Palau","70","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Palau","70","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Palau","70","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Palau","70","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","45-54","All races/ethnicities","Both sexes","1,683","32.3","5,210"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","35-44","All races/ethnicities","Both sexes","3,708","59.7","6,210"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","25-34","All races/ethnicities","Both sexes","6,646","52.2","12,730"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","13-24","All races/ethnicities","Both sexes","2,553","31.4","8,130"
"PrEP coverage and number of persons prescribed","2022","Puerto Rico","72","45-54","All races/ethnicities","Both sexes","164","8.1","2,020"
"PrEP coverage and number of persons prescribed","2022","Puerto Rico","72","35-44","All races/ethnicities","Both sexes","203","11.9","1,710"
"PrEP coverage and number of persons prescribed","2022","Puerto Rico","72","25-34","All races/ethnicities","Both sexes","310","10.9","2,850"
"PrEP coverage and number of persons prescribed","2022","Puerto Rico","72","13-24","All races/ethnicities","Both sexes","64","3.9","1,650"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","45-54","All races/ethnicities","Both sexes","218","21.0","1,040"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","35-44","All races/ethnicities","Both sexes","421","62.8","670"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","25-34","All races/ethnicities","Both sexes","708","68.1","1,040"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","13-24","All races/ethnicities","Both sexes","287","36.8","780"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","45-54","All races/ethnicities","Both sexes","424","28.6","1,480"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","35-44","All races/ethnicities","Both sexes","826","43.7","1,890"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","25-34","All races/ethnicities","Both sexes","1,382","38.2","3,620"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","13-24","All races/ethnicities","Both sexes","598","25.4","2,350"
"PrEP coverage and number of persons prescribed","2022","South Dakota","46","45-54","All races/ethnicities","Both sexes","47","36.2","130"
"PrEP coverage and number of persons prescribed","2022","South Dakota","46","35-44","All races/ethnicities","Both sexes","74","38.9","190"
"PrEP coverage and number of persons prescribed","2022","South Dakota","46","25-34","All races/ethnicities","Both sexes","102","40.8","250"
"PrEP coverage and number of persons prescribed","2022","South Dakota","46","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","90"
"PrEP coverage and number of persons prescribed","2022","Tennessee","47","45-54","All races/ethnicities","Both sexes","997","37.6","2,650"
"PrEP coverage and number of persons prescribed","2022","Tennessee","47","35-44","All races/ethnicities","Both sexes","1,868","46.9","3,980"
"PrEP coverage and number of persons prescribed","2022","Tennessee","47","25-34","All races/ethnicities","Both sexes","3,636","42.0","8,660"
"PrEP coverage and number of persons prescribed","2022","Tennessee","47","13-24","All races/ethnicities","Both sexes","1,594","31.6","5,040"
"PrEP coverage and number of persons prescribed","2022","Texas","48","45-54","All races/ethnicities","Both sexes","4,790","29.1","16,450"
"PrEP coverage and number of persons prescribed","2022","Texas","48","35-44","All races/ethnicities","Both sexes","10,130","42.9","23,640"
"PrEP coverage and number of persons prescribed","2022","Texas","48","25-34","All races/ethnicities","Both sexes","16,587","36.0","46,070"
"PrEP coverage and number of persons prescribed","2022","Texas","48","13-24","All races/ethnicities","Both sexes","5,690","20.3","28,070"
"PrEP coverage and number of persons prescribed","2022","U.S. Virgin Islands","78","45-54","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","U.S. Virgin Islands","78","35-44","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","U.S. Virgin Islands","78","25-34","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","U.S. Virgin Islands","78","13-24","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Utah","49","45-54","All races/ethnicities","Both sexes","427","46.4","920"
"PrEP coverage and number of persons prescribed","2022","Utah","49","35-44","All races/ethnicities","Both sexes","971","84.4","1,150"
"PrEP coverage and number of persons prescribed","2022","Utah","49","25-34","All races/ethnicities","Both sexes","1,755","66.5","2,640"
"PrEP coverage and number of persons prescribed","2022","Utah","49","13-24","All races/ethnicities","Both sexes","603","37.5","1,610"
"PrEP coverage and number of persons prescribed","2022","Vermont","50","45-54","All races/ethnicities","Both sexes","65","36.1","180"
"PrEP coverage and number of persons prescribed","2022","Vermont","50","35-44","All races/ethnicities","Both sexes","116","40.0","290"
"PrEP coverage and number of persons prescribed","2022","Vermont","50","25-34","All races/ethnicities","Both sexes","202","84.2","240"
"PrEP coverage and number of persons prescribed","2022","Vermont","50","13-24","All races/ethnicities","Both sexes","99","55.0","180"
"PrEP coverage and number of persons prescribed","2022","Virginia","51","45-54","All races/ethnicities","Both sexes","863","23.1","3,740"
"PrEP coverage and number of persons prescribed","2022","Virginia","51","35-44","All races/ethnicities","Both sexes","1,750","29.3","5,970"
"PrEP coverage and number of persons prescribed","2022","Virginia","51","25-34","All races/ethnicities","Both sexes","3,114","27.7","11,250"
"PrEP coverage and number of persons prescribed","2022","Virginia","51","13-24","All races/ethnicities","Both sexes","1,099","15.2","7,220"
"PrEP coverage and number of persons prescribed","2022","Washington","53","45-54","All races/ethnicities","Both sexes","1,615","23.9","6,750"
"PrEP coverage and number of persons prescribed","2022","Washington","53","35-44","All races/ethnicities","Both sexes","3,732","37.3","10,010"
"PrEP coverage and number of persons prescribed","2022","Washington","53","25-34","All races/ethnicities","Both sexes","5,638","43.8","12,870"
"PrEP coverage and number of persons prescribed","2022","Washington","53","13-24","All races/ethnicities","Both sexes","1,556","31.1","5,010"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","45-54","All races/ethnicities","Both sexes","124","13.5","920"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","35-44","All races/ethnicities","Both sexes","216","16.9","1,280"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","25-34","All races/ethnicities","Both sexes","322","15.9","2,020"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","13-24","All races/ethnicities","Both sexes","140","16.3","860"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","45-54","All races/ethnicities","Both sexes","373","19.1","1,950"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","35-44","All races/ethnicities","Both sexes","739","35.5","2,080"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","25-34","All races/ethnicities","Both sexes","1,302","27.2","4,790"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","13-24","All races/ethnicities","Both sexes","629","22.7","2,770"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","45-54","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","70"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","35-44","All races/ethnicities","Both sexes","41","27.3","150"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","25-34","All races/ethnicities","Both sexes","60","9.0","670"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","13-24","All races/ethnicities","Both sexes","Data suppressed","Data suppressed","NA"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","25-34","All races/ethnicities","Both sexes","1,080","28.9","3,740"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","13-24","All races/ethnicities","Both sexes","508","15.0","3,380"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","45-54","All races/ethnicities","Both sexes","358","25.6","1,400"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","35-44","All races/ethnicities","Both sexes","544","32.6","1,670"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","25-34","All races/ethnicities","Both sexes","120","17.1","700"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","13-24","All races/ethnicities","Both sexes","42","10.8","390"
