Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2022","Connecticut","09","Ages 13 years and older","All races/ethnicities","Male","3,668","50.0","7,340"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","Ages 13 years and older","All races/ethnicities","Female","43","3.9","1,100"
"PrEP coverage and number of persons prescribed","2022","Delaware","10","Ages 13 years and older","All races/ethnicities","Male","809","24.5","3,300"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Female","331","11.3","2,920"
"PrEP coverage and number of persons prescribed","2022","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Male","7,408","73.9","10,030"
"PrEP coverage and number of persons prescribed","2022","Florida","12","Ages 13 years and older","All races/ethnicities","Female","6,289","24.4","25,740"
"PrEP coverage and number of persons prescribed","2022","Florida","12","Ages 13 years and older","All races/ethnicities","Male","40,030","40.2","99,600"
"PrEP coverage and number of persons prescribed","2022","Georgia","13","Ages 13 years and older","All races/ethnicities","Female","989","11.8","8,380"
"PrEP coverage and number of persons prescribed","2022","Georgia","13","Ages 13 years and older","All races/ethnicities","Male","12,747","41.6","30,650"
"PrEP coverage and number of persons prescribed","2022","Guam","66","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Guam","66","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Hawaii","15","Ages 13 years and older","All races/ethnicities","Female","63","17.0","370"
"PrEP coverage and number of persons prescribed","2022","Hawaii","15","Ages 13 years and older","All races/ethnicities","Male","1,449","36.3","3,990"
"PrEP coverage and number of persons prescribed","2022","Idaho","16","Ages 13 years and older","All races/ethnicities","Female","47","5.2","910"
"PrEP coverage and number of persons prescribed","2022","Idaho","16","Ages 13 years and older","All races/ethnicities","Male","1,028","26.4","3,890"
"PrEP coverage and number of persons prescribed","2022","Illinois","17","Ages 13 years and older","All races/ethnicities","Female","1,214","12.8","9,520"
"PrEP coverage and number of persons prescribed","2022","Illinois","17","Ages 13 years and older","All races/ethnicities","Male","20,683","44.6","46,340"
"PrEP coverage and number of persons prescribed","2022","Indiana","18","Ages 13 years and older","All races/ethnicities","Female","429","8.8","4,850"
"PrEP coverage and number of persons prescribed","2022","Indiana","18","Ages 13 years and older","All races/ethnicities","Male","5,019","29.0","17,320"
"PrEP coverage and number of persons prescribed","2022","Iowa","19","Ages 13 years and older","All races/ethnicities","Female","151","11.8","1,280"
"PrEP coverage and number of persons prescribed","2022","Iowa","19","Ages 13 years and older","All races/ethnicities","Male","2,046","59.0","3,470"
"PrEP coverage and number of persons prescribed","2022","Kansas","20","Ages 13 years and older","All races/ethnicities","Female","81","9.9","820"
"PrEP coverage and number of persons prescribed","2022","Kansas","20","Ages 13 years and older","All races/ethnicities","Male","1,510","35.6","4,240"
"PrEP coverage and number of persons prescribed","2022","Kentucky","21","Ages 13 years and older","All races/ethnicities","Female","204","8.6","2,380"
"PrEP coverage and number of persons prescribed","2022","Kentucky","21","Ages 13 years and older","All races/ethnicities","Male","2,825","26.6","10,620"
"PrEP coverage and number of persons prescribed","2022","Louisiana","22","Ages 13 years and older","All races/ethnicities","Female","703","17.1","4,110"
"PrEP coverage and number of persons prescribed","2022","Louisiana","22","Ages 13 years and older","All races/ethnicities","Male","4,036","34.2","11,810"
"PrEP coverage and number of persons prescribed","2022","Maine","23","Ages 13 years and older","All races/ethnicities","Female","60","6.5","920"
"PrEP coverage and number of persons prescribed","2022","Maine","23","Ages 13 years and older","All races/ethnicities","Male","1,060","35.0","3,030"
"PrEP coverage and number of persons prescribed","2022","Maryland","24","Ages 13 years and older","All races/ethnicities","Female","642","8.6","7,430"
"PrEP coverage and number of persons prescribed","2022","Maryland","24","Ages 13 years and older","All races/ethnicities","Male","6,231","31.4","19,870"
"PrEP coverage and number of persons prescribed","2022","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Female","811","11.4","7,090"
"PrEP coverage and number of persons prescribed","2022","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Male","12,198","68.5","17,820"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","Ages 13 years and older","All races/ethnicities","Female","527","8.7","6,070"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","Ages 13 years and older","All races/ethnicities","Male","6,594","28.1","23,500"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","Ages 13 years and older","All races/ethnicities","Female","339","6.5","5,200"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","Ages 13 years and older","All races/ethnicities","Male","6,239","37.8","16,520"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","Ages 13 years and older","All races/ethnicities","Female","291","28.8","1,010"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","Ages 13 years and older","All races/ethnicities","Male","1,436","40.8","3,520"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","Ages 13 years and older","All races/ethnicities","Female","356","11.0","3,250"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","Ages 13 years and older","All races/ethnicities","Male","4,778","31.6","15,120"
"PrEP coverage and number of persons prescribed","2022","Montana","30","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","300"
"PrEP coverage and number of persons prescribed","2022","Montana","30","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","1,990"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","Ages 13 years and older","All races/ethnicities","Female","66","34.7","190"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","Ages 13 years and older","All races/ethnicities","Male","1,194","60.0","1,990"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","Ages 13 years and older","All races/ethnicities","Female","851","60.8","1,400"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","Ages 13 years and older","All races/ethnicities","Male","4,829","48.3","9,990"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Female","58","9.1","640"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Male","980","41.2","2,380"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","Ages 13 years and older","All races/ethnicities","Female","472","8.4","5,650"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","Ages 13 years and older","All races/ethnicities","Male","8,462","43.1","19,630"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","Ages 13 years and older","All races/ethnicities","Female","88","8.3","1,060"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","Ages 13 years and older","All races/ethnicities","Male","1,944","33.9","5,740"
"PrEP coverage and number of persons prescribed","2022","New York","36","Ages 13 years and older","All races/ethnicities","Female","2,851","19.4","14,700"
"PrEP coverage and number of persons prescribed","2022","New York","36","Ages 13 years and older","All races/ethnicities","Male","43,190","74.5","57,940"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","Ages 13 years and older","All races/ethnicities","Female","663","10.3","6,430"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","Ages 13 years and older","All races/ethnicities","Male","9,312","35.7","26,060"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","550"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","970"
"PrEP coverage and number of persons prescribed","2022","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","Ages 13 years and older","All races/ethnicities","Female","824","11.7","7,020"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","Ages 13 years and older","All races/ethnicities","Male","9,514","28.6","33,300"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Female","217","10.8","2,010"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Male","2,552","28.3","9,020"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","Ages 13 years and older","All races/ethnicities","Female","500","17.5","2,850"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","Ages 13 years and older","All races/ethnicities","Male","5,551","32.8","16,900"
"PrEP coverage and number of persons prescribed","2022","Palau","70","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Palau","70","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Female","1,557","19.1","8,170"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Male","14,514","51.2","28,320"
"PrEP coverage and number of persons prescribed","2022","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","1,760"
"PrEP coverage and number of persons prescribed","2022","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","7,940"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Female","129","19.3","670"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Male","1,700","53.0","3,210"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","Ages 13 years and older","All races/ethnicities","Female","329","13.7","2,410"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","Ages 13 years and older","All races/ethnicities","Male","3,318","41.6","7,980"
"PrEP coverage and number of persons prescribed","2022","South Dakota","46","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","130"
"PrEP coverage and number of persons prescribed","2022","South Dakota","46","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","790"
"PrEP coverage and number of persons prescribed","2022","Tennessee","47","Ages 13 years and older","All races/ethnicities","Female","1,068","25.5","4,190"
"PrEP coverage and number of persons prescribed","2022","Tennessee","47","Ages 13 years and older","All races/ethnicities","Male","7,782","42.6","18,270"
"PrEP coverage and number of persons prescribed","2022","Texas","48","Ages 13 years and older","All races/ethnicities","Female","2,641","12.2","21,690"
"PrEP coverage and number of persons prescribed","2022","Texas","48","Ages 13 years and older","All races/ethnicities","Male","38,057","37.3","102,090"
"PrEP coverage and number of persons prescribed","2022","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Utah","49","Ages 13 years and older","All races/ethnicities","Female","214","37.5","570"
"PrEP coverage and number of persons prescribed","2022","Utah","49","Ages 13 years and older","All races/ethnicities","Male","3,803","60.8","6,260"
"PrEP coverage and number of persons prescribed","2022","Vermont","50","Ages 13 years and older","All races/ethnicities","Female","44","24.4","180"
"PrEP coverage and number of persons prescribed","2022","Vermont","50","Ages 13 years and older","All races/ethnicities","Male","532","60.5","880"
"PrEP coverage and number of persons prescribed","2022","Virginia","51","Ages 13 years and older","All races/ethnicities","Female","475","7.5","6,340"
"PrEP coverage and number of persons prescribed","2022","Virginia","51","Ages 13 years and older","All races/ethnicities","Male","7,067","28.2","25,100"
"PrEP coverage and number of persons prescribed","2022","Washington","53","Ages 13 years and older","All races/ethnicities","Female","882","8.3","10,650"
"PrEP coverage and number of persons prescribed","2022","Washington","53","Ages 13 years and older","All races/ethnicities","Male","12,878","43.8","29,400"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","Ages 13 years and older","All races/ethnicities","Female","82","5.9","1,400"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","Ages 13 years and older","All races/ethnicities","Male","824","21.4","3,850"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Female","184","11.2","1,640"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Male","3,164","27.9","11,340"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","70"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","810"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","240","11.1","2,160"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","2,516","28.4","8,860"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","230"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","1,550"
"PrEP coverage and number of persons prescribed","2021","American Samoa","60","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","American Samoa","60","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Arizona","04","Ages 13 years and older","All races/ethnicities","Female","336","10.4","3,230"
"PrEP coverage and number of persons prescribed","2021","Arizona","04","Ages 13 years and older","All races/ethnicities","Male","6,241","27.7","22,550"
"PrEP coverage and number of persons prescribed","2021","Arkansas","05","Ages 13 years and older","All races/ethnicities","Female","97","10.0","970"
"PrEP coverage and number of persons prescribed","2021","Arkansas","05","Ages 13 years and older","All races/ethnicities","Male","1,173","28.2","4,160"
"PrEP coverage and number of persons prescribed","2021","California","06","Ages 13 years and older","All races/ethnicities","Female","2,412","12.2","19,750"
"PrEP coverage and number of persons prescribed","2021","California","06","Ages 13 years and older","All races/ethnicities","Male","47,771","32.9","145,280"
"PrEP coverage and number of persons prescribed","2021","Colorado","08","Ages 13 years and older","All races/ethnicities","Female","300","12.2","2,460"
"PrEP coverage and number of persons prescribed","2021","Colorado","08","Ages 13 years and older","All races/ethnicities","Male","5,898","26.0","22,660"
"PrEP coverage and number of persons prescribed","2021","Connecticut","09","Ages 13 years and older","All races/ethnicities","Female","244","11.0","2,220"
"PrEP coverage and number of persons prescribed","2021","Connecticut","09","Ages 13 years and older","All races/ethnicities","Male","2,802","38.2","7,340"
"PrEP coverage and number of persons prescribed","2021","Delaware","10","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","1,100"
"PrEP coverage and number of persons prescribed","2021","Delaware","10","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","3,300"
"PrEP coverage and number of persons prescribed","2021","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Female","319","10.9","2,920"
"PrEP coverage and number of persons prescribed","2021","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Male","6,511","64.9","10,030"
"PrEP coverage and number of persons prescribed","2021","Florida","12","Ages 13 years and older","All races/ethnicities","Female","6,780","26.3","25,740"
"PrEP coverage and number of persons prescribed","2021","Florida","12","Ages 13 years and older","All races/ethnicities","Male","35,927","36.1","99,600"
"PrEP coverage and number of persons prescribed","2021","Georgia","13","Ages 13 years and older","All races/ethnicities","Female","920","11.0","8,380"
"PrEP coverage and number of persons prescribed","2021","Georgia","13","Ages 13 years and older","All races/ethnicities","Male","11,258","36.7","30,650"
"PrEP coverage and number of persons prescribed","2021","Guam","66","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Guam","66","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Hawaii","15","Ages 13 years and older","All races/ethnicities","Female","52","14.1","370"
"PrEP coverage and number of persons prescribed","2021","Hawaii","15","Ages 13 years and older","All races/ethnicities","Male","1,087","27.2","3,990"
"PrEP coverage and number of persons prescribed","2021","Idaho","16","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","910"
"PrEP coverage and number of persons prescribed","2021","Idaho","16","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","3,890"
"PrEP coverage and number of persons prescribed","2021","Illinois","17","Ages 13 years and older","All races/ethnicities","Female","961","10.1","9,520"
"PrEP coverage and number of persons prescribed","2021","Illinois","17","Ages 13 years and older","All races/ethnicities","Male","17,444","37.6","46,340"
"PrEP coverage and number of persons prescribed","2021","Indiana","18","Ages 13 years and older","All races/ethnicities","Female","314","6.5","4,850"
"PrEP coverage and number of persons prescribed","2021","Indiana","18","Ages 13 years and older","All races/ethnicities","Male","3,919","22.6","17,320"
"PrEP coverage and number of persons prescribed","2021","Iowa","19","Ages 13 years and older","All races/ethnicities","Female","132","10.3","1,280"
"PrEP coverage and number of persons prescribed","2021","Iowa","19","Ages 13 years and older","All races/ethnicities","Male","1,809","52.1","3,470"
"PrEP coverage and number of persons prescribed","2021","Kansas","20","Ages 13 years and older","All races/ethnicities","Female","77","9.4","820"
"PrEP coverage and number of persons prescribed","2021","Kansas","20","Ages 13 years and older","All races/ethnicities","Male","1,197","28.2","4,240"
"PrEP coverage and number of persons prescribed","2021","Kentucky","21","Ages 13 years and older","All races/ethnicities","Female","154","6.5","2,380"
"PrEP coverage and number of persons prescribed","2021","Kentucky","21","Ages 13 years and older","All races/ethnicities","Male","2,068","19.5","10,620"
"PrEP coverage and number of persons prescribed","2021","Louisiana","22","Ages 13 years and older","All races/ethnicities","Female","535","13.0","4,110"
"PrEP coverage and number of persons prescribed","2021","Louisiana","22","Ages 13 years and older","All races/ethnicities","Male","3,608","30.6","11,810"
"PrEP coverage and number of persons prescribed","2021","Maine","23","Ages 13 years and older","All races/ethnicities","Female","46","5.0","920"
"PrEP coverage and number of persons prescribed","2021","Maine","23","Ages 13 years and older","All races/ethnicities","Male","858","28.3","3,030"
"PrEP coverage and number of persons prescribed","2021","Maryland","24","Ages 13 years and older","All races/ethnicities","Female","501","6.7","7,430"
"PrEP coverage and number of persons prescribed","2021","Maryland","24","Ages 13 years and older","All races/ethnicities","Male","5,290","26.6","19,870"
"PrEP coverage and number of persons prescribed","2021","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Female","614","8.7","7,090"
"PrEP coverage and number of persons prescribed","2021","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Male","9,535","53.5","17,820"
"PrEP coverage and number of persons prescribed","2021","Michigan","26","Ages 13 years and older","All races/ethnicities","Female","414","6.8","6,070"
"PrEP coverage and number of persons prescribed","2021","Michigan","26","Ages 13 years and older","All races/ethnicities","Male","5,434","23.1","23,500"
"PrEP coverage and number of persons prescribed","2021","Minnesota","27","Ages 13 years and older","All races/ethnicities","Female","232","4.5","5,200"
"PrEP coverage and number of persons prescribed","2021","Minnesota","27","Ages 13 years and older","All races/ethnicities","Male","5,013","30.3","16,520"
"PrEP coverage and number of persons prescribed","2021","Mississippi","28","Ages 13 years and older","All races/ethnicities","Female","267","26.4","1,010"
"PrEP coverage and number of persons prescribed","2021","Mississippi","28","Ages 13 years and older","All races/ethnicities","Male","1,322","37.6","3,520"
"PrEP coverage and number of persons prescribed","2021","Missouri","29","Ages 13 years and older","All races/ethnicities","Female","224","6.9","3,250"
"PrEP coverage and number of persons prescribed","2021","Missouri","29","Ages 13 years and older","All races/ethnicities","Male","3,935","26.0","15,120"
"PrEP coverage and number of persons prescribed","2021","Montana","30","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","300"
"PrEP coverage and number of persons prescribed","2021","Montana","30","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","1,990"
"PrEP coverage and number of persons prescribed","2021","Nebraska","31","Ages 13 years and older","All races/ethnicities","Female","53","27.9","190"
"PrEP coverage and number of persons prescribed","2021","Nebraska","31","Ages 13 years and older","All races/ethnicities","Male","936","47.0","1,990"
"PrEP coverage and number of persons prescribed","2021","Nevada","32","Ages 13 years and older","All races/ethnicities","Female","695","49.6","1,400"
"PrEP coverage and number of persons prescribed","2021","Nevada","32","Ages 13 years and older","All races/ethnicities","Male","4,187","41.9","9,990"
"PrEP coverage and number of persons prescribed","2021","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Female","48","7.5","640"
"PrEP coverage and number of persons prescribed","2021","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Male","751","31.6","2,380"
"PrEP coverage and number of persons prescribed","2021","New Jersey","34","Ages 13 years and older","All races/ethnicities","Female","401","7.1","5,650"
"PrEP coverage and number of persons prescribed","2021","New Jersey","34","Ages 13 years and older","All races/ethnicities","Male","6,888","35.1","19,630"
"PrEP coverage and number of persons prescribed","2021","New Mexico","35","Ages 13 years and older","All races/ethnicities","Female","80","7.5","1,060"
"PrEP coverage and number of persons prescribed","2021","New Mexico","35","Ages 13 years and older","All races/ethnicities","Male","1,516","26.4","5,740"
"PrEP coverage and number of persons prescribed","2021","New York","36","Ages 13 years and older","All races/ethnicities","Female","2,518","17.1","14,700"
"PrEP coverage and number of persons prescribed","2021","New York","36","Ages 13 years and older","All races/ethnicities","Male","36,798","63.5","57,940"
"PrEP coverage and number of persons prescribed","2021","North Carolina","37","Ages 13 years and older","All races/ethnicities","Female","527","8.2","6,430"
"PrEP coverage and number of persons prescribed","2021","North Carolina","37","Ages 13 years and older","All races/ethnicities","Male","7,398","28.4","26,060"
"PrEP coverage and number of persons prescribed","2021","North Dakota","38","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","550"
"PrEP coverage and number of persons prescribed","2021","North Dakota","38","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","970"
"PrEP coverage and number of persons prescribed","2021","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Ohio","39","Ages 13 years and older","All races/ethnicities","Female","616","8.8","7,020"
"PrEP coverage and number of persons prescribed","2021","Ohio","39","Ages 13 years and older","All races/ethnicities","Male","7,835","23.5","33,300"
"PrEP coverage and number of persons prescribed","2021","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Female","167","8.3","2,010"
"PrEP coverage and number of persons prescribed","2021","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Male","2,154","23.9","9,020"
"PrEP coverage and number of persons prescribed","2021","Oregon","41","Ages 13 years and older","All races/ethnicities","Female","343","12.0","2,850"
"PrEP coverage and number of persons prescribed","2021","Oregon","41","Ages 13 years and older","All races/ethnicities","Male","4,342","25.7","16,900"
"PrEP coverage and number of persons prescribed","2021","Palau","70","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Palau","70","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Female","1,204","14.7","8,170"
"PrEP coverage and number of persons prescribed","2021","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Male","11,859","41.9","28,320"
"PrEP coverage and number of persons prescribed","2021","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","1,760"
"PrEP coverage and number of persons prescribed","2021","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","7,940"
"PrEP coverage and number of persons prescribed","2021","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Female","87","13.0","670"
"PrEP coverage and number of persons prescribed","2021","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Male","1,433","44.6","3,210"
"PrEP coverage and number of persons prescribed","2021","South Carolina","45","Ages 13 years and older","All races/ethnicities","Female","280","11.6","2,410"
"PrEP coverage and number of persons prescribed","2021","South Carolina","45","Ages 13 years and older","All races/ethnicities","Male","2,631","33.0","7,980"
"PrEP coverage and number of persons prescribed","2021","South Dakota","46","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","130"
"PrEP coverage and number of persons prescribed","2021","South Dakota","46","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","790"
"PrEP coverage and number of persons prescribed","2021","Tennessee","47","Ages 13 years and older","All races/ethnicities","Female","714","17.0","4,190"
"PrEP coverage and number of persons prescribed","2021","Tennessee","47","Ages 13 years and older","All races/ethnicities","Male","6,496","35.6","18,270"
"PrEP coverage and number of persons prescribed","2021","Texas","48","Ages 13 years and older","All races/ethnicities","Female","2,381","11.0","21,690"
"PrEP coverage and number of persons prescribed","2021","Texas","48","Ages 13 years and older","All races/ethnicities","Male","32,362","31.7","102,090"
"PrEP coverage and number of persons prescribed","2021","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Female","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Male","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Utah","49","Ages 13 years and older","All races/ethnicities","Female","146","25.6","570"
"PrEP coverage and number of persons prescribed","2021","Utah","49","Ages 13 years and older","All races/ethnicities","Male","3,109","49.7","6,260"
"PrEP coverage and number of persons prescribed","2021","Vermont","50","Ages 13 years and older","All races/ethnicities","Female","Data suppressed","Data suppressed","180"
"PrEP coverage and number of persons prescribed","2021","Vermont","50","Ages 13 years and older","All races/ethnicities","Male","Data suppressed","Data suppressed","880"
"PrEP coverage and number of persons prescribed","2021","Virginia","51","Ages 13 years and older","All races/ethnicities","Female","406","6.4","6,340"
