Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Percent,Population
"PrEP coverage and number of persons prescribed","2022","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","5,449","24.6","22,170"
"PrEP coverage and number of persons prescribed","2022","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","2,198","46.2","4,760"
"PrEP coverage and number of persons prescribed","2022","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","1,591","31.4","5,060"
"PrEP coverage and number of persons prescribed","2022","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","3,031","23.3","12,990"
"PrEP coverage and number of persons prescribed","2022","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","4,739","29.8","15,920"
"PrEP coverage and number of persons prescribed","2022","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","1,120","28.4","3,950"
"PrEP coverage and number of persons prescribed","2022","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","6,877","25.2","27,300"
"PrEP coverage and number of persons prescribed","2022","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","13,010","52.2","24,900"
"PrEP coverage and number of persons prescribed","2022","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","7,121","24.1","29,570"
"PrEP coverage and number of persons prescribed","2022","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","6,579","30.3","21,720"
"PrEP coverage and number of persons prescribed","2022","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","1,727","38.1","4,530"
"PrEP coverage and number of persons prescribed","2022","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","5,134","27.9","18,370"
"PrEP coverage and number of persons prescribed","2022","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","533","23.3","2,290"
"PrEP coverage and number of persons prescribed","2022","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","1,260","57.8","2,180"
"PrEP coverage and number of persons prescribed","2022","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","5,681","49.9","11,390"
"PrEP coverage and number of persons prescribed","2022","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","1,038","34.4","3,020"
"PrEP coverage and number of persons prescribed","2022","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","8,934","35.3","25,280"
"PrEP coverage and number of persons prescribed","2022","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","2,032","29.9","6,800"
"PrEP coverage and number of persons prescribed","2022","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","46,046","63.4","72,640"
"PrEP coverage and number of persons prescribed","2022","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","9,976","30.7","32,490"
"PrEP coverage and number of persons prescribed","2022","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","338","22.2","1,520"
"PrEP coverage and number of persons prescribed","2022","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","10,338","25.6","40,320"
"PrEP coverage and number of persons prescribed","2022","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","2,772","25.1","11,030"
"PrEP coverage and number of persons prescribed","2022","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","6,053","30.6","19,750"
"PrEP coverage and number of persons prescribed","2022","Palau","70","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","16,071","44.0","36,490"
"PrEP coverage and number of persons prescribed","2022","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Both sexes","828","8.5","9,700"
"PrEP coverage and number of persons prescribed","2022","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","1,831","47.2","3,880"
"PrEP coverage and number of persons prescribed","2022","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","3,649","35.1","10,390"
"PrEP coverage and number of persons prescribed","2022","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","321","35.3","910"
"PrEP coverage and number of persons prescribed","2022","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","8,849","39.4","22,460"
"PrEP coverage and number of persons prescribed","2022","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","40,707","32.9","123,790"
"PrEP coverage and number of persons prescribed","2022","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2022","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","4,017","58.7","6,840"
"PrEP coverage and number of persons prescribed","2022","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","576","54.3","1,060"
"PrEP coverage and number of persons prescribed","2022","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","7,542","24.0","31,430"
"PrEP coverage and number of persons prescribed","2022","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","13,761","34.4","40,050"
"PrEP coverage and number of persons prescribed","2022","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","906","17.3","5,250"
"PrEP coverage and number of persons prescribed","2022","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","3,348","25.8","12,980"
"PrEP coverage and number of persons prescribed","2022","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","183","20.6","890"
"PrEP coverage and number of persons prescribed","2021","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","2,758","25.0","11,020"
"PrEP coverage and number of persons prescribed","2021","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","304","17.1","1,780"
"PrEP coverage and number of persons prescribed","2021","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","6,582","25.5","25,780"
"PrEP coverage and number of persons prescribed","2021","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","1,271","24.8","5,130"
"PrEP coverage and number of persons prescribed","2021","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","50,217","30.4","165,030"
"PrEP coverage and number of persons prescribed","2021","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","6,200","24.7","25,120"
"PrEP coverage and number of persons prescribed","2021","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","3,048","31.9","9,560"
"PrEP coverage and number of persons prescribed","2021","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","658","15.0","4,400"
"PrEP coverage and number of persons prescribed","2021","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","6,840","52.8","12,950"
"PrEP coverage and number of persons prescribed","2021","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","42,739","34.1","125,330"
"PrEP coverage and number of persons prescribed","2021","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","12,189","31.2","39,030"
"PrEP coverage and number of persons prescribed","2021","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","1,141","26.2","4,360"
"PrEP coverage and number of persons prescribed","2021","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","878","18.3","4,790"
"PrEP coverage and number of persons prescribed","2021","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","18,424","33.0","55,860"
"PrEP coverage and number of persons prescribed","2021","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","4,234","19.1","22,170"
"PrEP coverage and number of persons prescribed","2021","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","1,943","40.8","4,760"
"PrEP coverage and number of persons prescribed","2021","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","1,274","25.2","5,060"
"PrEP coverage and number of persons prescribed","2021","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","2,221","17.1","12,990"
"PrEP coverage and number of persons prescribed","2021","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","4,145","26.0","15,920"
"PrEP coverage and number of persons prescribed","2021","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","905","22.9","3,950"
"PrEP coverage and number of persons prescribed","2021","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","5,792","21.2","27,300"
"PrEP coverage and number of persons prescribed","2021","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","10,156","40.8","24,900"
"PrEP coverage and number of persons prescribed","2021","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","5,852","19.8","29,570"
"PrEP coverage and number of persons prescribed","2021","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","5,251","24.2","21,720"
"PrEP coverage and number of persons prescribed","2021","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","1,591","35.1","4,530"
"PrEP coverage and number of persons prescribed","2021","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","4,163","22.7","18,370"
"PrEP coverage and number of persons prescribed","2021","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","392","17.1","2,290"
"PrEP coverage and number of persons prescribed","2021","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","991","45.5","2,180"
"PrEP coverage and number of persons prescribed","2021","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","4,882","42.9","11,390"
"PrEP coverage and number of persons prescribed","2021","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","799","26.5","3,020"
"PrEP coverage and number of persons prescribed","2021","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","7,294","28.9","25,280"
"PrEP coverage and number of persons prescribed","2021","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","1,596","23.5","6,800"
"PrEP coverage and number of persons prescribed","2021","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","39,350","54.2","72,640"
"PrEP coverage and number of persons prescribed","2021","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","7,936","24.4","32,490"
"PrEP coverage and number of persons prescribed","2021","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","245","16.1","1,520"
"PrEP coverage and number of persons prescribed","2021","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","8,456","21.0","40,320"
"PrEP coverage and number of persons prescribed","2021","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","2,323","21.1","11,030"
"PrEP coverage and number of persons prescribed","2021","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","4,686","23.7","19,750"
"PrEP coverage and number of persons prescribed","2021","Palau","70","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","13,066","35.8","36,490"
"PrEP coverage and number of persons prescribed","2021","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Both sexes","612","6.3","9,700"
"PrEP coverage and number of persons prescribed","2021","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","1,521","39.2","3,880"
"PrEP coverage and number of persons prescribed","2021","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","2,919","28.1","10,390"
"PrEP coverage and number of persons prescribed","2021","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","217","23.8","910"
"PrEP coverage and number of persons prescribed","2021","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","7,217","32.1","22,460"
"PrEP coverage and number of persons prescribed","2021","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","34,772","28.1","123,790"
"PrEP coverage and number of persons prescribed","2021","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2021","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","3,257","47.6","6,840"
"PrEP coverage and number of persons prescribed","2021","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","480","45.3","1,060"
"PrEP coverage and number of persons prescribed","2021","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","6,260","19.9","31,430"
"PrEP coverage and number of persons prescribed","2021","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","11,391","28.4","40,050"
"PrEP coverage and number of persons prescribed","2021","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","706","13.4","5,250"
"PrEP coverage and number of persons prescribed","2021","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","2,818","21.7","12,980"
"PrEP coverage and number of persons prescribed","2021","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","135","15.2","890"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","1,910","17.3","11,020"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","240","13.5","1,780"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","5,068","19.7","25,780"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","867","16.9","5,130"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","42,274","25.6","165,030"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","4,815","19.2","25,120"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","2,474","25.9","9,560"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","489","11.1","4,400"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","6,029","46.6","12,950"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","34,693","27.7","125,330"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","9,781","25.1","39,030"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","904","20.7","4,360"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","664","13.9","4,790"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","15,979","28.6","55,860"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","3,193","14.4","22,170"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","1,543","32.4","4,760"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","944","18.7","5,060"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","1,663","12.8","12,990"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","3,567","22.4","15,920"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","665","16.8","3,950"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","4,808","17.6","27,300"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","9,398","37.7","24,900"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","4,618","15.6","29,570"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","4,201","19.3","21,720"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","1,091","24.1","4,530"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Missouri","29","Ages 13 years and older","All races/ethnicities","Both sexes","3,566","19.4","18,370"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Montana","30","Ages 13 years and older","All races/ethnicities","Both sexes","295","12.9","2,290"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Nebraska","31","Ages 13 years and older","All races/ethnicities","Both sexes","709","32.5","2,180"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Nevada","32","Ages 13 years and older","All races/ethnicities","Both sexes","2,513","22.1","11,390"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","New Hampshire","33","Ages 13 years and older","All races/ethnicities","Both sexes","649","21.5","3,020"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","New Jersey","34","Ages 13 years and older","All races/ethnicities","Both sexes","5,933","23.5","25,280"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","New Mexico","35","Ages 13 years and older","All races/ethnicities","Both sexes","1,235","18.2","6,800"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","New York","36","Ages 13 years and older","All races/ethnicities","Both sexes","34,435","47.4","72,640"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","North Carolina","37","Ages 13 years and older","All races/ethnicities","Both sexes","6,154","18.9","32,490"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","North Dakota","38","Ages 13 years and older","All races/ethnicities","Both sexes","180","11.8","1,520"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Northern Mariana Islands","69","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Ohio","39","Ages 13 years and older","All races/ethnicities","Both sexes","6,797","16.9","40,320"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Oklahoma","40","Ages 13 years and older","All races/ethnicities","Both sexes","1,532","13.9","11,030"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Oregon","41","Ages 13 years and older","All races/ethnicities","Both sexes","3,818","19.3","19,750"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Palau","70","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Pennsylvania","42","Ages 13 years and older","All races/ethnicities","Both sexes","10,582","29.0","36,490"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Puerto Rico","72","Ages 13 years and older","All races/ethnicities","Both sexes","370","3.8","9,700"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Rhode Island","44","Ages 13 years and older","All races/ethnicities","Both sexes","1,167","30.1","3,880"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","South Carolina","45","Ages 13 years and older","All races/ethnicities","Both sexes","2,095","20.2","10,390"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","South Dakota","46","Ages 13 years and older","All races/ethnicities","Both sexes","142","15.6","910"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Tennessee","47","Ages 13 years and older","All races/ethnicities","Both sexes","5,160","23.0","22,460"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Texas","48","Ages 13 years and older","All races/ethnicities","Both sexes","27,564","22.3","123,790"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","U.S. Virgin Islands","78","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Utah","49","Ages 13 years and older","All races/ethnicities","Both sexes","2,360","34.5","6,840"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Vermont","50","Ages 13 years and older","All races/ethnicities","Both sexes","322","30.4","1,060"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Virginia","51","Ages 13 years and older","All races/ethnicities","Both sexes","5,107","16.2","31,430"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Washington","53","Ages 13 years and older","All races/ethnicities","Both sexes","10,106","25.2","40,050"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","West Virginia","54","Ages 13 years and older","All races/ethnicities","Both sexes","523","10.0","5,250"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Wisconsin","55","Ages 13 years and older","All races/ethnicities","Both sexes","2,532","19.5","12,980"
"PrEP coverage and number of persons prescribed","2020 (COVID-19 Pandemic)","Wyoming","56","Ages 13 years and older","All races/ethnicities","Both sexes","95","10.7","890"
"PrEP coverage and number of persons prescribed","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","1,835","16.7","11,020"
"PrEP coverage and number of persons prescribed","2019","Alaska","02","Ages 13 years and older","All races/ethnicities","Both sexes","225","12.6","1,780"
"PrEP coverage and number of persons prescribed","2019","American Samoa","60","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Arizona","04","Ages 13 years and older","All races/ethnicities","Both sexes","4,584","17.8","25,780"
"PrEP coverage and number of persons prescribed","2019","Arkansas","05","Ages 13 years and older","All races/ethnicities","Both sexes","730","14.2","5,130"
"PrEP coverage and number of persons prescribed","2019","California","06","Ages 13 years and older","All races/ethnicities","Both sexes","41,672","25.3","165,030"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","Ages 13 years and older","All races/ethnicities","Both sexes","4,404","17.5","25,120"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","Ages 13 years and older","All races/ethnicities","Both sexes","2,672","27.9","9,560"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","Ages 13 years and older","All races/ethnicities","Both sexes","492","11.2","4,400"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","Ages 13 years and older","All races/ethnicities","Both sexes","5,935","45.8","12,950"
"PrEP coverage and number of persons prescribed","2019","Florida","12","Ages 13 years and older","All races/ethnicities","Both sexes","21,904","17.5","125,330"
"PrEP coverage and number of persons prescribed","2019","Georgia","13","Ages 13 years and older","All races/ethnicities","Both sexes","8,686","22.3","39,030"
"PrEP coverage and number of persons prescribed","2019","Guam","66","Ages 13 years and older","All races/ethnicities","Both sexes","Data not available","Data not available","NA"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","Ages 13 years and older","All races/ethnicities","Both sexes","820","18.8","4,360"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","Ages 13 years and older","All races/ethnicities","Both sexes","482","10.1","4,790"
"PrEP coverage and number of persons prescribed","2019","Illinois","17","Ages 13 years and older","All races/ethnicities","Both sexes","16,659","29.8","55,860"
"PrEP coverage and number of persons prescribed","2019","Indiana","18","Ages 13 years and older","All races/ethnicities","Both sexes","2,983","13.5","22,170"
"PrEP coverage and number of persons prescribed","2019","Iowa","19","Ages 13 years and older","All races/ethnicities","Both sexes","1,409","29.6","4,760"
"PrEP coverage and number of persons prescribed","2019","Kansas","20","Ages 13 years and older","All races/ethnicities","Both sexes","900","17.8","5,060"
"PrEP coverage and number of persons prescribed","2019","Kentucky","21","Ages 13 years and older","All races/ethnicities","Both sexes","1,610","12.4","12,990"
"PrEP coverage and number of persons prescribed","2019","Louisiana","22","Ages 13 years and older","All races/ethnicities","Both sexes","3,912","24.6","15,920"
"PrEP coverage and number of persons prescribed","2019","Maine","23","Ages 13 years and older","All races/ethnicities","Both sexes","649","16.4","3,950"
"PrEP coverage and number of persons prescribed","2019","Maryland","24","Ages 13 years and older","All races/ethnicities","Both sexes","4,935","18.1","27,300"
"PrEP coverage and number of persons prescribed","2019","Massachusetts","25","Ages 13 years and older","All races/ethnicities","Both sexes","9,323","37.4","24,900"
"PrEP coverage and number of persons prescribed","2019","Michigan","26","Ages 13 years and older","All races/ethnicities","Both sexes","4,316","14.6","29,570"
"PrEP coverage and number of persons prescribed","2019","Minnesota","27","Ages 13 years and older","All races/ethnicities","Both sexes","4,188","19.3","21,720"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","Ages 13 years and older","All races/ethnicities","Both sexes","944","20.8","4,530"
