"Date Printed: Wednesday, March 1, 2023 11:33:35 AM"
Title: "PrEP coverage and number of persons prescribed | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | All transmission categories"
Footnote(s): PrEP coverage, reported as a percentage, is calculated as the number of persons aged &ge;16 years classified as having been prescribed PrEP divided by the estimated number of persons aged &ge;16 years who had indications for PrEP. Number prescribed, or “cases”, is defined as the number of persons aged &ge;16 years classified as having been prescribed PrEP during the specified year and includes all FDA-approved drugs for PrEP. “Population” is the annual estimated number of persons with PrEP indications. Total includes people categorized by IQVIA as Black, White, Hispanic, or Other race. Race/ethnicity data are adjusted due to large proportion of missing race/ethnicity. To allow for comparison with other HIV indicators, data are presented for &ge;13- and 13–24-year-olds, but represent &ge;16- and 16-24-years-olds, respectively. Number prescribed are reported through June 2022
"PrEP coverage and number of persons prescribed","2017","Alaska","02","35-44","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","330"
"PrEP coverage and number of persons prescribed","2017","Alaska","02","25-34","All races/ethnicities","Both sexes","All transmission categories","56","5.7","980"
"PrEP coverage and number of persons prescribed","2017","Alaska","02","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","650"
"PrEP coverage and number of persons prescribed","2019","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","504","20.9","2,410"
"PrEP coverage and number of persons prescribed","2019","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","690","20.7","3,330"
"PrEP coverage and number of persons prescribed","2019","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","1,075","20.7","5,200"
"PrEP coverage and number of persons prescribed","2019","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","1,732","17.9","9,680"
"PrEP coverage and number of persons prescribed","2019","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","578","11.2","5,160"
"PrEP coverage and number of persons prescribed","2018","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","358","14.9","2,410"
"PrEP coverage and number of persons prescribed","2018","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","523","15.7","3,330"
"PrEP coverage and number of persons prescribed","2018","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","842","16.2","5,200"
"PrEP coverage and number of persons prescribed","2018","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","1,326","13.7","9,680"
"PrEP coverage and number of persons prescribed","2018","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","432","8.4","5,160"
"PrEP coverage and number of persons prescribed","2017","Arizona","04","55+","All races/ethnicities","Both sexes","All transmission categories","245","9.1","2,700"
"PrEP coverage and number of persons prescribed","2017","Arizona","04","45-54","All races/ethnicities","Both sexes","All transmission categories","382","8.9","4,290"
"PrEP coverage and number of persons prescribed","2017","Arizona","04","35-44","All races/ethnicities","Both sexes","All transmission categories","550","9.9","5,550"
"PrEP coverage and number of persons prescribed","2017","Arizona","04","25-34","All races/ethnicities","Both sexes","All transmission categories","843","9.2","9,170"
"PrEP coverage and number of persons prescribed","2017","Arizona","04","13-24","All races/ethnicities","Both sexes","All transmission categories","218","4.3","5,110"
"PrEP coverage and number of persons prescribed","2019","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","57","16.3","350"
"PrEP coverage and number of persons prescribed","2019","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","113","17.7","640"
"PrEP coverage and number of persons prescribed","2019","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","189","21.5","880"
"PrEP coverage and number of persons prescribed","2019","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","257","14.0","1,840"
"PrEP coverage and number of persons prescribed","2019","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","113","8.0","1,420"
"PrEP coverage and number of persons prescribed","2018","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","350"
"PrEP coverage and number of persons prescribed","2018","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","84","13.1","640"
"PrEP coverage and number of persons prescribed","2018","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","167","19.0","880"
"PrEP coverage and number of persons prescribed","2018","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","193","10.5","1,840"
"PrEP coverage and number of persons prescribed","2018","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,420"
"PrEP coverage and number of persons prescribed","2017","Arkansas","05","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","290"
"PrEP coverage and number of persons prescribed","2017","Arkansas","05","45-54","All races/ethnicities","Both sexes","All transmission categories","59","10.9","540"
"PrEP coverage and number of persons prescribed","2017","Arkansas","05","35-44","All races/ethnicities","Both sexes","All transmission categories","114","15.8","720"
"PrEP coverage and number of persons prescribed","2017","Arkansas","05","25-34","All races/ethnicities","Both sexes","All transmission categories","149","8.1","1,850"
"PrEP coverage and number of persons prescribed","2017","Arkansas","05","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,450"
"PrEP coverage and number of persons prescribed","2019","California","06","55+","All races/ethnicities","Both sexes","All transmission categories","3,968","25.2","15,760"
"PrEP coverage and number of persons prescribed","2019","California","06","45-54","All races/ethnicities","Both sexes","All transmission categories","5,850","25.2","23,190"
"PrEP coverage and number of persons prescribed","2019","California","06","35-44","All races/ethnicities","Both sexes","All transmission categories","10,098","30.6","32,990"
"PrEP coverage and number of persons prescribed","2019","California","06","25-34","All races/ethnicities","Both sexes","All transmission categories","16,759","27.4","61,120"
"PrEP coverage and number of persons prescribed","2019","California","06","13-24","All races/ethnicities","Both sexes","All transmission categories","4,912","15.4","31,980"
"PrEP coverage and number of persons prescribed","2018","California","06","55+","All races/ethnicities","Both sexes","All transmission categories","3,152","20.0","15,760"
"PrEP coverage and number of persons prescribed","2018","California","06","45-54","All races/ethnicities","Both sexes","All transmission categories","5,364","23.1","23,190"
"PrEP coverage and number of persons prescribed","2018","California","06","35-44","All races/ethnicities","Both sexes","All transmission categories","8,634","26.2","32,990"
"PrEP coverage and number of persons prescribed","2018","California","06","25-34","All races/ethnicities","Both sexes","All transmission categories","14,601","23.9","61,120"
"PrEP coverage and number of persons prescribed","2018","California","06","13-24","All races/ethnicities","Both sexes","All transmission categories","4,141","12.9","31,980"
"PrEP coverage and number of persons prescribed","2017","California","06","55+","All races/ethnicities","Both sexes","All transmission categories","2,279","15.7","14,480"
"PrEP coverage and number of persons prescribed","2017","California","06","45-54","All races/ethnicities","Both sexes","All transmission categories","4,270","17.1","25,000"
"PrEP coverage and number of persons prescribed","2017","California","06","35-44","All races/ethnicities","Both sexes","All transmission categories","6,478","18.6","34,740"
"PrEP coverage and number of persons prescribed","2017","California","06","25-34","All races/ethnicities","Both sexes","All transmission categories","10,230","17.3","59,060"
"PrEP coverage and number of persons prescribed","2017","California","06","13-24","All races/ethnicities","Both sexes","All transmission categories","2,814","8.6","32,870"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","55+","All races/ethnicities","Both sexes","All transmission categories","282","13.2","2,140"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","45-54","All races/ethnicities","Both sexes","All transmission categories","547","24.1","2,270"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","35-44","All races/ethnicities","Both sexes","All transmission categories","1,034","20.0","5,160"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","25-34","All races/ethnicities","Both sexes","All transmission categories","1,934","18.5","10,450"
"PrEP coverage and number of persons prescribed","2019","Colorado","08","13-24","All races/ethnicities","Both sexes","All transmission categories","598","11.7","5,100"
"PrEP coverage and number of persons prescribed","2018","Colorado","08","55+","All races/ethnicities","Both sexes","All transmission categories","194","9.1","2,140"
"PrEP coverage and number of persons prescribed","2018","Colorado","08","45-54","All races/ethnicities","Both sexes","All transmission categories","450","19.8","2,270"
"PrEP coverage and number of persons prescribed","2018","Colorado","08","35-44","All races/ethnicities","Both sexes","All transmission categories","814","15.8","5,160"
"PrEP coverage and number of persons prescribed","2018","Colorado","08","25-34","All races/ethnicities","Both sexes","All transmission categories","1,517","14.5","10,450"
"PrEP coverage and number of persons prescribed","2018","Colorado","08","13-24","All races/ethnicities","Both sexes","All transmission categories","469","9.2","5,100"
"PrEP coverage and number of persons prescribed","2017","Colorado","08","55+","All races/ethnicities","Both sexes","All transmission categories","123","7.8","1,570"
"PrEP coverage and number of persons prescribed","2017","Colorado","08","45-54","All races/ethnicities","Both sexes","All transmission categories","339","7.3","4,660"
"PrEP coverage and number of persons prescribed","2017","Colorado","08","35-44","All races/ethnicities","Both sexes","All transmission categories","566","11.6","4,890"
"PrEP coverage and number of persons prescribed","2017","Colorado","08","25-34","All races/ethnicities","Both sexes","All transmission categories","1,066","11.3","9,430"
"PrEP coverage and number of persons prescribed","2017","Colorado","08","13-24","All races/ethnicities","Both sexes","All transmission categories","318","6.4","4,950"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","55+","All races/ethnicities","Both sexes","All transmission categories","276","20.1","1,370"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","45-54","All races/ethnicities","Both sexes","All transmission categories","337","18.2","1,850"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","35-44","All races/ethnicities","Both sexes","All transmission categories","529","29.7","1,780"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","25-34","All races/ethnicities","Both sexes","All transmission categories","1,012","35.9","2,820"
"PrEP coverage and number of persons prescribed","2019","Connecticut","09","13-24","All races/ethnicities","Both sexes","All transmission categories","513","29.5","1,740"
"PrEP coverage and number of persons prescribed","2018","Connecticut","09","55+","All races/ethnicities","Both sexes","All transmission categories","186","13.6","1,370"
"PrEP coverage and number of persons prescribed","2018","Connecticut","09","45-54","All races/ethnicities","Both sexes","All transmission categories","324","17.5","1,850"
"PrEP coverage and number of persons prescribed","2018","Connecticut","09","35-44","All races/ethnicities","Both sexes","All transmission categories","442","24.8","1,780"
"PrEP coverage and number of persons prescribed","2018","Connecticut","09","25-34","All races/ethnicities","Both sexes","All transmission categories","885","31.4","2,820"
"PrEP coverage and number of persons prescribed","2018","Connecticut","09","13-24","All races/ethnicities","Both sexes","All transmission categories","434","24.9","1,740"
"PrEP coverage and number of persons prescribed","2017","Connecticut","09","55+","All races/ethnicities","Both sexes","All transmission categories","136","8.7","1,560"
"PrEP coverage and number of persons prescribed","2017","Connecticut","09","45-54","All races/ethnicities","Both sexes","All transmission categories","241","10.6","2,280"
"PrEP coverage and number of persons prescribed","2017","Connecticut","09","35-44","All races/ethnicities","Both sexes","All transmission categories","312","16.3","1,920"
"PrEP coverage and number of persons prescribed","2017","Connecticut","09","25-34","All races/ethnicities","Both sexes","All transmission categories","583","18.7","3,120"
"PrEP coverage and number of persons prescribed","2017","Connecticut","09","13-24","All races/ethnicities","Both sexes","All transmission categories","301","14.5","2,080"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","55+","All races/ethnicities","Both sexes","All transmission categories","88","9.7","910"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","45-54","All races/ethnicities","Both sexes","All transmission categories","71","9.2","770"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","35-44","All races/ethnicities","Both sexes","All transmission categories","105","14.6","720"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","25-34","All races/ethnicities","Both sexes","All transmission categories","163","12.2","1,340"
"PrEP coverage and number of persons prescribed","2019","Delaware","10","13-24","All races/ethnicities","Both sexes","All transmission categories","52","7.8","670"
"PrEP coverage and number of persons prescribed","2018","Delaware","10","55+","All races/ethnicities","Both sexes","All transmission categories","60","6.6","910"
"PrEP coverage and number of persons prescribed","2018","Delaware","10","45-54","All races/ethnicities","Both sexes","All transmission categories","71","9.2","770"
"PrEP coverage and number of persons prescribed","2018","Delaware","10","35-44","All races/ethnicities","Both sexes","All transmission categories","88","12.2","720"
"PrEP coverage and number of persons prescribed","2018","Delaware","10","25-34","All races/ethnicities","Both sexes","All transmission categories","161","12.0","1,340"
"PrEP coverage and number of persons prescribed","2018","Delaware","10","13-24","All races/ethnicities","Both sexes","All transmission categories","43","6.4","670"
"PrEP coverage and number of persons prescribed","2017","Delaware","10","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","540"
"PrEP coverage and number of persons prescribed","2017","Delaware","10","45-54","All races/ethnicities","Both sexes","All transmission categories","60","7.4","810"
"PrEP coverage and number of persons prescribed","2017","Delaware","10","35-44","All races/ethnicities","Both sexes","All transmission categories","50","3.9","1,270"
"PrEP coverage and number of persons prescribed","2017","Delaware","10","25-34","All races/ethnicities","Both sexes","All transmission categories","92","7.7","1,200"
"PrEP coverage and number of persons prescribed","2017","Delaware","10","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","1,040"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","55+","All races/ethnicities","Both sexes","All transmission categories","450","29.8","1,510"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","45-54","All races/ethnicities","Both sexes","All transmission categories","687","39.5","1,740"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","35-44","All races/ethnicities","Both sexes","All transmission categories","1,588","67.6","2,350"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","25-34","All races/ethnicities","Both sexes","All transmission categories","2,669","57.9","4,610"
"PrEP coverage and number of persons prescribed","2019","District of Columbia","11","13-24","All races/ethnicities","Both sexes","All transmission categories","498","18.2","2,730"
"PrEP coverage and number of persons prescribed","2018","District of Columbia","11","55+","All races/ethnicities","Both sexes","All transmission categories","358","23.7","1,510"
"PrEP coverage and number of persons prescribed","2018","District of Columbia","11","45-54","All races/ethnicities","Both sexes","All transmission categories","588","33.8","1,740"
"PrEP coverage and number of persons prescribed","2018","District of Columbia","11","35-44","All races/ethnicities","Both sexes","All transmission categories","1,311","55.8","2,350"
"PrEP coverage and number of persons prescribed","2018","District of Columbia","11","25-34","All races/ethnicities","Both sexes","All transmission categories","2,338","50.7","4,610"
"PrEP coverage and number of persons prescribed","2018","District of Columbia","11","13-24","All races/ethnicities","Both sexes","All transmission categories","413","15.1","2,730"
"PrEP coverage and number of persons prescribed","2017","District of Columbia","11","55+","All races/ethnicities","Both sexes","All transmission categories","236","14.9","1,580"
"PrEP coverage and number of persons prescribed","2017","District of Columbia","11","45-54","All races/ethnicities","Both sexes","All transmission categories","440","35.8","1,230"
"PrEP coverage and number of persons prescribed","2017","District of Columbia","11","35-44","All races/ethnicities","Both sexes","All transmission categories","976","32.3","3,020"
"PrEP coverage and number of persons prescribed","2017","District of Columbia","11","25-34","All races/ethnicities","Both sexes","All transmission categories","1,815","36.0","5,040"
"PrEP coverage and number of persons prescribed","2017","District of Columbia","11","13-24","All races/ethnicities","Both sexes","All transmission categories","324","11.4","2,850"
"PrEP coverage and number of persons prescribed","2019","Florida","12","55+","All races/ethnicities","Both sexes","All transmission categories","2,982","18.9","15,760"
"PrEP coverage and number of persons prescribed","2019","Florida","12","45-54","All races/ethnicities","Both sexes","All transmission categories","3,835","18.7","20,500"
"PrEP coverage and number of persons prescribed","2019","Florida","12","35-44","All races/ethnicities","Both sexes","All transmission categories","5,153","21.0","24,530"
"PrEP coverage and number of persons prescribed","2019","Florida","12","25-34","All races/ethnicities","Both sexes","All transmission categories","7,298","17.0","42,840"
"PrEP coverage and number of persons prescribed","2019","Florida","12","13-24","All races/ethnicities","Both sexes","All transmission categories","2,492","11.5","21,710"
"PrEP coverage and number of persons prescribed","2018","Florida","12","55+","All races/ethnicities","Both sexes","All transmission categories","1,817","11.5","15,760"
"PrEP coverage and number of persons prescribed","2018","Florida","12","45-54","All races/ethnicities","Both sexes","All transmission categories","2,834","13.8","20,500"
"PrEP coverage and number of persons prescribed","2018","Florida","12","35-44","All races/ethnicities","Both sexes","All transmission categories","3,547","14.5","24,530"
"PrEP coverage and number of persons prescribed","2018","Florida","12","25-34","All races/ethnicities","Both sexes","All transmission categories","5,024","11.7","42,840"
"PrEP coverage and number of persons prescribed","2018","Florida","12","13-24","All races/ethnicities","Both sexes","All transmission categories","1,490","6.9","21,710"
"PrEP coverage and number of persons prescribed","2017","Florida","12","55+","All races/ethnicities","Both sexes","All transmission categories","1,084","6.6","16,540"
"PrEP coverage and number of persons prescribed","2017","Florida","12","45-54","All races/ethnicities","Both sexes","All transmission categories","1,784","8.9","20,060"
"PrEP coverage and number of persons prescribed","2017","Florida","12","35-44","All races/ethnicities","Both sexes","All transmission categories","2,071","8.2","25,360"
"PrEP coverage and number of persons prescribed","2017","Florida","12","25-34","All races/ethnicities","Both sexes","All transmission categories","2,744","6.7","40,750"
"PrEP coverage and number of persons prescribed","2017","Florida","12","13-24","All races/ethnicities","Both sexes","All transmission categories","795","3.5","22,450"
"PrEP coverage and number of persons prescribed","2019","Georgia","13","55+","All races/ethnicities","Both sexes","All transmission categories","760","20.5","3,700"
"PrEP coverage and number of persons prescribed","2019","Georgia","13","45-54","All races/ethnicities","Both sexes","All transmission categories","1,500","31.5","4,760"
"PrEP coverage and number of persons prescribed","2019","Georgia","13","35-44","All races/ethnicities","Both sexes","All transmission categories","2,059","31.1","6,620"
"PrEP coverage and number of persons prescribed","2019","Georgia","13","25-34","All races/ethnicities","Both sexes","All transmission categories","3,280","22.7","14,450"
"PrEP coverage and number of persons prescribed","2019","Georgia","13","13-24","All races/ethnicities","Both sexes","All transmission categories","1,053","11.1","9,500"
"PrEP coverage and number of persons prescribed","2018","Georgia","13","55+","All races/ethnicities","Both sexes","All transmission categories","505","13.6","3,700"
"PrEP coverage and number of persons prescribed","2018","Georgia","13","45-54","All races/ethnicities","Both sexes","All transmission categories","1,162","24.4","4,760"
"PrEP coverage and number of persons prescribed","2018","Georgia","13","35-44","All races/ethnicities","Both sexes","All transmission categories","1,544","23.3","6,620"
"PrEP coverage and number of persons prescribed","2018","Georgia","13","25-34","All races/ethnicities","Both sexes","All transmission categories","2,409","16.7","14,450"
"PrEP coverage and number of persons prescribed","2018","Georgia","13","13-24","All races/ethnicities","Both sexes","All transmission categories","678","7.1","9,500"
"PrEP coverage and number of persons prescribed","2017","Georgia","13","55+","All races/ethnicities","Both sexes","All transmission categories","349","9.1","3,820"
"PrEP coverage and number of persons prescribed","2017","Georgia","13","45-54","All races/ethnicities","Both sexes","All transmission categories","893","15.3","5,830"
"PrEP coverage and number of persons prescribed","2017","Georgia","13","35-44","All races/ethnicities","Both sexes","All transmission categories","1,134","16.3","6,950"
"PrEP coverage and number of persons prescribed","2017","Georgia","13","25-34","All races/ethnicities","Both sexes","All transmission categories","1,626","11.1","14,650"
"PrEP coverage and number of persons prescribed","2017","Georgia","13","13-24","All races/ethnicities","Both sexes","All transmission categories","463","4.9","9,430"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","55+","All races/ethnicities","Both sexes","All transmission categories","118","23.6","500"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","45-54","All races/ethnicities","Both sexes","All transmission categories","134","30.5","440"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","35-44","All races/ethnicities","Both sexes","All transmission categories","226","18.1","1,250"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","25-34","All races/ethnicities","Both sexes","All transmission categories","263","16.2","1,620"
"PrEP coverage and number of persons prescribed","2019","Hawaii","15","13-24","All races/ethnicities","Both sexes","All transmission categories","78","13.9","560"
"PrEP coverage and number of persons prescribed","2018","Hawaii","15","55+","All races/ethnicities","Both sexes","All transmission categories","92","18.4","500"
"PrEP coverage and number of persons prescribed","2018","Hawaii","15","45-54","All races/ethnicities","Both sexes","All transmission categories","119","27.0","440"
"PrEP coverage and number of persons prescribed","2018","Hawaii","15","35-44","All races/ethnicities","Both sexes","All transmission categories","182","14.6","1,250"
"PrEP coverage and number of persons prescribed","2018","Hawaii","15","25-34","All races/ethnicities","Both sexes","All transmission categories","217","13.4","1,620"
"PrEP coverage and number of persons prescribed","2018","Hawaii","15","13-24","All races/ethnicities","Both sexes","All transmission categories","72","12.9","560"
"PrEP coverage and number of persons prescribed","2017","Hawaii","15","55+","All races/ethnicities","Both sexes","All transmission categories","60","7.7","780"
"PrEP coverage and number of persons prescribed","2017","Hawaii","15","45-54","All races/ethnicities","Both sexes","All transmission categories","91","9.9","920"
"PrEP coverage and number of persons prescribed","2017","Hawaii","15","35-44","All races/ethnicities","Both sexes","All transmission categories","111","14.2","780"
"PrEP coverage and number of persons prescribed","2017","Hawaii","15","25-34","All races/ethnicities","Both sexes","All transmission categories","133","6.1","2,190"
"PrEP coverage and number of persons prescribed","2017","Hawaii","15","13-24","All races/ethnicities","Both sexes","All transmission categories","45","5.8","780"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","910"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","45-54","All races/ethnicities","Both sexes","All transmission categories","54","6.9","780"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","35-44","All races/ethnicities","Both sexes","All transmission categories","120","13.2","910"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","25-34","All races/ethnicities","Both sexes","All transmission categories","172","13.2","1,300"
"PrEP coverage and number of persons prescribed","2019","Idaho","16","13-24","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","910"
"PrEP coverage and number of persons prescribed","2018","Idaho","16","55+","All races/ethnicities","Both sexes","All transmission categories","Data suppressed","Data suppressed","910"
"PrEP coverage and number of persons prescribed","2018","Idaho","16","45-54","All races/ethnicities","Both sexes","All transmission categories","42","5.4","780"
"PrEP coverage and number of persons prescribed","2018","Idaho","16","35-44","All races/ethnicities","Both sexes","All transmission categories","82","9.0","910"
"PrEP coverage and number of persons prescribed","2018","Idaho","16","25-34","All races/ethnicities","Both sexes","All transmission categories","148","11.4","1,300"
