time_period,state_name,state_fips,sex,hiv_diagnoses,hiv_diagnoses_per_100k,population
2008,Colorado,08,Both sexes,445,11.0,4049693.0
2009,Colorado,08,Both sexes,371,9.0,4120964.0
2010,Colorado,08,Both sexes,423,10.2,4151588.0
2011,Colorado,08,Both sexes,361,8.6,4220791.0
2012,Colorado,08,Both sexes,369,8.6,4290603.0
2013,Colorado,08,Both sexes,307,7.0,4367891.0
2014,Colorado,08,Both sexes,378,8.5,4448358.0
2015,Colorado,08,Both sexes,376,8.3,4544680.0
2016,Colorado,08,Both sexes,421,9.1,4634286.0
2017,Colorado,08,Both sexes,434,9.2,4712379.0
2018,Colorado,08,Both sexes,403,8.4,4794981.0
2019,Colorado,08,Both sexes,465,9.6,4864999.0
2020 (COVID-19 Pandemic),Colorado,08,Both sexes,324,6.6,4923293.0
2021,Colorado,08,Both sexes,408,Data not available,
2022,Colorado,08,Both sexes,296,Data not available,
2008,Colorado,08,Female,63,3.1,2017351.0
2009,Colorado,08,Female,46,2.2,2051862.0
2010,Colorado,08,Female,59,2.8,2079913.0
2011,Colorado,08,Female,45,2.1,2114993.0
2012,Colorado,08,Female,53,2.5,2149615.0
2013,Colorado,08,Female,42,1.9,2186637.0
2014,Colorado,08,Female,49,2.2,2224156.0
2015,Colorado,08,Female,54,2.4,2268934.0
2016,Colorado,08,Female,48,2.1,2310700.0
2017,Colorado,08,Female,41,1.7,2347379.0
2018,Colorado,08,Female,40,1.7,2387759.0
2019,Colorado,08,Female,82,3.4,2420516.0
2020 (COVID-19 Pandemic),Colorado,08,Female,42,1.7,2449198.0
2021,Colorado,08,Female,53,Data not available,
2022,Colorado,08,Female,Data not available,Data not available,
2008,Colorado,08,Male,382,18.8,2032342.0
2009,Colorado,08,Male,325,15.7,2069102.0
2010,Colorado,08,Male,364,17.6,2071675.0
2011,Colorado,08,Male,316,15.0,2105798.0
2012,Colorado,08,Male,316,14.8,2140988.0
2013,Colorado,08,Male,265,12.1,2181254.0
2014,Colorado,08,Male,329,14.8,2224202.0
2015,Colorado,08,Male,322,14.1,2275746.0
2016,Colorado,08,Male,373,16.1,2323586.0
2017,Colorado,08,Male,393,16.6,2365000.0
2018,Colorado,08,Male,363,15.1,2407222.0
2019,Colorado,08,Male,383,15.7,2444483.0
2020 (COVID-19 Pandemic),Colorado,08,Male,282,11.4,2474095.0
2021,Colorado,08,Male,355,Data not available,
2022,Colorado,08,Male,Data not available,Data not available,
2008,Connecticut,09,Both sexes,346,11.8,2932812.0
2009,Connecticut,09,Both sexes,341,11.6,2951882.0
2010,Connecticut,09,Both sexes,386,12.8,3013799.0
2011,Connecticut,09,Both sexes,347,11.5,3030158.0
2012,Connecticut,09,Both sexes,287,9.4,3044536.0
2013,Connecticut,09,Both sexes,325,10.6,3054931.0
2014,Connecticut,09,Both sexes,295,9.6,3062599.0
2015,Connecticut,09,Both sexes,275,9.0,3062680.0
2016,Connecticut,09,Both sexes,256,8.4,3061079.0
2017,Connecticut,09,Both sexes,274,8.9,3061903.0
2018,Connecticut,09,Both sexes,259,8.4,3066097.0
2019,Connecticut,09,Both sexes,212,6.9,3063295.0
2020 (COVID-19 Pandemic),Connecticut,09,Both sexes,171,5.6,3060339.0
2021,Connecticut,09,Both sexes,231,Data not available,
2022,Connecticut,09,Both sexes,121,Data not available,
2008,Connecticut,09,Female,102,6.7,1515743.0
2009,Connecticut,09,Female,87,5.7,1524210.0
2010,Connecticut,09,Female,112,7.2,1560661.0
2011,Connecticut,09,Female,93,5.9,1568013.0
2012,Connecticut,09,Female,73,4.6,1574305.0
2013,Connecticut,09,Female,69,4.4,1578540.0
2014,Connecticut,09,Female,80,5.1,1581485.0
2015,Connecticut,09,Female,66,4.2,1580770.0
2016,Connecticut,09,Female,53,3.4,1579842.0
2017,Connecticut,09,Female,76,4.8,1579954.0
2018,Connecticut,09,Female,60,3.8,1582200.0
2019,Connecticut,09,Female,48,3.0,1580599.0
2020 (COVID-19 Pandemic),Connecticut,09,Female,46,2.9,1578788.0
2021,Connecticut,09,Female,51,Data not available,
2022,Connecticut,09,Female,Data not available,Data not available,
2008,Connecticut,09,Male,244,17.2,1417069.0
2009,Connecticut,09,Male,254,17.8,1427672.0
2010,Connecticut,09,Male,274,18.9,1453138.0
2011,Connecticut,09,Male,254,17.4,1462145.0
2012,Connecticut,09,Male,214,14.6,1470231.0
2013,Connecticut,09,Male,256,17.3,1476391.0
2014,Connecticut,09,Male,215,14.5,1481114.0
2015,Connecticut,09,Male,209,14.1,1481910.0
2016,Connecticut,09,Male,203,13.7,1481237.0
2017,Connecticut,09,Male,198,13.4,1481949.0
2018,Connecticut,09,Male,199,13.4,1483897.0
2019,Connecticut,09,Male,164,11.1,1482696.0
2020 (COVID-19 Pandemic),Connecticut,09,Male,125,8.4,1481551.0
2021,Connecticut,09,Male,180,Data not available,
2022,Connecticut,09,Male,Data not available,Data not available,
2008,Delaware,10,Both sexes,153,21.0,728265.0
2009,Delaware,10,Both sexes,150,20.4,736007.0
2010,Delaware,10,Both sexes,123,16.3,752997.0
2011,Delaware,10,Both sexes,113,14.9,760889.0
2012,Delaware,10,Both sexes,136,17.7,768686.0
2013,Delaware,10,Both sexes,110,14.1,777961.0
2014,Delaware,10,Both sexes,114,14.5,787164.0
2015,Delaware,10,Both sexes,104,13.1,795983.0
2016,Delaware,10,Both sexes,111,13.8,803754.0
2017,Delaware,10,Both sexes,125,15.4,811907.0
2018,Delaware,10,Both sexes,91,11.1,820741.0
2019,Delaware,10,Both sexes,94,11.3,830589.0
2020 (COVID-19 Pandemic),Delaware,10,Both sexes,93,11.1,840856.0
2021,Delaware,10,Both sexes,80,Data not available,
2022,Delaware,10,Both sexes,83,Data not available,
2008,Delaware,10,Female,46,12.2,378241.0
2009,Delaware,10,Female,39,10.2,382478.0
2010,Delaware,10,Female,27,6.9,391977.0
2011,Delaware,10,Female,27,6.8,396088.0
2012,Delaware,10,Female,37,9.3,399956.0
2013,Delaware,10,Female,29,7.2,404923.0
2014,Delaware,10,Female,43,10.5,409582.0
2015,Delaware,10,Female,19,4.6,413995.0
2016,Delaware,10,Female,26,6.2,418112.0
2017,Delaware,10,Female,35,8.3,422441.0
2018,Delaware,10,Female,22,5.1,427277.0
2019,Delaware,10,Female,24,5.5,432704.0
2020 (COVID-19 Pandemic),Delaware,10,Female,16,3.6,438480.0
2021,Delaware,10,Female,18,Data not available,
2022,Delaware,10,Female,Data not available,Data not available,
2008,Delaware,10,Male,107,30.6,350024.0
2009,Delaware,10,Male,111,31.4,353529.0
2010,Delaware,10,Male,96,26.6,361020.0
2011,Delaware,10,Male,86,23.6,364801.0
2012,Delaware,10,Male,99,26.8,368730.0
2013,Delaware,10,Male,81,21.7,373038.0
2014,Delaware,10,Male,71,18.8,377582.0
2015,Delaware,10,Male,85,22.3,381988.0
2016,Delaware,10,Male,85,22.0,385642.0
2017,Delaware,10,Male,90,23.1,389466.0
2018,Delaware,10,Male,69,17.5,393464.0
2019,Delaware,10,Male,70,17.6,397885.0
2020 (COVID-19 Pandemic),Delaware,10,Male,77,19.1,402376.0
2021,Delaware,10,Male,62,Data not available,
2022,Delaware,10,Male,Data not available,Data not available,
2008,District of Columbia,11,Both sexes,1029,202.6,508021.0
2009,District of Columbia,11,Both sexes,821,159.1,515989.0
2010,District of Columbia,11,Both sexes,788,148.4,530993.0
2011,District of Columbia,11,Both sexes,632,116.5,542473.0
2012,District of Columbia,11,Both sexes,571,103.1,553615.0
2013,District of Columbia,11,Both sexes,488,86.4,565099.0
2014,District of Columbia,11,Both sexes,412,71.8,573824.0
2015,District of Columbia,11,Both sexes,369,63.2,583967.0
2016,District of Columbia,11,Both sexes,351,59.3,591956.0
2017,District of Columbia,11,Both sexes,316,52.8,598356.0
2018,District of Columbia,11,Both sexes,280,46.4,603557.0
2019,District of Columbia,11,Both sexes,250,41.2,606484.0
2020 (COVID-19 Pandemic),District of Columbia,11,Both sexes,197,32.3,610153.0
2021,District of Columbia,11,Both sexes,193,Data not available,
2022,District of Columbia,11,Both sexes,122,Data not available,
2008,District of Columbia,11,Female,302,111.2,271668.0
2009,District of Columbia,11,Female,246,89.1,275945.0
2010,District of Columbia,11,Female,227,80.3,282670.0
2011,District of Columbia,11,Female,173,60.0,288273.0
2012,District of Columbia,11,Female,161,54.7,294134.0
2013,District of Columbia,11,Female,120,40.0,299645.0
2014,District of Columbia,11,Female,83,27.3,303930.0
2015,District of Columbia,11,Female,93,30.0,309881.0
2016,District of Columbia,11,Female,89,28.4,313774.0
2017,District of Columbia,11,Female,74,23.3,317528.0
2018,District of Columbia,11,Female,65,20.3,320177.0
2019,District of Columbia,11,Female,56,17.4,322335.0
2020 (COVID-19 Pandemic),District of Columbia,11,Female,36,11.1,324434.0
2021,District of Columbia,11,Female,46,Data not available,
2022,District of Columbia,11,Female,Data not available,Data not available,
2008,District of Columbia,11,Male,727,307.6,236353.0
2009,District of Columbia,11,Male,575,239.5,240044.0
2010,District of Columbia,11,Male,561,225.9,248323.0
2011,District of Columbia,11,Male,459,180.6,254200.0
2012,District of Columbia,11,Male,410,158.0,259481.0
2013,District of Columbia,11,Male,368,138.6,265454.0
2014,District of Columbia,11,Male,329,121.9,269894.0
2015,District of Columbia,11,Male,276,100.7,274086.0
2016,District of Columbia,11,Male,262,94.2,278182.0
2017,District of Columbia,11,Male,242,86.2,280828.0
2018,District of Columbia,11,Male,215,75.9,283380.0
2019,District of Columbia,11,Male,194,68.3,284149.0
2020 (COVID-19 Pandemic),District of Columbia,11,Male,161,56.3,285719.0
2021,District of Columbia,11,Male,147,Data not available,
2022,District of Columbia,11,Male,Data not available,Data not available,
2008,Florida,12,Both sexes,5762,37.2,15508944.0
2009,Florida,12,Both sexes,5028,32.2,15614290.0
2010,Florida,12,Both sexes,4632,28.9,16018853.0
2011,Florida,12,Both sexes,4568,28.2,16220325.0
2012,Florida,12,Both sexes,4381,26.6,16455096.0
2013,Florida,12,Both sexes,4298,25.7,16696724.0
2014,Florida,12,Both sexes,4478,26.4,16975868.0
2015,Florida,12,Both sexes,4593,26.6,17298886.0
2016,Florida,12,Both sexes,4659,26.4,17652833.0
2017,Florida,12,Both sexes,4558,25.4,17969258.0
2018,Florida,12,Both sexes,4515,24.8,18228098.0
2019,Florida,12,Both sexes,4361,23.6,18463032.0
2020 (COVID-19 Pandemic),Florida,12,Both sexes,3408,18.2,18701925.0
2021,Florida,12,Both sexes,4556,Data not available,
2022,Florida,12,Both sexes,4106,Data not available,
2008,Florida,12,Female,"1,619",20.4,7938161.0
2009,Florida,12,Female,"1,319",16.5,7987495.0
2010,Florida,12,Female,"1,197",14.5,8249886.0
2011,Florida,12,Female,"1,136",13.6,8348511.0
2012,Florida,12,Female,"1,011",11.9,8471012.0
2013,Florida,12,Female,"1,060",12.3,8594347.0
2014,Florida,12,Female,957,11.0,8738470.0
2015,Florida,12,Female,966,10.9,8902840.0
2016,Florida,12,Female,"1,021",11.2,9085132.0
2017,Florida,12,Female,989,10.7,9248911.0
2018,Florida,12,Female,921,9.8,9381977.0
2019,Florida,12,Female,923,9.7,9504663.0
2020 (COVID-19 Pandemic),Florida,12,Female,675,7.0,9629187.0
2021,Florida,12,Female,880,Data not available,
2022,Florida,12,Female,Data not available,Data not available,
2008,Florida,12,Male,"4,143",54.7,7570783.0
2009,Florida,12,Male,"3,709",48.6,7626795.0
2010,Florida,12,Male,"3,435",44.2,7768967.0
2011,Florida,12,Male,"3,432",43.6,7871814.0
2012,Florida,12,Male,"3,370",42.2,7984084.0
2013,Florida,12,Male,"3,238",40.0,8102377.0
2014,Florida,12,Male,"3,521",42.7,8237398.0
2015,Florida,12,Male,"3,627",43.2,8396046.0
2016,Florida,12,Male,"3,638",42.5,8567701.0
2017,Florida,12,Male,"3,569",40.9,8720347.0
2018,Florida,12,Male,"3,594",40.6,8846121.0
2019,Florida,12,Male,"3,438",38.4,8958369.0
2020 (COVID-19 Pandemic),Florida,12,Male,"2,733",30.1,9072738.0
2021,Florida,12,Male,"3,676",Data not available,
2022,Florida,12,Male,Data not available,Data not available,
2008,Georgia,13,Both sexes,3149,40.2,7826920.0
2009,Georgia,13,Both sexes,2910,36.7,7937181.0
2010,Georgia,13,Both sexes,2604,32.9,7913103.0
2011,Georgia,13,Both sexes,2626,32.8,8004809.0
2012,Georgia,13,Both sexes,2577,31.8,8107803.0
2013,Georgia,13,Both sexes,2326,28.4,8189042.0
2014,Georgia,13,Both sexes,2373,28.6,8289125.0
2015,Georgia,13,Both sexes,2634,31.4,8398181.0
2016,Georgia,13,Both sexes,2523,29.6,8518147.0
2017,Georgia,13,Both sexes,2606,30.2,8628924.0
2018,Georgia,13,Both sexes,2486,28.5,8734638.0
2019,Georgia,13,Both sexes,2407,27.2,8850817.0
2020 (COVID-19 Pandemic),Georgia,13,Both sexes,1977,22.1,8945129.0
2021,Georgia,13,Both sexes,2181,Data not available,
2022,Georgia,13,Both sexes,1611,Data not available,
2008,Georgia,13,Female,802,20.0,4016698.0
2009,Georgia,13,Female,699,17.2,4069748.0
2010,Georgia,13,Female,636,15.6,4089629.0
2011,Georgia,13,Female,598,14.5,4135145.0
2012,Georgia,13,Female,565,13.5,4187862.0
2013,Georgia,13,Female,458,10.8,4232971.0
2014,Georgia,13,Female,450,10.5,4288174.0
2015,Georgia,13,Female,503,11.6,4347001.0
2016,Georgia,13,Female,494,11.2,4411982.0
2017,Georgia,13,Female,556,12.4,4471013.0
2018,Georgia,13,Female,520,11.5,4527775.0
2019,Georgia,13,Female,458,10.0,4590033.0
2020 (COVID-19 Pandemic),Georgia,13,Female,402,8.7,4642005.0
2021,Georgia,13,Female,422,Data not available,
2022,Georgia,13,Female,Data not available,Data not available,
2008,Georgia,13,Male,"2,347",61.6,3810222.0
2009,Georgia,13,Male,"2,211",57.2,3867433.0
2010,Georgia,13,Male,"1,968",51.5,3823474.0
2011,Georgia,13,Male,"2,028",52.4,3869664.0
2012,Georgia,13,Male,"2,012",51.3,3919941.0
2013,Georgia,13,Male,"1,868",47.2,3956071.0
2014,Georgia,13,Male,"1,923",48.1,4000951.0
2015,Georgia,13,Male,"2,131",52.6,4051180.0
2016,Georgia,13,Male,"2,029",49.4,4106165.0
2017,Georgia,13,Male,"2,050",49.3,4157911.0
2018,Georgia,13,Male,"1,966",46.7,4206863.0
2019,Georgia,13,Male,"1,949",45.7,4260784.0
2020 (COVID-19 Pandemic),Georgia,13,Male,"1,575",36.6,4303124.0
2021,Georgia,13,Male,"1,759",Data not available,
2022,Georgia,13,Male,Data not available,Data not available,
2008,Hawaii,15,Both sexes,81,7.5,1077785.0
2009,Hawaii,15,Both sexes,84,7.8,1083032.0
2010,Hawaii,15,Both sexes,101,8.8,1144121.0
2011,Hawaii,15,Both sexes,79,6.8,1156156.0
2012,Hawaii,15,Both sexes,82,7.0,1169051.0
2013,Hawaii,15,Both sexes,95,8.0,1180740.0
2014,Hawaii,15,Both sexes,98,8.3,1187177.0
2015,Hawaii,15,Both sexes,117,9.8,1193786.0
2016,Hawaii,15,Both sexes,76,6.3,1200346.0
2017,Hawaii,15,Both sexes,76,6.3,1199149.0
2018,Hawaii,15,Both sexes,72,6.0,1197989.0
2019,Hawaii,15,Both sexes,64,5.4,1193210.0
2020 (COVID-19 Pandemic),Hawaii,15,Both sexes,51,4.3,1187616.0
2021,Hawaii,15,Both sexes,64,Data not available,
2022,Hawaii,15,Both sexes,34,Data not available,
2008,Hawaii,15,Female,10,1.9,536210.0
2009,Hawaii,15,Female,14,2.6,538697.0
2010,Hawaii,15,Female,13,2.3,573942.0
2011,Hawaii,15,Female,10,1.7,580076.0
2012,Hawaii,15,Female,11,1.9,585792.0
2013,Hawaii,15,Female,6,1.0,590826.0
2014,Hawaii,15,Female,10,1.7,593600.0
2015,Hawaii,15,Female,9,1.5,596553.0
2016,Hawaii,15,Female,8,1.3,599685.0
2017,Hawaii,15,Female,6,1.0,600424.0
2018,Hawaii,15,Female,6,1.0,600687.0
