Indicator,time_period,state_name,state_fips,age,race_category_id,sex,Transmission Category,hiv_diagnoses,hiv_diagnoses_per_100k,population
HIV diagnoses,2013,Alabama,01,25-34,ALL,All,All transmission categories,183,29.5,620002.0
HIV diagnoses,2013,Alabama,01,13-24,ALL,All,All transmission categories,180,22.3,808309.0
HIV diagnoses,2012,Alabama,01,55+,ALL,All,All transmission categories,54,4.1,1313435.0
HIV diagnoses,2012,Alabama,01,45-54,ALL,All,All transmission categories,99,14.7,675069.0
HIV diagnoses,2012,Alabama,01,35-44,ALL,All,All transmission categories,124,20.4,608878.0
HIV diagnoses,2012,Alabama,01,25-34,ALL,All,All transmission categories,189,30.6,616743.0
HIV diagnoses,2012,Alabama,01,13-24,ALL,All,All transmission categories,196,24.3,806054.0
HIV diagnoses,2011,Alabama,01,55+,ALL,All,All transmission categories,49,3.8,1282322.0
HIV diagnoses,2011,Alabama,01,45-54,ALL,All,All transmission categories,108,15.7,686219.0
HIV diagnoses,2011,Alabama,01,35-44,ALL,All,All transmission categories,116,19.0,610928.0
HIV diagnoses,2011,Alabama,01,25-34,ALL,All,All transmission categories,204,33.2,614440.0
HIV diagnoses,2011,Alabama,01,13-24,ALL,All,All transmission categories,195,24.2,804282.0
HIV diagnoses,2010,Alabama,01,55+,ALL,All,All transmission categories,65,5.2,1253190.0
HIV diagnoses,2010,Alabama,01,45-54,ALL,All,All transmission categories,103,14.9,693350.0
HIV diagnoses,2010,Alabama,01,35-44,ALL,All,All transmission categories,149,24.1,618192.0
HIV diagnoses,2010,Alabama,01,25-34,ALL,All,All transmission categories,178,29.2,610566.0
HIV diagnoses,2010,Alabama,01,13-24,ALL,All,All transmission categories,190,23.6,805393.0
HIV diagnoses,2009,Alabama,01,55+,ALL,All,All transmission categories,57,4.7,1204236.0
HIV diagnoses,2009,Alabama,01,45-54,ALL,All,All transmission categories,116,17.2,674850.0
HIV diagnoses,2009,Alabama,01,35-44,ALL,All,All transmission categories,135,21.9,616138.0
HIV diagnoses,2009,Alabama,01,25-34,ALL,All,All transmission categories,187,30.2,619371.0
HIV diagnoses,2009,Alabama,01,13-24,ALL,All,All transmission categories,191,24.4,784093.0
HIV diagnoses,2008,Alabama,01,55+,ALL,All,All transmission categories,48,4.1,1178384.0
HIV diagnoses,2008,Alabama,01,45-54,ALL,All,All transmission categories,143,21.3,672318.0
HIV diagnoses,2008,Alabama,01,35-44,ALL,All,All transmission categories,163,26.1,623769.0
HIV diagnoses,2008,Alabama,01,25-34,ALL,All,All transmission categories,179,29.3,611390.0
HIV diagnoses,2008,Alabama,01,13-24,ALL,All,All transmission categories,168,21.4,785135.0
HIV diagnoses,2019,Alaska,02,55+,ALL,All,All transmission categories,3,1.6,185077.0
HIV diagnoses,2019,Alaska,02,45-54,ALL,All,All transmission categories,1,1.2,85322.0
HIV diagnoses,2019,Alaska,02,35-44,ALL,All,All transmission categories,4,4.2,96180.0
HIV diagnoses,2019,Alaska,02,25-34,ALL,All,All transmission categories,13,11.0,118187.0
HIV diagnoses,2019,Alaska,02,13-24,ALL,All,All transmission categories,6,5.2,115795.0
HIV diagnoses,2018,Alaska,02,55+,ALL,All,All transmission categories,2,1.1,181792.0
HIV diagnoses,2018,Alaska,02,45-54,ALL,All,All transmission categories,4,4.5,87938.0
HIV diagnoses,2018,Alaska,02,35-44,ALL,All,All transmission categories,3,3.2,94708.0
HIV diagnoses,2018,Alaska,02,25-34,ALL,All,All transmission categories,9,7.6,119100.0
HIV diagnoses,2018,Alaska,02,13-24,ALL,All,All transmission categories,5,4.2,118028.0
HIV diagnoses,2017,Alaska,02,55+,ALL,All,All transmission categories,3,1.7,178137.0
HIV diagnoses,2017,Alaska,02,45-54,ALL,All,All transmission categories,2,2.2,91216.0
HIV diagnoses,2017,Alaska,02,35-44,ALL,All,All transmission categories,4,4.3,93201.0
HIV diagnoses,2017,Alaska,02,25-34,ALL,All,All transmission categories,13,10.8,120802.0
HIV diagnoses,2017,Alaska,02,13-24,ALL,All,All transmission categories,8,6.6,120728.0
HIV diagnoses,2016,Alaska,02,55+,ALL,All,All transmission categories,6,3.5,173695.0
HIV diagnoses,2016,Alaska,02,45-54,ALL,All,All transmission categories,2,2.1,93951.0
HIV diagnoses,2016,Alaska,02,35-44,ALL,All,All transmission categories,8,8.7,92261.0
HIV diagnoses,2016,Alaska,02,25-34,ALL,All,All transmission categories,17,14.1,120878.0
HIV diagnoses,2016,Alaska,02,13-24,ALL,All,All transmission categories,4,3.2,124035.0
HIV diagnoses,2015,Alaska,02,55+,ALL,All,All transmission categories,5,3.0,169088.0
HIV diagnoses,2015,Alaska,02,45-54,ALL,All,All transmission categories,5,5.2,96294.0
HIV diagnoses,2015,Alaska,02,35-44,ALL,All,All transmission categories,4,4.4,91420.0
HIV diagnoses,2015,Alaska,02,25-34,ALL,All,All transmission categories,6,5.1,118241.0
HIV diagnoses,2015,Alaska,02,13-24,ALL,All,All transmission categories,5,4.0,126474.0
HIV diagnoses,2014,Alaska,02,55+,ALL,All,All transmission categories,3,1.8,164169.0
HIV diagnoses,2014,Alaska,02,45-54,ALL,All,All transmission categories,6,6.1,99035.0
HIV diagnoses,2014,Alaska,02,35-44,ALL,All,All transmission categories,5,5.5,91334.0
HIV diagnoses,2014,Alaska,02,25-34,ALL,All,All transmission categories,16,13.7,116860.0
HIV diagnoses,2014,Alaska,02,13-24,ALL,All,All transmission categories,7,5.4,128603.0
HIV diagnoses,2013,Alaska,02,55+,ALL,All,All transmission categories,5,3.1,159964.0
HIV diagnoses,2013,Alaska,02,45-54,ALL,All,All transmission categories,2,2.0,102331.0
HIV diagnoses,2013,Alaska,02,35-44,ALL,All,All transmission categories,2,2.2,92160.0
HIV diagnoses,2013,Alaska,02,25-34,ALL,All,All transmission categories,10,8.7,114971.0
HIV diagnoses,2013,Alaska,02,13-24,ALL,All,All transmission categories,4,3.1,130348.0
HIV diagnoses,2012,Alaska,02,55+,ALL,All,All transmission categories,2,1.3,154964.0
HIV diagnoses,2012,Alaska,02,45-54,ALL,All,All transmission categories,9,8.5,105896.0
HIV diagnoses,2012,Alaska,02,35-44,ALL,All,All transmission categories,7,7.6,92372.0
HIV diagnoses,2012,Alaska,02,25-34,ALL,All,All transmission categories,5,4.5,111292.0
HIV diagnoses,2012,Alaska,02,13-24,ALL,All,All transmission categories,5,3.9,128536.0
HIV diagnoses,2011,Alaska,02,55+,ALL,All,All transmission categories,2,1.3,148614.0
HIV diagnoses,2011,Alaska,02,45-54,ALL,All,All transmission categories,3,2.8,108725.0
HIV diagnoses,2011,Alaska,02,35-44,ALL,All,All transmission categories,4,4.3,92103.0
HIV diagnoses,2011,Alaska,02,25-34,ALL,All,All transmission categories,6,5.5,108115.0
HIV diagnoses,2011,Alaska,02,13-24,ALL,All,All transmission categories,8,6.3,127250.0
HIV diagnoses,2010,Alaska,02,55+,ALL,All,All transmission categories,1,0.7,142363.0
HIV diagnoses,2010,Alaska,02,45-54,ALL,All,All transmission categories,10,9.0,110733.0
HIV diagnoses,2010,Alaska,02,35-44,ALL,All,All transmission categories,11,11.8,93026.0
HIV diagnoses,2010,Alaska,02,25-34,ALL,All,All transmission categories,9,8.6,104474.0
HIV diagnoses,2010,Alaska,02,13-24,ALL,All,All transmission categories,5,3.9,127209.0
HIV diagnoses,2009,Alaska,02,55+,ALL,All,All transmission categories,2,1.5,131588.0
HIV diagnoses,2009,Alaska,02,45-54,ALL,All,All transmission categories,3,2.8,106395.0
HIV diagnoses,2009,Alaska,02,35-44,ALL,All,All transmission categories,6,6.6,91103.0
HIV diagnoses,2009,Alaska,02,25-34,ALL,All,All transmission categories,7,6.6,106145.0
HIV diagnoses,2009,Alaska,02,13-24,ALL,All,All transmission categories,3,2.3,130569.0
HIV diagnoses,2008,Alaska,02,55+,ALL,All,All transmission categories,2,1.6,124401.0
HIV diagnoses,2008,Alaska,02,45-54,ALL,All,All transmission categories,11,10.4,105890.0
HIV diagnoses,2008,Alaska,02,35-44,ALL,All,All transmission categories,10,10.8,92575.0
HIV diagnoses,2008,Alaska,02,25-34,ALL,All,All transmission categories,11,10.7,102881.0
HIV diagnoses,2008,Alaska,02,13-24,ALL,All,All transmission categories,5,3.7,133599.0
HIV diagnoses,2019,Arizona,04,55+,ALL,All,All transmission categories,70,3.2,2196110.0
HIV diagnoses,2019,Arizona,04,45-54,ALL,All,All transmission categories,95,11.2,851650.0
HIV diagnoses,2019,Arizona,04,35-44,ALL,All,All transmission categories,148,16.5,896485.0
HIV diagnoses,2019,Arizona,04,25-34,ALL,All,All transmission categories,269,26.6,1009721.0
HIV diagnoses,2019,Arizona,04,13-24,ALL,All,All transmission categories,165,14.1,1167894.0
HIV diagnoses,2018,Arizona,04,55+,ALL,All,All transmission categories,70,3.3,2123335.0
HIV diagnoses,2018,Arizona,04,45-54,ALL,All,All transmission categories,95,11.2,849068.0
HIV diagnoses,2018,Arizona,04,35-44,ALL,All,All transmission categories,154,17.5,879687.0
HIV diagnoses,2018,Arizona,04,25-34,ALL,All,All transmission categories,280,28.4,985690.0
HIV diagnoses,2018,Arizona,04,13-24,ALL,All,All transmission categories,153,13.2,1155135.0
HIV diagnoses,2017,Arizona,04,55+,ALL,All,All transmission categories,73,3.6,2054553.0
HIV diagnoses,2017,Arizona,04,45-54,ALL,All,All transmission categories,115,13.5,848817.0
HIV diagnoses,2017,Arizona,04,35-44,ALL,All,All transmission categories,150,17.4,863244.0
HIV diagnoses,2017,Arizona,04,25-34,ALL,All,All transmission categories,247,25.6,965889.0
HIV diagnoses,2017,Arizona,04,13-24,ALL,All,All transmission categories,135,11.8,1142038.0
HIV diagnoses,2016,Arizona,04,55+,ALL,All,All transmission categories,68,3.4,1987042.0
HIV diagnoses,2016,Arizona,04,45-54,ALL,All,All transmission categories,108,12.8,846315.0
HIV diagnoses,2016,Arizona,04,35-44,ALL,All,All transmission categories,153,18.0,850083.0
HIV diagnoses,2016,Arizona,04,25-34,ALL,All,All transmission categories,234,24.7,946311.0
HIV diagnoses,2016,Arizona,04,13-24,ALL,All,All transmission categories,151,13.2,1140425.0
HIV diagnoses,2015,Arizona,04,55+,ALL,All,All transmission categories,59,3.1,1918434.0
HIV diagnoses,2015,Arizona,04,45-54,ALL,All,All transmission categories,111,13.2,840871.0
HIV diagnoses,2015,Arizona,04,35-44,ALL,All,All transmission categories,143,17.0,842341.0
HIV diagnoses,2015,Arizona,04,25-34,ALL,All,All transmission categories,232,25.1,923824.0
HIV diagnoses,2015,Arizona,04,13-24,ALL,All,All transmission categories,145,12.8,1137139.0
HIV diagnoses,2014,Arizona,04,55+,ALL,All,All transmission categories,57,3.1,1851286.0
HIV diagnoses,2014,Arizona,04,45-54,ALL,All,All transmission categories,106,12.7,837121.0
HIV diagnoses,2014,Arizona,04,35-44,ALL,All,All transmission categories,163,19.5,835715.0
HIV diagnoses,2014,Arizona,04,25-34,ALL,All,All transmission categories,242,26.7,906304.0
HIV diagnoses,2014,Arizona,04,13-24,ALL,All,All transmission categories,168,14.8,1135242.0
HIV diagnoses,2013,Arizona,04,55+,ALL,All,All transmission categories,53,3.0,1789433.0
HIV diagnoses,2013,Arizona,04,45-54,ALL,All,All transmission categories,104,12.4,836186.0
HIV diagnoses,2013,Arizona,04,35-44,ALL,All,All transmission categories,161,19.4,830983.0
HIV diagnoses,2013,Arizona,04,25-34,ALL,All,All transmission categories,220,24.7,888906.0
HIV diagnoses,2013,Arizona,04,13-24,ALL,All,All transmission categories,143,12.7,1122823.0
HIV diagnoses,2012,Arizona,04,55+,ALL,All,All transmission categories,51,2.9,1732692.0
HIV diagnoses,2012,Arizona,04,45-54,ALL,All,All transmission categories,114,13.6,838667.0
HIV diagnoses,2012,Arizona,04,35-44,ALL,All,All transmission categories,142,17.2,827678.0
HIV diagnoses,2012,Arizona,04,25-34,ALL,All,All transmission categories,190,21.7,876681.0
HIV diagnoses,2012,Arizona,04,13-24,ALL,All,All transmission categories,121,10.9,1112016.0
HIV diagnoses,2011,Arizona,04,55+,ALL,All,All transmission categories,47,2.8,1675022.0
HIV diagnoses,2011,Arizona,04,45-54,ALL,All,All transmission categories,94,11.2,842027.0
HIV diagnoses,2011,Arizona,04,35-44,ALL,All,All transmission categories,146,17.7,822558.0
HIV diagnoses,2011,Arizona,04,25-34,ALL,All,All transmission categories,184,21.2,868156.0
HIV diagnoses,2011,Arizona,04,13-24,ALL,All,All transmission categories,93,8.5,1096572.0
HIV diagnoses,2010,Arizona,04,55+,ALL,All,All transmission categories,55,3.4,1620729.0
HIV diagnoses,2010,Arizona,04,45-54,ALL,All,All transmission categories,116,13.8,843183.0
HIV diagnoses,2010,Arizona,04,35-44,ALL,All,All transmission categories,156,19.0,822597.0
HIV diagnoses,2010,Arizona,04,25-34,ALL,All,All transmission categories,188,21.9,858441.0
HIV diagnoses,2010,Arizona,04,13-24,ALL,All,All transmission categories,100,9.2,1084447.0
HIV diagnoses,2009,Arizona,04,55+,ALL,All,All transmission categories,44,2.8,1567662.0
HIV diagnoses,2009,Arizona,04,45-54,ALL,All,All transmission categories,119,13.9,858426.0
HIV diagnoses,2009,Arizona,04,35-44,ALL,All,All transmission categories,193,22.2,869807.0
HIV diagnoses,2009,Arizona,04,25-34,ALL,All,All transmission categories,187,19.5,956944.0
HIV diagnoses,2009,Arizona,04,13-24,ALL,All,All transmission categories,96,9.0,1063548.0
HIV diagnoses,2008,Arizona,04,55+,ALL,All,All transmission categories,35,2.3,1518408.0
HIV diagnoses,2008,Arizona,04,45-54,ALL,All,All transmission categories,115,13.6,844973.0
HIV diagnoses,2008,Arizona,04,35-44,ALL,All,All transmission categories,205,23.6,870129.0
HIV diagnoses,2008,Arizona,04,25-34,ALL,All,All transmission categories,214,22.6,945427.0
HIV diagnoses,2008,Arizona,04,13-24,ALL,All,All transmission categories,112,10.6,1056186.0
HIV diagnoses,2019,Arkansas,05,55+,ALL,All,All transmission categories,28,3.1,909971.0
HIV diagnoses,2019,Arkansas,05,45-54,ALL,All,All transmission categories,41,11.3,362004.0
HIV diagnoses,2019,Arkansas,05,35-44,ALL,All,All transmission categories,52,14.0,370581.0
HIV diagnoses,2019,Arkansas,05,25-34,ALL,All,All transmission categories,94,23.6,398164.0
HIV diagnoses,2019,Arkansas,05,13-24,ALL,All,All transmission categories,74,15.5,477896.0
HIV diagnoses,2018,Arkansas,05,55+,ALL,All,All transmission categories,20,2.2,894719.0
HIV diagnoses,2018,Arkansas,05,45-54,ALL,All,All transmission categories,35,9.5,368240.0
HIV diagnoses,2018,Arkansas,05,35-44,ALL,All,All transmission categories,47,12.8,368125.0
HIV diagnoses,2018,Arkansas,05,25-34,ALL,All,All transmission categories,102,25.7,397023.0
HIV diagnoses,2018,Arkansas,05,13-24,ALL,All,All transmission categories,82,17.1,478885.0
HIV diagnoses,2017,Arkansas,05,55+,ALL,All,All transmission categories,17,1.9,880214.0
HIV diagnoses,2017,Arkansas,05,45-54,ALL,All,All transmission categories,31,8.3,374256.0
HIV diagnoses,2017,Arkansas,05,35-44,ALL,All,All transmission categories,44,12.0,366137.0
HIV diagnoses,2017,Arkansas,05,25-34,ALL,All,All transmission categories,110,27.8,396296.0
HIV diagnoses,2017,Arkansas,05,13-24,ALL,All,All transmission categories,85,17.7,479799.0
HIV diagnoses,2016,Arkansas,05,55+,ALL,All,All transmission categories,19,2.2,865486.0
HIV diagnoses,2016,Arkansas,05,45-54,ALL,All,All transmission categories,37,9.8,378554.0
HIV diagnoses,2016,Arkansas,05,35-44,ALL,All,All transmission categories,59,16.2,364715.0
HIV diagnoses,2016,Arkansas,05,25-34,ALL,All,All transmission categories,107,27.2,393082.0
HIV diagnoses,2016,Arkansas,05,13-24,ALL,All,All transmission categories,92,19.1,482320.0
HIV diagnoses,2015,Arkansas,05,55+,ALL,All,All transmission categories,24,2.8,849988.0
HIV diagnoses,2015,Arkansas,05,45-54,ALL,All,All transmission categories,47,12.3,381719.0
HIV diagnoses,2015,Arkansas,05,35-44,ALL,All,All transmission categories,42,11.5,364966.0
HIV diagnoses,2015,Arkansas,05,25-34,ALL,All,All transmission categories,85,21.9,388952.0
HIV diagnoses,2015,Arkansas,05,13-24,ALL,All,All transmission categories,73,15.0,486214.0
HIV diagnoses,2014,Arkansas,05,55+,ALL,All,All transmission categories,19,2.3,834666.0
HIV diagnoses,2014,Arkansas,05,45-54,ALL,All,All transmission categories,53,13.8,385412.0
HIV diagnoses,2014,Arkansas,05,35-44,ALL,All,All transmission categories,53,14.5,364398.0
HIV diagnoses,2014,Arkansas,05,25-34,ALL,All,All transmission categories,81,21.0,386175.0
HIV diagnoses,2014,Arkansas,05,13-24,ALL,All,All transmission categories,103,21.0,490059.0
HIV diagnoses,2013,Arkansas,05,55+,ALL,All,All transmission categories,17,2.1,819607.0
HIV diagnoses,2013,Arkansas,05,45-54,ALL,All,All transmission categories,29,7.4,391160.0
HIV diagnoses,2013,Arkansas,05,35-44,ALL,All,All transmission categories,58,15.9,364691.0
HIV diagnoses,2013,Arkansas,05,25-34,ALL,All,All transmission categories,73,19.0,384352.0
HIV diagnoses,2013,Arkansas,05,13-24,ALL,All,All transmission categories,84,17.1,490469.0
HIV diagnoses,2012,Arkansas,05,55+,ALL,All,All transmission categories,15,1.9,805952.0
HIV diagnoses,2012,Arkansas,05,45-54,ALL,All,All transmission categories,44,11.1,397081.0
HIV diagnoses,2012,Arkansas,05,35-44,ALL,All,All transmission categories,41,11.3,364421.0
HIV diagnoses,2012,Arkansas,05,25-34,ALL,All,All transmission categories,73,19.1,383119.0
HIV diagnoses,2012,Arkansas,05,13-24,ALL,All,All transmission categories,75,15.3,488744.0
HIV diagnoses,2011,Arkansas,05,55+,ALL,All,All transmission categories,21,2.7,790595.0
HIV diagnoses,2011,Arkansas,05,45-54,ALL,All,All transmission categories,31,7.7,403490.0
HIV diagnoses,2011,Arkansas,05,35-44,ALL,All,All transmission categories,44,12.1,364879.0
HIV diagnoses,2011,Arkansas,05,25-34,ALL,All,All transmission categories,72,18.9,380693.0
HIV diagnoses,2011,Arkansas,05,13-24,ALL,All,All transmission categories,69,14.2,487457.0
HIV diagnoses,2010,Arkansas,05,55+,ALL,All,All transmission categories,20,2.6,774831.0
HIV diagnoses,2010,Arkansas,05,45-54,ALL,All,All transmission categories,39,9.6,406948.0
HIV diagnoses,2010,Arkansas,05,35-44,ALL,All,All transmission categories,52,14.2,365986.0
HIV diagnoses,2010,Arkansas,05,25-34,ALL,All,All transmission categories,69,18.3,377051.0
HIV diagnoses,2010,Arkansas,05,13-24,ALL,All,All transmission categories,50,10.3,483165.0
HIV diagnoses,2009,Arkansas,05,55+,ALL,All,All transmission categories,18,2.4,751040.0
HIV diagnoses,2009,Arkansas,05,45-54,ALL,All,All transmission categories,33,8.3,399264.0
HIV diagnoses,2009,Arkansas,05,35-44,ALL,All,All transmission categories,79,21.5,366873.0
HIV diagnoses,2009,Arkansas,05,25-34,ALL,All,All transmission categories,79,20.3,389042.0
HIV diagnoses,2009,Arkansas,05,13-24,ALL,All,All transmission categories,66,14.1,467870.0
HIV diagnoses,2008,Arkansas,05,55+,ALL,All,All transmission categories,21,2.9,736792.0
HIV diagnoses,2008,Arkansas,05,45-54,ALL,All,All transmission categories,43,10.8,396427.0
HIV diagnoses,2008,Arkansas,05,35-44,ALL,All,All transmission categories,54,14.5,372364.0
HIV diagnoses,2008,Arkansas,05,25-34,ALL,All,All transmission categories,68,17.7,383679.0
HIV diagnoses,2008,Arkansas,05,13-24,ALL,All,All transmission categories,46,9.8,468101.0
HIV diagnoses,2019,California,06,55+,ALL,All,All transmission categories,432,4.1,10596416.0
HIV diagnoses,2019,California,06,45-54,ALL,All,All transmission categories,612,12.3,4968577.0
HIV diagnoses,2019,California,06,35-44,ALL,All,All transmission categories,976,18.5,5273776.0
HIV diagnoses,2019,California,06,25-34,ALL,All,All transmission categories,"1,633",27.0,6047538.0
HIV diagnoses,2019,California,06,13-24,ALL,All,All transmission categories,801,13.0,6184585.0
HIV diagnoses,2018,California,06,55+,ALL,All,All transmission categories,457,4.4,10408949.0
HIV diagnoses,2018,California,06,45-54,ALL,All,All transmission categories,639,12.7,5047613.0
HIV diagnoses,2018,California,06,35-44,ALL,All,All transmission categories,951,18.1,5239823.0
HIV diagnoses,2018,California,06,25-34,ALL,All,All transmission categories,"1,769",29.3,6036100.0
HIV diagnoses,2018,California,06,13-24,ALL,All,All transmission categories,933,14.9,6252644.0
HIV diagnoses,2017,California,06,55+,ALL,All,All transmission categories,431,4.2,10201712.0
HIV diagnoses,2017,California,06,45-54,ALL,All,All transmission categories,706,13.8,5114966.0
HIV diagnoses,2017,California,06,35-44,ALL,All,All transmission categories,"1,001",19.3,5190001.0
HIV diagnoses,2017,California,06,25-34,ALL,All,All transmission categories,"1,731",28.8,6004834.0
HIV diagnoses,2017,California,06,13-24,ALL,All,All transmission categories,970,15.4,6311605.0
HIV diagnoses,2016,California,06,55+,ALL,All,All transmission categories,436,4.4,9974422.0
HIV diagnoses,2016,California,06,45-54,ALL,All,All transmission categories,796,15.4,5160461.0
HIV diagnoses,2016,California,06,35-44,ALL,All,All transmission categories,"1,036",20.1,5147212.0
HIV diagnoses,2016,California,06,25-34,ALL,All,All transmission categories,"1,798",30.3,5936434.0
HIV diagnoses,2016,California,06,13-24,ALL,All,All transmission categories,"1,026",16.1,6383061.0
HIV diagnoses,2015,California,06,55+,ALL,All,All transmission categories,428,4.4,9722889.0
HIV diagnoses,2015,California,06,45-54,ALL,All,All transmission categories,828,16.0,5183238.0
HIV diagnoses,2015,California,06,35-44,ALL,All,All transmission categories,"1,019",19.8,5137783.0
HIV diagnoses,2015,California,06,25-34,ALL,All,All transmission categories,"1,720",29.6,5819801.0
HIV diagnoses,2015,California,06,13-24,ALL,All,All transmission categories,"1,046",16.2,6475076.0
HIV diagnoses,2014,California,06,55+,ALL,All,All transmission categories,434,4.6,9436511.0
HIV diagnoses,2014,California,06,45-54,ALL,All,All transmission categories,842,16.2,5191912.0
HIV diagnoses,2014,California,06,35-44,ALL,All,All transmission categories,"1,106",21.5,5134009.0
HIV diagnoses,2014,California,06,25-34,ALL,All,All transmission categories,"1,742",30.5,5707290.0
HIV diagnoses,2014,California,06,13-24,ALL,All,All transmission categories,988,15.1,6559261.0
HIV diagnoses,2013,California,06,55+,ALL,All,All transmission categories,412,4.5,9162012.0
HIV diagnoses,2013,California,06,45-54,ALL,All,All transmission categories,812,15.6,5202010.0
HIV diagnoses,2013,California,06,35-44,ALL,All,All transmission categories,"1,047",20.4,5141059.0
HIV diagnoses,2013,California,06,25-34,ALL,All,All transmission categories,"1,550",27.7,5587001.0
HIV diagnoses,2013,California,06,13-24,ALL,All,All transmission categories,856,13.0,6601758.0
HIV diagnoses,2012,California,06,55+,ALL,All,All transmission categories,377,4.2,8889534.0
HIV diagnoses,2012,California,06,45-54,ALL,All,All transmission categories,962,18.4,5222204.0
HIV diagnoses,2012,California,06,35-44,ALL,All,All transmission categories,"1,125",21.9,5148217.0
HIV diagnoses,2012,California,06,25-34,ALL,All,All transmission categories,"1,628",29.7,5485903.0
HIV diagnoses,2012,California,06,13-24,ALL,All,All transmission categories,939,14.2,6629868.0
HIV diagnoses,2011,California,06,55+,ALL,All,All transmission categories,399,4.6,8612278.0
HIV diagnoses,2011,California,06,45-54,ALL,All,All transmission categories,942,18.0,5247439.0
HIV diagnoses,2011,California,06,35-44,ALL,All,All transmission categories,"1,252",24.3,5152886.0
HIV diagnoses,2011,California,06,25-34,ALL,All,All transmission categories,"1,550",28.7,5409712.0
HIV diagnoses,2011,California,06,13-24,ALL,All,All transmission categories,879,13.2,6639820.0
HIV diagnoses,2010,California,06,55+,ALL,All,All transmission categories,435,5.2,8344636.0
HIV diagnoses,2010,California,06,45-54,ALL,All,All transmission categories,988,18.8,5253835.0
HIV diagnoses,2010,California,06,35-44,ALL,All,All transmission categories,"1,322",25.5,5175581.0
HIV diagnoses,2010,California,06,25-34,ALL,All,All transmission categories,"1,583",29.7,5333257.0
HIV diagnoses,2010,California,06,13-24,ALL,All,All transmission categories,932,14.0,6645028.0
HIV diagnoses,2009,California,06,55+,ALL,All,All transmission categories,435,5.5,7976122.0
HIV diagnoses,2009,California,06,45-54,ALL,All,All transmission categories,"1,015",19.5,5199654.0
HIV diagnoses,2009,California,06,35-44,ALL,All,All transmission categories,"1,495",28.6,5218771.0
HIV diagnoses,2009,California,06,25-34,ALL,All,All transmission categories,"1,644",30.5,5385409.0
HIV diagnoses,2009,California,06,13-24,ALL,All,All transmission categories,819,12.8,6387157.0
