Column Name,Description
doac_adherence_pct_rate,Column containing the percent rate of medicare beneficiaries who were considered adherent to direct oral anticoagulants (calculated as the _adherence estimated_total column / _beneficiaries_estimated_total column)
bb_ami_adherence_pct_rate,Column containing the percent rate of medicare beneficiaries with persistent use of beta blockers after a heart attack (calculated as the _adherence estimated_total column / _beneficiaries_estimated_total column)
ras_antagonists_adherence_pct_rate,Column containing the percent rate of medicare beneficiaries who were considered adherent to renin angiotensin system antagonists (calculated as the _adherence estimated_total column / _beneficiaries_estimated_total column)
statins_adherence_pct_rate,Column containing the percent rate of medicare beneficiaries who were considered adherent to statins (calculated as the _adherence estimated_total column / _beneficiaries_estimated_total column)
anti_psychotics_adherence_pct_rate,Column containing the percent rate of medicare beneficiaries who were considered adherent to anti-psychotics (calculated as the _adherence estimated_total column / _beneficiaries_estimated_total column)
,
,
CONDITION RATES
,
medicare_ami_per_100k,Column containing the rate per one hundred thousand of beneficiaries diagnosed with acute myocardial infarction
medicare_hiv_per_100k,Column containing the rate per one hundred thousand of beneficiaries diagnosed with HIV
medicare_schizophrenia_per_100k,Column containing the rate per one hundred thousand of beneficiaries diagnosed with schizophrenia
,
,
ADHERENCE PERCENT SHARES
,
arv_adherence_pct_share,Column containing the percent share of beneficiaries considered adherent to antiretrovirals who belong to the current row's demographic group
beta_blockers_adherence_pct_share,Column containing the percent share of beneficiaries considered adherent to beta blockers who belong to the current row's demographic group
ccb_adherence_pct_share,Column containing the percent share of beneficiaries considered adherent to calcium channel blockers who belong to the current row's demographic group
doac_adherence_pct_share,Column containing the percent share of beneficiaries considered adherent to direct oral anticoagulants who belong to the current row's demographic group
bb_ami_adherence_pct_share,Column containing the percent share of beneficiaries with persistent use of beta blockers after a heart attack who belong to the current row's demographic group
ras_antagonists_adherence_pct_share,Column containing the percent share of beneficiaries considered adherent to renin angiotensin system antagonists who belong to the current row's demographic group
statins_adherence_pct_share,Column containing the percent share of beneficiaries considered adherent to statins who belong to the current row's demographic group
anti_psychotics_adherence_pct_share,Column containing the percent share of beneficiaries considered adherent to anti-psychotics who belong to the current row's demographic group
medicare_ami_pct_share,Column containing the percent share of beneficiaries diagnosed with acute myocardial infarction who belong to the current row's demographic group
,
,
CONDITION AND POPULATION PERCENT SHARES
,
medicare_hiv_pct_share,Column containing the percent share of beneficiaries diagnosed with HIV who belong to the current row's demographic group
medicare_schizophrenia_pct_share,Column containing the percent share of beneficiaries diagnosed with schizophrenia who belong to the current row's demographic group
medicare_population_pct_share,Column containing the percent share of beneficiaries who belong to the current row's demographic group
