ENTLMT_RSN_CURR,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Disabled,"New Hampshire",33,.,.,.,0.8461538462
Disabled,"New Jersey",34,32,12,44,0.7272727273
Disabled,"New Mexico",35,.,.,.,0.6923076923
Disabled,"New York",36,99,25,124,0.7983870968
Disabled,"North Carolina",37,58,22,80,0.725
Disabled,"North Dakota",38,.,0,.,1
Disabled,Ohio,39,45,31,76,0.5921052632
Disabled,Oklahoma,40,.,.,.,0.71875
Disabled,Oregon,41,.,.,.,0.7142857143
Disabled,Pennsylvania,42,79,16,95,0.8315789474
Disabled,"Rhode Island",44,.,.,.,0.7
Disabled,"South Carolina",45,.,.,.,0.7428571429
Disabled,"South Dakota",46,.,.,.,0.625
Disabled,Tennessee,47,38,11,49,0.7755102041
Disabled,Texas,48,83,59,142,0.5845070423
Disabled,Utah,49,.,.,.,0.5714285714
Disabled,Vermont,50,.,.,.,0.875
Disabled,Virginia,51,49,15,64,0.765625
Disabled,Washington,53,.,.,.,0.6774193548
Disabled,"West Virginia",54,18,12,30,0.6
Disabled,Wisconsin,55,24,13,37,0.6486486486
Disabled,Wyoming,56,.,.,.,0.3333333333
ESRD,Alabama,1,.,0,.,1
ESRD,Alaska,2,.,0,.,1
ESRD,Arizona,4,0,.,.,0
ESRD,Arkansas,5,.,.,.,0.5
ESRD,California,6,.,.,.,0.875
ESRD,Colorado,8,0,.,.,0
ESRD,"District of Columbia",11,.,0,.,1
ESRD,Florida,12,.,.,.,0.8333333333
ESRD,Georgia,13,.,0,.,1
ESRD,Illinois,17,.,0,.,1
ESRD,Indiana,18,.,0,.,1
ESRD,Louisiana,22,.,.,.,0.5
ESRD,Massachusetts,25,.,0,.,1
ESRD,Michigan,26,0,.,.,0
ESRD,Minnesota,27,.,0,.,1
ESRD,Mississippi,28,.,.,.,0.3333333333
ESRD,Missouri,29,.,0,.,1
ESRD,"New York",36,.,.,.,0.8333333333
ESRD,"North Carolina",37,.,.,.,0.5
ESRD,Ohio,39,0,.,.,0
ESRD,Oklahoma,40,0,.,.,0
ESRD,"South Carolina",45,0,.,.,0
ESRD,"South Dakota",46,0,.,.,0
ESRD,Tennessee,47,0,.,.,0
ESRD,Texas,48,.,.,.,0.5384615385
ESRD,Utah,49,.,0,.,1
ESRD,Virginia,51,0,.,.,0
ESRD,Washington,53,.,0,.,1
ESRD,"West Virginia",54,0,.,.,0
ESRD,Wisconsin,55,0,.,.,0
"Disabled and ESRD",Alabama,1,0,.,.,0
"Disabled and ESRD",Arizona,4,.,0,.,1
"Disabled and ESRD",Arkansas,5,0,.,.,0
"Disabled and ESRD",California,6,.,0,.,1
"Disabled and ESRD",Connecticut,9,.,0,.,1
"Disabled and ESRD",Georgia,13,0,.,.,0
"Disabled and ESRD",Indiana,18,.,.,.,0.5
"Disabled and ESRD",Iowa,19,.,0,.,1
"Disabled and ESRD",Michigan,26,.,0,.,1
"Disabled and ESRD","New Mexico",35,.,0,.,1
"Disabled and ESRD","New York",36,0,.,.,0
"Disabled and ESRD",Pennsylvania,42,.,.,.,0.6666666667
"Disabled and ESRD","South Carolina",45,0,.,.,0
"Disabled and ESRD",Tennessee,47,.,0,.,1
"Disabled and ESRD",Texas,48,.,.,.,0.5
"Disabled and ESRD",Washington,53,0,.,.,0
