insurance_status,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Have some form of insurance",Georgia,13,2996,1039,4035,69.9274925980397,67.7604714897043,72.0945137063751,60.7914486449181,55.8126959727764,65.7702013170597
"Do not have some form of health
insurance",Georgia,13,65,195,260,24.3606104729157,17.2133633943089,31.5078575515225,.,.,.
"Don´t know, refused or missing
insurance response",Georgia,13,89,43,132,60.261137468579,46.1261569503078,74.3961179868502,52.6279710278611,35.0228266998172,70.2331153559051
"Have some form of insurance",Hawaii,15,2679,1149,3828,67.8322271278425,65.6858130063366,69.9786412493485,58.021491173442,53.267770812476,62.7752115344081
"Do not have some form of health
insurance",Hawaii,15,13,47,60,18.4560377662103,7.82778688320126,29.0842886492193,.,.,.
"Don´t know, refused or missing
insurance response",Hawaii,15,17,14,31,46.7579577462463,20.9826407099468,72.5332747825459,64.293799792477,43.2820776498316,85.3055219351224
"Have some form of insurance",Idaho,16,1904,972,2876,65.5938454077952,63.5704744360391,67.6172163795514,56.3526442450977,52.1986851585477,60.5066033316477
"Do not have some form of health
insurance",Idaho,16,32,97,129,24.4055689468056,15.6366769141911,33.1744609794201,.,.,.
"Don´t know, refused or missing
insurance response",Idaho,16,34,25,59,59.0902681344696,45.4437349507197,72.7368013182196,46.9150732534527,23.8460522447884,69.9840942621171
"Have some form of insurance",Illinois,17,1128,606,1734,67.2137346495809,64.4239888107003,70.0034804884614,59.2398124879291,53.3793605803006,65.1002643955577
"Do not have some form of health
insurance",Illinois,17,30,92,122,34.0510706471457,22.3820155403549,45.7201257539365,.,.,.
"Don´t know, refused or missing
insurance response",Illinois,17,20,10,30,69.9579914350566,48.9864263490337,90.9295565210795,57.5033281872563,27.971348205595,87.0353081689176
"Have some form of insurance",Indiana,18,3487,1270,4757,71.5823836246098,70.0455698245766,73.1191974246431,61.667558853317,58.2501033624151,65.085014344219
"Do not have some form of health
insurance",Indiana,18,53,118,171,30.5502655614681,23.4984954713019,37.6020356516344,32.9788659123361,20.4516284050195,45.5061034196526
"Don´t know, refused or missing
insurance response",Indiana,18,135,65,200,63.5914048441426,55.6058163868575,71.5769933014277,54.049908813851,32.6663735281008,75.4334440996013
"Have some form of insurance",Iowa,19,3048,1157,4205,69.6965905119174,67.9481344944478,71.445046529387,59.2362018325531,55.460220299485,63.0121833656212
"Do not have some form of health
insurance",Iowa,19,31,87,118,24.9254479236483,15.4347369251965,34.4161589221001,21.8884978470106,9.62551083561043,34.1514848584107
"Don´t know, refused or missing
insurance response",Iowa,19,65,24,89,67.219876099663,55.092827724046,79.3469244752801,77.059958375793,63.7234671243438,90.3964496272422
"Have some form of insurance",Kansas,20,3726,1514,5240,67.6706604178057,65.8837207799082,69.4576000557032,58.2558814708081,54.3193375322668,62.1924254093494
"Do not have some form of health
insurance",Kansas,20,57,166,223,23.1596623522164,15.3011911828825,31.0181335215502,.,.,.
"Don´t know, refused or missing
insurance response",Kansas,20,61,44,105,54.4385519175763,43.2688789934522,65.6082248417004,38.249565345859,27.7062181726689,48.7929125190491
"Have some form of insurance",Kentucky,21,1398,598,1996,68.3352641660925,65.4063775737588,71.2641507584261,61.110014978077,54.4298277245916,67.7902022315623
"Do not have some form of health
insurance",Kentucky,21,16,22,38,34.904648017095,17.49279439754,52.3165016366501,.,.,.
"Don´t know, refused or missing
insurance response",Kentucky,21,20,17,37,47.5254461954957,38.5525808544971,56.4983115364943,46.040679878213,34.2578417729095,57.8235179835165
"Have some form of insurance",Louisiana,22,1927,717,2644,71.2318446150632,69.0437909211928,73.4198983089336,60.6721564881518,55.6398059181572,65.7045070581464
"Do not have some form of health
insurance",Louisiana,22,25,67,92,23.6702509108971,13.5949307594988,33.7455710622955,26.1993178452801,18.9953121286954,33.4033235618649
"Don´t know, refused or missing
insurance response",Louisiana,22,59,18,77,76.5274514069371,65.7097830120392,87.3451198018349,67.149549211847,55.9044788251395,78.3946195985545
"Have some form of insurance",Maine,23,4412,1374,5786,73.6559969007751,72.0481383121584,75.2638554893917,61.4483714424171,57.8006595798113,65.096083305023
"Do not have some form of health
insurance",Maine,23,49,122,171,25.4166725982589,18.7922540259825,32.0410911705352,14.6972556857863,8.23067166168042,21.1638397098922
"Don´t know, refused or missing
insurance response",Maine,23,64,26,90,77.0375138449924,66.1285943547853,87.9464333351995,65.5446419812246,54.7607325051445,76.3285514573047
"Have some form of insurance",Maryland,24,5864,1965,7829,73.3346777158504,71.7823601583393,74.8869952733615,64.8668472489244,61.2301994186025,68.5034950792463
"Do not have some form of health
insurance",Maryland,24,61,160,221,29.340777662488,20.2678291824152,38.4137261425608,.,.,.
"Don´t know, refused or missing
insurance response",Maryland,24,132,68,200,68.2711562183661,57.9174019230077,78.6249105137245,56.0524512047574,28.0406386937695,84.0642637157453
"Have some form of insurance",Massachusetts,25,3709,1336,5045,71.875883126662,70.0835971685581,73.6681690847658,62.347460392633,58.5022729504191,66.1926478348469
"Do not have some form of health
insurance",Massachusetts,25,14,40,54,.,.,.,.,.,.
"Don´t know, refused or missing
insurance response",Massachusetts,25,57,42,99,48.3082230031388,34.1613632101435,62.4550827961341,37.152497728223,28.4781824551489,45.8268130012971
"Have some form of insurance",Michigan,26,3718,1171,4889,72.6529714239108,71.0567726020758,74.2491702457459,60.9813019137737,57.3699438275154,64.5926600000321
"Do not have some form of health
insurance",Michigan,26,24,75,99,23.404757712078,15.6069767532926,31.2025386708634,.,.,.
"Don´t know, refused or missing
insurance response",Michigan,26,123,46,169,67.9567106119929,59.6933846873627,76.2200365366231,57.7543360756645,44.094636451487,71.414035699842
"Have some form of insurance",Minnesota,27,6073,2102,8175,71.1917650796408,69.8086876280843,72.5748425311972,60.4762730853839,57.5904038298728,63.362142340895
"Do not have some form of health
insurance",Minnesota,27,56,145,201,27.2510644332589,19.5821087795291,34.9200200869887,19.3003303857384,10.3650894017481,28.2355713697287
"Don´t know, refused or missing
insurance response",Minnesota,27,96,67,163,52.1510744423208,42.0086098705601,62.2935390140815,55.2526840077277,39.7646509736429,70.7407170418125
"Have some form of insurance",Mississippi,28,1264,632,1896,65.676939217272,62.9194983863232,68.4343800482208,57.254065029031,51.8559525787666,62.6521774792954
"Do not have some form of health
insurance",Mississippi,28,29,87,116,19.9088168195057,11.5808939238028,28.2367397152086,.,.,.
"Don´t know, refused or missing
insurance response",Mississippi,28,29,33,62,44.9110774426037,26.5824454347429,63.2397094504644,51.4180673685637,26.7755286239948,76.0606061131326
"Have some form of insurance",Missouri,29,2358,1033,3391,68.321575044904,66.171079855984,70.472070233824,58.5368045296476,53.7266285952757,63.3469804640196
"Do not have some form of health
insurance",Missouri,29,37,110,147,25.499982384923,16.4440475123138,34.5559172575322,22.89490357438,11.2626530893614,34.5271540593987
"Don´t know, refused or missing
insurance response",Missouri,29,38,29,67,51.8658090081818,34.6347204121809,69.0968976041826,40.310992869675,30.5089657338782,50.1130200054718
"Have some form of insurance",Montana,30,2479,1077,3556,67.4808334942084,65.5241386482507,69.4375283401661,55.5786464236311,51.2525023815799,59.9047904656824
"Do not have some form of health
insurance",Montana,30,38,94,132,29.7953886866313,20.518788723651,39.0719886496115,28.362411576793,12.3106432637499,44.4141798898362
"Don´t know, refused or missing
insurance response",Montana,30,42,27,69,54.8975035777282,41.1198344523082,68.6751727031481,47.5649359857214,21.341884956844,73.7879870145988
"Have some form of insurance",Nebraska,31,2471,1114,3585,66.23595714471,64.1605894327047,68.3113248567154,56.7874272709699,52.23404462599,61.3408099159498
"Do not have some form of health
insurance",Nebraska,31,35,106,141,22.5072223850774,14.6336172099651,30.3808275601896,.,.,.
"Don´t know, refused or missing
insurance response",Nebraska,31,45,39,84,48.9516890880789,36.1044387925012,61.7989393836566,41.7749835537616,27.5456416249334,56.0043254825897
"Have some form of insurance",Nevada,32,1005,441,1446,65.5888533428187,61.7040467129094,69.4736599727279,55.5763370880573,47.5423540955087,63.6103200806058
"Do not have some form of health
insurance",Nevada,32,18,75,93,18.9541953252361,8.34129924387428,29.5670914065978,.,.,.
"Don´t know, refused or missing
insurance response",Nevada,32,21,16,37,35.4780709302741,16.5131695601069,54.4429723004413,34.1284949819788,19.1385417834676,49.1184481804899
"Have some form of insurance","New Hampshire",33,2722,796,3518,72.6638250036334,70.6550341755135,74.6726158317533,61.2810559974235,56.2790514097636,66.2830605850835
"Do not have some form of health
insurance","New Hampshire",33,26,38,64,31.65124411693,17.2938217507659,46.008666483094,29.580890813913,20.8846476634288,38.2771339643972
"Don´t know, refused or missing
insurance response","New Hampshire",33,53,20,73,72.0544496150873,59.4378172876967,84.671081942478,61.3360786410469,53.7611113886702,68.9110458934236
"Have some form of insurance","New Jersey",34,2453,1039,3492,67.4252711250765,65.0906350475012,69.7599072026517,57.8062006604995,53.3604697053456,62.2519316156535
"Do not have some form of health
insurance","New Jersey",34,37,108,145,17.9835442507027,10.720015652901,25.2470728485044,.,.,.
"Don´t know, refused or missing
insurance response","New Jersey",34,78,46,124,62.1558631813208,52.2526753192981,72.0590510433435,53.4763979945939,37.3615539338317,69.5912420553562
"Have some form of insurance","New Mexico",35,1489,812,2301,60.7558761390769,57.9521364735811,63.5596158045727,51.5446527073788,45.0338820269289,58.0554233878287
"Do not have some form of health
insurance","New Mexico",35,27,87,114,25.9036044258377,15.5335769360193,36.2736319156561,.,.,.
"Don´t know, refused or missing
insurance response","New Mexico",35,16,14,30,51.1079631891213,19.2230147862533,82.9929115919892,62.3740210243373,49.7998617487573,74.9481802999174
"Have some form of insurance","New York",36,5799,2067,7866,70.7489796446284,69.205076110192,72.2928831790648,61.8000638159066,58.3603108318609,65.2398167999523
"Do not have some form of health
insurance","New York",36,75,160,235,29.3997617884694,21.7169836917985,37.0825398851403,29.1442070911263,15.2651284371511,43.0232857451014
"Don´t know, refused or missing
insurance response","New York",36,193,99,292,62.2088902910965,54.080056788363,70.33772379383,50.8018585098583,38.4185072095054,63.1852098102111
"Have some form of insurance","North Carolina",37,1467,575,2042,70.892066653996,68.2599176232394,73.5242156847527,59.8265034853105,54.7132321176185,64.9397748530025
"Do not have some form of health
insurance","North Carolina",37,34,97,131,29.613587287436,21.8790762975922,37.3480982772798,24.232679171431,15.1982032395925,33.2671551032696
"Don´t know, refused or missing
insurance response","North Carolina",37,11,13,24,40.6696054446045,20.9758457531579,60.3633651360511,51.5936905959236,30.6537572515302,72.5336239403169
"Have some form of insurance","North Dakota",38,1441,564,2005,67.7898661583811,65.367404285258,70.2123280315042,56.963327467144,51.9204950783201,62.0061598559679
"Do not have some form of health
insurance","North Dakota",38,10,33,43,23.9348907223925,11.9015984207223,35.9681830240627,.,.,.
"Don´t know, refused or missing
insurance response","North Dakota",38,18,14,32,46.784533680565,27.2034718629024,66.3655954982275,.,.,.
"Have some form of insurance",Ohio,39,5733,2389,8122,69.2008073205547,67.7138268407021,70.6877878004074,59.2980121102493,56.1412476445307,62.4547765759679
"Do not have some form of health
insurance",Ohio,39,74,158,232,27.5936155822473,18.7659542748012,36.4212768896935,25.6336442741474,13.0204028723521,38.2468856759426
"Don´t know, refused or missing
insurance response",Ohio,39,133,74,207,63.2671126831156,54.3547677381838,72.1794576280475,49.845602088512,39.9314925571397,59.7597116198842
"Have some form of insurance",Oklahoma,40,1702,873,2575,63.9895119308825,61.8329413799994,66.1460824817657,55.3535319742406,50.9420117023985,59.7650522460827
"Do not have some form of health
insurance",Oklahoma,40,26,105,131,20.6685285495002,13.1079772968381,28.2290798021622,.,.,.
"Don´t know, refused or missing
insurance response",Oklahoma,40,18,12,30,51.1250398986261,33.9816082345806,68.2684715626717,54.215670789328,33.899861821034,74.5314797576221
"Have some form of insurance",Oregon,41,1865,865,2730,66.9849399937197,64.7114914606531,69.2583885267864,56.856827302537,52.2817528528665,61.4319017522075
"Do not have some form of health
insurance",Oregon,41,13,58,71,19.142509854973,8.03435362889318,30.2506660810528,.,.,.
"Don´t know, refused or missing
insurance response",Oregon,41,20,23,43,44.2485498768954,27.0048138620952,61.4922858916957,52.2445064995942,26.0253005941962,78.4637124049923
"Have some form of insurance",Pennsylvania,42,1561,589,2150,69.1086658378944,66.1418940797056,72.0754375960831,57.8264904957756,51.638762101644,64.0142188899073
"Do not have some form of health
insurance",Pennsylvania,42,21,49,70,32.8988763702289,14.8002821452781,50.9974705951798,30.5469690038833,19.6198623609121,41.4740756468545
"Don´t know, refused or missing
insurance response",Pennsylvania,42,17,16,33,.,.,.,.,.,.
"Have some form of insurance","Rhode Island",44,2285,618,2903,75.516007226201,73.2605657476166,77.7714487047854,62.4320192477273,57.0639509607646,67.80008753469
"Do not have some form of health
insurance","Rhode Island",44,21,42,63,33.436110159986,18.9295020650457,47.9427182549263,35.5708766838595,19.5293915031468,51.6123618645722
"Don´t know, refused or missing
insurance response","Rhode Island",44,78,31,109,74.7134573412766,64.5561414939286,84.8707731886246,69.8386779887528,45.1095337546957,94.5678222228099
"Have some form of insurance","South Carolina",45,3595,1098,4693,73.6407578651639,71.9618834582954,75.3196322720323,60.8630519848502,57.1181982842089,64.6079056854915
"Do not have some form of health
insurance","South Carolina",45,82,158,240,29.5479389174407,22.4598291650279,36.6360486698535,31.5260426303253,19.7488853977383,43.3031998629124
"Don´t know, refused or missing
insurance response","South Carolina",45,144,56,200,69.3476339813087,60.6561112293258,78.0391567332916,62.3952535605059,46.1640325076776,78.6264746133342
"Have some form of insurance","South Dakota",46,2652,1178,3830,67.3174207438667,62.4159716892597,72.2188697984737,56.3893281250185,48.3980182843741,64.3806379656629
"Do not have some form of health
insurance","South Dakota",46,34,101,135,11.2286278495363,6.63840871955294,15.8188469795197,.,.,.
"Don´t know, refused or missing
insurance response","South Dakota",46,39,26,65,73.1712286612152,52.5105179464044,93.831939376026,55.1233737728835,37.5179896093238,72.7287579364432
"Have some form of insurance",Tennessee,47,1648,706,2354,68.4887947688182,65.9253168365073,71.0522727011291,58.0915045538733,52.6936138601998,63.4893952475468
"Do not have some form of health
insurance",Tennessee,47,29,135,164,13.7019394113582,8.01695527431609,19.3869235484003,14.3358165821287,9.3952223642218,19.2764108000357
"Don´t know, refused or missing
insurance response",Tennessee,47,56,26,82,59.9389088263816,45.7187102852211,74.159107367542,43.8121316027897,32.3491901664526,55.2750730391269
"Have some form of insurance",Texas,48,3808,1786,5594,65.7071879660217,63.41314011826,68.0012358137834,58.6997009239607,54.0441074077703,63.3552944401511
"Do not have some form of health
insurance",Texas,48,145,403,548,28.1104784218617,20.22279181755,35.9981650261734,28.4486008260551,18.6320931758474,38.2651084762629
"Don´t know, refused or missing
insurance response",Texas,48,131,90,221,57.9445982228927,45.7384593666827,70.1507370791027,50.2473444368843,35.0729301751448,65.4217586986238
"Have some form of insurance",Utah,49,2791,1214,4005,68.2231406452769,66.3479568671323,70.0983244234215,59.7411832682451,56.1043012207748,63.3780653157154
"Do not have some form of health
insurance",Utah,49,46,170,216,20.4664175038661,13.3042908517378,27.6285441559945,.,.,.
"Don´t know, refused or missing
insurance response",Utah,49,51,42,93,51.7766721810741,39.0583335218212,64.495010840327,46.0334940638897,30.1278794697164,61.9391086580631
"Have some form of insurance",Vermont,50,3491,1141,4632,70.414311532493,68.4784496058203,72.3501734591658,57.9731263548042,54.2957573470287,61.6504953625797
"Do not have some form of health
insurance",Vermont,50,28,60,88,34.4651442943112,25.440776591731,43.4895119968913,38.9202117083504,31.367216103341,46.4732073133599
"Don´t know, refused or missing
insurance response",Vermont,50,78,25,103,71.2728360637931,60.4157459447216,82.1299261828646,61.3071884942777,48.9548422200074,73.659534768548
"Have some form of insurance",Virginia,51,3791,1274,5065,71.9790305095739,70.1681097568607,73.7899512622872,63.3651468893987,59.3641987172029,67.3660950615945
"Do not have some form of health
insurance",Virginia,51,37,87,124,21.2147995668364,14.5125270087523,27.9170721249205,29.7461346264652,22.1432794066526,37.3489898462779
"Don´t know, refused or missing
insurance response",Virginia,51,80,25,105,73.2923142156165,62.8402101485022,83.7444182827308,63.920601641694,56.8599176038759,70.9812856795121
"Have some form of insurance",Washington,53,9126,3433,12559,69.7633910845409,68.7000287571172,70.8267534119647,59.511527906197,57.3323697996563,61.6906860127377
"Do not have some form of health
insurance",Washington,53,109,261,370,25.0932968499528,20.0997946870407,30.0867990128649,25.1014330999541,14.7976112370535,35.4052549628548
"Don´t know, refused or missing
insurance response",Washington,53,189,116,305,52.4935486040923,45.1367025741116,59.850394634073,44.3163304576211,33.1178512413609,55.5148096738814
"Have some form of insurance","West Virginia",54,1940,734,2674,69.9603733854198,67.8946156218002,72.0261311490394,61.4152868388469,56.6027655554374,66.2278081222564
"Do not have some form of health
insurance","West Virginia",54,19,62,81,20.7778614745971,11.1510828093611,30.4046401398332,.,.,.
"Don´t know, refused or missing
insurance response","West Virginia",54,49,19,68,67.292097506767,53.7359055585473,80.8482894549867,53.3292245794688,35.8884844507861,70.7699647081515
"Have some form of insurance",Wisconsin,55,4243,1433,5676,73.425096337697,71.9072561348348,74.9429365405592,63.1162241595756,59.5522445849147,66.6802037342365
"Do not have some form of health
insurance",Wisconsin,55,39,82,121,26.691543684468,16.2017724104625,37.1813149584735,31.1728966958177,17.3941153799345,44.9516780117009
"Don´t know, refused or missing
insurance response",Wisconsin,55,88,51,139,60.6021653468289,50.1334386059076,71.0708920877502,51.8967095114656,34.4688039626161,69.3246150603151
"Have some form of insurance",Wyoming,56,1325,680,2005,62.7256742865887,60.2828452117264,65.168503361451,53.4824474854662,47.8341785134208,59.1307164575116
"Do not have some form of health
insurance",Wyoming,56,28,96,124,26.2617295437825,17.2123911666629,35.3110679209021,27.2223999403001,15.0373147257183,39.4074851548819
"Don´t know, refused or missing
insurance response",Wyoming,56,33,22,55,53.2372774229118,37.2923294817371,69.1822253640864,.,.,.
