"Column Name","Label"
"DP1_0026CA","Annotation of Number!!SEX AND AGE!!Male population!!Under 5 years"
"DP1_0027C","Number!!SEX AND AGE!!Male population!!5 to 9 years"
"DP1_0027CA","Annotation of Number!!SEX AND AGE!!Male population!!5 to 9 years"
"DP1_0028C","Number!!SEX AND AGE!!Male population!!10 to 14 years"
"DP1_0028CA","Annotation of Number!!SEX AND AGE!!Male population!!10 to 14 years"
"DP1_0029C","Number!!SEX AND AGE!!Male population!!15 to 19 years"
"DP1_0029CA","Annotation of Number!!SEX AND AGE!!Male population!!15 to 19 years"
"DP1_0030C","Number!!SEX AND AGE!!Male population!!20 to 24 years"
"DP1_0030CA","Annotation of Number!!SEX AND AGE!!Male population!!20 to 24 years"
"DP1_0031C","Number!!SEX AND AGE!!Male population!!25 to 29 years"
"DP1_0031CA","Annotation of Number!!SEX AND AGE!!Male population!!25 to 29 years"
"DP1_0032C","Number!!SEX AND AGE!!Male population!!30 to 34 years"
"DP1_0032CA","Annotation of Number!!SEX AND AGE!!Male population!!30 to 34 years"
"DP1_0033C","Number!!SEX AND AGE!!Male population!!35 to 39 years"
"DP1_0033CA","Annotation of Number!!SEX AND AGE!!Male population!!35 to 39 years"
"DP1_0034C","Number!!SEX AND AGE!!Male population!!40 to 44 years"
"DP1_0034CA","Annotation of Number!!SEX AND AGE!!Male population!!40 to 44 years"
"DP1_0035C","Number!!SEX AND AGE!!Male population!!45 to 49 years"
"DP1_0035CA","Annotation of Number!!SEX AND AGE!!Male population!!45 to 49 years"
"DP1_0036C","Number!!SEX AND AGE!!Male population!!50 to 54 years"
"DP1_0036CA","Annotation of Number!!SEX AND AGE!!Male population!!50 to 54 years"
"DP1_0037C","Number!!SEX AND AGE!!Male population!!55 to 59 years"
"DP1_0037CA","Annotation of Number!!SEX AND AGE!!Male population!!55 to 59 years"
"DP1_0038C","Number!!SEX AND AGE!!Male population!!60 to 64 years"
"DP1_0038CA","Annotation of Number!!SEX AND AGE!!Male population!!60 to 64 years"
"DP1_0039C","Number!!SEX AND AGE!!Male population!!65 to 69 years"
"DP1_0039CA","Annotation of Number!!SEX AND AGE!!Male population!!65 to 69 years"
"DP1_0040C","Number!!SEX AND AGE!!Male population!!70 to 74 years"
"DP1_0040CA","Annotation of Number!!SEX AND AGE!!Male population!!70 to 74 years"
"DP1_0041C","Number!!SEX AND AGE!!Male population!!75 to 79 years"
"DP1_0041CA","Annotation of Number!!SEX AND AGE!!Male population!!75 to 79 years"
"DP1_0042C","Number!!SEX AND AGE!!Male population!!80 to 84 years"
"DP1_0042CA","Annotation of Number!!SEX AND AGE!!Male population!!80 to 84 years"
"DP1_0043C","Number!!SEX AND AGE!!Male population!!85 years and over"
"DP1_0043CA","Annotation of Number!!SEX AND AGE!!Male population!!85 years and over"
"DP1_0044C","Number!!SEX AND AGE!!Male population!!Selected Age Categories!!16 years and over"
"DP1_0044CA","Annotation of Number!!SEX AND AGE!!Male population!!Selected Age Categories!!16 years and over"
"DP1_0045C","Number!!SEX AND AGE!!Male population!!Selected Age Categories!!18 years and over"
"DP1_0045CA","Annotation of Number!!SEX AND AGE!!Male population!!Selected Age Categories!!18 years and over"
"DP1_0046C","Number!!SEX AND AGE!!Male population!!Selected Age Categories!!21 years and over"
"DP1_0046CA","Annotation of Number!!SEX AND AGE!!Male population!!Selected Age Categories!!21 years and over"
"DP1_0047C","Number!!SEX AND AGE!!Male population!!Selected Age Categories!!62 years and over"
"DP1_0047CA","Annotation of Number!!SEX AND AGE!!Male population!!Selected Age Categories!!62 years and over"
"DP1_0048C","Number!!SEX AND AGE!!Male population!!Selected Age Categories!!65 years and over"
"DP1_0048CA","Annotation of Number!!SEX AND AGE!!Male population!!Selected Age Categories!!65 years and over"
"DP1_0049C","Number!!SEX AND AGE!!Female population"
"DP1_0049CA","Annotation of Number!!SEX AND AGE!!Female population"
"DP1_0050C","Number!!SEX AND AGE!!Female population!!Under 5 years"
"DP1_0050CA","Annotation of Number!!SEX AND AGE!!Female population!!Under 5 years"
"DP1_0051C","Number!!SEX AND AGE!!Female population!!5 to 9 years"
"DP1_0051CA","Annotation of Number!!SEX AND AGE!!Female population!!5 to 9 years"
"DP1_0052C","Number!!SEX AND AGE!!Female population!!10 to 14 years"
"DP1_0052CA","Annotation of Number!!SEX AND AGE!!Female population!!10 to 14 years"
"DP1_0053C","Number!!SEX AND AGE!!Female population!!15 to 19 years"
"DP1_0053CA","Annotation of Number!!SEX AND AGE!!Female population!!15 to 19 years"
"DP1_0054C","Number!!SEX AND AGE!!Female population!!20 to 24 years"
"DP1_0054CA","Annotation of Number!!SEX AND AGE!!Female population!!20 to 24 years"
"DP1_0055C","Number!!SEX AND AGE!!Female population!!25 to 29 years"
"DP1_0055CA","Annotation of Number!!SEX AND AGE!!Female population!!25 to 29 years"
"DP1_0056C","Number!!SEX AND AGE!!Female population!!30 to 34 years"
"DP1_0056CA","Annotation of Number!!SEX AND AGE!!Female population!!30 to 34 years"
"DP1_0057C","Number!!SEX AND AGE!!Female population!!35 to 39 years"
"DP1_0057CA","Annotation of Number!!SEX AND AGE!!Female population!!35 to 39 years"
"DP1_0058C","Number!!SEX AND AGE!!Female population!!40 to 44 years"
"DP1_0058CA","Annotation of Number!!SEX AND AGE!!Female population!!40 to 44 years"
"DP1_0059C","Number!!SEX AND AGE!!Female population!!45 to 49 years"
"DP1_0059CA","Annotation of Number!!SEX AND AGE!!Female population!!45 to 49 years"
"DP1_0060C","Number!!SEX AND AGE!!Female population!!50 to 54 years"
"DP1_0060CA","Annotation of Number!!SEX AND AGE!!Female population!!50 to 54 years"
"DP1_0061C","Number!!SEX AND AGE!!Female population!!55 to 59 years"
"DP1_0061CA","Annotation of Number!!SEX AND AGE!!Female population!!55 to 59 years"
"DP1_0062C","Number!!SEX AND AGE!!Female population!!60 to 64 years"
"DP1_0062CA","Annotation of Number!!SEX AND AGE!!Female population!!60 to 64 years"
"DP1_0063C","Number!!SEX AND AGE!!Female population!!65 to 69 years"
"DP1_0063CA","Annotation of Number!!SEX AND AGE!!Female population!!65 to 69 years"
"DP1_0064C","Number!!SEX AND AGE!!Female population!!70 to 74 years"
"DP1_0064CA","Annotation of Number!!SEX AND AGE!!Female population!!70 to 74 years"
"DP1_0065C","Number!!SEX AND AGE!!Female population!!75 to 79 years"
"DP1_0065CA","Annotation of Number!!SEX AND AGE!!Female population!!75 to 79 years"
"DP1_0066C","Number!!SEX AND AGE!!Female population!!80 to 84 years"
"DP1_0066CA","Annotation of Number!!SEX AND AGE!!Female population!!80 to 84 years"
"DP1_0067C","Number!!SEX AND AGE!!Female population!!85 years and over"
"DP1_0067CA","Annotation of Number!!SEX AND AGE!!Female population!!85 years and over"
"DP1_0068C","Number!!SEX AND AGE!!Female population!!Selected Age Categories!!16 years and over"
"DP1_0068CA","Annotation of Number!!SEX AND AGE!!Female population!!Selected Age Categories!!16 years and over"
"DP1_0069C","Number!!SEX AND AGE!!Female population!!Selected Age Categories!!18 years and over"
"DP1_0069CA","Annotation of Number!!SEX AND AGE!!Female population!!Selected Age Categories!!18 years and over"
"DP1_0070C","Number!!SEX AND AGE!!Female population!!Selected Age Categories!!21 years and over"
"DP1_0070CA","Annotation of Number!!SEX AND AGE!!Female population!!Selected Age Categories!!21 years and over"
"DP1_0071C","Number!!SEX AND AGE!!Female population!!Selected Age Categories!!62 years and over"
"DP1_0071CA","Annotation of Number!!SEX AND AGE!!Female population!!Selected Age Categories!!62 years and over"
"DP1_0072C","Number!!SEX AND AGE!!Female population!!Selected Age Categories!!65 years and over"
"DP1_0072CA","Annotation of Number!!SEX AND AGE!!Female population!!Selected Age Categories!!65 years and over"
"DP1_0073C","Number!!MEDIAN AGE BY SEX!!Both sexes"
"DP1_0073CA","Annotation of Number!!MEDIAN AGE BY SEX!!Both sexes"
"DP1_0074C","Number!!MEDIAN AGE BY SEX!!Male"
"DP1_0074CA","Annotation of Number!!MEDIAN AGE BY SEX!!Male"
"DP1_0075C","Number!!MEDIAN AGE BY SEX!!Female"
"DP1_0075CA","Annotation of Number!!MEDIAN AGE BY SEX!!Female"
"DP1_0076C","Number!!RACE!!Total population"
"DP1_0076CA","Annotation of Number!!RACE!!Total population"
"DP1_0077C","Number!!RACE!!Total population!!One Race"
"DP1_0077CA","Annotation of Number!!RACE!!Total population!!One Race"
"DP1_0078C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander"
"DP1_0078CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander"
"DP1_0079C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Carolinian"
"DP1_0079CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Carolinian"
"DP1_0080C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Chamorro"
"DP1_0080CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Chamorro"
"DP1_0081C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Chuukese"
"DP1_0081CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Chuukese"
"DP1_0082C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Guamanian"
"DP1_0082CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Guamanian"
"DP1_0083C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Kosraean"
"DP1_0083CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Kosraean"
"DP1_0084C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Marshallese"
"DP1_0084CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Marshallese"
"DP1_0085C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP1_0085CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian"
"DP1_0086C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Palauan"
"DP1_0086CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Palauan"
"DP1_0087C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Pohnpeian"
"DP1_0087CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Pohnpeian"
"DP1_0088C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Yapese"
"DP1_0088CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Yapese"
"DP1_0089C","Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander"
"DP1_0089CA","Annotation of Number!!RACE!!Total population!!One Race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander"
"DP1_0090C","Number!!RACE!!Total population!!One Race!!Asian"
"DP1_0090CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian"
"DP1_0091C","Number!!RACE!!Total population!!One Race!!Asian!!Chinese (except Taiwanese)"
"DP1_0091CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian!!Chinese (except Taiwanese)"
"DP1_0092C","Number!!RACE!!Total population!!One Race!!Asian!!Filipino"
"DP1_0092CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian!!Filipino"
"DP1_0093C","Number!!RACE!!Total population!!One Race!!Asian!!Japanese"
"DP1_0093CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian!!Japanese"
"DP1_0094C","Number!!RACE!!Total population!!One Race!!Asian!!Korean"
"DP1_0094CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian!!Korean"
"DP1_0095C","Number!!RACE!!Total population!!One Race!!Asian!!Taiwanese"
"DP1_0095CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian!!Taiwanese"
"DP1_0096C","Number!!RACE!!Total population!!One Race!!Asian!!Thai"
"DP1_0096CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian!!Thai"
"DP1_0097C","Number!!RACE!!Total population!!One Race!!Asian!!Vietnamese"
"DP1_0097CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian!!Vietnamese"
"DP1_0098C","Number!!RACE!!Total population!!One Race!!Asian!!Other Asian"
"DP1_0098CA","Annotation of Number!!RACE!!Total population!!One Race!!Asian!!Other Asian"
"DP1_0099C","Number!!RACE!!Total population!!One Race!!White"
"DP1_0099CA","Annotation of Number!!RACE!!Total population!!One Race!!White"
"DP1_0100C","Number!!RACE!!Total population!!One Race!!Black or African American"
"DP1_0100CA","Annotation of Number!!RACE!!Total population!!One Race!!Black or African American"
"DP1_0101C","Number!!RACE!!Total population!!One Race!!American Indian and Alaska Native"
"DP1_0101CA","Annotation of Number!!RACE!!Total population!!One Race!!American Indian and Alaska Native"
"DP1_0102C","Number!!RACE!!Total population!!One Race!!Some Other Race"
"DP1_0102CA","Annotation of Number!!RACE!!Total population!!One Race!!Some Other Race"
"DP1_0103C","Number!!RACE!!Total population!!Two or More Races"
"DP1_0103CA","Annotation of Number!!RACE!!Total population!!Two or More Races"
"DP1_0104C","Number!!RACE!!Race alone or in combination with one or more other races [1]!!Native Hawaiian and Other Pacific Islander alone or in combination [2]"
"DP1_0104CA","Annotation of Number!!RACE!!Race alone or in combination with one or more other races [1]!!Native Hawaiian and Other Pacific Islander alone or in combination [2]"
"DP1_0105C","Number!!RACE!!Race alone or in combination with one or more other races [1]!!Native Hawaiian and Other Pacific Islander alone or in combination [2]!!Chamorro alone or in any combination"
"DP1_0105CA","Annotation of Number!!RACE!!Race alone or in combination with one or more other races [1]!!Native Hawaiian and Other Pacific Islander alone or in combination [2]!!Chamorro alone or in any combination"
"DP1_0106C","Number!!RACE!!Race alone or in combination with one or more other races [1]!!Asian alone or in combination [3]"
"DP1_0106CA","Annotation of Number!!RACE!!Race alone or in combination with one or more other races [1]!!Asian alone or in combination [3]"
"DP1_0107C","Number!!RACE!!Race alone or in combination with one or more other races [1]!!Asian alone or in combination [3]!!Filipino alone or in any combination"
"DP1_0107CA","Annotation of Number!!RACE!!Race alone or in combination with one or more other races [1]!!Asian alone or in combination [3]!!Filipino alone or in any combination"
"DP1_0108C","Number!!RACE!!Race alone or in combination with one or more other races [1]!!Other races alone or in combination [4]"
"DP1_0108CA","Annotation of Number!!RACE!!Race alone or in combination with one or more other races [1]!!Other races alone or in combination [4]"
"DP1_0109C","Number!!HISPANIC OR LATINO ORIGIN!!Total population"
"DP1_0109CA","Annotation of Number!!HISPANIC OR LATINO ORIGIN!!Total population"
"DP1_0110C","Number!!HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino (of any race)"
"DP1_0110CA","Annotation of Number!!HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino (of any race)"
"DP1_0111C","Number!!HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino (of any race)!!Mexican [5]"
"DP1_0111CA","Annotation of Number!!HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino (of any race)!!Mexican [5]"
"DP1_0112C","Number!!HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino (of any race)!!All Other Hispanic or Latino [6]"
"DP1_0112CA","Annotation of Number!!HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino (of any race)!!All Other Hispanic or Latino [6]"
"DP1_0113C","Number!!HISPANIC OR LATINO ORIGIN!!Total population!!Not Hispanic or Latino"
"DP1_0113CA","Annotation of Number!!HISPANIC OR LATINO ORIGIN!!Total population!!Not Hispanic or Latino"
"DP1_0114C","Number!!RELATIONSHIP!!Total population"
"DP1_0114CA","Annotation of Number!!RELATIONSHIP!!Total population"
"DP1_0115C","Number!!RELATIONSHIP!!Total population!!In households"
"DP1_0115CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households"
"DP1_0116C","Number!!RELATIONSHIP!!Total population!!In households!!Householder"
"DP1_0116CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Householder"
"DP1_0117C","Number!!RELATIONSHIP!!Total population!!In households!!Spouse [7]"
"DP1_0117CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Spouse [7]"
"DP1_0118C","Number!!RELATIONSHIP!!Total population!!In households!!Unmarried partner"
"DP1_0118CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Unmarried partner"
"DP1_0119C","Number!!RELATIONSHIP!!Total population!!In households!!Child"
"DP1_0119CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Child"
"DP1_0120C","Number!!RELATIONSHIP!!Total population!!In households!!Child!!Under 18 years"
"DP1_0120CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Child!!Under 18 years"
"DP1_0121C","Number!!RELATIONSHIP!!Total population!!In households!!Child!!18 to 26 years"
"DP1_0121CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Child!!18 to 26 years"
"DP1_0122C","Number!!RELATIONSHIP!!Total population!!In households!!Other relatives"
"DP1_0122CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Other relatives"
"DP1_0123C","Number!!RELATIONSHIP!!Total population!!In households!!Other relatives!!Under 18 years"
"DP1_0123CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Other relatives!!Under 18 years"
"DP1_0124C","Number!!RELATIONSHIP!!Total population!!In households!!Other relatives!!65 years and over"
"DP1_0124CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Other relatives!!65 years and over"
"DP1_0125C","Number!!RELATIONSHIP!!Total population!!In households!!Nonrelatives"
"DP1_0125CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Nonrelatives"
"DP1_0126C","Number!!RELATIONSHIP!!Total population!!In households!!Nonrelatives!!Under 18 years"
"DP1_0126CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Nonrelatives!!Under 18 years"
"DP1_0127C","Number!!RELATIONSHIP!!Total population!!In households!!Nonrelatives!!65 years and over"
"DP1_0127CA","Annotation of Number!!RELATIONSHIP!!Total population!!In households!!Nonrelatives!!65 years and over"
"DP1_0128C","Number!!RELATIONSHIP!!Total population!!In group quarters"
"DP1_0128CA","Annotation of Number!!RELATIONSHIP!!Total population!!In group quarters"
"DP1_0129C","Number!!RELATIONSHIP!!Total population!!In group quarters!!Institutionalized population"
"DP1_0129CA","Annotation of Number!!RELATIONSHIP!!Total population!!In group quarters!!Institutionalized population"
"DP1_0130C","Number!!RELATIONSHIP!!Total population!!In group quarters!!Institutionalized population!!Male"
"DP1_0130CA","Annotation of Number!!RELATIONSHIP!!Total population!!In group quarters!!Institutionalized population!!Male"
"DP1_0131C","Number!!RELATIONSHIP!!Total population!!In group quarters!!Institutionalized population!!Female"
"DP1_0131CA","Annotation of Number!!RELATIONSHIP!!Total population!!In group quarters!!Institutionalized population!!Female"
"DP1_0132C","Number!!RELATIONSHIP!!Total population!!In group quarters!!Noninstitutionalized population"
"DP1_0132CA","Annotation of Number!!RELATIONSHIP!!Total population!!In group quarters!!Noninstitutionalized population"
"DP1_0133C","Number!!RELATIONSHIP!!Total population!!In group quarters!!Noninstitutionalized population!!Male"
"DP1_0133CA","Annotation of Number!!RELATIONSHIP!!Total population!!In group quarters!!Noninstitutionalized population!!Male"
"DP1_0134C","Number!!RELATIONSHIP!!Total population!!In group quarters!!Noninstitutionalized population!!Female"
"DP1_0134CA","Annotation of Number!!RELATIONSHIP!!Total population!!In group quarters!!Noninstitutionalized population!!Female"
"DP1_0135C","Number!!HOUSEHOLDS BY TYPE!!Total households"
"DP1_0135CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households"
"DP1_0136C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]"
"DP1_0136CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]"
"DP1_0137C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!With own children under 18 years"
"DP1_0137CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!With own children under 18 years"
"DP1_0138C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Married couple family"
"DP1_0138CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Married couple family"
"DP1_0139C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Married couple family!!With own children under 18 years"
"DP1_0139CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Married couple family!!With own children under 18 years"
"DP1_0140C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Male householder, no spouse present"
"DP1_0140CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Male householder, no spouse present"
"DP1_0141C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Male householder, no spouse present!!With own children under 18 years"
"DP1_0141CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Male householder, no spouse present!!With own children under 18 years"
"DP1_0142C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Female householder, no spouse present"
"DP1_0142CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Female householder, no spouse present"
"DP1_0143C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Female householder, no spouse present!!With own children under 18 years"
"DP1_0143CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families) [8]!!Female householder, no spouse present!!With own children under 18 years"
"DP1_0144C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]"
"DP1_0144CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]"
"DP1_0145C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone"
"DP1_0145CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone"
"DP1_0146C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone!!Male"
"DP1_0146CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone!!Male"
"DP1_0147C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone!!Male!!65 years and over"
"DP1_0147CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone!!Male!!65 years and over"
"DP1_0148C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone!!Female"
"DP1_0148CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone!!Female"
"DP1_0149C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone!!Female!!65 years and over"
"DP1_0149CA","Annotation of Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder living alone!!Female!!65 years and over"
"DP1_0150C","Number!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households [8]!!Householder not living alone"
