Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,Age Group,Age Group Code,Deaths,Population,Crude Rate
,2014,2014,Breast,26000,70-74 years,70-74,4628,11143046,41.5
,2015,2015,Breast,26000,50-54 years,50-54,3250,22662504,14.3
,2015,2015,Breast,26000,55-59 years,55-59,4461,22112389,20.2
,2015,2015,Breast,26000,60-64 years ,60-64,4892,19257332,25.4
,2015,2015,Breast,26000,65-69 years,65-69,5239,16234720,32.3
,2015,2015,Breast,26000,70-74 years,70-74,4797,11530198,41.6
,2016,2016,Breast,26000,50-54 years,50-54,3163,22237058,14.2
,2016,2016,Breast,26000,55-59 years,55-59,4238,22349108,19
,2016,2016,Breast,26000,60-64 years ,60-64,4835,19705483,24.5
,2016,2016,Breast,26000,65-69 years,65-69,5383,16989182,31.7
,2016,2016,Breast,26000,70-74 years,70-74,4769,11855835,40.2
,2017,2017,Breast,26000,50-54 years,50-54,3120,21795540,14.3
,2017,2017,Breast,26000,55-59 years,55-59,4249,22381917,19
,2017,2017,Breast,26000,60-64 years ,60-64,4866,20191534,24.1
,2017,2017,Breast,26000,65-69 years,65-69,5348,16978426,31.5
,2017,2017,Breast,26000,70-74 years,70-74,5038,12841498,39.2
,2018,2018,Breast,26000,50-54 years,50-54,2796,21341286,13.1
,2018,2018,Breast,26000,55-59 years,55-59,4194,22380446,18.7
,2018,2018,Breast,26000,60-64 years ,60-64,4844,20573743,23.5
,2018,2018,Breast,26000,65-69 years,65-69,5304,17243824,30.8
,2018,2018,Breast,26000,70-74 years,70-74,5339,13390558,39.9
,2019,2019,Breast,26000,50-54 years,50-54,2813,20975833,13.4
,2019,2019,Breast,26000,55-59 years,55-59,4065,22365550,18.2
,2019,2019,Breast,26000,60-64 years ,60-64,5007,20841569,24
,2019,2019,Breast,26000,65-69 years,65-69,5247,17624068,29.8
,2019,2019,Breast,26000,70-74 years,70-74,5425,14015303,38.7
,2020,2020,Breast,26000,50-54 years,50-54,2830,20932082,13.5
,2020,2020,Breast,26000,55-59 years,55-59,3881,22134974,17.5
,2020,2020,Breast,26000,60-64 years ,60-64,4849,21104582,23
,2020,2020,Breast,26000,65-69 years,65-69,5240,18067948,29
,2020,2020,Breast,26000,70-74 years,70-74,5631,14686987,38.3
,2021,2021,Breast,26000,50-54 years,50-54,2551,21060128,12.1
,2021,2021,Breast,26000,55-59 years,55-59,3798,21684495,17.5
,2021,2021,Breast,26000,60-64 years ,60-64,4749,21300806,22.3
,2021,2021,Breast,26000,65-69 years,65-69,5192,18439390,28.2
,2021,2021,Breast,26000,70-74 years,70-74,5795,15367857,37.7
---,,,,,,,,,
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2021 Mortality",,,,,,,,,
Query Parameters:,,,,,,,,,
Age Group: 50-54 years; 55-59 years; 60-64 years ; 65-69 years; 70-74 years,,,,,,,,,
Leading Cancer Sites: Breast,,,,,,,,,
Group By: Year; Leading Cancer Sites; Age Group,,,,,,,,,
Show Totals: Disabled,,,,,,,,,
Show Zero Values: False,,,,,,,,,
Show Suppressed: False,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,
Standard Population: 2000 U.S. Std. Million,,,,,,,,,
---,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/CancerMort-v2021.html for more information.,,,,,,,,,
---,,,,,,,,,
"Query Date: Dec 12, 2024 1:27:38 PM",,,,,,,,,
---,,,,,,,,,
"Suggested Citation: United States Cancer Statistics - Mortality: 1999 - 2021, WONDER Online Database. United States Department",,,,,,,,,
"of Health and Human Services, Centers for Disease Control and Prevention; 2024. Accessed at",,,,,,,,,
"http://wonder.cdc.gov/CancerMort-v2021.html on Dec 12, 2024 1:27:38 PM",,,,,,,,,
---,,,,,,,,,
Caveats:,,,,,,,,,
"1. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites or by Childhood Cancer, because aggregate",,,,,,,,,
values are displayed in the table. Also be aware that charts and maps containing both aggregate and detail data could be,,,,,,,,,
misleading.,,,,,,,,,
2. Age-adjusted rates are not available when results are grouped by age.,,,,,,,,,
"3. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were",,,,,,,,,
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:",,,,,,,,,
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may",,,,,,,,,
"differ slightly from those published by NCHS. In addition, under the ICD, there are differences in mortality and incidence",,,,,,,,,
"coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the primary site). However in ICD-O-3, one",,,,,,,,,
code captures all of the primary sites that mesothelioma affects. Note that Kaposi sarcoma deaths included in this dataset are,,,,,,,,,
"only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and do not include deaths where the condition was",,,,,,,,,
"a contributing cause of death, or subsequent to another underlying condition. </li><li> The population used to age-adjust the",,,,,,,,,
"rates in this report is the 2000 U.S. standard population, which is in accordance with a 1998 recommendation of the US.",,,,,,,,,
Department of Health and Human Services. The 2000 U.S. standard population is based on the proportion of the 2000 population in,,,,,,,,,
"specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years, 15-19 years, . . . 85 years or older); the",,,,,,,,,
proportions of the 2000 population in these age groups serve as weights for calculating age-adjusted incidence and death rates.,,,,,,,,,
"NCHS, however, uses a different set of age groups in its age adjustment of death rates, and thus the cancer death rates in this",,,,,,,,,
report may differ slightly from those published by NCHS. </li><li> Deaths of persons of unknown age are not included in this,,,,,,,,,
data set. Death rates may differ slightly from other reports where deaths of persons of unknown age are included. </li></ul>,,,,,,,,,
"4. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and",,,,,,,,,
Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for,,,,,,,,,
"these states, nor are these counts included in the summary populations for the affected division, regions or national",,,,,,,,,
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005.",,,,,,,,,
